CED_CODE_2016,Median_age_persons,Median_mortgage_repay_monthly,Median_tot_prsnl_inc_weekly,Median_rent_weekly,Median_tot_fam_inc_weekly,Average_num_psns_per_bedroom,Median_tot_hhd_inc_weekly,Average_household_size
CED201,39,1750,665,360,1830,0.8,1590,2.8
CED202,40,1408,593,250,1507,0.8,1191,2.4
CED203,36,1950,660,340,1815,0.9,1443,2.5
CED204,41,1400,604,250,1470,0.8,1188,2.4
CED205,37,1733,521,325,1461,0.9,1303,2.8
CED206,35,1600,486,320,1428,0.9,1331,3.1
CED207,39,1733,662,330,1731,0.8,1472,2.7
CED208,35,2000,554,380,1832,0.9,1428,2.6
CED209,40,1625,651,300,1720,0.8,1388,2.5
CED210,40,1495,572,270,1458,0.8,1154,2.4
CED211,39,1900,680,350,1895,0.8,1522,2.6
CED212,41,1700,653,301,1696,0.8,1325,2.5
CED213,45,1700,611,297,1516,0.8,1224,2.4
CED214,36,1950,672,321,1841,0.9,1490,2.5
CED215,44,1300,545,210,1351,0.7,1058,2.3
CED216,42,2400,857,421,2592,0.9,2018,2.6
CED217,33,1700,611,301,1586,0.9,1475,3.1
CED218,35,2200,967,396,2572,1,1911,2.3
CED219,33,1733,611,330,1540,0.9,1467,3.1
CED220,38,1950,588,356,1672,0.9,1435,2.7
CED221,44,1300,604,225,1419,0.8,1126,2.3
CED222,38,1800,681,340,1808,0.9,1504,2.7
CED223,40,2000,753,350,2131,0.8,1757,2.6
CED224,38,2500,861,401,2598,0.9,2035,2.6
CED225,37,1798,705,350,1922,0.8,1724,2.9
CED226,32,1733,677,320,1697,0.9,1600,3
CED227,44,1083,548,185,1308,0.8,1015,2.3
CED228,37,1800,592,323,1630,0.9,1405,2.7
CED229,34,1740,699,325,1784,0.8,1613,2.9
CED230,40,1500,575,260,1427,0.8,1163,2.5
CED231,30,2000,747,415,2169,1.1,1484,2.1
CED232,35,2167,1042,420,2515,1,1866,2.1
CED233,43,2000,646,410,1953,0.8,1701,2.8
CED234,44,1300,558,205,1349,0.8,1080,2.4
CED235,35,1733,569,325,1567,0.9,1434,2.9
CED236,45,1192,554,200,1345,0.7,1043,2.3
CED237,35,1950,686,356,1862,0.9,1515,2.5
CED294,34,0,398,0,0,0,0,0
CED297,49,0,3000,0,0,0,0,0
