CED_CODE_2016,F_China_0_4,F_China_5_14,F_China_15_24,F_China_25_44,F_China_45_54,F_China_55_64,F_China_65_74,F_China_75_84,F_China_85ov,F_China_Tot,F_Croatia_0_4,F_Croatia_5_14,F_Croatia_15_24,F_Croatia_25_44,F_Croatia_45_54,F_Croatia_55_64,F_Croatia_65_74,F_Croatia_75_84,F_Croatia_85ov,F_Croatia_Tot,F_Egypt_0_4,F_Egypt_5_14,F_Egypt_15_24,F_Egypt_25_44,F_Egypt_45_54,F_Egypt_55_64,F_Egypt_65_74,F_Egypt_75_84,F_Egypt_85ov,F_Egypt_Tot,F_England_0_4,F_England_5_14,F_England_15_24,F_England_25_44,F_England_45_54,F_England_55_64,F_England_65_74,F_England_75_84,F_England_85ov,F_England_Tot,F_Fiji_0_4,F_Fiji_5_14,F_Fiji_15_24,F_Fiji_25_44,F_Fiji_45_54,F_Fiji_55_64,F_Fiji_65_74,F_Fiji_75_84,F_Fiji_85ov,F_Fiji_Tot,F_France_0_4,F_France_5_14,F_France_15_24,F_France_25_44,F_France_45_54,F_France_55_64,F_France_65_74,F_France_75_84,F_France_85ov,F_France_Tot,F_Germany_0_4,F_Germany_5_14,F_Germany_15_24,F_Germany_25_44,F_Germany_45_54,F_Germany_55_64,F_Germany_65_74,F_Germany_75_84,F_Germany_85ov,F_Germany_Tot,F_Greece_0_4,F_Greece_5_14,F_Greece_15_24,F_Greece_25_44,F_Greece_45_54,F_Greece_55_64,F_Greece_65_74,F_Greece_75_84,F_Greece_85ov,F_Greece_Tot,F_Hong_Kong_0_4,F_Hong_Kong_5_14,F_Hong_Kong_15_24,F_Hong_Kong_25_44,F_Hong_Kong_45_54,F_Hong_Kong_55_64,F_Hong_Kong_65_74,F_Hong_Kong_75_84,F_Hong_Kong_85ov,F_Hong_Kong_Tot,F_India_0_4,F_India_5_14,F_India_15_24,F_India_25_44,F_India_45_54,F_India_55_64,F_India_65_74,F_India_75_84,F_India_85ov,F_India_Tot,F_Indonesia_0_4,F_Indonesia_5_14,F_Indonesia_15_24,F_Indonesia_25_44,F_Indonesia_45_54,F_Indonesia_55_64,F_Indonesia_65_74,F_Indonesia_75_84,F_Indonesia_85ov,F_Indonesia_Tot,F_Iran_0_4,F_Iran_5_14,F_Iran_15_24,F_Iran_25_44,F_Iran_45_54,F_Iran_55_64,F_Iran_65_74,F_Iran_75_84,F_Iran_85ov,F_Iran_Tot,F_Iraq_0_4,F_Iraq_5_14,F_Iraq_15_24,F_Iraq_25_44,F_Iraq_45_54,F_Iraq_55_64,F_Iraq_65_74,F_Iraq_75_84,F_Iraq_85ov,F_Iraq_Tot,F_Ireland_0_4,F_Ireland_5_14,F_Ireland_15_24,F_Ireland_25_44,F_Ireland_45_54,F_Ireland_55_64,F_Ireland_65_74,F_Ireland_75_84,F_Ireland_85ov,F_Ireland_Tot,F_Italy_0_4,F_Italy_5_14,F_Italy_15_24,F_Italy_25_44,F_Italy_45_54,F_Italy_55_64,F_Italy_65_74,F_Italy_75_84,F_Italy_85ov,F_Italy_Tot,F_Japan_0_4,F_Japan_5_14,F_Japan_15_24,F_Japan_25_44,F_Japan_45_54,F_Japan_55_64,F_Japan_65_74,F_Japan_75_84,F_Japan_85ov,F_Japan_Tot,F_Korea_South_0_4,F_Korea_South_5_14,F_Korea_South_15_24,F_Korea_South_25_44,F_Korea_South_45_54,F_Korea_South_55_64,F_Korea_South_65_74,F_Korea_South_75_84,F_Korea_South_85ov,F_Korea_South_Tot,F_Lebanon_0_4,F_Lebanon_5_14,F_Lebanon_15_24,F_Lebanon_25_44,F_Lebanon_45_54,F_Lebanon_55_64,F_Lebanon_65_74,F_Lebanon_75_84,F_Lebanon_85ov,F_Lebanon_Tot,F_Malaysia_0_4,F_Malaysia_5_14,F_Malaysia_15_24,F_Malaysia_25_44,F_Malaysia_45_54,F_Malaysia_55_64,F_Malaysia_65_74,F_Malaysia_75_84,F_Malaysia_85ov,F_Malaysia_Tot,F_Malta_0_4,F_Malta_5_14,F_Malta_15_24,F_Malta_25_44,F_Malta_45_54,F_Malta_55_64,F_Malta_65_74,F_Malta_75_84,F_Malta_85ov,F_Malta_Tot
CED201,19,146,254,1674,525,377,142,79,36,3241,0,0,0,4,19,29,34,23,6,116,0,10,8,50,51,66,51,21,8,265,6,59,76,263,430,496,561,346,147,2382,0,5,10,48,29,24,16,4,0,132,0,0,0,5,14,5,3,3,3,38,0,4,22,48,35,55,143,131,61,494,0,3,0,17,31,61,86,49,9,258,8,27,63,238,134,158,42,6,3,689,12,88,167,890,318,214,108,61,13,1880,0,12,28,162,55,31,28,8,0,316,3,17,27,146,33,29,13,3,0,269,0,4,13,21,13,9,8,3,0,64,0,7,6,33,30,42,31,26,8,183,0,0,3,20,61,111,135,105,36,471,0,13,11,40,14,5,3,3,0,89,3,29,37,148,48,21,5,3,0,293,0,3,3,14,26,36,6,8,0,91,16,93,165,515,327,345,167,65,16,1704,0,0,0,3,9,29,29,14,3,86
CED202,0,20,123,172,49,27,14,5,0,412,0,0,0,5,17,21,33,21,9,104,0,7,3,7,0,3,0,0,4,23,11,69,58,252,361,461,528,278,118,2132,0,0,8,20,6,12,3,3,0,55,0,3,0,19,10,11,9,0,0,42,0,3,6,30,32,45,119,51,39,327,0,0,0,0,3,10,19,19,4,55,0,5,0,15,7,6,3,0,0,33,16,40,30,316,33,29,23,14,7,490,0,3,7,20,0,0,9,3,0,45,0,3,7,16,3,3,7,0,0,32,0,0,4,8,3,0,0,0,0,17,0,0,6,33,13,26,26,10,9,117,0,0,0,6,13,26,31,35,29,137,0,8,0,39,9,4,0,3,0,65,0,3,3,21,4,0,0,0,0,32,0,0,0,0,3,5,0,0,0,13,0,14,11,40,23,28,9,6,0,132,0,0,0,13,15,36,45,13,3,124
CED203,20,66,592,1300,390,370,108,74,24,2942,0,0,3,27,30,46,65,61,11,245,0,6,6,32,21,41,48,28,22,203,24,73,87,557,285,205,159,60,51,1494,0,0,11,45,19,19,9,9,0,117,0,3,8,80,18,8,5,3,3,125,0,8,14,98,38,20,52,20,13,269,0,20,27,118,172,376,843,859,242,2667,3,9,45,102,20,18,8,0,0,211,59,85,238,1378,108,73,36,25,11,2012,4,3,22,122,25,12,8,7,0,199,3,21,21,187,23,9,5,0,0,274,3,16,6,82,21,16,3,8,0,153,0,4,3,138,31,28,8,4,5,233,0,16,28,122,144,384,981,1300,524,3500,3,6,26,171,32,10,6,0,3,257,0,3,7,65,10,0,7,3,0,100,0,3,13,127,150,158,107,44,19,616,9,14,71,247,51,77,35,12,4,519,0,0,0,15,9,48,63,45,24,196
CED204,0,17,31,101,37,19,6,0,0,213,0,0,0,3,4,12,16,6,0,41,0,6,3,11,6,3,9,0,0,38,4,52,39,204,315,396,407,241,106,1762,0,0,3,19,7,6,0,0,0,43,0,0,3,7,3,6,0,0,0,26,0,3,4,25,34,48,81,32,23,247,0,0,0,6,4,11,13,8,4,41,0,0,9,9,4,4,0,0,0,30,16,20,33,247,25,15,14,10,4,384,0,0,8,24,16,6,4,0,0,62,3,9,3,10,0,0,0,0,0,26,0,0,0,4,3,0,0,0,0,11,0,4,6,21,13,19,19,8,9,98,0,0,0,4,10,23,30,21,10,105,0,3,3,20,11,3,4,0,0,45,0,3,3,17,4,0,0,0,0,29,0,0,0,4,6,3,0,0,0,16,0,5,13,26,27,17,16,3,0,107,0,0,0,4,3,16,14,6,0,50
CED205,57,316,1094,2618,1173,773,363,233,60,6670,0,3,13,71,53,110,97,73,16,432,4,26,10,38,35,81,90,48,33,364,16,55,60,144,185,210,283,237,106,1293,3,3,16,111,66,43,26,20,7,294,0,0,3,7,12,3,8,13,3,51,0,6,32,30,22,30,99,77,56,359,7,28,21,60,106,203,446,330,60,1259,11,28,95,261,149,183,71,16,0,813,118,428,452,2885,539,363,231,104,68,5180,6,18,64,260,90,60,32,17,3,548,10,80,82,209,50,30,6,8,3,475,0,17,9,56,23,14,12,0,0,139,3,12,3,14,8,16,22,9,12,109,3,3,12,18,59,171,332,368,163,1129,7,26,15,82,24,14,9,4,3,177,3,46,87,247,92,35,15,3,0,527,0,7,16,68,62,56,50,16,6,283,28,132,252,650,338,413,274,75,23,2185,0,0,0,0,9,16,46,21,11,93
CED206,0,21,28,206,113,79,31,19,6,509,0,4,4,30,103,178,213,123,29,682,4,25,45,99,98,135,102,70,10,604,0,41,28,81,161,193,154,100,41,803,0,9,21,141,74,59,34,12,4,349,0,0,3,10,12,8,3,3,3,41,0,6,9,38,23,25,104,31,29,252,0,16,34,41,81,150,253,179,32,781,0,0,13,31,25,20,9,0,0,96,54,123,229,1501,314,245,153,70,22,2715,0,13,8,71,16,11,3,8,0,126,10,52,49,130,33,21,22,13,0,331,20,340,654,1863,728,445,207,108,30,4398,0,10,3,22,11,10,10,3,3,77,0,7,17,48,201,514,601,403,144,1938,0,0,0,18,4,3,0,0,4,38,0,0,8,26,4,3,0,0,0,43,17,40,106,596,446,270,127,47,21,1665,0,7,28,77,42,48,21,7,3,229,0,0,6,30,67,218,286,148,55,812
CED207,4,22,39,247,86,66,27,11,0,505,0,0,0,3,13,12,16,8,5,59,0,0,0,6,0,6,10,3,0,26,10,50,86,392,739,869,862,525,206,3738,0,0,4,9,17,13,6,5,0,46,0,6,9,13,13,9,8,5,0,45,0,3,11,46,70,86,142,92,41,498,0,0,0,7,6,11,25,5,4,60,0,7,5,29,23,13,6,0,0,77,12,20,29,228,57,51,40,22,11,464,0,0,4,36,15,10,12,9,4,94,0,3,3,46,11,3,4,0,0,81,0,0,0,7,5,0,0,0,0,11,0,7,0,25,20,19,35,18,3,134,0,0,3,9,25,82,112,112,52,401,0,8,3,28,14,10,4,3,0,68,0,6,3,22,3,4,0,0,0,40,0,5,0,13,4,12,3,0,0,37,9,28,21,68,35,30,20,3,3,211,0,0,0,0,3,15,22,10,0,50
CED208,93,400,3851,5108,1499,1013,420,275,103,12757,0,0,0,3,19,15,22,51,11,119,3,8,5,26,21,22,51,31,15,182,29,73,119,215,249,228,248,204,127,1495,0,0,14,61,31,24,15,14,0,167,0,3,9,25,18,12,8,3,4,88,0,6,23,40,31,26,71,67,33,303,4,32,29,63,123,232,564,574,103,1708,12,25,280,428,175,193,91,31,7,1239,58,138,367,1613,278,179,117,72,27,2851,19,26,186,432,60,47,26,5,5,823,5,20,27,190,27,26,12,12,0,322,3,7,6,27,4,6,0,0,3,53,3,14,3,35,31,27,23,26,19,175,4,3,9,27,43,129,285,367,153,1017,4,26,49,161,68,23,18,5,4,354,7,66,166,430,140,52,15,6,0,888,0,0,3,19,21,19,8,0,3,73,12,89,497,975,307,349,201,65,27,2523,0,0,0,0,3,9,20,16,9,53
CED209,7,23,57,216,59,44,11,7,0,419,0,0,0,9,23,16,18,13,8,84,0,0,3,11,0,3,7,0,0,30,10,116,95,399,463,550,569,357,164,2722,0,0,3,9,6,4,0,0,0,29,0,3,9,30,8,4,5,0,3,60,0,5,7,56,28,51,129,58,39,377,0,0,0,0,3,18,29,9,5,72,0,7,8,22,6,12,7,0,0,67,7,41,55,282,35,33,21,14,11,488,0,3,7,45,15,3,7,3,0,85,0,10,5,61,13,7,0,0,0,96,0,5,0,15,3,0,0,0,0,25,3,14,3,51,26,26,24,12,3,159,0,3,6,12,21,43,72,68,24,246,0,15,10,41,14,5,3,4,0,95,0,3,9,29,6,0,0,0,0,50,0,0,0,8,3,5,3,0,0,23,0,9,21,57,26,27,9,4,0,155,0,0,0,3,4,18,28,10,5,69
CED210,4,17,84,193,45,44,23,10,8,427,0,3,12,61,81,110,184,155,33,638,0,4,3,0,3,10,14,3,0,36,14,91,68,277,414,556,591,367,175,2538,0,0,3,16,7,3,3,3,0,43,0,0,6,21,9,5,3,9,0,46,0,3,5,34,21,83,192,93,81,513,0,0,0,4,18,30,67,50,12,191,0,4,14,17,0,6,3,0,0,47,18,35,41,376,13,35,6,7,10,540,0,5,11,36,18,3,8,0,4,88,0,25,29,48,8,10,5,0,0,125,4,16,3,40,4,3,3,0,0,84,0,12,6,47,28,31,26,23,9,176,0,3,3,10,41,102,177,202,94,640,0,4,0,25,10,3,0,3,3,44,0,0,3,28,3,0,0,0,0,40,0,0,0,4,6,5,0,0,0,20,3,3,19,58,23,22,7,0,0,144,0,0,0,4,5,23,59,21,0,114
