CED_CODE_2016,M_15_19_yr_Volunteer,M_15_19_yr_N_a_volunteer,M_15_19_yr_Voluntary_work_ns,M_15_19_yr_Tot,M_20_24_yr_Volunteer,M_20_24_yr_N_a_volunteer,M_20_24_yr_Voluntary_work_ns,M_20_24_yr_Tot,M_25_34_yr_Volunteer,M_25_34_yr_N_a_volunteer,M_25_34_yr_Voluntary_work_ns,M_25_34_yr_Tot,M_35_44_yr_Volunteer,M_35_44_yr_N_a_volunteer,M_35_44_yr_Voluntary_work_ns,M_35_44_yr_Tot,M_45_54_yr_Volunteer,M_45_54_yr_N_a_volunteer,M_45_54_yr_Voluntary_work_ns,M_45_54_yr_Tot,M_55_64_yr_Volunteer,M_55_64_yr_N_a_volunteer,M_55_64_yr_Voluntary_work_ns,M_55_64_yr_Tot,M_65_74_yr_Volunteer,M_65_74_yr_N_a_volunteer,M_65_74_yr_Voluntary_work_ns,M_65_74_yr_Tot,M_75_84_yr_Volunteer,M_75_84_yr_N_a_volunteer,M_75_84_yr_Voluntary_work_ns,M_75_84_yr_Tot,M_85ov_Volunteer,M_85ov_N_a_volunteer,M_85_ov_Voluntary_work_ns,M_85ov_Tot,M_Tot_Volunteer,M_Tot_N_a_volunteer,M_Tot_Voluntary_work_ns,M_Tot_Tot,F_15_19_yr_Volunteer,F_15_19_yr_N_a_volunteer,F_15_19_yr_Voluntary_work_ns,F_15_19_yr_Tot,F_20_24_yr_Volunteer,F_20_24_yr_N_a_volunteer,F_20_24_yr_Voluntary_work_ns,F_20_24_yr_Tot,F_25_34_yr_Volunteer,F_25_34_yr_N_a_volunteer,F_25_34_yr_Voluntary_work_ns,F_25_34_yr_Tot,F_35_44_yr_Volunteer,F_35_44_yr_N_a_volunteer,F_35_44_yr_Voluntary_work_ns,F_35_44_yr_Tot,F_45_54_yr_Volunteer,F_45_54_yr_N_a_volunteer,F_45_54_yr_Voluntary_work_ns,F_45_54_yr_Tot,F_55_64_yr_Volunteer,F_55_64_yr_N_a_volunteer,F_55_64_yr_Voluntary_work_ns,F_55_64_yr_Tot,F_65_74_yr_Volunteer,F_65_74_yr_N_a_volunteer,F_65_74_yr_Voluntary_work_ns,F_65_74_yr_Tot,F_75_84_yr_Volunteer,F_75_84_yr_N_a_volunteer,F_75_84_yr_Voluntary_work_ns,F_75_84_yr_Tot,F_85ov_Volunteer,F_85ov_N_a_volunteer,F_85_ov_Voluntary_work_ns,F_85ov_Tot,F_Tot_Volunteer,F_Tot_N_a_volunteer,F_Tot_Voluntary_work_ns,F_Tot_Tot,P_15_19_yr_Volunteer,P_15_19_yr_N_a_volunteer,P_15_19_yr_Voluntary_work_ns,P_15_19_yr_Tot,P_20_24_yr_Volunteer,P_20_24_yr_N_a_volunteer,P_20_24_yr_Voluntary_work_ns,P_20_24_yr_Tot,P_25_34_yr_Volunteer,P_25_34_yr_N_a_volunteer,P_25_34_yr_Voluntary_work_ns,P_25_34_yr_Tot,P_35_44_yr_Volunteer,P_35_44_yr_N_a_volunteer,P_35_44_yr_Voluntary_work_ns,P_35_44_yr_Tot,P_45_54_yr_Volunteer,P_45_54_yr_N_a_volunteer,P_45_54_yr_Voluntary_work_ns,P_45_54_yr_Tot,P_55_64_yr_Volunteer,P_55_64_yr_N_a_volunteer,P_55_64_yr_Voluntary_work_ns,P_55_64_yr_Tot,P_65_74_yr_Volunteer,P_65_74_yr_N_a_volunteer,P_65_74_yr_Voluntary_work_ns,P_65_74_yr_Tot,P_75_84_yr_Volunteer,P_75_84_yr_N_a_volunteer,P_75_84_yr_Voluntary_work_ns,P_75_84_yr_Tot,P_85ov_Volunteer,P_85ov_N_a_volunteer,P_85_ov_Voluntary_work_ns,P_85ov_Tot,P_Tot_Volunteer,P_Tot_N_a_volunteer,P_Tot_Voluntary_work_ns,P_Tot_Tot
CED201,851,3499,228,4576,818,3725,196,4741,1211,7256,404,8863,1625,6780,416,8824,1960,6937,391,9287,1434,6640,386,8467,988,4305,327,5617,467,2055,255,2771,61,754,122,936,9409,41952,2723,54086,1014,3161,202,4372,1001,3370,145,4515,1495,7231,401,9126,2445,6575,370,9391,2309,7566,392,10270,1617,7165,388,9165,1228,4643,369,6241,503,2495,362,3359,90,1357,222,1669,11698,43570,2848,58110,1864,6656,428,8953,1813,7096,348,9257,2704,14487,801,17992,4071,13361,779,18208,4270,14511,781,19554,3052,13806,774,17628,2212,8946,693,11857,967,4551,620,6138,151,2108,344,2603,21101,85521,5569,112194
CED202,994,3567,472,5030,872,3828,384,5077,1384,6876,609,8866,1962,6567,617,9144,2453,6827,709,9990,2123,6623,696,9442,1870,4960,745,7575,723,2348,462,3531,101,858,203,1158,12475,42445,4881,59807,1178,3171,443,4788,1130,3528,354,5012,1745,6958,613,9323,2906,6501,601,10008,2936,7225,742,10904,2542,7071,742,10353,2259,5122,766,8153,839,2846,675,4361,173,1747,338,2251,15714,44161,5275,65149,2168,6741,913,9818,2002,7347,739,10086,3133,13841,1219,18191,4870,13066,1220,19151,5386,14052,1451,20892,4659,13690,1443,19794,4132,10082,1505,15729,1563,5192,1138,7893,270,2604,538,3412,28188,86613,10160,124957
CED203,599,2908,359,3865,977,4603,474,6056,2083,12071,1291,15445,2012,9335,960,12304,1919,7450,747,10116,1207,5661,548,7411,648,3840,482,4970,248,3023,441,3713,54,1195,239,1482,9743,50087,5542,65370,876,2536,329,3742,1489,4497,486,6470,3068,11668,1202,15939,2910,9138,840,12887,2546,7628,732,10910,1418,5980,600,7989,791,4509,548,5851,364,3806,554,4722,95,1868,514,2475,13550,51620,5812,70983,1477,5444,687,7604,2463,9102,959,12524,5153,23737,2497,31381,4918,18470,1802,25189,4473,15074,1479,21025,2619,11639,1148,15403,1435,8352,1031,10818,614,6826,993,8437,147,3055,752,3953,23292,101705,11354,136350
CED204,949,3220,532,4700,834,3347,378,4560,1392,6010,849,8259,2078,5810,771,8658,2636,6196,874,9712,2417,6580,877,9869,2143,4930,795,7864,860,2480,609,3951,160,941,273,1365,13469,39519,5958,58947,1117,2951,470,4537,1108,3187,297,4591,1745,6288,624,8664,3092,5672,662,9423,3144,6614,711,10472,2851,6896,791,10539,2551,4918,803,8279,932,2885,742,4558,167,1661,557,2389,16718,41073,5656,63446,2068,6173,1003,9240,1940,6538,676,9155,3145,12300,1479,16921,5168,11479,1432,18082,5784,12817,1587,20184,5266,13478,1668,20411,4692,9844,1607,16144,1797,5365,1350,8506,330,2597,828,3757,30182,80594,11621,122395
CED205,810,3899,347,5056,1021,5217,423,6655,1487,10312,886,12682,1561,8358,676,10599,1544,7572,612,9722,1146,6534,514,8200,1064,5161,471,6700,603,3260,440,4301,84,1148,202,1436,9325,51471,4559,65359,920,3370,295,4583,1126,3925,311,5365,1643,9117,739,11494,2037,7575,544,10152,1813,7510,516,9841,1435,6968,496,8898,1327,5710,501,7534,626,3792,498,4912,114,1879,380,2376,11035,49839,4288,65166,1731,7273,643,9642,2153,9137,729,12019,3127,19432,1622,24185,3595,15940,1216,20751,3354,15082,1130,19564,2581,13504,1012,17092,2390,10870,975,14233,1235,7050,937,9220,203,3032,578,3812,20362,101309,8853,130519
CED206,593,5084,516,6198,729,5577,499,6800,993,10047,998,12039,1182,8482,757,10418,1239,9431,787,11450,896,7619,619,9131,527,4900,509,5935,187,2205,311,2710,23,586,119,731,6369,53927,5117,65414,828,4777,488,6097,942,4776,358,6071,1244,9495,822,11558,1659,8482,681,10825,1579,9754,721,12050,957,7876,632,9464,606,5058,564,6221,198,2512,380,3098,27,932,203,1162,8037,53665,4844,66542,1422,9864,1002,12292,1668,10354,856,12877,2236,19539,1822,23598,2844,16968,1442,21246,2816,19182,1505,23501,1852,15496,1250,18597,1134,9955,1066,12150,385,4721,693,5806,54,1514,323,1893,14406,107594,9959,131960
CED207,759,3578,372,4710,645,3528,245,4416,1202,7190,449,8847,1846,6786,483,9113,2055,7174,522,9745,1585,6651,495,8726,1414,4723,507,6654,516,2089,314,2919,81,751,134,965,10105,42474,3518,56095,964,3195,329,4487,846,3105,200,4154,1648,7178,458,9276,2780,6324,446,9553,2550,7308,542,10398,1984,6844,509,9334,1863,4693,548,7104,615,2372,419,3404,100,1218,269,1586,13347,42227,3719,59291,1722,6770,705,9196,1493,6633,442,8569,2850,14368,911,18127,4622,13112,927,18660,4604,14484,1062,20147,3566,13495,1001,18057,3280,9424,1058,13756,1133,4461,732,6326,180,1970,400,2548,23452,84701,7236,115387
CED208,1252,4060,315,5630,1784,7315,477,9580,1796,10916,807,13515,1894,7479,551,9925,2309,6864,481,9649,1467,5629,396,7493,1152,3876,335,5365,745,2970,393,4108,218,1383,247,1843,12625,50491,3995,67115,1650,3807,303,5767,2157,6368,420,8937,2121,10098,731,12951,2731,7337,458,10534,2748,7340,462,10556,1799,6238,432,8469,1576,4629,424,6631,1023,3872,553,5446,255,2221,471,2942,16068,51904,4255,72227,2908,7872,618,11393,3938,13679,898,18523,3919,21011,1536,26469,4632,14818,1008,20452,5062,14198,941,20204,3272,11866,829,15963,2730,8505,758,11994,1765,6839,946,9552,467,3602,715,4788,28694,102392,8255,139344
CED209,1022,3311,391,4722,964,3489,307,4760,1430,6471,530,8429,2224,6818,556,9605,2599,6327,596,9528,2417,6485,624,9533,2305,4824,639,7769,950,2348,428,3727,142,1045,205,1393,14063,41122,4280,59465,1230,2896,367,4494,1029,2890,244,4162,1847,6530,472,8851,3156,6497,511,10165,3232,6605,527,10360,2573,6942,617,10128,2572,5033,670,8273,1087,2816,577,4483,224,1991,368,2588,16961,42192,4347,63504,2254,6205,760,9214,1994,6383,546,8919,3281,12998,999,17281,5381,13314,1067,19771,5837,12931,1126,19893,4991,13430,1237,19665,4880,9854,1309,16039,2037,5160,1005,8209,369,3036,576,3978,31024,83314,8624,122969
CED210,916,3375,436,4733,642,3780,421,4845,1299,7168,1027,9491,1540,6611,870,9018,1788,6913,822,9525,1684,6625,732,9036,1471,5086,722,7279,636,2782,521,3938,92,1113,288,1497,10076,43444,5841,59364,1074,3072,370,4517,966,3571,348,4886,1713,7452,631,9797,2308,6511,536,9350,2309,7283,662,10253,1952,7327,745,10027,1837,5553,735,8124,731,3446,710,4885,123,1861,478,2467,13025,46072,5211,64305,1992,6450,813,9253,1609,7351,768,9727,3010,14617,1662,19286,3846,13121,1404,18372,4100,14196,1482,19774,3641,13945,1473,19062,3315,10636,1458,15404,1369,6227,1230,8824,220,2980,763,3961,23104,89517,11053,123675
