CED_CODE_2016,Sme_Usl_ad_1_yr_ago_as_2016_M,Sme_Usl_ad_1_yr_ago_as_2016_F,Sme_Usl_ad_1_yr_ago_as_2016_P,Dif_Usl_ad_1_yr_ago_Sme_SA2_M,Dif_Usl_ad_1_yr_ago_Sme_SA2_F,Dif_Usl_ad_1_yr_ago_Sme_SA2_P,Dif_Us_ad_1_ago_Dif_SA2_NSW_M,Dif_Us_ad_1_ago_Dif_SA2_NSW_F,Dif_Us_ad_1_ago_Dif_SA2_NSW_P,Dif_Us_ad_1_ago_Dif_SA2_Vic_M,Dif_Us_ad_1_ago_Dif_SA2_Vic_F,Dif_Us_ad_1_ago_Dif_SA2_Vic_P,Dif_Us_ad_1_ago_Dif_SA2_Qld_M,Dif_Us_ad_1_ago_Dif_SA2_Qld_F,Dif_Us_ad_1_ago_Dif_SA2_Qld_P,Dif_Us_ad_1_ago_Dif_SA2_SA_M,Dif_Us_ad_1_ago_Dif_SA2_SA_F,Dif_Us_ad_1_ago_Dif_SA2_SA_P,Dif_Us_ad_1_ago_Dif_SA2_WA_M,Dif_Us_ad_1_ago_Dif_SA2_WA_F,Dif_Us_ad_1_ago_Dif_SA2_WA_P,Dif_Us_ad_1_ago_Dif_SA2_Tas_M,Dif_Us_ad_1_ago_Dif_SA2_Tas_F,Dif_Us_ad_1_ago_Dif_SA2_Tas_P,Dif_Us_ad_1_ago_Dif_SA2_NT_M,Dif_Us_ad_1_ago_Dif_SA2_NT_F,Dif_Us_ad_1_ago_Dif_SA2_NT_P,Dif_Us_ad_1_ago_Dif_SA2_ACT_M,Dif_Us_ad_1_ago_Dif_SA2_ACT_F,Dif_Us_ad_1_ago_Dif_SA2_ACT_P,Dif_Us_ad_1_ago_Dif_SA2_OT_M,Dif_Us_ad_1_ago_Dif_SA2_OT_F,Dif_Us_ad_1_ago_Dif_SA2_OT_P,Dif_Us_ad_1_ago_Dif_SA2_Tot_M,Dif_Us_ad_1_ago_Dif_SA2_Tot_F,Dif_Us_ad_1_ago_Dif_SA2_Tot_P,Difnt_Usl_add_1_yr_ago_OS_M,Difnt_Usl_add_1_yr_ago_OS_F,Difnt_Usl_add_1_yr_ago_OS_P,Difnt_Usl_add_1_yr_ago_Ns_M,Difnt_Usl_add_1_yr_ago_Ns_F,Difnt_Usl_add_1_yr_ago_Ns_P,Difnt_Usl_add_1_yr_ago_Tot_M,Difnt_Usl_add_1_yr_ago_Tot_F,Difnt_Usl_add_1_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P
CED201,54569,57302,111871,755,821,1577,112,113,225,5240,5659,10901,99,107,205,69,55,119,51,51,103,17,15,24,11,5,18,18,6,20,4,4,8,5616,6016,11630,696,834,1528,88,70,167,7155,7743,14898,3863,3870,7731,65594,68915,134506
CED202,57959,61094,119058,2473,2772,5252,173,185,365,6356,7068,13422,185,215,405,86,90,182,102,88,194,40,46,83,41,45,94,21,19,35,0,0,0,7009,7766,14776,371,421,792,123,128,255,9977,11089,21070,6019,6538,12556,73956,78725,152686
CED203,58029,61800,119825,1614,1709,3327,354,405,760,7786,8404,16185,221,241,467,114,117,229,150,125,276,53,54,108,38,51,90,45,59,106,0,3,3,8765,9460,18219,2061,2247,4311,205,222,425,12648,13632,26279,6838,7110,13946,77510,82540,160052
CED204,56337,59036,115369,2129,2387,4513,273,284,550,5907,6716,12624,183,175,360,102,115,211,98,99,197,51,61,111,57,54,113,16,20,36,0,0,0,6685,7522,14205,344,410,749,135,114,245,9284,10436,19717,6980,6700,13676,72601,76173,148766
CED205,60491,60714,121208,2066,1794,3860,245,214,466,6551,5790,12341,169,132,298,114,114,231,117,106,225,27,38,63,33,23,58,24,44,72,0,0,0,7293,6458,13753,2476,2724,5199,142,74,218,11978,11048,23028,5681,5363,11042,78151,77121,155279
CED206,66444,67126,133569,1561,1488,3049,221,209,427,5435,5297,10734,123,109,238,65,69,134,47,39,85,15,16,28,19,18,40,11,15,28,5,0,5,5935,5781,11712,1386,1514,2901,104,104,207,8987,8883,17869,6095,5881,11970,81519,81889,163410
CED207,57516,59179,116689,1262,1368,2630,100,108,209,5167,5630,10801,104,118,224,31,33,63,64,52,111,11,19,26,17,19,41,10,8,18,0,3,3,5508,5994,11503,336,367,706,117,96,208,7221,7825,15045,4612,4729,9342,69347,71734,141077
CED208,58260,62660,120920,2115,2110,4226,309,290,598,8077,7994,16071,189,202,391,135,127,261,146,138,279,67,79,145,28,31,60,67,61,127,4,0,3,9017,8920,17938,4336,4599,8938,147,117,264,15621,15743,31364,5250,5398,10649,79130,83796,162934
CED209,57532,59872,117407,3213,3375,6592,207,242,448,6226,6566,12796,204,214,421,83,65,150,103,107,214,39,50,91,69,73,141,21,34,59,0,0,0,6945,7361,14305,627,541,1166,106,95,205,10902,11370,22268,5564,5741,11308,73995,76986,150980
CED210,55359,59045,114396,2639,2975,5613,189,195,384,5597,6328,11924,200,191,393,73,84,161,105,101,207,35,28,64,35,41,80,27,29,64,0,0,0,6266,7000,13270,653,697,1355,149,156,309,9710,10834,20544,6902,6427,13324,71967,76298,148269
CED211,56311,60692,117002,962,1048,2012,162,180,336,6510,6752,13261,128,135,269,59,77,135,80,101,177,22,27,52,14,13,27,34,29,65,0,0,0,7007,7312,14320,1244,1371,2609,145,110,258,9358,9841,19198,4206,4681,8884,69868,75217,145087
CED212,55145,59009,114154,1778,1955,3728,135,123,257,6106,6582,12689,174,173,344,31,40,65,80,74,149,19,30,52,24,26,50,13,21,35,0,0,3,6577,7066,13649,466,541,1008,148,137,287,8966,9702,18675,5665,6222,11889,69782,74939,144712
CED213,58134,60722,118863,2679,3038,5718,409,258,669,5822,6157,11976,358,278,628,51,27,81,143,112,258,40,36,80,57,51,102,27,17,40,0,0,0,6911,6937,13847,310,323,632,139,137,280,10030,10440,20471,6121,6535,12663,74289,77703,151997
CED214,62053,63051,125099,2221,2129,4349,305,325,630,7499,7219,14722,257,252,513,113,111,222,156,151,309,37,45,76,42,39,84,42,38,80,0,3,3,8453,8180,16633,1715,1765,3482,160,162,318,12547,12235,24782,6864,6735,13602,81460,82014,163480
CED215,54008,55528,109536,3496,4013,7506,295,294,590,3514,3747,7255,253,254,509,77,72,151,121,123,243,36,30,65,60,57,121,38,33,69,0,0,0,4394,4610,9004,258,302,563,146,132,281,8297,9055,17353,7586,7046,14629,69889,71627,141514
CED216,54909,60189,115092,1648,1687,3338,263,257,518,6255,6687,12943,155,171,325,62,72,138,109,104,214,17,26,38,13,21,36,26,34,60,4,0,4,6904,7377,14283,1415,1588,3006,91,117,204,10061,10770,20823,4970,5358,10330,69935,76313,146251
CED217,75498,77597,153095,1803,1956,3753,303,288,587,7501,7821,15319,181,204,383,118,92,207,103,93,193,39,38,75,37,36,73,27,26,53,0,0,0,8300,8588,16884,1142,1303,2441,138,137,276,11372,11982,23357,7775,7428,15210,94654,97011,191667
CED218,52577,56955,109534,1736,2019,3759,491,548,1036,8370,9110,17480,333,376,714,128,148,276,249,238,483,63,65,120,27,18,45,68,91,159,0,3,5,9727,10588,20317,2513,3040,5556,156,124,277,14130,15776,29906,6310,6700,13008,73009,79437,152447
CED219,77455,77739,155193,1767,1719,3485,263,254,514,9567,9414,18982,198,170,372,135,106,240,120,112,233,30,39,74,27,26,48,31,30,58,0,0,0,10366,10160,20525,1458,1790,3250,185,161,348,13785,13828,27613,7039,6754,13801,98273,98331,196602
CED220,58528,60998,119530,1456,1480,2941,208,181,384,6269,6050,12321,151,143,295,64,61,120,94,74,170,23,32,58,21,11,39,22,24,47,0,0,0,6853,6579,13431,1749,1983,3732,154,112,262,10213,10157,20368,4839,4792,9631,73579,75947,149526
CED221,53305,54966,108274,3217,3451,6663,968,1052,2013,3522,3741,7264,386,340,727,83,79,160,129,137,264,44,52,92,54,62,118,53,45,97,0,0,0,5237,5499,10741,262,347,610,104,108,209,8826,9402,18228,6124,6133,12258,68254,70503,138756
CED222,60880,63785,124668,1876,1806,3682,189,182,363,6590,6774,13364,151,145,305,67,44,116,79,74,153,21,32,58,20,22,45,11,14,22,3,0,3,7138,7289,14426,1110,1222,2329,151,159,310,10274,10472,20741,5620,5582,11202,76773,79836,156611
CED223,55339,58632,113969,1193,1241,2434,204,167,374,5223,5581,10799,196,181,376,50,53,106,77,85,158,16,36,50,26,34,61,42,35,73,0,0,0,5836,6162,12001,819,894,1712,84,75,157,7938,8371,16303,4523,4818,9333,67790,71820,139609
CED224,52566,57818,110387,1671,1820,3495,230,256,485,6753,7314,14068,202,232,436,101,97,201,151,146,293,47,45,89,16,26,45,69,76,145,0,0,0,7575,8193,15767,1950,2333,4278,97,96,202,11295,12442,23738,4946,5143,10094,68808,75407,144213
CED225,62603,63443,126044,1243,1371,2612,158,168,325,6812,7111,13931,142,155,295,48,44,96,76,75,155,27,23,53,20,26,51,21,19,34,0,3,4,7313,7623,14942,701,759,1454,105,96,202,9367,9847,19209,4911,4933,9845,76880,78220,155100
CED226,86675,87428,174102,2940,3056,5992,678,665,1344,10804,10563,21360,383,377,760,224,225,448,226,227,458,74,69,150,57,68,127,70,69,140,0,0,0,12520,12264,24785,2704,3097,5798,176,151,324,18334,18570,36904,9092,7700,16794,114095,113700,227795
CED227,53275,54058,107328,3100,3449,6546,415,435,847,3106,3430,6536,179,166,339,281,271,553,101,108,208,20,22,42,71,67,139,11,20,27,0,0,3,4185,4515,8694,442,421,867,158,140,301,7881,8524,16404,6702,6629,13322,67856,69208,137058
