CED_CODE_2016,M_Emp_FullT_15_19,M_Emp_FullT_20_24,M_Emp_FullT_25_34,M_Emp_FullT_35_44,M_Emp_FullT_45_54,M_Emp_FullT_55_64,M_Emp_FullT_65_74,M_Emp_FullT_75_84,M_Emp_FullT_85ov,M_Emp_FullT_Tot,M_Emp_PartT_15_19,M_Emp_PartT_20_24,M_Emp_PartT_25_34,M_Emp_PartT_35_44,M_Emp_PartT_45_54,M_Emp_PartT_55_64,M_Emp_PartT_65_74,M_Emp_PartT_75_84,M_Emp_PartT_85ov,M_Emp_PartT_Tot,M_Emp_awy_f_wrk_15_19,M_Emp_awy_f_wrk_20_24,M_Emp_awy_f_wrk_25_34,M_Emp_awy_f_wrk_35_44,M_Emp_awy_f_wrk_45_54,M_Emp_awy_f_wrk_55_64,M_Emp_awy_f_wrk_65_74,M_Emp_awy_f_wrk_75_84,M_Emp_awy_f_wrk_85ov,M_Emp_awy_f_wrk_Tot,M_Hours_wkd_NS_15_19,M_Hours_wkd_NS_20_24,M_Hours_wkd_NS_25_34,M_Hours_wkd_NS_35_44,M_Hours_wkd_NS_45_54,M_Hours_wkd_NS_55_64,M_Hours_wkd_NS_65_74,M_Hours_wkd_NS_75_84,M_Hours_wkd_NS_85ov,M_Hours_wkd_NS_Tot,M_Tot_Emp_15_19,M_Tot_Emp_20_24,M_Tot_Emp_25_34,M_Tot_Emp_35_44,M_Tot_Emp_45_54,M_Tot_Emp_55_64,M_Tot_Emp_65_74,M_Tot_Emp_75_84,M_Tot_Emp_85ov,M_Tot_Emp_Tot,M_Unem_look_FTW_15_19,M_Unem_look_FTW_20_24,M_Unem_look_FTW_25_34,M_Unem_look_FTW_35_44,M_Unem_look_FTW_45_54,M_Unem_look_FTW_55_64,M_Unem_look_FTW_65_74,M_Unem_look_FTW_75_84,M_Unem_look_FTW_85ov,M_Unem_look_FTW_Tot,M_Unem_look_PTW_15_19,M_Unem_look_PTW_20_24,M_Unem_look_PTW_25_34,M_Unem_look_PTW_35_44,M_Unem_look_PTW_45_54,M_Unem_look_PTW_55_64,M_Unem_look_PTW_65_74,M_Unem_look_PTW_75_84,M_Unem_look_PTW_85ov,M_Unem_look_PTW_Tot,M_Tot_Unemp_15_19,M_Tot_Unemp_20_24,M_Tot_Unemp_25_34,M_Tot_Unemp_35_44,M_Tot_Unemp_45_54,M_Tot_Unemp_55_64,M_Tot_Unemp_65_74,M_Tot_Unemp_75_84,M_Tot_Unemp_85ov,M_Tot_Unemp_Tot,M_Tot_LF_15_19,M_Tot_LF_20_24,M_Tot_LF_25_34,M_Tot_LF_35_44,M_Tot_LF_45_54,M_Tot_LF_55_64,M_Tot_LF_65_74,M_Tot_LF_75_84,M_Tot_LF_85ov,M_Tot_LF_Tot,M_Not_in_LF_15_19,M_Not_in_LF_20_24,M_Not_in_LF_25_34,M_Not_in_LF_35_44,M_Not_in_LF_45_54,M_Not_in_LF_55_64,M_Not_in_LF_65_74,M_Not_in_LF_75_84,M_Not_in_LF_85ov,M_Not_in_LF_Tot,M_LFS_NS_15_19,M_LFS_NS_20_24,M_LFS_NS_25_34,M_LFS_NS_35_44,M_LFS_NS_45_54,M_LFS_NS_55_64,M_LFS_NS_65_74,M_LFS_NS_75_84,M_LFS_NS_85ov,M_LFS_NS_Tot,M_Tot_15_19,M_Tot_20_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Emp_FullT_15_19,F_Emp_FullT_20_24,F_Emp_FullT_25_34,F_Emp_FullT_35_44,F_Emp_FullT_45_54,F_Emp_FullT_55_64,F_Emp_FullT_65_74,F_Emp_FullT_75_84,F_Emp_FullT_85ov,F_Emp_FullT_Tot,F_Emp_PartT_15_19,F_Emp_PartT_20_24,F_Emp_PartT_25_34,F_Emp_PartT_35_44,F_Emp_PartT_45_54,F_Emp_PartT_55_64,F_Emp_PartT_65_74,F_Emp_PartT_75_84,F_Emp_PartT_85ov,F_Emp_PartT_Tot,F_Emp_awy_f_wrk_15_19,F_Emp_awy_f_wrk_20_24,F_Emp_awy_f_wrk_25_34,F_Emp_awy_f_wrk_35_44,F_Emp_awy_f_wrk_45_54,F_Emp_awy_f_wrk_55_64,F_Emp_awy_f_wrk_65_74,F_Emp_awy_f_wrk_75_84,F_Emp_awy_f_wrk_85ov,F_Emp_awy_f_wrk_Tot,F_Hours_wkd_NS_15_19,F_Hours_wkd_NS_20_24,F_Hours_wkd_NS_25_34,F_Hours_wkd_NS_35_44,F_Hours_wkd_NS_45_54,F_Hours_wkd_NS_55_64,F_Hours_wkd_NS_65_74,F_Hours_wkd_NS_75_84,F_Hours_wkd_NS_85ov,F_Hours_wkd_NS_Tot,F_Tot_Emp_15_19,F_Tot_Emp_20_24,F_Tot_Emp_25_34,F_Tot_Emp_35_44,F_Tot_Emp_45_54,F_Tot_Emp_55_64,F_Tot_Emp_65_74,F_Tot_Emp_75_84,F_Tot_Emp_85ov,F_Tot_Emp_Tot,F_Unem_look_FTW_15_19,F_Unem_look_FTW_20_24,F_Unem_look_FTW_25_34,F_Unem_look_FTW_35_44,F_Unem_look_FTW_45_54,F_Unem_look_FTW_55_64,F_Unem_look_FTW_65_74,F_Unem_look_FTW_75_84,F_Unem_look_FTW_85ov,F_Unem_look_FTW_Tot,F_Unem_look_PTW_15_19,F_Unem_look_PTW_20_24,F_Unem_look_PTW_25_34,F_Unem_look_PTW_35_44,F_Unem_look_PTW_45_54,F_Unem_look_PTW_55_64,F_Unem_look_PTW_65_74,F_Unem_look_PTW_75_84,F_Unem_look_PTW_85ov,F_Unem_look_PTW_Tot,F_Tot_Unemp_15_19,F_Tot_Unemp_20_24,F_Tot_Unemp_25_34,F_Tot_Unemp_35_44,F_Tot_Unemp_45_54,F_Tot_Unemp_55_64,F_Tot_Unemp_65_74,F_Tot_Unemp_75_84,F_Tot_Unemp_85ov,F_Tot_Unemp_Tot
CED201,358,1898,6237,6539,6753,4796,733,32,6,27357,1205,1333,1026,802,892,1082,663,78,8,7089,64,66,128,140,146,180,60,9,3,786,39,77,129,124,121,89,21,10,0,597,1666,3376,7526,7606,7905,6144,1475,122,14,35832,80,237,312,221,255,229,14,0,0,1338,348,158,77,54,51,88,18,0,0,789,428,393,387,275,304,315,36,0,0,2131,2089,3762,7914,7875,8213,6462,1508,122,14,37963,2366,809,611,605,753,1674,3857,2476,843,14003,117,166,335,340,322,330,253,169,82,2116,4576,4741,8863,8824,9287,8467,5617,2771,936,54086,142,1427,3995,2964,3928,2461,239,14,4,15178,1616,1776,2196,3423,3527,2652,591,39,7,15829,61,91,433,280,155,186,52,7,0,1265,46,58,114,78,99,63,26,5,4,489,1864,3350,6740,6743,7712,5364,906,66,16,32762,42,140,168,150,153,78,0,0,0,734,356,163,166,214,186,113,7,4,0,1212,397,303,327,366,336,191,14,4,0,1943
CED202,610,1995,5648,6157,6295,4295,731,75,22,25829,1166,1150,1029,929,1083,1330,749,121,17,7578,53,82,148,161,223,267,86,20,0,1037,70,119,145,114,141,102,40,18,7,749,1898,3344,6973,7361,7749,5989,1612,227,38,35193,162,332,408,281,307,221,17,0,0,1731,281,205,106,66,75,87,25,0,0,849,446,537,513,345,383,304,44,0,0,2581,2344,3885,7485,7707,8126,6295,1658,230,38,37774,2427,857,854,893,1242,2554,5336,2984,976,18120,257,329,529,539,617,594,584,310,143,3909,5030,5077,8866,9144,9990,9442,7575,3531,1158,59807,197,1301,2944,2823,3648,2283,256,19,7,13478,1795,1775,2747,3787,3767,2871,659,43,18,17462,81,150,501,324,276,302,91,3,0,1731,61,95,90,102,105,80,28,10,0,573,2137,3316,6280,7041,7797,5537,1039,82,23,33244,99,207,233,152,184,106,3,0,0,987,299,172,197,220,186,138,18,0,3,1231,401,376,427,373,371,243,24,0,3,2209
CED203,157,1393,8628,7925,6101,3287,516,47,8,28061,861,1870,2649,1545,1296,1069,434,56,10,9798,34,86,214,186,171,116,23,3,0,827,46,131,256,155,129,102,36,8,3,867,1096,3474,11750,9811,7698,4572,1005,112,23,39560,83,247,537,395,317,222,8,3,0,1821,309,389,312,122,95,78,30,6,0,1343,398,640,853,512,414,299,38,9,0,3155,1491,4117,12607,10330,8115,4874,1042,121,23,42720,2144,1541,1673,1118,1351,2059,3541,3235,1271,17930,228,398,1167,864,657,480,381,357,189,4722,3865,6056,15445,12304,10116,7411,4970,3713,1482,65370,64,1268,6933,4605,4024,2039,224,12,6,19181,1134,2409,3723,4109,3414,1973,405,34,3,17207,47,119,512,442,200,141,43,11,0,1517,55,106,147,122,102,53,17,13,4,620,1304,3897,11316,9283,7746,4212,690,64,14,38521,38,164,418,248,197,105,3,3,0,1173,359,359,322,233,197,105,15,0,0,1592,397,524,742,482,393,211,17,3,0,2763
CED204,456,1958,5137,5543,5931,4215,707,88,19,24060,1225,997,978,958,1142,1589,812,140,15,7860,56,81,157,185,229,295,108,18,3,1131,59,88,105,109,122,99,33,25,5,647,1798,3125,6384,6797,7425,6199,1659,265,39,33689,139,293,325,259,234,253,13,3,0,1513,266,130,77,74,61,100,39,4,0,749,410,426,401,333,290,349,50,6,0,2263,2205,3554,6785,7129,7716,6548,1708,274,37,35951,2223,735,941,1018,1328,2612,5508,3267,1113,18746,268,276,532,514,669,709,647,407,214,4248,4700,4560,8259,8658,9712,9869,7864,3951,1365,58947,224,1181,2724,2594,3515,2292,271,25,9,12833,1621,1669,2570,3516,3745,3075,759,73,24,17054,90,145,448,333,274,316,99,5,0,1708,60,66,84,91,90,91,43,6,3,529,1994,3061,5821,6535,7629,5764,1167,113,36,32124,87,133,157,148,156,100,6,0,0,788,287,196,181,189,166,125,16,0,0,1162,379,331,331,336,320,224,25,3,0,1957
CED205,149,1585,7033,6676,5929,3756,721,44,10,25905,893,1938,2041,1244,1110,1115,606,124,17,9082,39,62,154,126,105,131,51,10,0,699,38,128,322,193,153,91,31,18,7,975,1120,3718,9555,8240,7298,5098,1417,194,34,36658,81,350,612,422,405,266,26,0,0,2168,368,345,194,98,94,100,37,8,0,1231,451,696,805,521,495,364,63,5,0,3401,1565,4413,10359,8762,7792,5462,1480,201,30,40065,3281,1916,1569,1258,1420,2309,4833,3773,1259,21607,212,329,762,578,515,428,388,328,147,3685,5056,6655,12682,10599,9722,8200,6700,4301,1436,65359,53,979,3971,3107,3371,2007,297,7,3,13794,1075,1680,2406,2844,2555,1910,583,63,5,13119,35,61,314,198,138,136,42,9,4,937,42,93,169,107,117,78,22,11,4,644,1205,2815,6867,6251,6183,4129,952,85,11,28491,49,190,407,268,220,99,0,0,0,1231,377,317,326,278,222,115,15,3,0,1652,424,511,734,541,442,208,14,3,0,2884
CED206,362,2132,6411,6070,6676,4217,582,25,0,26478,1168,1809,1807,1174,1267,1019,440,45,5,8734,53,89,159,149,147,165,44,4,0,817,64,174,307,214,252,136,28,11,0,1183,1651,4209,8691,7603,8347,5538,1088,85,15,37211,157,456,659,461,386,254,22,0,0,2387,473,284,140,99,101,99,16,7,0,1208,623,741,803,564,486,344,30,7,0,3598,2275,4950,9487,8164,8831,5885,1120,88,15,40813,3619,1480,1792,1638,1991,2721,4416,2392,622,20669,302,374,762,618,634,525,395,231,98,3933,6198,6800,12039,10418,11450,9131,5935,2710,731,65414,109,1427,3719,2879,3606,1880,172,5,0,13802,1528,1938,2161,2793,3072,1971,394,14,3,13865,54,104,345,208,154,146,34,0,0,1050,57,126,180,125,152,81,26,8,0,747,1746,3590,6401,6006,6980,4081,622,37,4,29460,115,266,358,267,244,100,3,0,0,1346,477,247,260,297,237,138,9,0,0,1659,587,510,616,564,477,231,12,0,0,3004
CED207,682,2302,6480,6690,6826,4557,851,64,10,28464,1194,968,772,811,956,1301,796,119,12,6925,52,58,170,208,193,265,100,17,3,1060,60,78,151,138,168,90,28,8,3,733,1981,3400,7571,7852,8143,6219,1783,207,30,37175,99,210,223,194,196,175,20,3,0,1121,267,110,49,29,33,59,26,0,0,576,369,316,276,228,231,237,42,3,0,1700,2349,3719,7843,8078,8377,6459,1822,207,30,38874,2178,486,601,631,926,1865,4445,2501,845,14476,173,207,404,408,450,409,382,208,93,2739,4710,4416,8847,9113,9745,8726,6654,2919,965,56095,191,1412,3418,2674,3598,2151,321,16,0,13777,1669,1551,2696,3842,3888,3036,725,56,5,17470,79,96,524,271,251,252,81,6,0,1564,46,57,104,111,124,89,24,15,3,565,1992,3124,6734,6907,7857,5526,1139,92,10,33380,72,106,123,119,124,61,3,3,0,606,349,112,143,181,170,93,21,0,0,1071,427,222,259,302,292,150,26,5,0,1676
CED208,143,1393,7221,6967,6505,3674,604,60,9,26578,1092,2462,2259,1043,1084,1113,642,130,20,9836,70,98,184,112,118,117,47,3,0,757,57,101,190,122,106,63,24,14,7,678,1358,4059,9849,8246,7812,4964,1320,210,34,37851,43,235,532,295,297,209,23,0,0,1628,472,707,347,84,73,86,23,4,0,1803,511,945,880,376,374,295,43,4,0,3438,1865,5003,10729,8627,8189,5263,1366,215,31,41283,3549,4160,2095,809,1038,1897,3722,3603,1616,22484,216,415,693,493,429,335,274,294,196,3346,5630,9580,13515,9925,9649,7493,5365,4108,1843,67115,81,1072,5027,3482,3910,2141,283,10,0,15998,1543,2540,2896,3388,3387,2224,687,73,12,16754,62,144,432,291,187,149,60,6,3,1339,50,91,115,88,111,50,22,11,9,537,1726,3851,8473,7246,7593,4564,1054,100,20,34625,38,156,413,187,168,102,3,0,0,1069,522,705,369,280,200,123,20,5,0,2216,560,859,783,466,367,229,16,5,0,3289
CED209,454,1789,5651,6955,6523,4418,802,95,10,26695,1313,1341,1046,957,1049,1581,954,161,21,8427,79,89,176,197,220,301,116,15,0,1187,48,94,150,129,130,93,40,17,5,701,1893,3312,7017,8235,7921,6388,1910,291,38,37007,100,184,232,203,202,214,5,3,0,1148,288,178,66,47,43,94,19,7,0,728,386,365,299,248,245,301,23,11,0,1876,2284,3674,7311,8481,8168,6698,1932,300,38,38880,2237,824,665,630,841,2306,5316,3118,1229,17167,209,261,455,495,523,530,520,307,128,3419,4722,4760,8429,9605,9528,9533,7769,3727,1393,59465,178,1072,3187,2770,3466,2116,309,23,12,13126,1840,1718,2696,4347,4163,3255,855,54,10,18939,112,134,537,335,267,315,95,11,3,1803,65,68,80,107,89,80,25,17,6,529,2192,2988,6496,7556,7986,5764,1277,103,28,34396,74,88,122,103,144,86,3,4,0,617,304,160,154,180,141,118,21,0,0,1068,375,247,271,275,287,201,22,8,3,1686
CED210,430,1896,5768,5775,5787,3904,580,55,4,24206,1113,1120,1085,847,941,1234,623,97,14,7080,69,77,167,182,209,230,66,10,0,1010,50,90,175,125,136,98,25,4,6,709,1670,3181,7200,6937,7080,5458,1293,163,26,33009,132,330,434,315,367,265,7,0,0,1848,260,155,109,69,71,107,40,3,0,818,391,484,541,382,440,377,44,3,0,2669,2057,3672,7742,7322,7514,5832,1334,167,31,35675,2435,887,1189,1201,1433,2638,5387,3397,1274,19836,237,289,563,499,576,570,553,374,198,3855,4733,4845,9491,9018,9525,9036,7279,3938,1497,59364,158,1276,3376,2582,3310,1977,187,13,0,12896,1556,1739,2595,3480,3521,2769,608,56,7,16329,84,110,448,308,230,248,69,4,3,1501,72,86,98,78,89,82,33,5,3,550,1870,3211,6521,6445,7157,5073,902,83,16,31282,105,185,228,181,190,109,5,0,0,998,289,172,203,214,152,138,18,3,0,1186,392,358,426,396,343,245,22,3,0,2184
