CED_CODE_2016,D_10_12_FPNLF_MPET,D_10_12_FPNLF_MPULFTW,D_10_12_FPNLF_MPULPTW,D_10_12_FPNLF_MPUT,D_10_12_FPNLF_MPTLF,D_10_12_FPNLF_MPNLF,D_10_12_FPNLF_MPLFSNS,D_10_12_FPNLF_T,D_10_12_FPLFSNS_MPEFT,D_10_12_FPLFSNS_MPEPT,D_10_12_FPLFSNS_MPEAW,D_10_12_FPLFSNS_MPEHNS,D_10_12_FPLFSNS_MPET,D_10_12_FPLFSNS_MPULFTW,D_10_12_FPLFSNS_MPULPTW,D_10_12_FPLFSNS_MPUT,D_10_12_FPLFSNS_MPTLF,D_10_12_FPLFSNS_MPNLF,D_10_12_FPLFSNS_MPLFSNS,D_10_12_FPLFSNS_T,D_10_12_FPT_MPEFT,D_10_12_FPT_MPEPT,D_10_12_FPT_MPEAW,D_10_12_FPT_MPEHNS,D_10_12_FPT_MPET,D_10_12_FPT_MPULFTW,D_10_12_FPT_MPULPTW,D_10_12_FPT_MPUT,D_10_12_FPT_MPTLF,D_10_12_FPT_MPNLF,D_10_12_FPT_MPLFSNS,D_10_12_FPT_T,D_13_14_FPEFT_MPEFT,D_13_14_FPEFT_MPEPT,D_13_14_FPEFT_MPEAW,D_13_14_FPEFT_MPEHNS,D_13_14_FPEFT_MPET,D_13_14_FPEFT_MPULFTW,D_13_14_FPEFT_MPULPTW,D_13_14_FPEFT_MPUT,D_13_14_FPEFT_MPTLF,D_13_14_FPEFT_MPNLF,D_13_14_FPEFT_MPLFSNS,D_13_14_FPEFT_T,D_13_14_FPEPT_MPEFT,D_13_14_FPEPT_MPEPT,D_13_14_FPEPT_MPEAW,D_13_14_FPEPT_MPEHNS,D_13_14_FPEPT_MPET,D_13_14_FPEPT_MPULFTW,D_13_14_FPEPT_MPULPTW,D_13_14_FPEPT_MPUT,D_13_14_FPEPT_MPTLF,D_13_14_FPEPT_MPNLF,D_13_14_FPEPT_MPLFSNS,D_13_14_FPEPT_T,D_13_14_FPEAW_MPEFT,D_13_14_FPEAW_MPEPT,D_13_14_FPEAW_MPEAW,D_13_14_FPEAW_MPEHNS,D_13_14_FPEAW_MPET,D_13_14_FPEAW_MPULFTW,D_13_14_FPEAW_MPULPTW,D_13_14_FPEAW_MPUT,D_13_14_FPEAW_MPTLF,D_13_14_FPEAW_MPNLF,D_13_14_FPEAW_MPLFSNS,D_13_14_FPEAW_T,D_13_14_FPHNS_MPEFT,D_13_14_FPHNS_MPEPT,D_13_14_FPHNS_MPEAW,D_13_14_FPHNS_MPEHNS,D_13_14_FPHNS_MPET,D_13_14_FPHNS_MPULFTW,D_13_14_FPHNS_MPULPTW,D_13_14_FPHNS_MPUT,D_13_14_FPHNS_MPTLF,D_13_14_FPHNS_MPNLF,D_13_14_FPHNS_MPLFSNS,D_13_14_FPHNS_T,D_13_14_FPET_MPEFT,D_13_14_FPET_MPEPT,D_13_14_FPET_MPEAW,D_13_14_FPET_MPEHNS,D_13_14_FPET_MPET,D_13_14_FPET_MPULFTW,D_13_14_FPET_MPULPTW,D_13_14_FPET_MPUT,D_13_14_FPET_MPTLF,D_13_14_FPET_MPNLF,D_13_14_FPET_MPLFSNS,D_13_14_FPET_T,D_13_14_FPULFTW_MPEFT,D_13_14_FPULFTW_MPEPT,D_13_14_FPULFTW_MPEAW,D_13_14_FPULFTW_MPEHNS,D_13_14_FPULFTW_MPET,D_13_14_FPULFTW_MPULFTW,D_13_14_FPULFTW_MPULPTW,D_13_14_FPULFTW_MPUT,D_13_14_FPULFTW_MPTLF,D_13_14_FPULFTW_MPNLF,D_13_14_FPULFTW_MPLFSNS,D_13_14_FPULFTW_T,D_13_14_FPULPTW_MPEFT,D_13_14_FPULPTW_MPEPT,D_13_14_FPULPTW_MPEAW,D_13_14_FPULPTW_MPEHNS,D_13_14_FPULPTW_MPET,D_13_14_FPULPTW_MPULFTW,D_13_14_FPULPTW_MPULPTW,D_13_14_FPULPTW_MPUT,D_13_14_FPULPTW_MPTLF,D_13_14_FPULPTW_MPNLF,D_13_14_FPULPTW_MPLFSNS,D_13_14_FPULPTW_T,D_13_14_FPUT_MPEFT,D_13_14_FPUT_MPEPT,D_13_14_FPUT_MPEAW,D_13_14_FPUT_MPEHNS,D_13_14_FPUT_MPET,D_13_14_FPUT_MPULFTW,D_13_14_FPUT_MPULPTW,D_13_14_FPUT_MPUT,D_13_14_FPUT_MPTLF,D_13_14_FPUT_MPNLF,D_13_14_FPUT_MPLFSNS,D_13_14_FPUT_T,D_13_14_FPTLF_MPEFT,D_13_14_FPTLF_MPEPT,D_13_14_FPTLF_MPEAW,D_13_14_FPTLF_MPEHNS,D_13_14_FPTLF_MPET,D_13_14_FPTLF_MPULFTW,D_13_14_FPTLF_MPULPTW,D_13_14_FPTLF_MPUT,D_13_14_FPTLF_MPTLF,D_13_14_FPTLF_MPNLF,D_13_14_FPTLF_MPLFSNS,D_13_14_FP_T,D_13_14_FPNLF_MPEFT,D_13_14_FPNLF_MPEPT,D_13_14_FPNLF_MPEAW,D_13_14_FPNLF_MPEHNS,D_13_14_FPNLF_MPET,D_13_14_FPNLF_MPULFTW,D_13_14_FPNLF_MPULPTW,D_13_14_FPNLF_MPUT,D_13_14_FPNLF_MPTLF,D_13_14_FPNLF_MPNLF,D_13_14_FPNLF_MPLFSNS,D_13_14_FPNLF_T,D_13_14_FPLFSNS_MPEFT,D_13_14_FPLFSNS_MPEPT,D_13_14_FPLFSNS_MPEAW,D_13_14_FPLFSNS_MPEHNS,D_13_14_FPLFSNS_MPET,D_13_14_FPLFSNS_MPULFTW,D_13_14_FPLFSNS_MPULPTW,D_13_14_FPLFSNS_MPUT,D_13_14_FPLFSNS_MPTLF,D_13_14_FPLFSNS_MPNLF,D_13_14_FPLFSNS_MPLFSNS,D_13_14_FPLFSNS_T,D_13_14_FPT_MPEFT,D_13_14_FPT_MPEPT,D_13_14_FPT_MPEAW,D_13_14_FPT_MPEHNS,D_13_14_FPT_MPET,D_13_14_FPT_MPULFTW,D_13_14_FPT_MPULPTW,D_13_14_FPT_MPUT,D_13_14_FPT_MPTLF,D_13_14_FPT_MPNLF,D_13_14_FPT_MPLFSNS,D_13_14_FPT_T,D_15_17_FPEFT_MPEFT,D_15_17_FPEFT_MPEPT,D_15_17_FPEFT_MPEAW,D_15_17_FPEFT_MPEHNS,D_15_17_FPEFT_MPET,D_15_17_FPEFT_MPULFTW,D_15_17_FPEFT_MPULPTW,D_15_17_FPEFT_MPUT,D_15_17_FPEFT_MPTLF,D_15_17_FPEFT_MPNLF,D_15_17_FPEFT_MPLFSNS,D_15_17_FPEFT_T,D_15_17_FPEPT_MPEFT,D_15_17_FPEPT_MPEPT,D_15_17_FPEPT_MPEAW,D_15_17_FPEPT_MPEHNS,D_15_17_FPEPT_MPET,D_15_17_FPEPT_MPULFTW,D_15_17_FPEPT_MPULPTW,D_15_17_FPEPT_MPUT,D_15_17_FPEPT_MPTLF,D_15_17_FPEPT_MPNLF,D_15_17_FPEPT_MPLFSNS,D_15_17_FPEPT_T
CED201,699,16,3,16,713,101,0,816,3,0,0,5,12,0,0,0,12,0,3,15,2880,331,52,56,3323,62,16,79,3394,191,5,3593,593,72,3,6,675,9,3,17,690,29,0,719,960,89,9,3,1064,20,4,23,1085,34,0,1124,17,0,4,0,21,0,0,0,21,0,0,21,8,0,0,8,17,0,0,0,17,0,0,21,1581,162,20,20,1779,33,10,38,1820,62,3,1885,15,7,0,0,20,4,0,4,25,3,0,24,34,9,0,0,38,0,0,3,37,3,0,43,42,13,0,0,58,4,0,5,63,9,0,65,1623,177,19,24,1836,35,13,43,1879,71,3,1955,362,52,5,6,428,17,3,22,445,58,0,507,0,0,0,4,5,0,0,0,5,0,6,16,1987,223,26,29,2272,50,10,65,2332,126,9,2474,976,90,9,10,1091,42,15,52,1139,61,0,1204,1282,141,16,4,1445,39,3,42,1492,51,0,1544
CED202,659,31,0,32,699,128,4,826,6,0,0,0,4,0,0,0,4,0,8,10,3073,412,61,60,3605,75,15,93,3701,270,12,3978,627,67,10,3,712,8,0,5,723,27,3,749,900,102,16,7,1021,12,4,24,1046,38,0,1080,15,0,9,0,22,3,0,3,30,0,0,29,10,0,0,13,23,0,0,0,23,3,0,23,1549,177,33,25,1783,24,4,32,1811,68,3,1886,15,3,0,0,13,4,0,4,21,3,0,24,27,3,0,0,35,0,0,0,35,7,0,40,42,5,0,0,45,4,0,4,50,11,0,63,1589,182,32,25,1826,28,4,38,1869,73,3,1945,286,41,10,6,342,12,3,13,358,89,3,445,0,0,0,0,3,0,0,0,3,0,9,8,1881,217,39,31,2177,44,13,54,2231,164,12,2401,928,108,7,3,1043,20,5,25,1071,54,3,1131,1157,136,17,8,1308,21,0,25,1338,63,0,1399
CED203,537,19,9,25,564,148,3,713,3,0,0,0,5,0,0,0,5,0,6,11,2541,421,37,51,3046,67,19,89,3139,254,11,3400,449,77,3,3,540,8,3,14,551,37,0,588,667,95,4,3,777,14,3,13,790,22,0,812,11,0,6,0,17,0,0,0,17,4,0,19,9,0,0,10,20,0,0,0,20,3,0,23,1141,176,16,21,1353,22,5,26,1378,62,0,1445,9,3,0,0,10,7,0,8,22,0,0,21,42,0,0,0,45,3,4,6,48,0,0,47,46,3,0,0,52,8,3,14,67,0,0,75,1187,177,16,20,1408,34,9,41,1447,70,0,1515,246,65,7,7,321,6,6,16,338,86,3,427,3,0,0,0,10,0,0,0,10,0,6,18,1440,241,18,34,1735,39,15,55,1788,153,15,1959,618,104,13,4,736,20,3,20,755,49,0,801,855,116,7,5,990,14,10,28,1013,45,0,1067
CED204,669,19,5,26,694,133,0,823,4,0,0,0,6,0,0,0,6,0,4,11,2822,443,66,63,3399,46,26,71,3475,243,7,3722,579,91,9,4,676,10,3,15,694,38,4,729,869,128,23,8,1023,15,3,18,1042,46,0,1092,31,11,4,0,45,0,0,0,45,0,0,44,11,0,0,13,17,0,0,0,20,0,0,25,1482,228,34,21,1764,28,6,32,1800,85,5,1890,13,4,0,0,19,3,0,3,19,0,0,19,37,3,0,0,41,3,0,7,41,8,0,47,44,5,0,0,57,7,0,5,61,8,0,64,1529,233,34,24,1821,30,3,37,1861,89,5,1958,290,52,9,4,357,7,6,11,366,75,0,441,3,0,0,0,5,0,0,0,5,0,6,8,1826,284,42,34,2180,40,11,51,2231,163,11,2412,813,109,14,5,946,12,5,20,963,46,6,1017,1156,181,23,7,1365,10,4,14,1381,63,3,1446
CED205,849,41,20,64,911,280,6,1198,0,0,3,3,8,0,0,0,8,4,9,23,2641,489,38,63,3235,134,52,189,3423,406,19,3845,589,78,9,4,676,25,5,28,701,33,0,739,591,114,5,9,724,22,11,26,751,23,0,773,5,0,0,0,8,0,0,0,7,7,0,10,9,3,0,8,25,0,0,0,20,3,0,26,1199,194,12,24,1429,46,9,58,1489,63,3,1551,26,4,0,0,33,10,3,15,50,3,0,55,56,4,0,0,61,6,9,16,76,3,0,80,84,15,0,3,96,14,11,32,127,3,0,129,1284,204,12,24,1526,63,25,91,1614,69,3,1686,373,77,6,8,470,16,6,24,498,194,5,691,3,0,0,0,5,0,0,0,5,0,4,12,1661,284,22,39,2006,77,37,115,2118,261,11,2390,852,110,11,8,979,41,10,45,1021,92,0,1116,819,173,8,10,1016,28,3,35,1045,59,0,1106
CED206,1361,79,38,119,1479,752,16,2247,8,5,0,4,18,0,0,0,18,0,20,40,2962,675,54,124,3810,170,53,221,4030,971,38,5044,630,67,13,9,724,22,8,27,744,63,0,815,722,133,15,12,878,12,9,20,897,61,4,965,12,3,3,0,20,0,0,0,20,3,0,28,18,4,0,22,37,0,0,0,40,9,6,53,1387,205,31,47,1661,33,13,43,1708,134,10,1856,21,11,0,0,30,3,0,3,34,6,0,41,34,21,0,3,56,9,6,13,72,14,0,88,59,30,3,3,88,12,6,16,111,22,0,132,1444,235,31,46,1751,42,22,62,1818,154,13,1984,523,204,3,35,763,52,25,73,840,462,6,1304,6,0,0,3,10,0,0,0,10,0,14,22,1968,433,37,81,2527,93,46,134,2663,619,34,3318,977,106,10,13,1099,37,10,47,1147,96,3,1244,1041,180,22,24,1256,26,5,29,1284,103,3,1393
CED207,809,18,10,28,837,73,3,914,9,0,0,0,10,0,0,0,10,0,8,19,3214,361,59,58,3694,67,13,84,3775,170,15,3966,566,61,8,3,633,13,0,13,644,32,4,678,1021,128,17,11,1172,6,0,11,1183,43,0,1224,27,0,4,0,34,0,0,0,34,0,0,36,13,0,0,19,26,0,0,0,31,0,0,31,1625,194,24,33,1870,22,0,23,1895,74,3,1968,17,0,0,0,17,0,0,0,16,0,0,15,41,3,0,0,41,3,0,3,50,0,0,50,59,3,0,0,60,5,0,5,64,5,0,67,1680,192,27,33,1932,24,0,27,1957,75,3,2040,374,52,4,12,442,16,0,17,456,68,0,525,5,0,0,0,8,0,0,0,6,0,0,6,2061,240,33,39,2375,36,3,42,2418,143,9,2576,879,94,12,6,990,19,4,26,1017,47,0,1068,1318,144,27,13,1504,10,0,11,1517,48,4,1569
CED208,615,25,5,30,648,75,0,725,5,0,0,3,9,0,0,0,9,0,3,12,3058,365,35,40,3503,93,27,123,3624,184,3,3812,673,77,3,12,759,23,3,23,785,32,0,817,887,91,4,3,981,14,8,27,1006,30,0,1040,16,0,3,0,21,0,0,0,19,0,0,23,16,0,0,12,26,0,0,0,26,0,0,26,1589,162,17,20,1785,40,8,50,1833,65,0,1903,15,7,0,0,20,9,0,9,25,3,0,30,35,12,0,0,49,4,0,7,55,6,0,62,52,16,0,0,67,10,0,15,83,13,0,94,1636,183,16,20,1855,51,9,63,1913,78,0,1992,293,38,6,5,342,13,7,15,358,40,3,399,0,0,0,0,0,0,0,0,0,0,3,8,1933,217,24,27,2198,60,12,75,2273,118,6,2397,940,102,5,8,1064,30,3,30,1092,65,0,1164,1124,140,9,0,1277,19,3,26,1306,51,0,1360
CED209,645,14,3,19,661,68,0,733,3,3,0,7,13,0,0,0,13,0,8,21,3588,430,64,64,4154,55,17,72,4222,166,18,4413,638,98,7,7,750,16,3,15,765,38,3,806,1172,123,11,8,1316,9,0,14,1327,27,0,1360,28,4,3,0,32,0,0,4,39,3,0,41,12,3,0,10,30,0,0,0,30,0,0,30,1853,229,25,27,2131,23,4,29,2161,68,3,2232,22,4,0,0,26,0,0,0,25,0,0,28,44,0,0,0,39,3,4,3,48,3,0,53,63,7,0,0,67,3,4,5,70,8,0,76,1916,232,25,27,2196,27,11,34,2231,73,3,2310,300,39,12,11,357,7,0,5,368,54,0,421,11,0,0,0,12,0,0,0,12,0,5,17,2221,271,37,37,2564,37,11,40,2612,127,8,2746,888,111,12,13,1020,17,0,14,1035,35,0,1073,1423,170,20,22,1631,20,4,19,1652,50,3,1708
CED210,604,24,9,26,629,141,0,770,7,0,0,0,6,0,0,0,6,0,11,15,2472,315,57,60,2898,68,20,92,2993,250,22,3263,476,43,11,5,528,14,3,23,551,33,0,581,809,90,9,6,913,10,5,8,923,48,0,967,15,0,5,0,28,0,0,0,28,3,0,25,0,0,0,11,9,0,0,0,9,0,0,10,1298,136,22,17,1476,21,10,31,1509,82,0,1590,22,5,0,0,29,5,0,5,32,0,0,32,24,3,0,0,24,3,0,5,34,0,0,35,43,7,0,3,53,7,0,7,67,0,0,67,1349,146,22,20,1530,31,8,38,1572,79,0,1656,289,51,8,9,351,20,6,26,376,83,0,462,3,0,0,0,3,0,0,0,3,0,3,9,1636,191,29,25,1891,53,12,68,1950,166,7,2124,699,70,11,5,785,15,0,15,797,43,0,842,1031,108,15,12,1172,12,0,12,1189,62,0,1251
