CED_CODE_2016,P_EducTrain_GD_GC,P_EducTrain_BD,P_EducTrain_AdD_D,P_EducTrain_Cert,P_EducTrain_ID_NS,P_EducTrain_ToT,P_HealthCareSocA_PD,P_HealthCareSocA_GD_GC,P_HealthCareSocA_BD,P_HealthCareSocA_AdD_D,P_HealthCareSocA_Cert,P_HealthCareSocA_ID_NS,P_HealthCareSocA_ToT,P_ArtRecServ_PD,P_ArtRecServ_GD_GC,P_ArtRecServ_BD,P_ArtRecServ_AdD_D,P_ArtRecServ_Cert,P_ArtRecServ_ID_NS,P_ArtRecServ_ToT,P_OthServ_PD,P_OthServ_GD_GC,P_OthServ_BD,P_OthServ_AdD_D,P_OthServ_Cert,P_OthServ_ID_NS,P_OthServ_ToT,P_ID_NS_PD,P_ID_NS_GD_GC,P_ID_NS_BD,P_ID_NS_AdD_D,P_ID_NS_Cert,P_ID_NS_ID_NS,P_ID_NS_ToT,P_ToT_PD,P_ToT_GD_GC,P_ToT_BD,P_ToT_AdD_D,P_ToT_Cert,P_ToT_ID_NS,P_ToT_ToT
CED201,591,1928,635,514,95,4601,613,436,2517,1484,1587,235,6872,36,13,195,163,186,15,616,109,50,296,368,1237,62,2121,157,33,456,318,757,250,1974,4316,1890,14158,8433,15074,1677,45544
CED202,867,2461,779,841,100,6045,803,799,3033,1642,2084,284,8642,55,30,240,165,280,41,800,33,39,164,256,1160,63,1711,55,31,216,179,669,222,1366,3069,2526,11365,7474,18544,1862,44838
CED203,1221,3007,644,431,104,7793,1739,822,3811,1246,1148,218,8981,210,126,754,208,212,30,1540,213,91,498,342,762,75,1973,227,73,740,332,483,330,2181,9639,4112,23279,8568,10720,1839,58150
CED204,913,2261,622,649,117,5357,826,814,2945,1632,2293,307,8827,58,36,195,116,245,41,690,63,40,192,252,1224,62,1832,58,43,220,177,652,241,1390,2876,2689,11317,6831,18027,1939,43687
CED205,423,1560,498,374,95,4123,819,372,2728,1284,1278,269,6742,46,17,169,98,124,18,469,119,42,367,376,823,80,1801,269,39,694,410,606,369,2384,6566,1681,16298,7962,9997,2005,44517
CED206,456,1554,625,601,128,3921,430,264,1712,1284,1360,229,5286,22,10,176,100,178,13,509,42,18,211,319,1139,74,1811,87,34,373,318,769,366,1946,2664,1230,10832,7882,14717,2170,39493
CED207,696,2041,796,730,122,5001,419,507,1941,1737,2063,245,6918,42,33,194,159,252,25,708,76,33,233,362,1740,74,2512,49,38,292,291,1079,305,2052,2224,1967,9954,8712,21039,1909,45806
CED208,829,2702,612,395,97,6690,1251,653,3869,1287,991,227,8281,108,40,357,141,166,20,830,213,63,435,382,740,60,1898,340,53,852,336,390,216,2192,10179,3180,22816,8025,8562,1558,54326
CED209,880,3036,874,679,126,6751,805,719,3319,1588,2004,327,8758,56,31,239,172,278,31,808,66,32,240,319,1122,38,1831,64,45,289,235,639,244,1511,3544,2608,14240,8652,18454,1928,49428
CED210,575,1918,755,710,99,4750,617,601,2686,1560,2348,281,8091,28,27,170,119,221,37,604,43,34,179,300,1187,58,1803,52,21,238,220,710,274,1513,2466,1868,10499,7455,17640,1880,41807
CED211,916,2629,744,488,105,6325,941,695,3162,1508,1490,231,8032,61,43,270,153,170,26,726,192,81,482,377,904,56,2096,202,53,547,294,545,229,1866,6662,3061,18605,8539,12341,1543,50746
CED212,756,2193,786,687,104,5223,591,506,2540,1730,2133,315,7812,34,38,184,167,292,37,763,44,27,203,335,1210,81,1906,73,37,348,311,925,292,1985,2538,2040,10888,8759,18441,1955,44631
CED213,631,1974,693,676,130,4601,434,439,1867,1503,2031,287,6559,43,29,233,241,429,59,1031,43,18,163,286,1399,63,1974,48,38,241,293,863,298,1790,1782,1754,8756,8141,20555,2216,43198
CED214,1032,2651,630,487,94,6413,1103,644,2830,1117,1066,193,6958,141,79,555,269,312,39,1394,156,92,443,363,839,74,1964,197,55,674,358,647,289,2208,7352,3493,21241,8995,12612,1878,55569
CED215,576,1673,547,724,109,3984,466,467,1999,1403,2021,299,6659,13,7,93,72,171,12,384,15,20,103,203,1161,57,1563,16,8,130,147,721,253,1279,1336,1531,7097,6063,18370,2040,36441
CED216,881,2626,685,380,89,6346,1363,610,3373,1117,758,219,7439,133,61,504,200,185,20,1102,112,60,460,302,640,56,1624,307,83,889,366,403,207,2261,8927,3551,24174,8219,8177,1641,54685
CED217,520,1971,677,722,105,4572,512,395,2606,1666,1977,305,7458,32,13,200,168,280,46,732,68,20,242,368,1405,92,2191,101,25,428,394,954,432,2331,3304,1574,14280,9739,20046,2526,51469
CED218,822,2716,539,282,95,6596,1974,755,4544,963,618,246,9093,200,74,770,223,220,34,1527,155,53,483,349,591,41,1679,403,87,1063,321,329,242,2443,12261,3977,31795,8133,7486,1698,65352
CED219,397,1544,679,600,95,3970,648,420,2806,2274,2812,390,9345,32,16,142,177,249,31,641,79,21,282,495,1653,95,2616,158,29,550,523,1225,545,3027,4144,1495,13469,11587,22096,2845,55642
CED220,631,1994,562,409,112,4809,798,433,2660,1264,1221,238,6617,64,26,285,155,219,27,773,120,46,346,400,998,86,1994,199,40,568,399,576,304,2086,5667,2230,16976,8401,11353,1919,46539
CED221,704,1798,645,711,114,4506,479,532,2222,1704,2135,284,7364,19,28,104,116,206,35,508,36,16,120,224,1251,60,1704,34,25,168,186,754,266,1430,1791,1897,8409,7507,19219,2118,40944
CED222,674,2180,703,530,113,5136,708,511,2587,1547,1711,247,7308,49,22,277,188,258,24,818,87,35,269,421,1192,71,2076,170,24,471,387,918,326,2287,4353,2218,14987,9706,16438,2068,49767
CED223,1157,2933,741,530,98,7218,1442,811,3635,1357,1294,258,8791,85,71,396,183,212,31,978,132,80,341,309,867,60,1779,154,54,519,243,484,184,1643,7007,3659,18847,8024,12190,1479,51198
CED224,916,2698,443,265,103,6588,2271,771,4573,895,521,274,9308,158,68,495,158,142,25,1045,167,77,454,204,416,32,1344,359,104,879,243,248,198,2029,11640,3889,27002,6502,5778,1493,56313
CED225,849,2491,906,816,101,6223,697,537,2632,1777,1883,276,7796,32,30,230,212,258,31,797,78,44,300,405,1565,95,2489,112,46,444,401,991,286,2281,3965,2364,13627,10460,20142,2035,52600
CED226,608,2154,864,786,120,5743,1004,556,3423,2295,2140,328,9745,109,36,401,249,355,48,1196,122,42,361,469,1405,88,2485,337,49,694,491,1043,498,3121,9800,2487,20686,13240,21515,3028,70751
CED227,555,1864,570,652,80,3954,358,369,1905,1488,2118,304,6547,9,7,78,67,206,17,382,19,18,94,182,1176,64,1549,20,14,87,144,644,290,1197,995,1318,6865,5836,17081,2213,34303
CED228,789,2275,619,430,98,5315,910,454,2790,1072,1106,246,6574,67,35,365,185,257,48,952,96,41,362,391,950,90,1936,179,36,633,386,598,375,2214,5597,2435,18742,8629,12295,2113,49805
CED229,927,2705,1027,1051,149,6705,731,656,2963,2219,2599,397,9569,40,25,217,201,334,51,862,75,21,240,469,2080,120,3006,115,41,381,411,1201,360,2516,4144,2599,14874,12599,27783,2964,64960
CED230,683,1997,736,836,114,4892,433,453,2020,1645,2383,298,7229,22,19,118,148,276,40,616,37,23,157,305,1582,76,2190,44,24,197,274,976,320,1825,1869,1766,8567,7983,22995,2301,45477
CED231,1065,3478,524,312,99,9256,2525,898,5219,964,743,223,10574,372,184,1368,347,291,55,2616,316,108,746,368,607,66,2213,489,108,1261,390,364,316,2937,17604,5039,41719,9532,8944,2057,84894
CED232,909,2826,605,351,124,7014,1983,738,4147,913,608,250,8633,309,130,1073,399,329,60,2303,221,80,613,403,691,58,2059,418,86,1175,384,394,304,2760,13166,4304,33382,9419,9344,2048,71660
CED233,622,2169,537,415,78,4997,1069,533,2994,1109,938,272,6912,52,28,270,130,168,32,676,155,48,383,317,899,54,1854,232,50,688,293,407,222,1894,6217,2410,18081,7328,9985,1655,45679
CED234,642,1654,557,595,78,3854,415,452,1948,1651,2004,312,6781,8,11,54,85,216,21,401,25,22,108,229,1251,69,1710,25,15,125,157,703,324,1346,1310,1557,7142,6372,17614,2258,36255
