CED_CODE_2016,M_Ag_For_Fshg_15_19,M_Ag_For_Fshg_20_24,M_Ag_For_Fshg_25_34,M_Ag_For_Fshg_35_44,M_Ag_For_Fshg_45_54,M_Ag_For_Fshg_55_64,M_Ag_For_Fshg_65_74,M_Ag_For_Fshg_75_84,M_Ag_For_Fshg_85ov,M_Ag_For_Fshg_Tot,M_Mining_15_19,M_Mining_20_24,M_Mining_25_34,M_Mining_35_44,M_Mining_45_54,M_Mining_55_64,M_Mining_65_74,M_Mining_75_84,M_Mining_85ov,M_Mining_Tot,M_Manufact_15_19,M_Manufact_20_24,M_Manufact_25_34,M_Manufact_35_44,M_Manufact_45_54,M_Manufact_55_64,M_Manufact_65_74,M_Manufact_75_84,M_Manufact_85ov,M_Manufact_Tot,M_El_Gas_Wt_Waste_15_19,M_El_Gas_Wt_Waste_20_24,M_El_Gas_Wt_Waste_25_34,M_El_Gas_Wt_Waste_35_44,M_El_Gas_Wt_Waste_45_54,M_El_Gas_Wt_Waste_55_64,M_El_Gas_Wt_Waste_65_74,M_El_Gas_Wt_Waste_75_84,M_El_Gas_Wt_Waste_85ov,M_El_Gas_Wt_Waste_Tot,M_Constru_15_19,M_Constru_20_24,M_Constru_25_34,M_Constru_35_44,M_Constru_45_54,M_Constru_55_64,M_Constru_65_74,M_Constru_75_84,M_Constru_85ov,M_Constru_Tot,M_WhlesaleTde_15_19,M_WhlesaleTde_20_24,M_WhlesaleTde_25_34,M_WhlesaleTde_35_44,M_WhlesaleTde_45_54,M_WhlesaleTde_55_64,M_WhlesaleTde_65_74,M_WhlesaleTde_75_84,M_WhlesaleTde_85ov,M_WhlesaleTde_Tot,M_RetTde_15_19,M_RetTde_20_24,M_RetTde_25_34,M_RetTde_35_44,M_RetTde_45_54,M_RetTde_55_64,M_RetTde_65_74,M_RetTde_75_84,M_RetTde_85ov,M_RetTde_Tot,M_Accom_food_15_19,M_Accom_food_20_24,M_Accom_food_25_34,M_Accom_food_35_44,M_Accom_food_45_54,M_Accom_food_55_64,M_Accom_food_65_74,M_Accom_food_75_84,M_Accom_food_85ov,M_Accom_food_Tot,M_Trans_post_wrehsg_15_19,M_Trans_post_wrehsg_20_24,M_Trans_post_wrehsg_25_34,M_Trans_post_wrehsg_35_44,M_Trans_post_wrehsg_45_54,M_Trans_post_wrehsg_55_64,M_Trans_post_wrehsg_65_74,M_Trans_post_wrehsg_75_84,M_Trans_post_wrehsg_85ov,M_Trans_post_wrehsg_Tot,M_Info_media_teleco_15_19,M_Info_media_teleco_20_24,M_Info_media_teleco_25_34,M_Info_media_teleco_35_44,M_Info_media_teleco_45_54,M_Info_media_teleco_55_64,M_Info_media_teleco_65_74,M_Info_media_teleco_75_84,M_Info_media_teleco_85ov,M_Info_media_teleco_Tot,M_Fin_Insur_15_19,M_Fin_Insur_20_24,M_Fin_Insur_25_34,M_Fin_Insur_35_44,M_Fin_Insur_45_54,M_Fin_Insur_55_64,M_Fin_Insur_65_74,M_Fin_Insur_75_84,M_Fin_Insur_85ov,M_Fin_Insur_Tot,M_RtnHir_REst_15_19,M_RtnHir_REst_20_24,M_RtnHir_REst_25_34,M_RtnHir_REst_35_44,M_RtnHir_REst_45_54,M_RtnHir_REst_55_64,M_RtnHir_REst_65_74,M_RtnHir_REst_75_84,M_RtnHir_REst_85ov,M_RtnHir_REst_Tot,M_Pro_scien_tec_15_19,M_Pro_scien_tec_20_24,M_Pro_scien_tec_25_34,M_Pro_scien_tec_35_44,M_Pro_scien_tec_45_54,M_Pro_scien_tec_55_64,M_Pro_scien_tec_65_74,M_Pro_scien_tec_75_84,M_Pro_scien_tec_85ov,M_Pro_scien_tec_Tot,M_Admin_supp_15_19,M_Admin_supp_20_24,M_Admin_supp_25_34,M_Admin_supp_35_44,M_Admin_supp_45_54,M_Admin_supp_55_64,M_Admin_supp_65_74,M_Admin_supp_75_84,M_Admin_supp_85ov,M_Admin_supp_Tot,M_Public_admin_sfty_15_19,M_Public_admin_sfty_20_24,M_Public_admin_sfty_25_34,M_Public_admin_sfty_35_44,M_Public_admin_sfty_45_54,M_Public_admin_sfty_55_64,M_Public_admin_sfty_65_74,M_Public_admin_sfty_75_84,M_Public_admin_sfty_85ov,M_Public_admin_sfty_Tot,M_Educ_trng_15_19,M_Educ_trng_20_24,M_Educ_trng_25_34,M_Educ_trng_35_44,M_Educ_trng_45_54,M_Educ_trng_55_64,M_Educ_trng_65_74,M_Educ_trng_75_84,M_Educ_trng_85ov,M_Educ_trng_Tot,M_HlthCare_SocAs_15_19,M_HlthCare_SocAs_20_24,M_HlthCare_SocAs_25_34,M_HlthCare_SocAs_35_44,M_HlthCare_SocAs_45_54,M_HlthCare_SocAs_55_64,M_HlthCare_SocAs_65_74,M_HlthCare_SocAs_75_84,M_HlthCare_SocAs_85ov,M_HlthCare_SocAs_Tot,M_Art_recn_15_19,M_Art_recn_20_24,M_Art_recn_25_34,M_Art_recn_35_44,M_Art_recn_45_54,M_Art_recn_55_64,M_Art_recn_65_74,M_Art_recn_75_84,M_Art_recn_85ov,M_Art_recn_Tot,M_Oth_scs_15_19,M_Oth_scs_20_24,M_Oth_scs_25_34,M_Oth_scs_35_44,M_Oth_scs_45_54,M_Oth_scs_55_64,M_Oth_scs_65_74,M_Oth_scs_75_84,M_Oth_scs_85ov,M_Oth_scs_Tot,M_ID_NS_15_19,M_ID_NS_20_24,M_ID_NS_25_34,M_ID_NS_35_44,M_ID_NS_45_54,M_ID_NS_55_64,M_ID_NS_65_74,M_ID_NS_75_84,M_ID_NS_85ov,M_ID_NS_Tot
CED201,5,13,23,30,34,17,9,0,0,123,0,4,14,26,17,14,3,0,0,78,76,257,763,1065,1306,954,192,14,0,4634,3,24,85,104,134,118,22,0,0,491,215,709,1524,1181,1129,738,148,12,0,5663,42,127,355,538,534,424,64,3,0,2086,447,627,760,635,620,510,143,6,0,3756,479,319,327,231,201,166,31,0,0,1750,23,96,316,361,506,464,140,5,0,1921,20,52,195,239,241,125,11,0,0,889,4,80,304,366,294,223,29,0,0,1302,8,44,129,96,89,82,23,8,0,477,30,184,674,727,609,418,152,9,0,2812,41,116,216,220,260,215,73,5,0,1147,15,64,284,332,418,336,80,7,0,1542,52,128,329,313,280,317,85,6,0,1516,10,99,365,292,320,302,85,4,0,1478,84,111,122,99,69,52,26,3,0,563,46,119,294,338,347,292,75,7,0,1518,68,193,427,413,493,385,81,20,3,2086
CED202,34,88,198,220,272,238,218,70,10,1355,3,19,109,122,131,60,3,0,0,452,117,247,636,964,1096,729,105,9,3,3905,6,41,90,121,158,102,16,0,0,542,343,853,1592,1191,1084,774,131,14,8,5985,32,75,183,273,297,210,42,5,3,1127,381,483,620,505,449,399,127,14,4,2974,586,417,366,246,191,169,54,5,0,2040,27,92,383,504,625,556,154,19,0,2369,20,56,166,206,183,114,17,0,0,768,0,22,100,126,151,93,20,5,0,523,6,23,98,80,90,95,26,8,0,432,23,135,416,461,417,299,137,19,0,1907,19,63,152,165,203,169,39,4,0,826,17,70,393,548,608,419,71,6,3,2137,44,122,392,484,461,463,104,3,0,2078,12,108,407,463,536,478,109,8,0,2122,65,97,136,127,121,108,44,3,0,694,49,139,241,246,296,257,79,8,0,1319,91,202,291,307,365,245,105,26,11,1640
CED203,4,15,66,44,30,19,3,0,0,193,0,3,19,26,23,12,4,0,0,87,43,150,760,732,740,503,85,11,3,3022,0,24,140,146,102,57,15,0,0,485,84,403,1371,1038,837,478,99,11,0,4323,12,72,292,326,326,164,38,3,0,1228,267,571,1021,619,461,273,74,11,0,3305,383,640,1098,489,286,147,28,3,0,3078,15,118,574,490,535,369,88,14,0,2205,23,49,368,406,308,102,16,0,0,1267,5,71,599,591,341,110,17,0,0,1734,5,43,193,142,100,57,19,0,0,572,12,225,1395,1350,792,370,95,8,6,4250,18,142,440,314,281,190,51,3,0,1434,8,104,545,635,577,351,62,10,0,2289,41,180,817,763,583,471,94,3,0,2949,20,149,716,676,540,404,82,3,0,2595,70,163,357,241,158,96,25,4,3,1118,37,125,361,306,273,161,52,6,0,1315,56,225,609,484,409,242,63,14,6,2109
CED204,40,86,207,231,295,301,188,80,15,1444,8,59,225,206,186,86,20,0,0,775,133,434,902,822,935,757,120,11,4,4125,3,30,122,112,178,107,16,0,0,565,221,694,1322,1056,1012,742,143,12,0,5207,22,69,161,199,231,158,42,6,0,880,482,469,543,516,478,410,138,17,3,3056,556,351,310,207,187,145,43,3,0,1805,18,66,194,347,507,530,166,3,3,1828,15,28,89,122,128,84,23,3,0,490,6,48,209,299,261,129,40,0,0,1001,3,18,56,73,95,67,36,8,0,355,12,92,357,416,372,330,120,14,0,1708,18,52,128,173,200,203,52,9,0,842,21,78,295,498,670,515,88,9,0,2160,32,87,302,417,421,434,105,8,0,1813,18,119,382,434,527,539,125,15,3,2168,50,62,76,103,107,103,38,9,0,549,58,139,265,238,280,257,78,10,3,1333,77,158,245,326,358,284,94,32,3,1575
CED205,3,20,43,57,32,29,7,0,0,192,0,0,15,20,12,14,0,0,0,59,59,311,1056,1238,1189,850,196,21,0,4925,0,24,106,92,86,65,20,0,0,391,75,425,1111,947,759,517,110,10,5,3958,22,119,400,464,448,297,67,11,0,1822,276,657,906,623,521,366,82,14,4,3445,367,483,669,303,302,184,33,4,0,2339,20,152,655,530,525,423,117,7,0,2427,16,50,228,247,192,105,22,3,0,864,9,101,428,392,272,158,45,8,0,1415,7,61,162,124,104,78,26,3,0,556,13,213,883,933,634,388,145,25,5,3241,24,164,427,312,239,196,74,15,0,1455,6,89,282,258,298,243,71,6,0,1247,66,162,372,340,356,273,81,13,0,1661,13,132,520,430,401,329,120,13,3,1965,40,115,129,71,63,41,18,0,0,484,36,142,362,271,289,218,73,6,0,1403,55,300,809,603,565,341,107,26,7,2809
CED206,0,13,27,29,37,19,10,6,0,137,0,3,15,18,26,13,0,0,0,67,73,288,866,1058,1321,921,158,9,3,4689,5,25,98,112,104,66,10,0,0,429,197,754,1581,1281,1156,654,113,10,0,5757,19,111,307,304,390,263,49,3,0,1436,377,655,712,471,557,366,83,3,3,3228,520,393,436,274,245,195,33,0,0,2094,62,372,1139,1082,1371,958,167,3,0,5159,20,67,145,142,142,66,11,0,0,592,4,89,305,248,209,127,25,0,0,1009,13,54,130,87,100,67,17,0,0,463,14,170,477,420,328,197,52,3,0,1674,33,154,312,261,304,223,46,3,0,1345,33,194,431,373,443,317,57,3,0,1860,42,158,279,254,242,220,52,4,0,1252,23,97,284,247,278,197,58,3,0,1186,56,99,144,70,73,49,14,0,0,499,46,189,368,333,397,268,55,3,3,1652,94,319,643,546,628,365,71,14,0,2685
CED207,25,53,134,211,196,204,98,28,3,953,3,6,39,37,26,24,4,0,0,152,112,328,857,1165,1206,928,205,19,0,4813,13,32,130,125,151,108,5,0,0,564,467,1066,2290,1751,1679,1033,213,11,3,8522,38,109,290,387,447,299,72,7,0,1638,408,456,594,568,488,379,135,25,0,3044,468,225,215,169,124,92,48,8,0,1348,21,83,258,364,526,432,129,10,0,1812,13,55,123,136,147,87,20,3,0,581,3,32,165,196,208,120,31,4,0,769,13,39,90,84,80,84,32,3,0,433,29,132,414,514,429,358,163,16,0,2053,27,89,209,267,289,234,79,13,0,1207,6,76,320,398,453,353,83,4,0,1692,41,80,277,305,298,358,124,14,3,1499,19,77,232,241,289,300,81,16,0,1250,92,67,106,114,103,82,27,6,0,594,79,162,391,364,457,352,93,12,0,1910,103,239,435,468,550,386,142,18,6,2341
CED208,0,20,18,24,32,17,6,3,3,126,0,3,18,24,20,16,4,0,0,81,39,173,564,675,822,465,125,5,4,2868,0,16,113,111,107,75,17,4,0,445,70,378,954,729,796,479,89,17,0,3513,23,96,423,418,432,222,50,6,0,1672,369,746,1004,584,511,330,79,11,0,3630,419,751,807,352,317,193,31,0,0,2882,11,113,394,380,414,322,87,7,3,1734,20,102,305,354,254,119,24,3,3,1194,5,112,585,631,432,210,47,5,0,2030,10,51,238,165,146,90,34,8,3,752,39,274,1366,1317,988,583,173,32,9,4776,19,210,437,314,286,179,61,7,0,1509,10,85,273,340,432,299,63,8,3,1527,89,280,622,532,526,446,134,18,0,2642,18,157,652,530,512,363,98,14,0,2347,121,159,193,114,103,72,29,9,0,795,24,127,300,265,291,226,73,15,0,1331,60,209,577,381,399,259,84,27,10,1999
CED209,50,123,274,284,368,376,301,107,12,1894,3,4,55,52,53,50,6,0,0,217,121,312,720,970,981,668,119,8,0,3900,3,21,125,129,160,119,16,0,0,571,282,729,1663,1619,1247,788,138,16,3,6485,21,91,186,303,300,215,53,3,4,1175,442,533,625,580,505,399,146,16,0,3251,581,454,404,317,234,217,89,3,0,2298,31,82,295,412,508,493,149,8,0,1991,26,37,88,113,122,86,18,3,0,489,5,23,142,249,242,137,31,7,0,839,4,21,65,103,96,97,45,9,0,450,19,102,368,565,526,437,196,29,0,2241,7,74,169,211,215,235,80,4,0,993,14,91,352,510,664,451,69,13,0,2165,32,120,501,620,520,554,124,8,3,2475,25,92,354,482,486,445,115,13,3,2011,92,102,111,145,106,108,27,3,0,697,48,141,248,244,258,225,77,10,0,1253,88,156,278,312,334,300,111,28,11,1617
CED210,11,48,97,99,124,104,47,14,3,554,0,7,29,39,49,34,4,0,0,166,75,301,805,959,1114,759,115,14,3,4142,3,32,140,141,173,98,19,0,0,611,238,744,1604,1157,1009,723,132,10,3,5622,34,83,196,231,278,211,40,3,0,1078,335,505,716,564,461,369,88,11,0,3058,594,399,372,229,166,122,52,3,0,1939,19,109,489,564,670,596,136,10,0,2591,20,24,92,97,91,76,9,0,0,413,6,42,180,196,179,105,34,6,0,746,5,21,70,86,85,55,30,9,0,355,18,118,426,433,361,277,96,12,3,1741,28,55,176,186,239,200,59,3,0,948,22,88,347,476,571,396,85,12,0,2002,40,92,308,351,360,389,90,6,0,1633,14,102,397,398,416,367,99,9,0,1806,67,87,99,104,94,70,35,8,0,562,57,131,281,255,257,224,58,9,0,1262,86,183,374,360,376,275,84,22,5,1772
