CED_CODE_2016,F_ID_NS_15_19,F_ID_NS_20_24,F_ID_NS_25_34,F_ID_NS_35_44,F_ID_NS_45_54,F_ID_NS_55_64,F_ID_NS_65_74,F_ID_NS_75_84,F_ID_NS_85ov,F_ID_NS_Tot,F_Tot_15_19,F_Tot_20_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Ag_For_Fshg_15_19,P_Ag_For_Fshg_20_24,P_Ag_For_Fshg_25_34,P_Ag_For_Fshg_35_44,P_Ag_For_Fshg_45_54,P_Ag_For_Fshg_55_64,P_Ag_For_Fshg_65_74,P_Ag_For_Fshg_75_84,P_Ag_For_Fshg_85ov,P_Ag_For_Fshg_Tot,P_Mining_15_19,P_Mining_20_24,P_Mining_25_34,P_Mining_35_44,P_Mining_45_54,P_Mining_55_64,P_Mining_65_74,P_Mining_75_84,P_Mining_85ov,P_Mining_Tot,P_Manufact_15_19,P_Manufact_20_24,P_Manufact_25_34,P_Manufact_35_44,P_Manufact_45_54,P_Manufact_55_64,P_Manufact_65_74,P_Manufact_75_84,P_Manufact_85ov,P_Manufact_Tot,P_El_Gas_Wt_Waste_15_19,P_El_Gas_Wt_Waste_20_24,P_El_Gas_Wt_Waste_25_34,P_El_Gas_Wt_Waste_35_44,P_El_Gas_Wt_Waste_45_54,P_El_Gas_Wt_Waste_55_64,P_El_Gas_Wt_Waste_65_74,P_El_Gas_Wt_Waste_75_84,P_El_Gas_Wt_Waste_85ov,P_El_Gas_Wt_Waste_Tot,P_Constru_15_19,P_Constru_20_24,P_Constru_25_34,P_Constru_35_44,P_Constru_45_54,P_Constru_55_64,P_Constru_65_74,P_Constru_75_84,P_Constru_85ov,P_Constru_Tot,P_WhlesaleTde_15_19,P_WhlesaleTde_20_24,P_WhlesaleTde_25_34,P_WhlesaleTde_35_44,P_WhlesaleTde_45_54,P_WhlesaleTde_55_64,P_WhlesaleTde_65_74,P_WhlesaleTde_75_84,P_WhlesaleTde_85ov,P_WhlesaleTde_Tot,P_RetTde_15_19,P_RetTde_20_24,P_RetTde_25_34,P_RetTde_35_44,P_RetTde_45_54,P_RetTde_55_64,P_RetTde_65_74,P_RetTde_75_84,P_RetTde_85ov,P_RetTde_Tot,P_Accom_food_15_19,P_Accom_food_20_24,P_Accom_food_25_34,P_Accom_food_35_44,P_Accom_food_45_54,P_Accom_food_55_64,P_Accom_food_65_74,P_Accom_food_75_84,P_Accom_food_85ov,P_Accom_food_Tot,P_Trans_post_wrehsg_15_19,P_Trans_post_wrehsg_20_24,P_Trans_post_wrehsg_25_34,P_Trans_post_wrehsg_35_44,P_Trans_post_wrehsg_45_54,P_Trans_post_wrehsg_55_64,P_Trans_post_wrehsg_65_74,P_Trans_post_wrehsg_75_84,P_Trans_post_wrehsg_85ov,P_Trans_post_wrehsg_Tot,P_Info_media_teleco_15_19,P_Info_media_teleco_20_24,P_Info_media_teleco_25_34,P_Info_media_teleco_35_44,P_Info_media_teleco_45_54,P_Info_media_teleco_55_64,P_Info_media_teleco_65_74,P_Info_media_teleco_75_84,P_Info_media_teleco_85ov,P_Info_media_teleco_Tot,P_Fin_Insur_15_19,P_Fin_Insur_20_24,P_Fin_Insur_25_34,P_Fin_Insur_35_44,P_Fin_Insur_45_54,P_Fin_Insur_55_64,P_Fin_Insur_65_74,P_Fin_Insur_75_84,P_Fin_Insur_85ov,P_Fin_Insur_Tot,P_RtnHir_REst_15_19,P_RtnHir_REst_20_24,P_RtnHir_REst_25_34,P_RtnHir_REst_35_44,P_RtnHir_REst_45_54,P_RtnHir_REst_55_64,P_RtnHir_REst_65_74,P_RtnHir_REst_75_84,P_RtnHir_REst_85ov,P_RtnHir_REst_Tot,P_Pro_scien_tec_15_19,P_Pro_scien_tec_20_24,P_Pro_scien_tec_25_34,P_Pro_scien_tec_35_44,P_Pro_scien_tec_45_54,P_Pro_scien_tec_55_64,P_Pro_scien_tec_65_74,P_Pro_scien_tec_75_84,P_Pro_scien_tec_85ov,P_Pro_scien_tec_Tot,P_Admin_supp_15_19,P_Admin_supp_20_24,P_Admin_supp_25_34,P_Admin_supp_35_44,P_Admin_supp_45_54,P_Admin_supp_55_64,P_Admin_supp_65_74,P_Admin_supp_75_84,P_Admin_supp_85ov,P_Admin_supp_Tot,P_Public_admin_sfty_15_19,P_Public_admin_sfty_20_24,P_Public_admin_sfty_25_34,P_Public_admin_sfty_35_44,P_Public_admin_sfty_45_54,P_Public_admin_sfty_55_64,P_Public_admin_sfty_65_74,P_Public_admin_sfty_75_84,P_Public_admin_sfty_85ov,P_Public_admin_sfty_Tot,P_Educ_trng_15_19,P_Educ_trng_20_24,P_Educ_trng_25_34,P_Educ_trng_35_44,P_Educ_trng_45_54,P_Educ_trng_55_64,P_Educ_trng_65_74,P_Educ_trng_75_84,P_Educ_trng_85ov,P_Educ_trng_Tot,P_HlthCare_SocAs_15_19,P_HlthCare_SocAs_20_24,P_HlthCare_SocAs_25_34,P_HlthCare_SocAs_35_44,P_HlthCare_SocAs_45_54,P_HlthCare_SocAs_55_64,P_HlthCare_SocAs_65_74,P_HlthCare_SocAs_75_84,P_HlthCare_SocAs_85ov,P_HlthCare_SocAs_Tot,P_Art_recn_15_19,P_Art_recn_20_24,P_Art_recn_25_34,P_Art_recn_35_44,P_Art_recn_45_54,P_Art_recn_55_64,P_Art_recn_65_74,P_Art_recn_75_84,P_Art_recn_85ov,P_Art_recn_Tot
CED201,41,109,251,289,349,227,56,11,4,1337,1864,3350,6740,6743,7712,5364,906,66,16,32762,7,11,42,40,54,28,11,0,4,200,0,7,20,28,26,14,3,0,0,101,164,375,1082,1525,1954,1409,259,19,0,6784,3,34,157,167,175,137,19,0,0,696,239,779,1715,1348,1348,868,167,18,0,6496,60,232,643,924,931,660,94,3,3,3547,1102,1506,1555,1350,1458,1097,242,17,3,8322,1106,756,630,467,463,324,44,3,0,3788,31,134,433,491,680,594,162,9,0,2537,36,99,331,343,335,185,19,0,0,1354,12,166,652,694,619,406,52,5,0,2619,29,91,263,224,184,157,39,9,0,990,46,381,1238,1285,1063,692,216,19,0,4925,61,204,436,455,578,414,113,7,0,2276,18,127,559,662,779,623,136,10,0,2916,151,393,1165,1145,1315,1062,171,13,0,5413,106,623,1851,1714,2017,1670,342,20,3,8345,156,222,228,169,149,84,31,4,0,1047
CED202,71,87,122,175,228,159,63,11,3,931,2137,3316,6280,7041,7797,5537,1039,82,23,33244,51,130,249,307,379,333,315,83,15,1857,6,21,125,147,156,64,7,0,0,527,239,339,844,1286,1406,950,130,12,3,5220,6,41,122,167,196,119,19,0,0,669,359,901,1717,1369,1280,885,144,14,8,6677,50,112,245,369,393,262,54,10,3,1499,1037,1181,1343,1180,1259,929,221,17,3,7160,1453,1000,793,632,557,407,106,13,5,4967,36,140,489,646,819,707,185,23,4,3061,43,108,294,316,272,157,27,0,0,1219,5,84,262,298,332,187,30,10,0,1202,11,87,186,164,185,148,42,8,0,834,55,300,828,900,797,532,200,21,0,3623,38,131,327,376,472,370,72,12,0,1794,36,155,826,1156,1190,818,136,11,4,4340,124,430,1322,1638,1837,1407,261,11,0,7027,93,733,2113,2251,2642,2245,357,19,9,10450,125,201,267,253,244,182,71,6,0,1347
CED203,47,140,402,295,275,161,34,17,3,1368,1304,3897,11316,9283,7746,4212,690,64,14,38521,7,26,105,63,56,25,3,0,0,298,3,3,34,39,25,17,3,0,0,131,96,248,1135,1051,1060,690,121,18,3,4429,0,32,224,232,140,81,15,0,0,721,90,437,1531,1193,952,537,106,12,0,4856,29,133,515,540,493,232,51,8,0,2008,706,1450,2063,1275,1059,579,125,14,3,7279,834,1403,1934,813,558,289,43,4,0,5884,16,154,784,687,713,457,103,15,0,2923,40,126,678,678,481,171,27,0,0,2195,15,157,1138,1085,687,219,34,4,3,3336,13,100,360,269,190,88,26,4,0,1056,22,466,2722,2457,1471,651,143,15,3,7946,26,285,862,648,572,371,77,8,0,2842,18,192,1207,1464,1332,689,121,17,3,5047,105,516,2312,2176,1913,1298,225,6,3,8566,80,689,3075,2536,2179,1517,257,14,0,10340,125,317,653,501,332,159,37,4,3,2127
CED204,64,74,130,175,192,166,69,15,9,894,1994,3061,5821,6535,7629,5764,1167,113,36,32124,61,107,271,328,409,432,294,115,20,2033,8,70,251,233,214,101,22,0,0,900,283,656,1221,1113,1325,1018,175,15,7,5813,3,33,166,184,229,144,15,0,0,770,227,729,1448,1216,1171,846,161,13,3,5817,33,105,219,250,302,221,56,6,0,1198,1133,1134,1197,1103,1267,964,252,30,5,7086,1290,868,694,508,524,355,87,8,3,4346,24,90,253,430,678,630,182,10,6,2293,29,61,158,216,197,144,37,3,0,856,13,143,521,671,567,279,59,0,0,2257,13,46,142,147,178,128,56,8,0,728,42,188,654,838,736,579,190,19,0,3245,36,120,306,386,474,423,98,15,3,1861,33,148,635,1019,1210,914,156,13,3,4123,82,325,1041,1445,1609,1324,243,11,5,6084,121,721,1981,2091,2673,2428,395,30,7,10451,99,131,158,214,220,182,61,10,0,1088
CED205,43,132,377,340,299,210,43,14,4,1462,1205,2815,6867,6251,6183,4129,952,85,11,28491,8,22,59,64,60,40,12,4,0,269,0,0,23,23,16,13,0,0,0,74,113,424,1441,1722,1725,1216,250,26,3,6926,6,34,164,132,125,72,20,0,3,552,81,472,1246,1084,865,596,131,18,8,4490,36,191,639,721,727,440,104,11,0,2867,655,1284,1652,1212,1148,749,168,19,4,6895,827,862,1102,618,565,344,63,4,0,4389,35,190,821,703,690,528,141,9,0,3105,33,96,345,337,280,141,32,3,0,1266,10,213,829,743,568,310,70,14,3,2760,15,102,294,234,191,128,49,7,0,1012,30,412,1515,1463,1056,648,223,36,5,5387,30,253,771,560,505,386,122,19,0,2645,8,150,512,480,564,455,121,6,3,2299,125,396,1001,1056,1151,855,208,19,0,4822,76,574,1998,1765,1738,1339,365,29,3,7901,84,188,200,124,107,71,29,3,0,801
CED206,59,154,290,281,347,184,46,12,0,1366,1746,3590,6401,6006,6980,4081,622,37,4,29460,3,25,46,41,57,29,10,3,0,210,0,3,19,16,29,14,0,0,0,86,142,385,1120,1457,1835,1252,203,10,3,6406,5,44,151,158,155,86,13,0,0,607,207,806,1721,1418,1330,739,132,9,0,6372,34,183,473,494,588,375,60,3,0,2204,961,1590,1416,1010,1350,810,156,8,6,7306,1218,813,798,558,581,395,57,5,0,4417,75,520,1469,1448,1778,1178,187,9,0,6670,49,111,235,215,201,82,15,0,0,911,18,195,671,595,496,263,36,3,0,2267,34,130,241,188,200,126,28,0,0,949,30,364,917,739,647,366,84,4,0,3147,46,264,577,519,661,426,88,7,0,2584,45,297,730,769,885,592,85,4,0,3403,112,485,1096,1062,1160,785,131,6,0,4835,81,638,1633,1466,1624,1068,208,10,0,6733,103,176,236,136,137,90,27,0,0,904
CED207,73,115,244,241,328,226,69,18,3,1316,1992,3124,6734,6907,7857,5526,1139,92,10,33380,44,95,201,320,356,334,158,40,5,1558,3,4,48,43,31,26,10,0,0,161,236,499,1178,1652,1767,1316,286,19,0,6954,14,47,181,167,208,124,8,0,0,755,484,1138,2560,2022,1949,1206,243,15,3,9617,60,162,517,610,710,445,91,10,0,2616,1016,1115,1382,1300,1371,999,243,38,0,7460,1179,658,548,473,412,266,77,11,0,3624,22,113,360,462,671,559,156,10,0,2349,31,92,203,202,237,138,34,3,0,949,10,74,388,396,435,252,51,3,3,1609,37,120,254,203,206,158,52,5,0,1036,56,288,874,1020,881,621,245,19,0,4011,47,176,451,534,584,480,129,10,3,2424,26,150,631,775,820,622,153,13,0,3194,113,298,1210,1263,1371,1167,273,19,3,5729,111,633,1677,1668,2131,1746,327,25,0,8321,169,153,217,242,219,152,44,7,0,1202
CED208,36,140,325,248,304,153,44,17,8,1270,1726,3851,8473,7246,7593,4564,1054,100,20,34625,3,21,38,35,42,26,13,4,4,186,0,3,24,32,25,23,3,0,0,115,129,275,851,995,1179,642,178,10,4,4261,0,31,176,170,159,93,23,3,0,654,78,415,1107,888,934,547,107,20,0,4091,36,182,715,709,684,329,65,6,0,2729,895,1619,1840,1157,1140,708,154,27,0,7531,996,1492,1352,646,600,345,62,0,0,5495,24,162,528,515,571,406,110,7,3,2332,41,162,469,520,377,182,34,3,3,1801,14,201,1170,1162,782,390,78,10,0,3801,18,108,465,302,278,169,52,8,3,1403,65,544,2383,2221,1654,903,263,39,9,8082,39,345,784,597,577,335,103,12,0,2790,15,136,566,697,876,556,130,20,3,2990,237,627,1611,1571,1850,1348,308,37,3,7600,81,678,2486,1918,2233,1635,400,35,3,9469,245,287,303,210,190,115,38,8,0,1406
CED209,68,81,152,206,210,158,60,10,6,956,2192,2988,6496,7556,7986,5764,1277,103,28,34396,73,160,353,407,535,556,459,138,17,2692,3,5,58,57,63,53,6,0,0,246,257,468,931,1250,1266,846,151,10,4,5182,4,40,166,175,191,141,15,0,0,732,295,764,1785,1827,1423,897,157,19,0,7169,44,143,295,431,414,284,72,3,4,1688,1110,1205,1437,1329,1354,1020,258,21,3,7742,1461,1050,857,691,635,479,157,12,0,5345,37,113,368,519,631,595,172,13,0,2452,58,72,164,220,205,120,33,7,0,872,10,80,400,516,465,237,54,10,5,1776,18,81,189,233,221,170,65,5,3,981,39,209,751,1100,974,720,272,28,0,4101,28,130,340,493,501,419,144,12,3,2056,18,170,748,1088,1298,866,134,17,7,4347,94,353,1545,1850,1865,1576,282,16,4,7582,108,595,1976,2333,2612,2154,396,24,5,10197,166,173,211,267,222,186,59,8,0,1285
CED210,73,120,178,175,208,160,52,16,8,993,1870,3211,6521,6445,7157,5073,902,83,16,31282,19,64,133,158,187,139,66,20,5,799,0,6,33,45,53,38,4,0,0,192,176,417,1018,1188,1402,967,136,14,3,5317,7,60,219,218,226,118,20,0,0,873,246,783,1736,1323,1187,821,151,17,3,6258,50,122,270,336,376,287,47,6,0,1494,879,1256,1660,1327,1288,936,162,21,0,7525,1394,993,805,566,479,342,96,6,3,4688,35,163,594,671,834,698,162,9,0,3163,37,61,164,160,136,114,23,0,0,694,14,107,505,490,430,217,45,6,0,1806,10,79,185,178,151,132,39,12,0,790,37,225,790,823,691,472,141,23,4,3204,42,113,369,438,578,425,113,7,0,2081,37,173,758,993,1115,762,144,12,0,3983,89,308,1082,1252,1378,1154,197,13,0,5480,97,726,2097,1987,2472,1989,368,20,3,9765,119,149,181,194,193,125,59,8,0,1028
