CED_CODE_2016,M15_19_Managers,M15_19_Professionals,M15_19_TechnicTrades_Wrs,M15_19_CommunPersnlSvc_W,M15_19_ClericalAdminis_W,M15_19_Sales_W,M15_19_Mach_oper_drivers,M15_19_Labourers,M15_19_Occu_ID_NS,M15_19_Tot,M20_24_Managers,M20_24_Professionals,M20_24_TechnicTrades_W,M20_24_CommunPersnlSvc_W,M20_24_ClericalAdminis_W,M20_24_Sales_W,M20_24_Mach_oper_drivers,M20_24_Labourers,M20_24_Occu_ID_NS,M20_24_Tot,M25_34_Managers,M25_34_Professionals,M25_34_TechnicTrades_W,M25_34_CommunPersnlSvc_W,M25_34_ClericalAdminis_W,M25_34_Sales_W,M25_34_Mach_oper_drivers,M25_34_Labourers,M25_34_Occu_ID_NS,M25_34_Tot,M35_44_Managers,M35_44_Professionals,M35_44_TechnicTrades_W,M35_44_CommunPersnlSvc_W,M35_44_ClericalAdminis_W,M35_44_Sales_W,M35_44_Mach_oper_drivers,M35_44_Labourers,M35_44_Occu_ID_NS,M35_44_Tot,M45_54_Managers,M45_54_Professionals,M45_54_TechnicTrades_W,M45_54_CommunPersnlSvc_W,M45_54_ClericalAdminis_W,M45_54_Sales_W,M45_54_Mach_oper_drivers,M45_54_Labourers,M45_54_Occu_ID_NS,M45_54_Tot,M55_64_Managers,M55_64_Professionals,M55_64_TechnicTrades_W,M55_64_CommunPersnlSvc_W,M55_64_ClericalAdminis_W,M55_64_Sales_W,M55_64_Mach_oper_drivers,M55_64_Labourers,M55_64_Occu_ID_NS,M55_64_Tot,M65_74_Managers,M65_74_Professionals,M65_74_TechnicTrades_W,M65_74_CommunPersnlSvc_W,M65_74_ClericalAdminis_W,M65_74_Sales_W,M65_74_Mach_oper_drivers,M65_74_Labourers,M65_74_Occu_ID_NS,M65_74_Tot,M75_84_Managers,M75_84_Professionals,M75_84_TechnicTrades_W,M75_84_CommunPersnlSvc_W,M75_84_ClericalAdminis_W,M75_84_Sales_W,M75_84_Mach_oper_drivers,M75_84_Labourers,M75_84_Occu_ID_NS,M75_84_Tot,M85_ov_Managers,M85_ov_Professionals,M85_ov_TechnicTrades_W,M85_ov_CommunPersnlSvc_W,M85_ov_ClericalAdminis_W,M85_ov_Sales_W,M85_ov_Mach_oper_drivers,M85_ov_Labourers,M85_ov_Occu_ID_NS,M85_ov_Tot,M_Tot_Managers,M_Tot_Professionals,M_Tot_TechnicTrades_W,M_Tot_CommunPersnlSvc_W,M_Tot_ClericalAdminis_W,M_Tot_Sales_W,M_Tot_Mach_oper_drivers,M_Tot_Labourers,M_Tot_Occu_ID_NS,M_Tot_Tot,F15_19_Managers,F15_19_Professionals,F15_19_TechnicTrades_Wrs,F15_19_CommunPersnlSvc_W,F15_19_ClericalAdminis_W,F15_19_Sales_W,F15_19_Mach_oper_drivers,F15_19_Labourers,F15_19_Occu_ID_NS,F15_19_Tot,F20_24_Managers,F20_24_Professionals,F20_24_TechnicTrades_W,F20_24_CommunPersnlSvc_W,F20_24_ClericalAdminis_W,F20_24_Sales_W,F20_24_Mach_oper_drivers,F20_24_Labourers,F20_24_Occu_ID_NS,F20_24_Tot,F25_34_Managers,F25_34_Professionals,F25_34_TechnicTrades_W,F25_34_CommunPersnlSvc_W,F25_34_ClericalAdminis_W,F25_34_Sales_W,F25_34_Mach_oper_drivers,F25_34_Labourers,F25_34_Occu_ID_NS,F25_34_Tot,F35_44_Managers,F35_44_Professionals,F35_44_TechnicTrades_W,F35_44_CommunPersnlSvc_W,F35_44_ClericalAdminis_W,F35_44_Sales_W,F35_44_Mach_oper_drivers,F35_44_Labourers,F35_44_Occu_ID_NS,F35_44_Tot,F45_54_Managers,F45_54_Professionals,F45_54_TechnicTrades_W,F45_54_CommunPersnlSvc_W,F45_54_ClericalAdminis_W,F45_54_Sales_W,F45_54_Mach_oper_drivers,F45_54_Labourers,F45_54_Occu_ID_NS,F45_54_Tot,F55_64_Managers,F55_64_Professionals,F55_64_TechnicTrades_W,F55_64_CommunPersnlSvc_W,F55_64_ClericalAdminis_W,F55_64_Sales_W,F55_64_Mach_oper_drivers,F55_64_Labourers,F55_64_Occu_ID_NS,F55_64_Tot,F65_74_Managers,F65_74_Professionals,F65_74_TechnicTrades_W,F65_74_CommunPersnlSvc_W,F65_74_ClericalAdminis_W,F65_74_Sales_W,F65_74_Mach_oper_drivers,F65_74_Labourers,F65_74_Occu_ID_NS,F65_74_Tot,F75_84_Managers,F75_84_Professionals,F75_84_TechnicTrades_W,F75_84_CommunPersnlSvc_W,F75_84_ClericalAdminis_W,F75_84_Sales_W,F75_84_Mach_oper_drivers,F75_84_Labourers,F75_84_Occu_ID_NS,F75_84_Tot,F85ov_Managers,F85ov_Professionals,F85ov_TechnicTrades_W,F85ov_CommunPersnlSvc_W,F85ov_ClericalAdminis_W,F85ov_Sales_W,F85ov_Mach_oper_drivers,F85ov_Labourers,F85ov_Occu_ID_NS,F85ov_Tot,F_Tot_Managers,F_Tot_Professionals,F_Tot_TechnicTrades_W,F_Tot_CommunPersnlSvc_W,F_Tot_ClericalAdminis_W,F_Tot_Sales_W,F_Tot_Mach_oper_drivers,F_Tot_Labourers,F_Tot_Occu_ID_NS,F_Tot_Tot
CED201,23,38,297,174,31,497,65,513,21,1666,151,355,982,312,257,555,217,488,58,3376,885,1739,2101,416,575,613,456,618,135,7526,1440,1816,1815,289,574,447,595,509,126,7606,1637,1405,1895,340,574,467,822,618,149,7905,1134,1136,1287,250,517,366,777,580,91,6144,220,290,287,48,145,119,171,171,19,1475,20,21,22,3,13,8,4,22,14,122,3,0,0,0,0,0,0,3,3,14,5524,6799,8685,1831,2684,3064,3115,3519,609,35832,27,50,53,396,110,1052,8,146,21,1864,200,483,197,770,569,907,35,141,49,3350,561,2380,328,963,1453,683,69,197,99,6740,791,1979,326,887,1678,564,128,306,92,6743,754,1584,326,1122,2324,738,196,579,88,7712,396,1052,201,757,1713,501,153,522,73,5364,57,173,35,135,279,98,28,101,14,906,6,8,4,3,18,5,0,13,9,66,3,4,0,0,5,0,0,0,4,16,2791,7715,1476,5024,8154,4548,619,2001,446,32762
CED202,42,31,484,199,35,439,47,591,34,1898,189,229,1202,350,118,374,207,606,74,3344,763,1185,2201,450,353,422,673,825,100,6973,1287,1406,1774,440,395,382,829,721,137,7361,1481,1210,1677,500,446,381,1046,849,160,7749,1093,1079,1173,322,374,318,856,671,102,5989,366,318,210,74,88,109,226,176,52,1612,91,38,21,3,13,10,19,22,12,227,13,0,6,0,0,3,0,12,8,38,5318,5490,8737,2337,1812,2446,3905,4475,670,35193,17,39,71,464,95,1122,6,290,36,2137,152,447,216,938,513,757,21,232,39,3316,429,1994,388,1125,1218,685,37,333,69,6280,701,2159,361,1058,1590,571,65,445,95,7041,757,1930,351,1299,1892,683,128,658,99,7797,514,1417,222,908,1348,449,97,515,63,5537,172,222,40,127,242,71,10,119,21,1039,18,11,0,8,17,3,0,10,9,82,4,0,4,4,3,0,3,4,0,23,2762,8228,1647,5941,6915,4337,368,2594,442,33244
CED203,9,28,143,169,24,358,42,314,11,1096,162,398,652,523,273,555,190,635,81,3474,1279,3522,2326,896,963,849,639,1085,192,11750,1853,3314,1531,471,760,483,561,667,167,9811,1489,2086,1322,394,585,387,650,649,141,7698,715,1198,748,215,347,236,536,487,92,4572,151,256,154,33,73,56,111,133,30,1005,19,14,16,6,6,10,8,33,7,112,3,8,3,0,0,0,0,3,6,23,5679,10833,6906,2702,3032,2931,2740,4003,734,39560,12,44,24,294,69,743,8,91,22,1304,177,646,167,1025,594,967,25,238,53,3897,1122,4711,541,1586,1791,893,66,430,168,11316,1389,3957,347,934,1670,535,59,273,123,9283,1003,2673,299,890,1761,514,103,391,109,7746,419,1369,158,494,976,304,82,360,51,4212,48,204,31,93,151,51,12,74,15,690,0,16,3,9,11,7,0,7,13,64,0,6,0,0,4,0,0,0,3,14,4170,13625,1572,5328,7035,4014,354,1876,550,38521
CED204,33,15,347,180,42,410,68,673,31,1798,157,212,1050,295,95,349,214,683,65,3125,679,1089,1995,367,296,350,531,992,83,6384,1195,1409,1478,457,368,341,652,782,112,6797,1382,1322,1573,548,433,382,876,793,112,7425,1127,1141,1152,399,387,317,787,770,109,6199,401,347,217,89,94,110,205,149,46,1659,108,47,25,8,6,14,6,25,9,265,15,4,4,3,0,0,0,3,0,39,5101,5592,7843,2351,1720,2283,3347,4884,574,33689,20,34,80,427,100,1023,12,270,31,1994,121,408,214,851,362,718,29,327,29,3061,467,1912,353,988,1004,544,48,429,70,5821,691,2155,357,917,1326,521,58,417,88,6535,807,1999,325,1218,1718,676,99,691,100,7629,573,1542,228,938,1292,499,90,537,63,5764,181,264,51,145,260,112,15,108,32,1167,34,11,4,7,13,3,0,19,6,113,4,7,0,3,8,3,0,0,9,36,2905,8332,1617,5493,6080,4103,351,2810,432,32124
CED205,17,43,116,129,43,361,45,337,32,1120,142,431,733,377,271,606,323,728,104,3718,933,2127,2052,522,808,691,987,1223,220,9555,1288,1996,1701,336,567,411,939,825,175,8240,1355,1464,1405,309,515,351,946,797,160,7298,825,1034,992,204,397,285,700,559,96,5098,221,345,228,57,121,90,151,184,28,1417,40,47,23,8,23,15,4,24,14,194,3,4,6,0,7,0,0,0,0,34,4820,7498,7256,1939,2732,2805,4092,4682,832,36658,18,51,17,244,76,657,13,102,25,1205,114,499,112,580,490,740,31,190,60,2815,509,2266,413,994,1308,680,101,468,132,6867,725,1839,317,951,1237,499,128,461,101,6251,650,1453,275,874,1424,549,191,666,91,6183,333,921,172,583,1020,335,175,529,61,4129,54,210,35,125,293,94,21,83,28,952,10,20,0,7,31,7,0,7,7,85,0,0,0,0,3,0,0,3,4,11,2412,7262,1351,4371,5878,3557,661,2502,506,28491
CED206,27,25,294,168,54,444,79,517,45,1651,178,370,1095,413,292,588,460,688,121,4209,784,1199,2279,589,667,557,1322,1071,224,8691,1072,1039,1786,401,577,363,1262,928,179,7603,1277,888,1842,395,630,431,1716,1019,155,8347,878,585,1141,248,438,281,1143,720,101,5538,146,150,180,39,77,71,221,169,28,1088,13,16,15,4,6,6,8,15,6,85,0,0,0,3,0,4,3,0,0,15,4367,4275,8637,2258,2745,2743,6196,5132,860,37211,25,35,31,260,109,1104,11,125,42,1746,152,481,140,782,655,1068,56,166,81,3590,518,1705,330,1112,1483,683,89,349,129,6401,553,1389,257,1061,1547,540,114,430,110,6006,580,1080,295,1238,2028,731,226,692,109,6980,257,588,154,657,1213,457,131,550,76,4081,31,94,20,101,171,69,10,103,19,622,3,3,3,7,8,5,0,3,4,37,0,0,0,3,0,0,0,0,0,4,2125,5371,1236,5220,7212,4660,643,2420,577,29460
CED207,30,21,631,168,43,394,47,617,33,1981,142,227,1432,243,129,369,224,575,65,3400,762,1063,3042,365,388,435,556,835,129,7571,1488,1199,2294,349,418,393,730,810,157,7852,1634,1049,2260,384,423,397,1010,812,162,8143,1198,902,1543,276,399,317,840,641,110,6219,374,325,299,71,109,137,225,205,43,1783,53,37,28,11,10,11,16,22,17,207,11,4,0,0,0,0,4,3,5,30,5682,4824,11528,1874,1920,2461,3650,4529,712,37175,24,32,85,480,99,961,13,260,31,1992,168,331,269,900,506,653,44,219,34,3124,603,1882,497,1164,1439,693,79,293,81,6734,751,1762,373,1125,1684,597,81,440,84,6907,810,1512,368,1339,2210,742,139,630,100,7857,478,1094,249,906,1569,555,97,516,58,5526,137,221,44,153,332,101,13,110,24,1139,14,12,0,8,25,11,3,16,9,92,0,3,0,3,0,0,0,0,3,10,2991,6846,1888,6085,7872,4310,467,2492,435,33380
CED208,26,62,121,265,50,405,42,344,33,1358,154,608,665,576,340,751,220,653,80,4059,1187,3292,1666,567,874,810,435,833,180,9849,1797,2974,1165,303,641,452,340,435,145,8246,1872,2286,1274,312,578,439,444,475,140,7812,982,1464,812,214,415,274,348,383,64,4964,208,406,201,66,114,80,94,116,28,1320,26,67,29,7,21,9,8,21,17,210,13,6,3,0,0,3,0,3,3,34,6260,11169,5942,2320,3023,3216,1937,3277,699,37851,19,93,31,459,116,854,6,136,14,1726,148,748,144,965,540,1022,13,217,51,3851,742,3543,365,1061,1529,753,45,314,119,8473,1114,2932,318,657,1415,453,43,211,112,7246,1049,2561,301,841,1761,540,90,335,109,7593,442,1468,183,578,1127,334,61,323,49,4564,72,318,51,125,303,79,8,94,14,1054,7,23,3,14,28,5,0,10,13,100,0,4,0,0,0,6,0,0,8,20,3589,11696,1385,4701,6814,4048,272,1635,490,34625
CED209,39,19,421,180,35,472,54,632,37,1893,183,239,1032,363,110,451,199,687,60,3312,869,1344,2193,460,278,408,536,818,101,7017,1637,1779,1992,468,374,443,652,756,137,8235,1688,1487,1719,560,416,409,773,734,150,7921,1306,1271,1298,366,362,350,704,620,111,6388,549,421,196,63,126,119,173,203,63,1910,124,49,27,5,14,16,10,34,17,291,19,3,3,3,0,0,3,3,9,38,6411,6618,8882,2466,1715,2654,3096,4492,676,37007,22,24,77,545,105,1076,15,299,34,2192,125,396,180,888,363,699,30,271,30,2988,566,2386,424,1097,1037,599,30,275,87,6496,856,2533,386,1048,1569,623,59,389,100,7556,898,2107,364,1362,1813,727,67,544,99,7986,627,1508,233,881,1338,580,59,460,79,5764,242,253,42,170,337,97,12,101,20,1277,32,14,0,7,19,3,0,11,11,103,7,3,0,3,3,3,0,6,6,28,3372,9234,1709,6006,6590,4407,269,2357,466,34396
CED210,21,32,354,160,39,371,63,603,32,1670,135,200,1048,335,138,388,235,648,47,3181,630,1173,2196,484,381,461,730,1012,135,7200,1082,1186,1638,421,387,371,831,874,149,6937,1165,1035,1532,510,385,315,1108,876,152,7080,800,862,1116,356,366,262,918,693,92,5458,231,240,193,84,88,87,187,154,37,1293,38,39,14,4,9,12,14,30,8,163,6,11,3,0,0,0,0,0,6,26,4118,4781,8098,2345,1793,2254,4083,4885,659,33009,16,22,67,423,95,988,19,205,32,1870,145,385,216,954,412,765,56,223,53,3211,497,2054,448,1196,1161,703,75,300,88,6521,600,1766,353,1124,1336,605,96,461,88,6445,653,1506,366,1381,1626,658,157,719,85,7157,421,1117,197,927,1125,503,109,604,62,5073,80,186,33,142,201,71,9,148,27,902,15,13,3,4,21,7,0,12,10,83,0,3,0,0,0,0,0,3,8,16,2430,7060,1696,6151,5977,4310,533,2675,456,31282
