LGA_CODE_2016,M_15_19_yr_Married,M_15_19_yr_Separated,M_15_19_yr_Divorced,M_15_19_yr_Widowed,M_15_19_yr_Never_Married,M_15_19_yr_Tot,M_20_24_yr_Married,M_20_24_yr_Separated,M_20_24_yr_Divorced,M_20_24_yr_Widowed,M_20_24_yr_Never_Married,M_20_24_yr_Tot,M_25_34_yr_Married,M_25_34_yr_Separated,M_25_34_yr_Divorced,M_25_34_yr_Widowed,M_25_34_yr_Never_Married,M_25_34_yr_Tot,M_35_44_yr_Married,M_35_44_yr_Separated,M_35_44_yr_Divorced,M_35_44_yr_Widowed,M_35_44_yr_Never_Married,M_35_44_yr_Tot,M_45_54_yr_Married,M_45_54_yr_Separated,M_45_54_yr_Divorced,M_45_54_yr_Widowed,M_45_54_yr_Never_Married,M_45_54_yr_Tot,M_55_64_yr_Married,M_55_64_yr_Separated,M_55_64_yr_Divorced,M_55_64_yr_Widowed,M_55_64_yr_Never_Married,M_55_64_yr_Tot,M_65_74_yr_Married,M_65_74_yr_Separated,M_65_74_yr_Divorced,M_65_74_yr_Widowed,M_65_74_yr_Never_Married,M_65_74_yr_Tot,M_75_84_yr_Married,M_75_84_yr_Separated,M_75_84_yr_Divorced,M_75_84_yr_Widowed,M_75_84_yr_Never_Married,M_75_84_yr_Tot,M_85ov_Married,M_85ov_Separated,M_85ov_Divorced,M_85ov_Widowed,M_85ov_Never_Married,M_85ov_Tot,M_Tot_Married,M_Tot_Separated,M_Tot_Divorced,M_Tot_Widowed,M_Tot_Never_Married,M_Tot_Tot,F_15_19_yr_Married,F_15_19_yr_Separated,F_15_19_yr_Divorced,F_15_19_yr_Widowed,F_15_19_yr_Never_Married,F_15_19_yr_Tot,F_20_24_yr_Married,F_20_24_yr_Separated,F_20_24_yr_Divorced,F_20_24_yr_Widowed,F_20_24_yr_Never_Married,F_20_24_yr_Tot,F_25_34_yr_Married,F_25_34_yr_Separated,F_25_34_yr_Divorced,F_25_34_yr_Widowed,F_25_34_yr_Never_Married,F_25_34_yr_Tot,F_35_44_yr_Married,F_35_44_yr_Separated,F_35_44_yr_Divorced,F_35_44_yr_Widowed,F_35_44_yr_Never_Married,F_35_44_yr_Tot,F_45_54_yr_Married,F_45_54_yr_Separated,F_45_54_yr_Divorced,F_45_54_yr_Widowed,F_45_54_yr_Never_Married,F_45_54_yr_Tot,F_55_64_yr_Married,F_55_64_yr_Separated,F_55_64_yr_Divorced,F_55_64_yr_Widowed,F_55_64_yr_Never_Married,F_55_64_yr_Tot,F_65_74_yr_Married,F_65_74_yr_Separated,F_65_74_yr_Divorced,F_65_74_yr_Widowed,F_65_74_yr_Never_Married,F_65_74_yr_Tot,F_75_84_yr_Married,F_75_84_yr_Separated,F_75_84_yr_Divorced,F_75_84_yr_Widowed,F_75_84_yr_Never_Married,F_75_84_yr_Tot,F_85ov_Married,F_85ov_Separated,F_85ov_Divorced,F_85ov_Widowed,F_85ov_Never_Married,F_85ov_Tot,F_Tot_Married,F_Tot_Separated,F_Tot_Divorced,F_Tot_Widowed,F_Tot_Never_Married,F_Tot_Tot,P_15_19_yr_Married,P_15_19_yr_Separated,P_15_19_yr_Divorced,P_15_19_yr_Widowed,P_15_19_yr_Never_Married,P_15_19_yr_Tot,P_20_24_yr_Married,P_20_24_yr_Separated,P_20_24_yr_Divorced,P_20_24_yr_Widowed,P_20_24_yr_Never_Married,P_20_24_yr_Tot,P_25_34_yr_Married,P_25_34_yr_Separated,P_25_34_yr_Divorced,P_25_34_yr_Widowed,P_25_34_yr_Never_Married,P_25_34_yr_Tot,P_35_44_yr_Married,P_35_44_yr_Separated,P_35_44_yr_Divorced,P_35_44_yr_Widowed,P_35_44_yr_Never_Married,P_35_44_yr_Tot,P_45_54_yr_Married,P_45_54_yr_Separated,P_45_54_yr_Divorced,P_45_54_yr_Widowed,P_45_54_yr_Never_Married,P_45_54_yr_Tot,P_55_64_yr_Married,P_55_64_yr_Separated,P_55_64_yr_Divorced,P_55_64_yr_Widowed,P_55_64_yr_Never_Married,P_55_64_yr_Tot,P_65_74_yr_Married,P_65_74_yr_Separated,P_65_74_yr_Divorced,P_65_74_yr_Widowed,P_65_74_yr_Never_Married,P_65_74_yr_Tot,P_75_84_yr_Married,P_75_84_yr_Separated,P_75_84_yr_Divorced,P_75_84_yr_Widowed,P_75_84_yr_Never_Married,P_75_84_yr_Tot,P_85ov_Married,P_85ov_Separated,P_85ov_Divorced,P_85ov_Widowed,P_85ov_Never_Married,P_85ov_Tot,P_Tot_Married,P_Tot_Separated,P_Tot_Divorced,P_Tot_Widowed,P_Tot_Never_Married,P_Tot_Tot
LGA20110,0,0,0,0,330,330,3,0,0,0,232,235,133,9,4,0,308,454,349,19,30,0,231,632,516,56,101,3,218,894,687,64,170,20,140,1081,615,31,115,32,59,860,328,16,30,45,24,437,83,0,9,48,6,153,2711,194,463,155,1557,5074,0,0,0,0,338,334,10,3,0,0,175,193,181,10,6,0,277,480,428,34,45,6,227,743,561,45,144,16,156,926,699,37,175,64,94,1068,538,25,129,132,30,861,226,6,34,191,16,479,40,3,4,173,8,237,2695,167,534,592,1317,5307,0,0,0,0,665,665,16,4,0,0,410,427,316,19,11,0,589,935,778,57,79,6,460,1376,1079,100,245,23,372,1815,1387,105,341,84,235,2142,1157,59,241,168,91,1718,551,23,61,239,33,915,125,8,15,223,15,383,5406,366,997,745,2874,10384
LGA20260,0,0,0,0,309,315,8,0,0,0,288,303,215,10,6,0,486,714,340,48,45,0,330,765,460,51,100,8,231,860,556,58,155,26,167,953,514,33,102,36,81,768,293,5,20,61,42,422,61,0,3,55,8,127,2437,207,427,196,1954,5232,0,0,0,0,291,291,17,0,0,4,209,231,201,18,10,3,291,521,345,42,44,4,165,594,418,51,120,25,142,752,548,43,114,51,66,828,462,22,80,112,35,712,186,4,23,182,24,413,38,0,7,169,13,225,2209,183,403,545,1234,4572,0,0,0,0,606,606,24,0,0,6,500,533,414,27,18,3,779,1235,685,87,87,4,494,1360,879,104,222,30,375,1608,1101,98,271,76,237,1784,973,58,184,149,113,1476,474,10,47,244,68,840,99,3,11,224,23,359,4646,394,829,738,3191,9798
LGA20570,8,5,0,3,3346,3362,71,8,3,3,3656,3737,2044,124,77,11,4177,6429,3444,257,355,19,1832,5910,3573,365,818,47,1284,6084,3657,268,866,115,750,5659,3180,187,593,242,328,4536,1647,54,203,323,130,2356,445,15,35,286,34,806,18076,1280,2960,1038,15536,38889,3,0,0,3,3231,3237,131,19,4,3,3644,3802,2561,196,132,16,3775,6686,3661,390,581,45,1832,6502,3668,498,1280,144,1204,6797,3654,388,1360,375,640,6419,2967,179,941,848,257,5186,1273,41,277,1359,145,3097,250,12,73,1193,74,1601,18176,1722,4651,3987,14796,43329,12,7,0,7,6579,6603,203,34,6,6,7294,7544,4602,324,214,27,7950,13120,7106,645,940,59,3663,12416,7245,857,2101,188,2484,12884,7319,655,2227,491,1388,12080,6146,369,1535,1092,586,9723,2925,96,484,1677,275,5449,692,27,111,1474,105,2409,36248,3002,7612,5023,30332,82219
LGA20660,19,3,0,0,3504,3518,54,0,3,0,3771,3825,2781,66,79,6,5041,7975,5630,254,380,16,2195,8488,5102,352,719,49,1554,7782,4733,260,833,130,893,6847,4072,187,600,223,367,5455,2153,44,190,345,106,2839,700,23,40,396,30,1188,25245,1196,2845,1180,17463,47926,9,0,0,0,3303,3308,155,0,0,3,3426,3582,3580,142,156,9,4377,8269,5912,322,522,23,2105,8887,5264,420,1221,111,1426,8436,4770,333,1390,384,812,7691,3691,221,983,841,322,6058,1640,66,330,1452,136,3627,368,9,102,1533,52,2066,25384,1511,4710,4352,15966,51928,23,3,0,0,6806,6834,202,4,5,3,7192,7410,6364,211,233,15,9417,16248,11547,577,901,44,4303,17375,10363,772,1945,158,2983,16224,9504,597,2228,510,1698,14542,7761,408,1579,1065,693,11511,3793,108,524,1797,239,6470,1063,28,145,1928,87,3253,50625,2712,7562,5526,33431,99850
LGA20740,0,0,0,0,827,827,16,0,0,0,545,560,452,18,22,0,903,1394,832,65,87,0,556,1553,1133,144,294,16,472,2061,1461,132,473,64,352,2480,1800,139,375,116,131,2565,924,36,122,150,55,1285,241,3,25,155,16,446,6857,542,1392,511,3858,13158,0,0,0,0,758,761,35,8,3,0,519,561,562,48,37,3,839,1490,960,91,154,10,571,1790,1201,146,389,48,391,2174,1578,146,568,140,285,2707,1710,122,471,333,106,2741,656,21,126,541,37,1379,140,0,35,499,18,695,6836,585,1777,1569,3531,14301,0,0,0,0,1581,1587,51,6,3,0,1063,1127,1012,72,56,3,1740,2882,1795,162,248,16,1124,3337,2332,292,679,71,866,4233,3031,278,1042,200,636,5190,3512,258,841,448,244,5304,1577,63,245,685,89,2667,383,4,56,657,37,1143,13691,1134,3173,2084,7388,27459
LGA20830,0,0,0,0,1551,1551,36,3,0,0,1223,1263,982,54,41,3,1445,2528,1550,119,153,5,740,2561,1935,166,391,14,588,3090,2174,136,472,73,360,3211,2157,94,307,107,129,2797,1033,25,116,190,57,1422,240,10,14,122,14,403,10110,605,1496,515,6110,18841,3,0,0,0,1448,1451,79,9,0,3,1155,1245,1220,88,51,4,1378,2743,1718,175,249,24,703,2867,2083,228,532,72,478,3390,2260,137,638,190,291,3506,1967,75,402,394,95,2934,702,19,131,618,35,1507,122,3,25,528,22,706,10147,740,2023,1831,5602,20347,3,0,0,0,3000,3003,118,14,0,3,2378,2510,2200,145,92,4,2828,5269,3263,297,404,28,1438,5432,4019,392,925,90,1065,6486,4429,275,1111,263,644,6718,4127,170,710,496,226,5728,1740,41,243,809,98,2925,365,11,37,653,43,1112,20263,1345,3524,2346,11719,39188
LGA20910,9,0,3,0,3208,3212,16,3,3,0,2514,2538,1134,29,40,0,2536,3745,4112,115,204,11,1260,5693,5665,220,535,40,1027,7489,4467,213,704,66,616,6058,3502,127,531,143,270,4573,1738,47,202,264,123,2377,706,15,42,416,47,1228,21345,765,2271,941,11604,36928,13,0,0,0,2957,2964,40,3,3,0,2332,2381,1674,57,74,9,2411,4232,4733,200,395,29,1359,6721,6012,328,945,85,996,8364,4316,241,1172,248,603,6581,3170,134,910,644,285,5141,1278,46,343,1131,159,2968,403,14,122,1723,134,2393,21644,1027,3971,3868,11238,41741,20,0,3,0,6161,6178,57,8,4,0,4850,4919,2813,88,117,9,4952,7980,8846,315,595,39,2617,12418,11680,552,1477,118,2020,15855,8778,449,1873,313,1219,12636,6671,263,1439,782,552,9718,3016,93,551,1399,286,5344,1109,28,162,2138,179,3624,42988,1796,6237,4804,22842,78669
LGA21010,0,0,0,0,404,404,14,0,0,0,332,339,200,12,4,0,353,572,335,38,37,3,208,617,476,58,114,4,177,838,682,50,165,39,147,1083,680,39,146,46,67,984,364,6,63,69,20,531,114,3,9,70,6,207,2872,209,546,234,1720,5579,0,0,0,0,377,378,24,0,0,0,278,303,250,18,14,0,353,636,366,46,59,10,215,693,580,75,169,29,167,1027,743,50,197,83,103,1180,601,31,192,153,30,1005,286,5,41,211,28,572,66,3,16,238,9,323,2909,228,685,721,1557,6113,0,0,0,0,780,777,36,0,0,0,607,645,446,34,22,0,709,1209,698,79,100,9,428,1316,1059,137,287,39,344,1865,1432,103,360,118,252,2259,1280,70,341,206,98,1991,651,18,108,277,46,1101,180,6,20,301,13,528,5784,440,1231,959,3279,11686
LGA21110,13,0,5,0,5952,5968,94,6,3,4,6705,6813,3172,74,102,7,7752,11111,6715,176,358,26,2295,9568,8636,338,715,58,1522,11276,7056,220,697,124,929,9034,5111,142,516,199,510,6483,2646,59,228,333,237,3508,958,23,58,487,97,1627,34402,1048,2687,1241,26006,65383,12,0,0,3,5927,5940,165,15,4,3,6348,6532,4009,106,182,12,7117,11426,7956,246,570,51,2340,11168,9412,488,1235,119,1572,12823,6915,306,1364,353,1009,9949,4606,173,1118,925,645,7468,1991,53,413,1674,398,4526,498,13,149,2239,315,3208,35570,1393,5043,5379,25662,73046,29,0,5,6,11876,11910,258,17,8,6,13047,13346,7184,179,287,18,14872,22544,14674,421,928,74,4637,20736,18047,831,1950,179,3091,24102,13968,528,2068,475,1939,18983,9716,318,1637,1123,1153,13951,4631,113,642,2002,638,8031,1457,34,202,2722,411,4829,69973,2436,7730,6622,51668,138430
LGA21180,33,7,3,3,6206,6251,436,29,10,9,7682,8158,6436,298,333,21,9048,16128,8056,525,882,39,3577,13079,7908,721,1417,78,2132,12260,7477,555,1424,185,1037,10670,5858,366,703,360,404,7684,2708,99,198,489,121,3620,619,21,25,366,20,1053,39527,2616,4998,1547,30232,78919,55,3,9,3,5931,6003,975,59,32,7,5913,6991,7809,530,503,36,6305,15182,8040,837,1420,103,2841,13237,7715,826,2089,338,1653,12624,7354,611,1912,853,762,11497,4868,302,883,1580,256,7892,1769,85,235,2069,80,4242,292,11,55,1471,33,1866,38877,3271,7142,6464,23783,79538,88,9,14,3,12137,12254,1410,91,44,15,13589,15155,14244,830,836,55,15347,31313,16091,1362,2300,136,6423,26317,15631,1552,3508,411,3793,24883,14831,1164,3334,1042,1800,22171,10727,667,1586,1942,659,15576,4479,187,429,2562,202,7863,912,32,79,1835,61,2926,78412,5891,12141,8008,54013,158457
