LGA_CODE_2016,M_Afghanistan_0_4,M_Afghanistan_5_14,M_Afghanistan_15_24,M_Afghanistan_25_44,M_Afghanistan_45_54,M_Afghanistan_55_64,M_Afghanistan_65_74,M_Afghanistan_75_84,M_Afghanistan_85ov,M_Afghanistan_Tot,M_Australia_0_4,M_Australia_5_14,M_Australia_15_24,M_Australia_25_44,M_Australia_45_54,M_Australia_55_64,M_Australia_65_74,M_Australia_75_84,M_Australia_85ov,M_Australia_Tot,M_Bangladesh_0_4,M_Bangladesh_5_14,M_Bangladesh_15_24,M_Bangladesh_25_44,M_Bangladesh_45_54,M_Bangladesh_55_64,M_Bangladesh_65_74,M_Bangladesh_75_84,M_Bangladesh_85ov,M_Bangladesh_Tot,M_Bosnia_Herzegov_0_4,M_Bosnia_Herzegov_5_14,M_Bosnia_Herzegov_15_24,M_Bosnia_Herzegov_25_44,M_Bosnia_Herzegov_45_54,M_Bosnia_Herzegov_55_64,M_Bosnia_Herzegov_65_74,M_Bosnia_Herzegov_75_84,M_Bosnia_Herzegov_85ov,M_Bosnia_Herzegov_Tot,M_Cambodia_0_4,M_Cambodia_5_14,M_Cambodia_15_24,M_Cambodia_25_44,M_Cambodia_45_54,M_Cambodia_55_64,M_Cambodia_65_74,M_Cambodia_75_84,M_Cambodia_85ov,M_Cambodia_Tot,M_Canada_0_4,M_Canada_5_14,M_Canada_15_24,M_Canada_25_44,M_Canada_45_54,M_Canada_55_64,M_Canada_65_74,M_Canada_75_84,M_Canada_85ov,M_Canada_Tot,M_Chile_0_4,M_Chile_5_14,M_Chile_15_24,M_Chile_25_44,M_Chile_45_54,M_Chile_55_64,M_Chile_65_74,M_Chile_75_84,M_Chile_85ov,M_Chile_Tot,M_China_0_4,M_China_5_14,M_China_15_24,M_China_25_44,M_China_45_54,M_China_55_64,M_China_65_74,M_China_75_84,M_China_85ov,M_China_Tot,M_Croatia_0_4,M_Croatia_5_14,M_Croatia_15_24,M_Croatia_25_44,M_Croatia_45_54,M_Croatia_55_64,M_Croatia_65_74,M_Croatia_75_84,M_Croatia_85ov,M_Croatia_Tot,M_Egypt_0_4,M_Egypt_5_14,M_Egypt_15_24,M_Egypt_25_44,M_Egypt_45_54,M_Egypt_55_64,M_Egypt_65_74,M_Egypt_75_84,M_Egypt_85ov,M_Egypt_Tot,M_England_0_4,M_England_5_14,M_England_15_24,M_England_25_44,M_England_45_54,M_England_55_64,M_England_65_74,M_England_75_84,M_England_85ov,M_England_Tot,M_Fiji_0_4,M_Fiji_5_14,M_Fiji_15_24,M_Fiji_25_44,M_Fiji_45_54,M_Fiji_55_64,M_Fiji_65_74,M_Fiji_75_84,M_Fiji_85ov,M_Fiji_Tot,M_France_0_4,M_France_5_14,M_France_15_24,M_France_25_44,M_France_45_54,M_France_55_64,M_France_65_74,M_France_75_84,M_France_85ov,M_France_Tot,M_Germany_0_4,M_Germany_5_14,M_Germany_15_24,M_Germany_25_44,M_Germany_45_54,M_Germany_55_64,M_Germany_65_74,M_Germany_75_84,M_Germany_85ov,M_Germany_Tot,M_Greece_0_4,M_Greece_5_14,M_Greece_15_24,M_Greece_25_44,M_Greece_45_54,M_Greece_55_64,M_Greece_65_74,M_Greece_75_84,M_Greece_85ov,M_Greece_Tot,M_Hong_Kong_0_4,M_Hong_Kong_5_14,M_Hong_Kong_15_24,M_Hong_Kong_25_44,M_Hong_Kong_45_54,M_Hong_Kong_55_64,M_Hong_Kong_65_74,M_Hong_Kong_75_84,M_Hong_Kong_85ov,M_Hong_Kong_Tot,M_India_0_4,M_India_5_14,M_India_15_24,M_India_25_44,M_India_45_54,M_India_55_64,M_India_65_74,M_India_75_84,M_India_85ov,M_India_Tot,M_Indonesia_0_4,M_Indonesia_5_14,M_Indonesia_15_24,M_Indonesia_25_44,M_Indonesia_45_54,M_Indonesia_55_64,M_Indonesia_65_74,M_Indonesia_75_84,M_Indonesia_85ov,M_Indonesia_Tot,M_Iran_0_4,M_Iran_5_14,M_Iran_15_24,M_Iran_25_44,M_Iran_45_54,M_Iran_55_64,M_Iran_65_74,M_Iran_75_84,M_Iran_85ov,M_Iran_Tot,M_Iraq_0_4,M_Iraq_5_14,M_Iraq_15_24,M_Iraq_25_44,M_Iraq_45_54,M_Iraq_55_64,M_Iraq_65_74,M_Iraq_75_84,M_Iraq_85ov,M_Iraq_Tot
LGA20110,0,0,0,0,0,0,0,0,0,0,243,665,520,873,673,817,539,263,86,4672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,7,9,3,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,8,4,0,12,0,0,0,0,0,0,0,0,0,0,0,4,4,17,45,40,76,28,6,221,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,6,0,0,0,10,0,0,0,0,3,6,24,9,3,48,0,0,0,0,0,0,7,5,0,11,0,0,0,0,0,0,0,0,0,3,0,0,0,7,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA20260,0,0,0,0,0,0,0,0,0,0,279,553,546,1162,708,797,593,322,96,5056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,0,0,0,0,8,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,4,0,7,20,21,42,24,7,132,0,0,0,7,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,7,0,23,0,0,0,0,3,3,3,0,0,7,0,0,0,3,0,0,0,0,0,7,0,3,0,31,3,0,3,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA20570,0,0,12,0,0,0,0,0,0,13,3216,5946,6218,10164,5032,4657,3394,1697,591,40919,0,9,0,20,5,0,0,0,0,39,0,0,0,3,0,0,3,0,0,11,0,0,0,0,0,0,0,0,0,5,0,3,6,8,12,8,8,3,0,45,0,0,0,8,0,0,0,0,0,7,4,15,150,120,39,13,9,0,0,342,0,0,0,0,7,13,18,19,3,64,0,4,0,7,4,0,6,0,0,26,8,52,36,157,145,205,220,126,38,981,0,4,4,6,7,5,0,0,0,28,0,0,4,3,5,0,0,3,0,16,3,3,3,11,9,18,63,9,7,129,0,0,0,0,0,4,13,6,5,34,0,5,6,0,3,3,3,0,0,26,6,37,39,325,40,17,18,0,0,476,0,0,3,10,3,4,0,0,0,24,0,3,3,25,5,0,0,0,0,31,0,3,0,11,9,0,0,0,0,21
LGA20660,0,0,3,7,3,0,0,0,0,15,3664,6513,5965,11014,5455,4574,3220,1552,617,42563,0,0,13,17,3,0,0,0,0,35,0,0,0,13,9,13,3,3,0,45,0,0,0,8,7,0,0,0,0,8,0,7,11,37,25,14,10,0,0,101,0,0,0,9,0,8,6,0,0,26,11,75,269,681,223,159,82,42,6,1556,0,0,0,16,26,38,43,43,4,179,0,5,4,16,9,31,30,7,5,109,11,73,72,402,328,299,294,158,69,1711,0,0,9,21,5,11,6,3,3,43,0,3,3,28,11,9,6,3,3,68,3,3,16,35,27,24,83,42,19,245,0,5,3,27,54,129,149,132,39,537,3,11,11,78,20,34,20,10,3,188,13,50,131,682,94,64,43,20,5,1098,4,8,9,38,6,17,4,3,0,90,3,9,16,200,29,15,13,3,3,281,0,0,3,23,9,7,0,0,0,45
LGA20740,0,0,0,0,0,0,0,0,0,0,824,1682,1235,2373,1584,1815,1640,753,277,12171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,8,6,0,0,0,18,0,0,3,0,0,0,6,3,0,5,0,0,0,17,3,3,9,0,0,28,0,0,0,0,0,3,11,3,0,13,0,0,0,0,0,3,7,0,0,7,0,21,14,48,97,163,258,163,51,819,0,0,0,3,0,0,0,0,0,6,0,0,0,3,4,0,0,5,0,17,0,0,0,6,3,14,35,30,6,90,0,0,0,0,6,4,9,18,0,35,0,0,3,0,0,7,0,0,0,10,0,0,3,45,7,4,12,3,0,69,0,0,0,0,3,0,0,0,0,4,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
LGA20830,0,0,0,0,0,0,0,0,0,0,1392,2965,2539,4291,2458,2502,1896,923,277,19235,0,0,0,0,3,0,0,0,0,3,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,11,3,5,3,0,0,26,0,0,0,0,3,4,0,0,0,6,0,0,4,7,8,5,0,3,0,31,0,0,0,0,3,3,11,10,0,24,0,0,0,4,0,0,3,0,0,10,0,17,25,82,117,167,219,129,31,786,0,0,0,4,3,0,0,0,0,8,0,0,0,0,0,0,3,0,0,3,0,0,3,10,10,18,44,35,5,121,0,0,0,0,3,0,4,4,0,14,0,0,0,3,0,3,0,0,0,8,0,3,4,58,10,9,11,0,0,93,0,0,0,0,0,0,3,0,0,6,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
LGA20910,0,0,0,3,0,0,0,0,0,3,2291,5498,4578,6055,4781,3975,2766,1327,763,32033,0,0,0,5,0,0,0,0,0,8,0,0,3,5,3,8,0,3,0,24,0,0,0,8,8,0,0,3,0,21,8,30,19,48,44,21,12,3,0,174,0,0,3,17,12,3,3,0,0,33,8,77,138,213,130,89,37,23,7,728,0,0,0,9,12,15,14,16,5,66,0,3,0,9,13,18,25,11,10,91,48,321,230,626,659,436,421,204,85,3041,0,0,0,12,17,8,3,0,0,31,4,18,20,42,21,12,17,3,0,141,3,23,15,45,55,39,75,48,11,312,0,3,3,9,34,77,76,90,27,313,4,25,15,17,7,11,5,4,0,89,3,17,27,171,71,49,36,26,7,411,0,0,3,14,3,5,6,3,3,35,0,0,0,24,10,3,9,4,0,43,0,0,0,3,0,3,3,0,0,10
LGA21010,0,0,0,0,0,0,0,0,0,0,320,700,668,1012,705,875,730,411,153,5576,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,7,18,21,49,27,15,144,0,0,0,0,3,0,0,0,0,3,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,10,18,3,3,35,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,3,0,3,0,22,0,3,3,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4
LGA21110,0,0,7,6,0,0,0,0,0,12,3520,8821,9146,11448,7074,5526,3804,1819,937,52094,0,4,12,56,4,4,0,0,0,86,0,0,3,7,9,3,3,0,0,22,0,0,8,13,12,7,0,0,0,39,3,13,13,69,33,21,12,3,0,175,0,0,0,20,8,4,3,0,0,36,72,417,937,1458,781,546,240,118,39,4608,0,0,0,8,12,12,12,28,5,83,0,5,7,22,19,36,37,17,4,147,39,247,163,571,509,443,397,197,65,2633,0,0,9,37,19,6,7,9,0,97,3,21,17,93,32,18,13,7,0,206,3,10,12,65,46,30,72,35,14,282,0,0,4,17,68,138,157,239,92,714,19,62,116,249,111,155,80,33,0,824,49,138,295,1298,194,124,92,40,19,2241,8,13,76,135,27,21,21,12,0,311,3,11,15,211,45,26,24,8,0,343,3,14,18,47,13,0,3,0,0,97
LGA21180,0,16,89,206,37,6,3,0,0,358,5770,8937,8813,11213,4285,2966,1391,491,204,44077,4,10,24,207,24,5,3,0,0,282,0,4,56,214,115,100,68,33,3,592,0,0,3,20,30,28,8,9,3,100,0,5,3,13,12,3,0,0,0,40,0,4,5,83,75,79,88,26,3,352,5,64,115,444,178,154,82,32,18,1095,0,3,8,75,164,245,292,276,35,1095,4,55,30,95,54,107,99,49,15,513,7,30,19,150,169,180,179,78,27,833,0,7,20,99,54,49,28,9,0,265,0,0,11,19,16,3,3,5,0,61,0,3,23,44,22,36,230,64,26,452,6,16,11,62,118,180,285,335,52,1066,0,4,32,145,21,25,14,4,0,254,84,220,1068,3088,362,241,186,40,15,5289,0,11,10,114,21,7,8,0,0,170,7,44,43,250,33,16,3,3,0,400,12,30,20,113,54,14,10,3,0,260
