LGA_CODE_2016,M_Ireland_0_4,M_Ireland_5_14,M_Ireland_15_24,M_Ireland_25_44,M_Ireland_45_54,M_Ireland_55_64,M_Ireland_65_74,M_Ireland_75_84,M_Ireland_85ov,M_Ireland_Tot,M_Italy_0_4,M_Italy_5_14,M_Italy_15_24,M_Italy_25_44,M_Italy_45_54,M_Italy_55_64,M_Italy_65_74,M_Italy_75_84,M_Italy_85ov,M_Italy_Tot,M_Japan_0_4,M_Japan_5_14,M_Japan_15_24,M_Japan_25_44,M_Japan_45_54,M_Japan_55_64,M_Japan_65_74,M_Japan_75_84,M_Japan_85ov,M_Japan_Tot,M_Korea_South_0_4,M_Korea_South_5_14,M_Korea_South_15_24,M_Korea_South_25_44,M_Korea_South_45_54,M_Korea_South_55_64,M_Korea_South_65_74,M_Korea_South_75_84,M_Korea_South_85ov,M_Korea_South_Tot,M_Lebanon_0_4,M_Lebanon_5_14,M_Lebanon_15_24,M_Lebanon_25_44,M_Lebanon_45_54,M_Lebanon_55_64,M_Lebanon_65_74,M_Lebanon_75_84,M_Lebanon_85ov,M_Lebanon_Tot,M_Malaysia_0_4,M_Malaysia_5_14,M_Malaysia_15_24,M_Malaysia_25_44,M_Malaysia_45_54,M_Malaysia_55_64,M_Malaysia_65_74,M_Malaysia_75_84,M_Malaysia_85ov,M_Malaysia_Tot,M_Malta_0_4,M_Malta_5_14,M_Malta_15_24,M_Malta_25_44,M_Malta_45_54,M_Malta_55_64,M_Malta_65_74,M_Malta_75_84,M_Malta_85ov,M_Malta_Tot,M_Mauritius_0_4,M_Mauritius_5_14,M_Mauritius_15_24,M_Mauritius_25_44,M_Mauritius_45_54,M_Mauritius_55_64,M_Mauritius_65_74,M_Mauritius_75_84,M_Mauritius_85ov,M_Mauritius_Tot,M_Myanmar_0_4,M_Myanmar_5_14,M_Myanmar_15_24,M_Myanmar_25_44,M_Myanmar_45_54,M_Myanmar_55_64,M_Myanmar_65_74,M_Myanmar_75_84,M_Myanmar_85ov,M_Myanmar_Tot,M_Nepal_0_4,M_Nepal_5_14,M_Nepal_15_24,M_Nepal_25_44,M_Nepal_45_54,M_Nepal_55_64,M_Nepal_65_74,M_Nepal_75_84,M_Nepal_85ov,M_Nepal_Tot,M_Netherlands_0_4,M_Netherlands_5_14,M_Netherlands_15_24,M_Netherlands_25_44,M_Netherlands_45_54,M_Netherlands_55_64,M_Netherlands_65_74,M_Netherlands_75_84,M_Netherlands_85ov,M_Netherlands_Tot,M_New_Zealand_0_4,M_New_Zealand_5_14,M_New_Zealand_15_24,M_New_Zealand_25_44,M_New_Zealand_45_54,M_New_Zealand_55_64,M_New_Zealand_65_74,M_New_Zealand_75_84,M_New_Zealand_85ov,M_New_Zealand_Tot,M_Nthern_Ireland_0_4,M_Nthern_Ireland_5_14,M_Nthern_Ireland_15_24,M_Nthern_Ireland_25_44,M_Nthern_Ireland_45_54,M_Nthern_Ireland_55_64,M_Nthern_Ireland_65_74,M_Nthern_Ireland_75_84,M_Nthern_Ireland_85ov,M_Nthern_Ireland_Tot,M_Pakistan_0_4,M_Pakistan_5_14,M_Pakistan_15_24,M_Pakistan_25_44,M_Pakistan_45_54,M_Pakistan_55_64,M_Pakistan_65_74,M_Pakistan_75_84,M_Pakistan_85ov,M_Pakistan_Tot,M_PNG_0_4,M_PNG_5_14,M_PNG_15_24,M_PNG_25_44,M_PNG_45_54,M_PNG_55_64,M_PNG_65_74,M_PNG_75_84,M_PNG_85ov,M_PNG_Tot,M_Philippines_0_4,M_Philippines_5_14,M_Philippines_15_24,M_Philippines_25_44,M_Philippines_45_54,M_Philippines_55_64,M_Philippines_65_74,M_Philippines_75_84,M_Philippines_85ov,M_Philippines_Tot,M_Poland_0_4,M_Poland_5_14,M_Poland_15_24,M_Poland_25_44,M_Poland_45_54,M_Poland_55_64,M_Poland_65_74,M_Poland_75_84,M_Poland_85ov,M_Poland_Tot,M_Scotland_0_4,M_Scotland_5_14,M_Scotland_15_24,M_Scotland_25_44,M_Scotland_45_54,M_Scotland_55_64,M_Scotland_65_74,M_Scotland_75_84,M_Scotland_85ov,M_Scotland_Tot,M_Singapore_0_4,M_Singapore_5_14,M_Singapore_15_24,M_Singapore_25_44,M_Singapore_45_54,M_Singapore_55_64,M_Singapore_65_74,M_Singapore_75_84,M_Singapore_85ov,M_Singapore_Tot,M_South_Africa_0_4,M_South_Africa_5_14,M_South_Africa_15_24,M_South_Africa_25_44,M_South_Africa_45_54,M_South_Africa_55_64,M_South_Africa_65_74,M_South_Africa_75_84,M_South_Africa_85ov,M_South_Africa_Tot
LGA20110,0,0,0,0,0,0,0,0,0,3,0,0,0,5,3,7,48,56,17,138,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,7,0,0,0,3,0,4,13,7,0,32,0,3,5,15,20,17,3,0,0,73,0,0,0,0,0,3,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,11,0,0,0,0,0,12,0,0,0,0,0,0,7,0,0,8,0,0,0,3,3,8,6,5,5,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,9
LGA20260,0,3,0,0,0,0,0,0,0,8,0,0,0,0,3,5,3,3,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,8,0,3,23,0,3,11,55,16,17,5,3,0,112,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4,0,0,0,0,14,0,0,0,3,0,0,0,0,0,3,0,3,5,12,7,0,0,0,0,25,0,0,0,0,0,0,0,0,0,4,0,0,0,3,3,3,3,3,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,9
LGA20570,0,8,5,20,10,4,12,10,3,65,0,0,0,5,9,20,28,24,11,98,0,0,0,9,3,0,0,4,0,19,0,4,3,10,0,0,0,0,0,19,0,0,0,0,3,0,0,0,0,6,0,11,12,32,11,13,3,8,0,85,0,0,0,0,0,11,8,3,0,32,0,0,0,3,0,0,0,0,0,8,0,0,0,4,0,0,0,0,0,5,0,0,3,10,0,0,0,0,0,13,3,0,0,4,10,47,105,75,8,245,3,29,33,106,76,52,41,16,3,371,0,0,0,0,6,5,11,9,0,34,0,4,3,25,3,0,0,0,0,40,0,0,0,3,8,0,0,0,0,8,9,26,20,76,14,5,0,0,0,151,0,0,0,4,3,0,3,0,8,15,0,3,3,23,26,32,44,25,8,169,0,3,0,7,5,0,0,0,0,23,0,7,14,42,15,15,8,4,0,107
LGA20660,0,7,3,92,48,24,30,11,6,223,0,8,3,43,74,196,397,237,132,1092,0,9,8,17,7,5,5,0,0,56,0,8,9,42,12,11,0,0,0,81,0,3,0,36,49,36,35,20,7,189,3,20,46,160,47,78,48,17,0,423,0,0,0,7,10,23,48,12,3,98,0,0,3,25,9,14,5,4,7,62,0,0,7,18,7,4,0,0,0,30,0,4,5,42,3,0,0,0,0,59,0,10,0,27,13,15,36,24,15,134,8,46,73,265,128,84,50,11,7,678,0,6,0,12,10,7,13,5,7,57,0,6,24,67,9,8,7,0,0,114,0,0,3,16,10,5,0,0,0,33,4,9,14,118,26,18,15,3,3,215,0,0,3,35,11,23,17,8,12,108,0,4,7,60,42,53,61,28,12,265,7,10,14,50,10,13,7,0,0,118,3,3,15,79,44,15,14,9,3,196
LGA20740,0,0,0,14,5,4,12,9,3,40,0,0,0,3,6,20,64,29,14,139,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,3,0,0,14,0,0,0,0,0,4,32,3,0,39,0,0,0,3,0,3,5,0,0,18,0,0,0,3,3,0,0,0,0,12,0,0,0,7,0,0,0,0,0,7,0,0,0,7,6,21,54,32,7,122,5,8,9,63,33,56,47,16,0,248,0,0,0,5,5,5,7,5,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,4,6,9,0,3,0,0,0,23,0,0,0,0,0,4,3,0,0,8,0,3,0,11,11,30,31,25,4,118,0,0,0,0,0,0,0,0,0,7,0,0,0,9,7,10,4,0,0,30
LGA20830,0,0,0,12,4,3,3,9,4,45,0,0,0,0,7,22,44,35,3,107,0,3,0,0,3,0,0,0,0,6,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,6,3,0,3,0,0,13,0,0,3,0,3,4,8,0,0,14,0,0,0,3,8,0,5,0,0,21,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,3,0,0,0,3,7,25,79,44,12,170,3,17,30,71,63,40,42,5,3,268,0,0,0,3,7,3,13,8,3,35,0,0,0,3,0,0,0,0,0,8,0,0,0,3,0,3,0,0,0,10,0,0,3,10,0,4,0,0,0,25,0,0,0,4,0,5,7,3,0,24,0,0,0,7,13,17,41,22,5,107,0,0,4,3,0,3,0,0,0,8,0,11,7,20,16,12,9,0,0,72
LGA20910,3,20,19,114,46,30,24,15,9,270,0,10,6,42,36,47,79,71,51,341,7,27,17,30,18,11,8,0,0,117,0,14,10,15,8,3,0,0,0,45,0,0,0,8,12,13,4,0,3,44,7,3,10,47,36,30,18,8,5,160,0,0,0,0,4,12,8,4,0,35,0,0,0,15,14,8,0,3,0,39,0,0,0,0,0,3,0,0,0,4,0,0,0,9,0,0,0,0,0,11,0,31,5,24,30,18,41,19,7,169,7,68,84,249,202,126,74,24,12,851,0,0,0,28,11,11,15,7,0,70,0,0,10,13,0,4,3,0,0,32,0,0,0,7,4,0,0,0,0,19,4,15,8,24,10,6,0,0,0,64,0,0,3,29,14,46,57,24,10,194,0,18,19,70,101,83,68,34,12,406,8,34,19,21,13,6,3,5,0,118,5,37,56,159,147,89,47,17,4,562
LGA21010,0,0,0,0,0,3,8,0,0,8,0,0,0,0,3,0,6,10,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,7,17,7,0,43,0,0,3,8,10,7,9,6,0,38,0,0,0,0,0,0,3,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,3,3,4,17,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,8
LGA21110,0,11,9,111,28,34,27,17,6,240,0,7,7,71,66,98,201,201,88,741,0,13,22,37,14,5,10,3,0,114,5,31,61,131,42,18,4,5,0,289,0,0,5,10,26,8,8,7,10,74,5,52,219,446,234,264,182,60,13,1477,0,0,0,3,7,13,19,6,4,53,0,0,4,34,8,16,10,3,0,74,0,0,0,6,4,5,0,9,0,27,0,0,24,40,0,4,0,0,0,74,0,11,12,32,23,29,40,19,11,171,17,92,181,449,228,187,105,38,14,1312,0,3,4,15,9,11,7,7,4,65,5,6,30,65,13,14,7,0,0,145,0,0,3,25,10,5,0,0,0,49,3,18,19,105,25,16,3,0,3,195,0,0,6,29,5,31,34,17,22,151,0,10,12,78,54,47,61,22,14,295,16,69,69,124,42,42,33,15,0,418,0,24,57,175,101,77,55,20,0,507
LGA21180,0,6,0,44,8,10,26,6,3,109,0,8,23,66,119,339,489,384,136,1570,0,3,7,11,0,0,0,0,0,24,0,0,10,36,0,8,4,5,0,70,4,10,19,115,105,81,53,22,3,412,40,61,33,178,37,50,30,3,0,434,3,0,15,50,119,567,935,463,76,2225,0,0,6,42,14,20,17,0,0,104,12,83,160,424,73,25,9,5,0,786,3,13,101,220,6,7,0,0,0,344,0,0,4,10,3,23,35,20,6,100,69,354,389,520,145,95,31,3,3,1623,0,0,0,7,4,12,13,9,5,46,24,53,289,952,46,16,15,0,0,1399,0,11,8,13,12,3,0,0,0,44,25,169,320,973,492,377,185,34,10,2576,0,0,7,67,52,142,95,42,42,451,0,0,4,17,31,43,52,27,5,184,0,20,15,33,11,22,10,0,0,108,0,4,15,38,13,10,11,0,0,98
