LGA_CODE_2016,F_Mauritius_0_4,F_Mauritius_5_14,F_Mauritius_15_24,F_Mauritius_25_44,F_Mauritius_45_54,F_Mauritius_55_64,F_Mauritius_65_74,F_Mauritius_75_84,F_Mauritius_85ov,F_Mauritius_Tot,F_Myanmar_0_4,F_Myanmar_5_14,F_Myanmar_15_24,F_Myanmar_25_44,F_Myanmar_45_54,F_Myanmar_55_64,F_Myanmar_65_74,F_Myanmar_75_84,F_Myanmar_85ov,F_Myanmar_Tot,F_Nepal_0_4,F_Nepal_5_14,F_Nepal_15_24,F_Nepal_25_44,F_Nepal_45_54,F_Nepal_55_64,F_Nepal_65_74,F_Nepal_75_84,F_Nepal_85ov,F_Nepal_Tot,F_Netherlands_0_4,F_Netherlands_5_14,F_Netherlands_15_24,F_Netherlands_25_44,F_Netherlands_45_54,F_Netherlands_55_64,F_Netherlands_65_74,F_Netherlands_75_84,F_Netherlands_85ov,F_Netherlands_Tot,F_New_Zealand_0_4,F_New_Zealand_5_14,F_New_Zealand_15_24,F_New_Zealand_25_44,F_New_Zealand_45_54,F_New_Zealand_55_64,F_New_Zealand_65_74,F_New_Zealand_75_84,F_New_Zealand_85ov,F_New_Zealand_Tot,F_Nthern_Ireland_0_4,F_Nthern_Ireland_5_14,F_Nthern_Ireland_15_24,F_Nthern_Ireland_25_44,F_Nthern_Ireland_45_54,F_Nthern_Ireland_55_64,F_Nthern_Ireland_65_74,F_Nthern_Ireland_75_84,F_Nthern_Ireland_85ov,F_Nthern_Ireland_Tot,F_Pakistan_0_4,F_Pakistan_5_14,F_Pakistan_15_24,F_Pakistan_25_44,F_Pakistan_45_54,F_Pakistan_55_64,F_Pakistan_65_74,F_Pakistan_75_84,F_Pakistan_85ov,F_Pakistan_Tot,F_PNG_0_4,F_PNG_5_14,F_PNG_15_24,F_PNG_25_44,F_PNG_45_54,F_PNG_55_64,F_PNG_65_74,F_PNG_75_84,F_PNG_85ov,F_PNG_Tot,F_Philippines_0_4,F_Philippines_5_14,F_Philippines_15_24,F_Philippines_25_44,F_Philippines_45_54,F_Philippines_55_64,F_Philippines_65_74,F_Philippines_75_84,F_Philippines_85ov,F_Philippines_Tot,F_Poland_0_4,F_Poland_5_14,F_Poland_15_24,F_Poland_25_44,F_Poland_45_54,F_Poland_55_64,F_Poland_65_74,F_Poland_75_84,F_Poland_85ov,F_Poland_Tot,F_Scotland_0_4,F_Scotland_5_14,F_Scotland_15_24,F_Scotland_25_44,F_Scotland_45_54,F_Scotland_55_64,F_Scotland_65_74,F_Scotland_75_84,F_Scotland_85ov,F_Scotland_Tot,F_Singapore_0_4,F_Singapore_5_14,F_Singapore_15_24,F_Singapore_25_44,F_Singapore_45_54,F_Singapore_55_64,F_Singapore_65_74,F_Singapore_75_84,F_Singapore_85ov,F_Singapore_Tot,F_South_Africa_0_4,F_South_Africa_5_14,F_South_Africa_15_24,F_South_Africa_25_44,F_South_Africa_45_54,F_South_Africa_55_64,F_South_Africa_65_74,F_South_Africa_75_84,F_South_Africa_85ov,F_South_Africa_Tot,F_SE_Europe_nfd_0_4,F_SE_Europe_nfd_5_14,F_SE_Europe_nfd_15_24,F_SE_Europe_nfd_25_44,F_SE_Europe_nfd_45_54,F_SE_Europe_nfd_55_64,F_SE_Europe_nfd_65_74,F_SE_Europe_nfd_75_84,F_SE_Europe_nfd_85ov,F_SE_Europe_nfd_Tot,F_Sri_Lanka_0_4,F_Sri_Lanka_5_14,F_Sri_Lanka_15_24,F_Sri_Lanka_25_44,F_Sri_Lanka_45_54,F_Sri_Lanka_55_64,F_Sri_Lanka_65_74,F_Sri_Lanka_75_84,F_Sri_Lanka_85ov,F_Sri_Lanka_Tot,F_Taiwan_0_4,F_Taiwan_5_14,F_Taiwan_15_24,F_Taiwan_25_44,F_Taiwan_45_54,F_Taiwan_55_64,F_Taiwan_65_74,F_Taiwan_75_84,F_Taiwan_85ov,F_Taiwan_Tot,F_Thailand_0_4,F_Thailand_5_14,F_Thailand_15_24,F_Thailand_25_44,F_Thailand_45_54,F_Thailand_55_64,F_Thailand_65_74,F_Thailand_75_84,F_Thailand_85ov,F_Thailand_Tot,F_FYROM_0_4,F_FYROM_5_14,F_FYROM_15_24,F_FYROM_25_44,F_FYROM_45_54,F_FYROM_55_64,F_FYROM_65_74,F_FYROM_75_84,F_FYROM_85ov,F_FYROM_Tot,F_Turkey_0_4,F_Turkey_5_14,F_Turkey_15_24,F_Turkey_25_44,F_Turkey_45_54,F_Turkey_55_64,F_Turkey_65_74,F_Turkey_75_84,F_Turkey_85ov,F_Turkey_Tot,F_USA_0_4,F_USA_5_14,F_USA_15_24,F_USA_25_44,F_USA_45_54,F_USA_55_64,F_USA_65_74,F_USA_75_84,F_USA_85ov,F_USA_Tot
LGA20110,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,0,0,4,0,0,0,0,0,0,3,0,0,3,3,0,12,15,3,0,31,0,10,3,25,19,15,10,3,0,80,0,0,0,0,0,3,0,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,16,7,3,3,0,0,28,0,0,0,0,0,0,3,0,0,6,0,0,3,3,0,8,6,5,0,34,0,0,0,0,3,0,0,0,0,5,0,0,0,4,0,0,0,0,0,10,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,9,0,0,0,0,3,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,3,7,3,3,0,26
LGA20260,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,3,4,22,0,11,6,27,13,6,0,3,0,69,0,0,0,3,0,0,0,0,0,3,0,7,0,3,0,0,0,0,0,8,0,0,0,0,4,0,0,0,0,4,0,3,0,23,10,8,3,0,0,50,0,0,0,0,0,0,3,0,0,4,0,0,0,3,0,0,5,3,0,14,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,6,22,0,0,0,0,0,27,0,0,0,4,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,7
LGA20570,0,0,3,8,0,0,0,0,0,9,0,0,3,4,3,0,3,0,0,10,0,0,0,15,3,0,0,0,0,20,0,3,3,4,11,43,119,81,25,289,4,19,37,115,75,75,39,22,7,396,0,0,3,0,3,11,7,9,3,30,0,0,8,16,0,0,0,0,0,29,0,0,3,11,7,0,0,0,0,24,3,26,23,111,44,45,14,3,0,267,0,0,0,11,3,3,7,8,8,32,0,0,4,18,32,36,53,34,9,187,0,8,4,8,10,8,0,0,0,31,0,6,14,34,21,12,8,3,0,99,0,0,0,4,3,5,10,3,3,23,0,9,4,29,10,0,3,0,0,57,0,0,3,14,3,0,0,0,0,19,0,3,8,41,14,7,0,0,0,76,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,3,0,0,0,3,0,8,13,39,16,16,16,0,0,112
LGA20660,0,0,7,18,12,17,10,5,3,83,0,0,7,14,4,3,3,0,0,34,0,0,4,19,0,0,0,0,0,26,0,5,3,9,7,18,31,30,3,116,16,50,55,286,128,103,52,24,10,721,0,3,0,11,5,11,13,4,6,51,0,0,4,38,10,5,0,0,0,61,0,0,0,12,17,6,3,0,0,42,3,11,34,159,57,65,28,7,3,366,0,0,0,37,22,30,18,30,22,155,0,15,16,46,39,63,58,38,17,283,0,17,21,71,15,25,12,10,0,175,3,11,23,88,50,28,13,8,3,222,0,0,0,6,12,16,25,14,8,80,0,13,32,136,75,56,50,24,8,389,0,0,15,64,14,11,4,0,0,103,3,7,27,85,29,15,3,0,0,162,0,0,3,26,34,51,60,20,4,204,0,0,0,7,10,9,5,4,0,34,11,32,29,77,39,21,29,6,0,240
LGA20740,0,0,0,4,3,3,3,0,0,10,0,0,0,8,0,0,0,0,0,7,0,0,0,8,0,0,0,0,0,8,0,0,0,8,3,14,58,32,10,140,4,15,15,59,44,62,45,18,4,264,0,0,0,0,0,9,13,5,0,22,0,0,0,0,0,0,0,0,0,0,0,6,0,4,0,0,0,0,0,11,0,3,0,26,9,8,5,3,0,60,0,0,0,5,0,0,7,0,0,8,0,0,0,11,15,25,39,12,8,106,0,0,0,3,0,0,0,0,0,4,0,0,0,11,12,5,8,0,0,38,0,0,0,0,0,0,3,0,4,13,0,0,0,4,5,7,3,0,0,23,0,0,0,5,0,0,0,0,0,5,0,3,4,13,7,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,3,0,16,11,7,3,3,0,48
LGA20830,0,0,0,5,6,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,13,50,87,33,17,204,0,11,25,72,56,45,28,11,3,261,0,0,0,3,6,3,10,3,0,28,0,0,0,9,0,0,0,0,0,8,0,0,0,6,7,0,0,0,0,12,0,6,3,41,22,20,10,0,0,97,0,0,0,4,0,11,5,4,5,25,0,0,0,10,8,34,43,24,3,116,0,0,0,3,0,0,0,3,0,7,0,9,0,16,9,15,11,3,0,58,0,0,0,0,3,0,5,4,0,12,0,3,0,11,6,4,7,0,0,29,0,0,4,27,0,0,0,0,0,35,0,3,3,14,3,3,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,6,6,10,9,12,0,0,44
LGA20910,0,0,0,18,9,11,6,3,0,55,0,0,0,0,10,4,0,0,0,12,0,0,0,6,0,0,0,0,0,8,3,16,12,26,23,25,27,15,12,160,5,58,83,276,226,166,81,25,20,947,0,0,0,12,23,14,11,4,3,72,0,0,0,10,0,3,3,0,0,15,0,0,0,4,9,5,4,0,0,27,0,5,14,53,36,21,19,4,0,152,0,3,3,70,30,70,57,22,39,285,0,17,14,77,81,57,65,35,21,375,3,43,24,40,26,15,3,7,0,151,6,48,47,196,143,79,55,10,8,604,0,0,0,7,21,10,10,10,4,62,0,0,0,38,17,30,23,18,8,139,0,0,4,20,7,9,0,0,0,38,0,16,13,44,13,6,9,0,0,97,0,0,0,4,12,5,0,0,0,23,0,0,0,14,18,16,12,3,0,61,17,84,57,111,84,59,25,4,0,442
LGA21010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,15,12,3,28,0,0,4,12,20,11,4,3,3,57,0,0,0,0,0,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,3,0,8,3,9,3,0,0,29,0,0,0,0,0,0,0,0,0,3,0,0,0,4,3,14,4,3,0,28,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,3,0,0,0,10,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,3,3,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,10,0,0,16
LGA21110,0,0,4,30,23,13,4,4,4,81,0,0,3,18,9,5,3,4,6,49,0,0,12,29,3,0,0,0,0,49,0,8,8,22,18,19,42,13,8,142,12,101,149,454,239,183,107,71,20,1338,0,0,0,12,17,9,11,4,10,58,0,3,16,39,16,7,0,0,0,84,0,0,0,20,19,10,5,0,0,50,3,20,23,202,42,46,17,8,3,367,0,0,0,48,23,43,38,35,34,222,0,15,8,64,51,48,61,41,26,317,13,57,73,161,69,98,46,18,11,542,0,20,58,186,96,74,47,23,8,507,0,0,0,5,17,16,7,13,3,58,0,23,52,236,108,87,58,34,17,625,0,14,35,248,58,70,39,7,0,473,0,11,49,194,44,16,4,4,0,321,0,0,0,12,12,14,14,8,4,66,0,3,5,31,31,8,3,4,3,88,21,94,77,167,103,63,25,10,9,568
LGA21180,0,0,4,45,16,24,11,6,3,112,4,83,131,386,41,23,9,3,0,680,0,5,61,177,11,4,0,0,0,254,0,0,0,4,4,18,35,18,7,90,63,365,350,564,162,98,29,12,3,1650,0,0,4,3,3,14,14,14,7,64,23,44,44,257,25,21,10,3,0,422,0,11,13,24,3,3,0,0,0,52,23,156,286,1181,613,556,241,77,34,3165,0,0,11,79,61,155,116,84,101,612,0,0,0,11,19,35,51,34,11,162,7,14,15,50,16,6,11,0,0,123,0,0,13,28,16,18,6,0,0,82,0,0,0,33,57,87,91,75,23,367,4,61,67,313,140,92,44,31,5,756,0,0,9,51,10,12,4,0,0,84,0,26,42,204,56,19,7,3,0,362,6,11,22,203,269,467,401,144,34,1551,0,3,10,96,83,59,41,13,6,313,4,27,24,39,14,4,0,0,0,110
