LGA_CODE_2016,C15_17F_EO_M_O_E_T,C15_17F_EO_M_LPENS,C15_17F_EO_M_T,C15_17F_O_EVWW_M_EO,C15_17F_O_EVWW_M_O_EVWW,C15_17F_O_EVWW_M_O_ENWNA,C15_17F_O_EVWW_M_O_PENS,C15_17F_O_EVWW_M_O_E_T,C15_17F_O_EVWW_M_LPENS,C15_17F_O_EVWW_M_T,C15_17F_O_ENWNA_M_EO,C15_17F_O_ENWNA_M_O_EVWW,C15_17F_O_ENWNA_M_O_ENWNA,C15_17F_O_ENWNA_M_O_PENS,C15_17F_O_ENWNA_M_O_E_T,C15_17F_O_ENWNA_M_LPENS,C15_17F_O_ENWNA_M_T,C15_17F_O_PENS_M_EO,C15_17F_O_PENS_M_O_EVWW,C15_17F_O_PENS_M_O_ENWNA,C15_17F_O_PENS_M_O_PENS,C15_17F_O_PENS_M_O_E_T,C15_17F_O_PENS_M_LPENS,C15_17F_O_PENS_M_T,C15_17F_O_E_T_M_EO,C15_17F_O_E_T_M_O_EVWW,C15_17F_O_E_T_M_O_ENWNA,C15_17F_O_E_T_M_O_PENS,C15_17F_O_E_T_M_O_E_T,C15_17F_O_E_T_M_LPENS,C15_17F_O_E_T_M_T,C15_17F_LPENS_M_EO,C15_17F_LPENS_M_O_EVWW,C15_17F_LPENS_M_O_ENWNA,C15_17F_LPENS_M_O_PENS,C15_17F_LPENS_M_O_E_T,C15_17F_LPENS_M_LPENS,C15_17F_LPENS_M_T,C15_17F_T_M_EO,C15_17F_T_M_O_EVWW,C15_17F_T_M_O_ENWNA,C15_17F_T_M_O_PENS,C15_17F_T_M_O_E_T,C15_17F_T_M_LPENS,C15_17F_T_M_T,C18_20F_EO_M_EO,C18_20F_EO_M_O_EVWW,C18_20F_EO_M_O_ENWNA,C18_20F_EO_M_O_PENS,C18_20F_EO_M_O_E_T,C18_20F_EO_M_LPENS,C18_20F_EO_M_T,C18_20F_O_EVWW_M_EO,C18_20F_O_EVWW_M_O_EVWW,C18_20F_O_EVWW_M_O_ENWNA,C18_20F_O_EVWW_M_O_PENS,C18_20F_O_EVWW_M_O_E_T,C18_20F_O_EVWW_M_LPENS,C18_20F_O_EVWW_M_T,C18_20F_O_ENWNA_M_EO,C18_20F_O_ENWNA_M_O_EVWW,C18_20F_O_ENWNA_M_O_ENWNA,C18_20F_O_ENWNA_M_O_PENS,C18_20F_O_ENWNA_M_O_E_T,C18_20F_O_ENWNA_M_LPENS,C18_20F_O_ENWNA_M_T,C18_20F_O_PENS_M_EO,C18_20F_O_PENS_M_O_EVWW,C18_20F_O_PENS_M_O_ENWNA,C18_20F_O_PENS_M_O_PENS,C18_20F_O_PENS_M_O_E_T,C18_20F_O_PENS_M_LPENS,C18_20F_O_PENS_M_T,C18_20F_O_E_T_M_EO,C18_20F_O_E_T_M_O_EVWW,C18_20F_O_E_T_M_O_ENWNA,C18_20F_O_E_T_M_O_PENS,C18_20F_O_E_T_M_O_E_T,C18_20F_O_E_T_M_LPENS,C18_20F_O_E_T_M_T,C18_20F_LPENS_M_EO,C18_20F_LPENS_M_O_EVWW,C18_20F_LPENS_M_O_ENWNA,C18_20F_LPENS_M_O_PENS,C18_20F_LPENS_M_O_E_T,C18_20F_LPENS_M_LPENS,C18_20F_LPENS_M_T,C18_20F_T_M_EO,C18_20F_T_M_O_EVWW,C18_20F_T_M_O_ENWNA,C18_20F_T_M_O_PENS,C18_20F_T_M_O_E_T,C18_20F_T_M_LPENS,C18_20F_T_M_T,C21_24F_EO_M_EO,C21_24F_EO_M_O_EVWW,C21_24F_EO_M_O_ENWNA,C21_24F_EO_M_O_PENS,C21_24F_EO_M_O_E_T,C21_24F_EO_M_LPENS,C21_24F_EO_M_T,C21_24F_O_EVWW_M_EO,C21_24F_O_EVWW_M_O_EVWW,C21_24F_O_EVWW_M_O_ENWNA,C21_24F_O_EVWW_M_O_PENS,C21_24F_O_EVWW_M_O_E_T,C21_24F_O_EVWW_M_LPENS,C21_24F_O_EVWW_M_T,C21_24F_O_ENWNA_M_EO,C21_24F_O_ENWNA_M_O_EVWW,C21_24F_O_ENWNA_M_O_ENWNA,C21_24F_O_ENWNA_M_O_PENS,C21_24F_O_ENWNA_M_O_E_T,C21_24F_O_ENWNA_M_LPENS,C21_24F_O_ENWNA_M_T,C21_24F_O_PENS_M_EO,C21_24F_O_PENS_M_O_EVWW,C21_24F_O_PENS_M_O_ENWNA,C21_24F_O_PENS_M_O_PENS,C21_24F_O_PENS_M_O_E_T,C21_24F_O_PENS_M_LPENS,C21_24F_O_PENS_M_T,C21_24F_O_E_T_M_EO,C21_24F_O_E_T_M_O_EVWW,C21_24F_O_E_T_M_O_ENWNA,C21_24F_O_E_T_M_O_PENS,C21_24F_O_E_T_M_O_E_T,C21_24F_O_E_T_M_LPENS,C21_24F_O_E_T_M_T,C21_24F_LPENS_M_EO,C21_24F_LPENS_M_O_EVWW,C21_24F_LPENS_M_O_ENWNA,C21_24F_LPENS_M_O_PENS,C21_24F_LPENS_M_O_E_T,C21_24F_LPENS_M_LPENS,C21_24F_LPENS_M_T,C21_24F_T_M_EO,C21_24F_T_M_O_EVWW,C21_24F_T_M_O_ENWNA,C21_24F_T_M_O_PENS,C21_24F_T_M_O_E_T,C21_24F_T_M_LPENS,C21_24F_T_M_T,TCF_EO_M_EO,TCF_EO_M_O_EVWW,TCF_EO_M_O_ENWNA,TCF_EO_M_O_PENS,TCF_EO_M_O_E_T,TCF_EO_M_LPENS,TCF_EO_M_T,TCF_O_EVWW_M_EO,TCF_O_EVWW_M_O_EVWW,TCF_O_EVWW_M_O_ENWNA,TCF_O_EVWW_M_O_PENS,TCF_O_EVWW_M_O_E_T,TCF_O_EVWW_M_LPENS,TCF_O_EVWW_M_T,TCF_O_ENWNA_M_EO,TCF_O_ENWNA_M_O_EVWW,TCF_O_ENWNA_M_O_ENWNA,TCF_O_ENWNA_M_O_PENS,TCF_O_ENWNA_M_O_E_T,TCF_O_ENWNA_M_LPENS,TCF_O_ENWNA_M_T,TCF_O_PENS_M_EO,TCF_O_PENS_M_O_EVWW,TCF_O_PENS_M_O_ENWNA,TCF_O_PENS_M_O_PENS,TCF_O_PENS_M_O_E_T,TCF_O_PENS_M_LPENS,TCF_O_PENS_M_T,TCF_O_E_T_M_EO,TCF_O_E_T_M_O_EVWW,TCF_O_E_T_M_O_ENWNA,TCF_O_E_T_M_O_PENS,TCF_O_E_T_M_O_E_T,TCF_O_E_T_M_LPENS,TCF_O_E_T_M_T,TCF_LPENS_M_EO,TCF_LPENS_M_O_EVWW,TCF_LPENS_M_O_ENWNA,TCF_LPENS_M_O_PENS,TCF_LPENS_M_O_E_T,TCF_LPENS_M_LPENS,TCF_LPENS_M_T,TCF_T_M_EO,TCF_T_M_O_EVWW,TCF_T_M_O_ENWNA,TCF_T_M_O_PENS,TCF_T_M_O_E_T,TCF_T_M_LPENS,TCF_T_M_T
LGA20110,3,0,252,3,3,0,0,3,0,9,0,0,0,0,3,0,3,0,0,0,0,0,0,0,3,6,0,0,9,0,10,0,0,0,0,0,0,0,246,9,0,0,10,0,262,42,0,0,0,0,0,42,5,3,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,4,0,0,0,0,0,0,0,44,0,0,0,0,0,48,10,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,10,1492,40,0,0,40,5,1539,48,48,6,0,48,0,97,0,9,6,0,15,0,16,0,0,0,0,0,0,0,52,51,13,0,65,0,120,0,0,0,0,0,3,3,1541,96,13,0,108,11,1666
LGA20260,0,0,188,3,5,0,0,5,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,5,0,7,3,0,0,0,0,0,3,192,5,0,0,5,0,201,36,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,36,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,1343,11,0,0,11,5,1354,27,59,0,0,64,0,89,0,9,0,0,9,0,7,0,0,0,0,0,0,0,26,67,0,0,67,0,92,3,0,0,0,0,0,3,1369,77,0,0,74,5,1451
LGA20570,25,0,1842,54,80,12,0,85,0,137,0,3,4,0,11,0,11,0,0,0,0,0,0,0,54,79,15,0,97,0,145,0,0,0,0,0,0,0,1868,104,16,0,120,0,1989,638,6,0,0,6,0,641,16,33,3,0,37,0,50,0,0,0,0,0,0,5,0,0,0,0,0,0,0,15,34,3,0,39,0,53,0,0,0,0,0,0,0,651,45,3,0,47,0,700,243,0,0,0,0,0,241,4,10,0,0,16,0,23,0,3,0,0,3,0,3,0,0,0,0,0,0,0,4,18,0,0,15,0,21,0,0,0,0,0,0,0,248,15,0,0,19,0,267,14661,182,4,3,188,14,14863,347,888,44,5,941,3,1292,16,81,21,0,102,0,115,0,0,0,0,0,0,0,361,968,70,5,1046,3,1407,11,3,0,0,3,27,42,15036,1156,71,9,1237,38,16311
LGA20660,63,3,1948,125,502,23,0,525,0,647,3,47,30,0,75,0,78,0,3,0,0,3,0,4,132,554,49,0,605,0,730,5,0,0,0,0,3,7,2012,615,49,0,662,7,2681,1176,40,0,0,44,0,1225,86,311,20,0,334,0,417,0,35,30,0,61,0,65,3,3,0,0,3,0,3,83,351,54,0,396,0,486,5,0,0,0,0,0,3,1270,393,49,0,441,5,1715,623,25,0,0,25,0,651,47,176,6,0,187,0,232,0,17,17,0,35,0,35,0,0,0,0,0,0,0,42,192,25,0,220,0,262,0,0,0,0,0,0,0,674,214,25,0,241,0,915,15761,709,10,6,727,16,16501,1191,4387,189,14,4594,3,5793,20,353,168,0,519,0,535,12,26,0,3,32,0,35,1225,4764,359,13,5139,3,6361,21,3,0,0,3,20,44,17002,5482,363,24,5864,37,22906
LGA20740,4,0,538,7,13,0,0,15,0,19,0,0,3,0,4,0,4,0,0,0,0,0,0,0,7,15,3,0,13,0,26,3,0,0,0,0,0,3,540,20,3,0,23,0,562,117,3,0,0,3,0,123,0,9,0,0,8,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,9,0,11,0,0,0,0,0,0,0,121,10,0,0,8,0,131,22,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,26,3944,53,3,0,54,11,4004,100,154,3,0,156,0,255,3,8,8,0,23,0,21,5,0,0,0,0,0,5,106,161,13,0,176,0,281,21,0,0,0,0,14,28,4065,211,15,0,233,23,4319
LGA20830,15,3,1038,17,31,3,0,30,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,31,4,0,33,0,54,0,0,0,0,0,0,0,1041,42,4,0,47,4,1088,354,6,0,0,6,0,359,5,13,0,0,13,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,13,0,0,13,0,18,0,0,0,0,0,0,0,360,16,0,0,16,0,375,109,0,0,0,0,0,109,3,6,0,0,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,0,6,0,9,0,0,0,0,0,0,0,115,6,0,0,6,0,118,7708,118,0,0,123,20,7850,170,202,6,4,213,0,386,4,11,5,0,20,0,25,0,0,0,0,0,0,0,174,219,14,4,231,0,411,13,0,0,0,0,9,20,7895,338,16,4,358,29,8282
LGA20910,58,0,2296,136,318,6,0,328,0,467,0,11,17,0,31,0,33,0,0,0,0,0,0,0,141,333,24,0,356,0,501,3,0,0,0,0,0,3,2381,389,24,0,420,0,2797,1356,33,0,0,33,0,1390,75,196,7,0,207,0,280,0,14,3,0,16,0,16,0,0,0,0,0,0,0,75,211,13,0,221,0,297,3,0,0,0,0,0,0,1431,241,13,0,260,0,1692,794,19,0,0,19,0,812,45,115,5,0,126,0,170,0,6,11,0,18,0,18,0,0,0,0,0,0,0,45,123,16,0,140,0,181,0,0,0,0,0,0,0,839,142,16,0,157,0,992,16155,560,11,3,576,13,16744,1094,2224,60,0,2280,0,3373,8,98,68,0,166,0,179,4,6,0,3,7,0,15,1106,2329,124,3,2455,0,3563,14,0,0,0,0,8,25,17273,2893,134,3,3031,25,20328
LGA21010,0,0,268,3,8,0,0,8,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,0,0,8,0,8,0,0,0,0,0,0,0,270,4,0,0,4,0,280,49,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,49,9,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,9,1589,9,0,0,9,5,1611,23,55,0,0,59,0,76,0,3,3,0,5,0,6,0,0,0,0,0,0,0,22,59,3,0,64,0,87,0,0,0,0,0,4,3,1618,64,3,0,74,9,1701
LGA21110,129,0,3317,206,922,66,0,989,0,1198,3,58,93,0,152,0,158,0,3,0,0,3,0,3,212,978,158,3,1142,0,1354,0,0,0,0,0,4,3,3396,1108,158,3,1272,7,4670,2301,84,0,0,87,3,2386,131,694,35,0,728,0,863,0,56,76,0,136,0,136,0,0,0,0,4,0,4,131,751,112,3,870,0,999,0,0,0,0,0,3,6,2433,836,112,8,955,6,3391,1421,44,0,3,47,0,1469,57,364,28,0,394,0,456,0,34,36,0,64,0,67,0,0,0,3,3,0,3,59,394,63,3,455,0,523,0,0,0,0,0,0,3,1487,434,65,6,506,4,1994,22098,926,0,16,936,22,23060,1750,7086,367,20,7479,0,9229,27,421,529,0,951,0,977,6,15,3,16,36,0,46,1784,7523,902,35,8461,0,10250,18,8,0,0,13,21,49,23901,8459,909,53,9412,52,33364
LGA21180,98,0,1237,160,1688,161,11,1865,0,2026,5,360,495,7,854,0,864,0,11,0,11,20,0,20,173,2055,655,25,2740,0,2914,3,0,0,0,0,6,6,1309,2153,655,25,2835,3,4152,661,49,0,0,47,0,717,89,1182,133,7,1321,0,1408,0,260,425,3,682,0,687,3,5,0,6,12,0,17,88,1442,557,15,2018,0,2108,0,0,0,0,0,0,0,753,1496,560,15,2069,0,2822,344,22,0,0,22,0,367,44,654,67,0,723,0,769,3,166,245,0,410,0,417,0,5,5,4,12,0,16,52,825,317,5,1151,0,1200,0,0,0,0,0,0,3,396,848,317,5,1168,3,1567,8771,1023,18,8,1052,5,9830,1393,15100,1205,81,16383,10,17787,51,2799,3311,32,6142,0,6188,23,90,22,87,192,0,217,1462,17984,4538,196,22715,9,24191,23,19,3,8,28,75,127,10256,19029,4555,212,23802,93,34148
