LGA_CODE_2016,Buddhism_M,Buddhism_F,Buddhism_P,Christianity_Anglican_M,Christianity_Anglican_F,Christianity_Anglican_P,Christianity_Asyrin_Apstlic_M,Christianity_Asyrin_Apstlic_F,Christianity_Asyrin_Apstlic_P,Christianity_Baptist_M,Christianity_Baptist_F,Christianity_Baptist_P,Christianity_Brethren_M,Christianity_Brethren_F,Christianity_Brethren_P,Christianity_Catholic_M,Christianity_Catholic_F,Christianity_Catholic_P,Christianity_Church_Christ_M,Christianity_Church_Christ_F,Christianity_Church_Christ_P,Christianity_Eastrn_Orthdox_M,Christianity_Eastrn_Orthdox_F,Christianity_Eastrn_Orthdox_P,Christinty_Jehvahs_Witnses_M,Christinty_Jehvahs_Witnses_F,Christinty_Jehvahs_Witnses_P,Christianity_Lattr_day_Snts_M,Christianity_Lattr_day_Snts_F,Christianity_Lattr_day_Snts_P,Christianity_Lutheran_M,Christianity_Lutheran_F,Christianity_Lutheran_P,Christianity_Orintal_Orthdx_M,Christianity_Orintal_Orthdx_F,Christianity_Orintal_Orthdx_P,Christianity_Othr_Protestnt_M,Christianity_Othr_Protestnt_F,Christianity_Othr_Protestnt_P,Christianity_Pentecostal_M,Christianity_Pentecostal_F,Christianity_Pentecostal_P,Christinty_Prsbytrin_Refrmd_M,Christinty_Prsbytrin_Refrmd_F,Christinty_Prsbytrin_Refrmd_P,Christianity_Salvation_Army_M,Christianity_Salvation_Army_F,Christianity_Salvation_Army_P,Christnty_Sevnth_dy_Advntst_M,Christnty_Sevnth_dy_Advntst_F,Christnty_Sevnth_dy_Advntst_P,Christianity_Uniting_Church_M,Christianity_Uniting_Church_F,Christianity_Uniting_Church_P,Christianity_Christian_nfd_M,Christianity_Christian_nfd_F,Christianity_Christian_nfd_P,Christianity_Othr_Christian_M,Christianity_Othr_Christian_F,Christianity_Othr_Christian_P,Christianity_Tot_M,Christianity_Tot_F,Christianity_Tot_P,Hinduism_M,Hinduism_F,Hinduism_P,Islam_M,Islam_F,Islam_P,Judaism_M,Judaism_F,Judaism_P,Othr_Rel_Aust_Abor_Trad_Rel_M,Othr_Rel_Aust_Abor_Trad_Rel_F,Othr_Rel_Aust_Abor_Trad_Rel_P,Othr_Rel_Sikhism_M,Othr_Rel_Sikhism_F,Othr_Rel_Sikhism_P,Othr_Reln_Other_reln_groups_M,Othr_Reln_Other_reln_groups_F,Othr_Reln_Other_reln_groups_P,Other_Religions_Tot_M,Other_Religions_Tot_F,Other_Religions_Tot_P,SB_OSB_NRA_NR_M,SB_OSB_NRA_NR_F,SB_OSB_NRA_NR_P,SB_OSB_NRA_SB_M,SB_OSB_NRA_SB_F,SB_OSB_NRA_SB_P,SB_OSB_NRA_OSB_M,SB_OSB_NRA_OSB_F,SB_OSB_NRA_OSB_P,SB_OSB_NRA_Tot_M,SB_OSB_NRA_Tot_F,SB_OSB_NRA_Tot_P,Religious_affiliation_ns_M,Religious_affiliation_ns_F,Religious_affiliation_ns_P,Tot_M,Tot_F,Tot_P
LGA20110,35,47,84,739,849,1587,0,0,0,41,54,93,0,0,0,1409,1489,2898,13,27,44,41,29,71,30,38,68,5,6,14,31,29,64,0,0,0,16,22,40,39,42,75,134,133,268,4,8,14,8,14,21,306,417,722,139,148,281,9,3,13,2966,3323,6286,13,28,34,11,5,19,0,10,10,0,0,0,0,0,0,13,29,41,13,29,41,2278,2060,4333,22,20,37,7,13,22,2308,2090,4400,726,742,1471,6074,6265,12337
LGA20260,23,25,50,636,728,1367,0,0,0,25,36,55,0,0,0,1064,1206,2268,31,29,64,11,7,16,23,37,66,4,3,6,58,65,123,0,0,0,11,6,21,23,27,46,260,218,476,23,29,54,15,17,34,496,545,1042,77,88,161,6,9,10,2753,3050,5800,18,17,35,30,26,49,0,7,7,0,0,0,14,13,31,3,13,14,23,23,44,2046,1730,3776,3,5,11,5,5,9,2050,1745,3797,1266,558,1818,6152,5449,11600
LGA20570,330,437,759,4789,6033,10823,0,0,0,421,479,900,102,90,191,11462,13292,24760,397,561,958,182,205,389,107,155,263,57,74,132,245,302,544,21,17,37,109,129,241,299,347,646,1277,1529,2800,169,216,383,61,105,162,2956,3977,6930,845,978,1820,24,21,47,23522,28518,52038,337,278,616,247,176,427,17,25,42,7,5,14,110,104,216,129,177,303,242,291,533,19300,18235,37538,181,157,340,58,104,160,19547,18494,38035,4627,4611,9234,48864,52821,101686
LGA20660,898,1223,2121,4797,6011,10806,0,3,6,619,805,1424,53,57,116,15567,17631,33201,64,90,159,2575,2711,5283,64,94,154,66,65,127,237,282,523,112,119,236,153,193,344,413,499,910,936,1094,2027,117,130,240,38,46,78,1421,2025,3445,1135,1344,2477,35,39,73,28391,33233,61625,879,777,1654,1397,1318,2714,61,79,142,0,3,4,159,155,311,168,258,430,328,416,745,22035,20175,42209,231,180,413,82,146,231,22356,20497,42851,4919,5100,10018,59222,62644,121865
LGA20740,143,198,339,2255,2745,5001,0,0,0,279,361,643,0,0,5,2917,3333,6254,13,24,37,98,105,205,44,59,105,17,23,37,45,47,93,5,3,9,30,40,72,83,84,167,428,472,892,44,73,122,13,15,29,622,865,1488,283,364,647,14,12,33,7202,8639,15833,49,42,96,17,28,49,11,14,32,0,0,0,21,12,35,48,53,103,70,69,137,6618,6180,12801,57,37,97,35,52,90,6715,6275,12983,1684,1652,3336,15897,16912,32804
LGA20830,121,183,302,3381,4092,7472,0,0,0,310,349,650,53,57,113,4610,5071,9685,56,69,123,96,96,190,103,116,214,43,41,83,63,89,148,3,0,5,198,219,421,144,177,318,911,1146,2053,90,132,220,62,76,138,1096,1389,2487,705,786,1487,12,15,31,11930,13923,25851,52,52,108,39,45,80,7,7,17,0,0,3,29,31,55,47,97,145,71,127,202,8848,8094,16941,81,73,155,28,47,80,8957,8219,17176,2364,2387,4751,23543,24938,48479
LGA20910,468,718,1183,6101,7831,13931,0,0,4,261,298,559,3,0,5,10039,12010,22053,31,47,73,1814,1986,3799,40,51,84,19,28,45,167,222,393,60,54,113,129,125,251,102,131,231,863,966,1834,17,28,42,22,25,40,1370,1885,3260,536,704,1240,33,37,69,21608,26432,48034,291,288,581,220,217,441,1267,1340,2607,0,0,0,67,42,106,91,114,208,157,157,317,17715,17002,34715,157,108,269,58,116,172,17924,17228,35154,4288,4477,8768,46229,50862,97087
LGA21010,30,54,84,943,1188,2127,0,0,0,79,102,181,0,0,0,1373,1557,2932,3,0,4,23,16,36,34,32,69,9,14,27,40,37,76,0,0,0,30,21,47,48,61,110,319,372,690,37,49,88,12,19,31,464,568,1038,146,165,309,3,3,6,3562,4209,7774,29,19,47,12,15,31,3,3,3,0,0,0,12,6,15,5,16,23,17,24,38,2294,2033,4328,22,27,52,8,8,14,2327,2070,4392,744,753,1495,6720,7149,13861
LGA21110,2241,3141,5383,7248,8984,16236,4,7,9,1105,1363,2469,3,9,13,16724,19549,36275,85,132,214,3514,3787,7298,53,73,131,37,58,89,246,360,602,136,156,285,266,325,588,417,531,943,1196,1461,2656,67,94,164,46,52,99,2340,3341,5679,1258,1630,2887,38,54,84,34780,41949,76727,2222,1870,4087,1011,832,1846,703,759,1458,0,6,6,203,163,360,236,295,526,437,458,892,31099,30242,61335,333,291,622,95,170,267,31523,30701,62231,7232,7381,14606,80145,87085,167231
LGA21180,9525,11434,20964,2762,3215,5972,36,36,76,1505,1439,2942,0,4,6,29355,31542,60900,66,77,143,6176,6350,12528,357,433,789,350,318,664,191,256,446,766,797,1564,489,540,1027,1291,1373,2656,805,881,1685,70,101,175,184,192,375,887,1087,1968,3300,3515,6818,50,49,97,48631,52203,100841,3241,2413,5653,6372,4952,11321,26,30,53,4,3,4,2896,2065,4962,217,248,465,3117,2309,5425,17430,15233,32661,131,105,235,71,83,155,17625,15419,33047,8704,8312,17013,97239,97079,194319
