LGA_CODE_2016,Pre_school_M,Pre_school_F,Pre_school_P,Infants_Primary_Government_M,Infants_Primary_Government_F,Infants_Primary_Government_P,Infants_Primary_Catholic_M,Infants_Primary_Catholic_F,Infants_Primary_Catholic_P,Infnts_Primry_Othr_Non_Govt_M,Infnts_Primry_Othr_Non_Govt_F,Infnts_Primry_Othr_Non_Govt_P,Infants_Primary_Tot_M,Infants_Primary_Tot_F,Infants_Primary_Tot_P,Secondary_Government_M,Secondary_Government_F,Secondary_Government_P,Secondary_Catholic_M,Secondary_Catholic_F,Secondary_Catholic_P,Secondary_Other_Non_Govt_M,Secondary_Other_Non_Govt_F,Secondary_Other_Non_Govt_P,Secondary_Tot_M,Secondary_Tot_F,Secondary_Tot_P,Tec_Furt_Educ_inst_Ft_15_24_M,Tec_Furt_Educ_inst_Ft_15_24_F,Tec_Furt_Educ_inst_Ft_15_24_P,Tec_Furt_Educ_inst_Ft_25_ov_M,Tec_Furt_Educ_inst_Ft_25_ov_F,Tec_Furt_Educ_inst_Ft_25_ov_P,Tec_Furt_Educ_inst_Pt_15_24_M,Tec_Furt_Educ_inst_Pt_15_24_F,Tec_Furt_Educ_inst_Pt_15_24_P,Tec_Furt_Educ_inst_Pt_25_ov_M,Tec_Furt_Educ_inst_Pt_25_ov_F,Tec_Furt_Educ_inst_Pt_25_ov_P,Tec_Furt_Educ_inst_F_Pt_ns_M,Tec_Furt_Educ_inst_F_Pt_ns_F,Tec_Furt_Educ_inst_F_Pt_ns_P,Tec_Furt_Educ_inst_Tot_M,Tec_Furt_Educ_inst_Tot_F,Tec_Furt_Educ_inst_Tot_P,Uni_othr_Tert_Inst_Ft_15_24_M,Uni_othr_Tert_Inst_Ft_15_24_F,Uni_othr_Tert_Inst_Ft_15_24_P,Uni_othr_Tert_Inst_Ft_25_ov_M,Uni_othr_Tert_Inst_Ft_25_ov_F,Uni_othr_Tert_Inst_Ft_25_ov_P,Uni_othr_Tert_Inst_Pt_15_24_M,Uni_othr_Tert_Inst_Pt_15_24_F,Uni_othr_Tert_Inst_Pt_15_24_P,Uni_othr_Tert_Inst_Pt_25_ov_M,Uni_othr_Tert_Inst_Pt_25_ov_F,Uni_othr_Tert_Inst_Pt_25_ov_P,Uni_othr_Tert_Inst_F_Pt_ns_M,Uni_othr_Tert_Inst_F_Pt_ns_F,Uni_othr_Tert_Inst_F_Pt_ns_P,Uni_other_Tert_Instit_Tot_M,Uni_other_Tert_Instit_Tot_F,Uni_other_Tert_Instit_Tot_P,Othr_typ_educ_inst_Ft_stud_M,Othr_typ_educ_inst_Ft_stud_F,Othr_typ_educ_inst_Ft_stud_P,Othr_typ_educ_inst_Pt_stud_M,Othr_typ_educ_inst_Pt_stud_F,Othr_typ_educ_inst_Pt_stud_P,Oth_typ_ed_instit_F_Pt_ns_M,Oth_typ_ed_instit_F_Pt_ns_F,Oth_typ_ed_instit_F_Pt_ns_P,Other_type_educ_instit_Tot_M,Other_type_educ_instit_Tot_F,Other_type_educ_instit_Tot_P,Type_educanl_institution_ns_M,Type_educanl_institution_ns_F,Type_educanl_institution_ns_P,Tot_M,Tot_F,Tot_P
LGA20110,84,77,162,375,351,725,97,79,172,21,18,35,490,447,935,236,237,477,79,89,165,34,46,80,349,372,724,11,17,28,3,9,16,40,25,62,23,41,64,0,0,3,75,94,172,17,36,46,9,19,29,3,3,7,23,46,73,0,0,0,48,109,158,8,8,19,18,39,54,0,0,0,20,49,70,564,593,1157,1632,1746,3375
LGA20260,75,76,145,312,336,646,82,68,155,9,6,17,401,407,814,135,129,260,143,174,320,8,6,15,291,313,598,4,4,8,3,11,16,28,9,31,6,26,31,0,3,3,40,45,86,23,34,60,11,18,25,5,17,25,14,46,59,0,3,3,54,115,170,0,3,3,10,26,38,0,0,0,10,33,44,1154,484,1640,2029,1473,3499
LGA20570,878,857,1731,2699,2516,5219,1206,1199,2401,470,493,960,4377,4209,8584,1431,1448,2871,1199,1072,2272,690,750,1436,3311,3263,6582,161,152,313,67,123,182,216,150,371,237,305,542,14,9,21,695,735,1435,1164,1536,2702,384,547,931,113,180,295,400,738,1138,9,11,21,2077,3010,5084,128,113,241,184,302,483,6,3,10,316,422,734,3309,3680,6987,14966,16171,31139
LGA20660,1097,1115,2218,3461,3282,6745,1225,1139,2366,320,340,658,5010,4756,9767,2148,1865,4012,1030,1021,2049,635,705,1338,3812,3591,7399,228,215,445,116,196,314,291,115,399,302,324,621,8,5,17,952,853,1799,1813,2017,3829,627,722,1351,194,200,395,559,852,1412,14,12,26,3202,3805,7008,177,134,311,208,439,647,11,8,19,398,580,972,2980,3353,6335,17454,18044,35499
LGA20740,243,217,460,883,874,1757,141,131,280,158,172,326,1184,1180,2362,585,546,1127,56,91,149,211,254,469,850,890,1741,37,43,77,17,38,53,70,41,110,73,113,187,0,3,5,201,236,433,38,67,108,36,59,88,6,10,18,45,167,212,0,0,0,127,304,432,35,36,71,46,95,141,0,3,6,78,135,217,1360,1457,2822,4046,4426,8471
LGA20830,383,380,758,1513,1371,2886,397,434,828,263,246,508,2170,2051,4221,898,886,1778,312,342,656,296,337,634,1511,1563,3070,74,89,163,23,78,102,164,93,259,88,210,300,0,0,3,354,469,816,170,314,484,56,177,229,33,53,92,104,271,379,0,5,9,368,818,1186,41,65,106,65,141,205,3,5,5,106,212,316,1755,1950,3702,6642,7441,14084
LGA20910,953,850,1809,2537,2572,5104,912,956,1869,1034,1017,2048,4479,4546,9027,926,885,1812,661,776,1439,2259,1937,4195,3847,3605,7449,107,79,193,44,102,144,137,51,186,121,211,331,5,6,7,416,448,863,1590,1621,3216,245,325,567,178,154,329,385,639,1027,11,28,40,2412,2767,5179,58,54,113,141,339,482,3,6,6,197,399,596,2623,2951,5571,14922,15565,30488
LGA21010,81,80,162,280,246,528,154,134,286,44,47,95,477,424,906,241,207,449,119,142,255,63,66,127,418,413,833,15,24,36,5,17,24,35,25,64,19,60,81,0,0,4,83,124,208,17,36,54,7,19,24,3,9,16,16,48,56,0,0,3,35,113,148,11,12,24,15,19,36,0,0,0,27,36,70,615,664,1283,1752,1855,3605
LGA21110,1440,1331,2772,4558,4117,8679,1389,1269,2655,1181,1446,2627,7132,6829,13958,2141,2193,4331,1515,1232,2747,2933,3155,6091,6588,6581,13172,306,209,516,216,285,500,175,73,242,326,404,731,7,6,6,1026,977,2008,4918,4798,9709,1338,1399,2741,405,435,839,993,1429,2425,19,28,43,7669,8094,15761,192,234,430,300,580,875,9,16,26,500,825,1326,4112,4377,8485,28468,29014,57488
LGA21180,1342,1247,2590,4661,4245,8913,2133,2153,4282,573,574,1146,7369,6977,14343,3999,3778,7776,1452,1962,3408,682,647,1330,6131,6385,12523,635,536,1169,387,578,962,422,209,631,415,483,902,28,25,58,1882,1834,3715,3115,3281,6397,973,1067,2039,333,304,635,500,616,1113,23,44,69,4944,5302,10249,686,820,1513,617,1107,1726,21,32,52,1325,1966,3284,7325,7205,14531,30315,30925,61236
