LGA_CODE_2016,M_Neg_Nil_income_15_19_yrs,M_Neg_Nil_income_20_24_yrs,M_Neg_Nil_income_25_34_yrs,M_Neg_Nil_income_35_44_yrs,M_Neg_Nil_income_45_54_yrs,M_Neg_Nil_income_55_64_yrs,M_Neg_Nil_income_65_74_yrs,M_Neg_Nil_income_75_84_yrs,M_Negtve_Nil_incme_85_yrs_ovr,M_Neg_Nil_income_Tot,M_1_149_15_19_yrs,M_1_149_20_24_yrs,M_1_149_25_34_yrs,M_1_149_35_44_yrs,M_1_149_45_54_yrs,M_1_149_55_64_yrs,M_1_149_65_74_yrs,M_1_149_75_84_yrs,M_1_149_85ov,M_1_149_Tot,M_150_299_15_19_yrs,M_150_299_20_24_yrs,M_150_299_25_34_yrs,M_150_299_35_44_yrs,M_150_299_45_54_yrs,M_150_299_55_64_yrs,M_150_299_65_74_yrs,M_150_299_75_84_yrs,M_150_299_85ov,M_150_299_Tot,M_300_399_15_19_yrs,M_300_399_20_24_yrs,M_300_399_25_34_yrs,M_300_399_35_44_yrs,M_300_399_45_54_yrs,M_300_399_55_64_yrs,M_300_399_65_74_yrs,M_300_399_75_84_yrs,M_300_399_85ov,M_300_399_Tot,M_400_499_15_19_yrs,M_400_499_20_24_yrs,M_400_499_25_34_yrs,M_400_499_35_44_yrs,M_400_499_45_54_yrs,M_400_499_55_64_yrs,M_400_499_65_74_yrs,M_400_499_75_84_yrs,M_400_499_85ov,M_400_499_Tot,M_500_649_15_19_yrs,M_500_649_20_24_yrs,M_500_649_25_34_yrs,M_500_649_35_44_yrs,M_500_649_45_54_yrs,M_500_649_55_64_yrs,M_500_649_65_74_yrs,M_500_649_75_84_yrs,M_500_649_85ov,M_500_649_Tot,M_650_799_15_19_yrs,M_650_799_20_24_yrs,M_650_799_25_34_yrs,M_650_799_35_44_yrs,M_650_799_45_54_yrs,M_650_799_55_64_yrs,M_650_799_65_74_yrs,M_650_799_75_84_yrs,M_650_799_85ov,M_650_799_Tot,M_800_999_15_19_yrs,M_800_999_20_24_yrs,M_800_999_25_34_yrs,M_800_999_35_44_yrs,M_800_999_45_54_yrs,M_800_999_55_64_yrs,M_800_999_65_74_yrs,M_800_999_75_84_yrs,M_800_999_85ov,M_800_999_Tot,M_1000_1249_15_19_yrs,M_1000_1249_20_24_yrs,M_1000_1249_25_34_yrs,M_1000_1249_35_44_yrs,M_1000_1249_45_54_yrs,M_1000_1249_55_64_yrs,M_1000_1249_65_74_yrs,M_1000_1249_75_84_yrs,M_1000_1249_85ov,M_1000_1249_Tot,M_1250_1499_15_19_yrs,M_1250_1499_20_24_yrs,M_1250_1499_25_34_yrs,M_1250_1499_35_44_yrs,M_1250_1499_45_54_yrs,M_1250_1499_55_64_yrs,M_1250_1499_65_74_yrs,M_1250_1499_75_84_yrs,M_1250_1499_85ov,M_1250_1499_Tot,M_1500_1749_15_19_yrs,M_1500_1749_20_24_yrs,M_1500_1749_25_34_yrs,M_1500_1749_35_44_yrs,M_1500_1749_45_54_yrs,M_1500_1749_55_64_yrs,M_1500_1749_65_74_yrs,M_1500_1749_75_84_yrs,M_1500_1749_85ov,M_1500_1749_Tot,M_1750_1999_15_19_yrs,M_1750_1999_20_24_yrs,M_1750_1999_25_34_yrs,M_1750_1999_35_44_yrs,M_1750_1999_45_54_yrs,M_1750_1999_55_64_yrs,M_1750_1999_65_74_yrs,M_1750_1999_75_84_yrs,M_1750_1999_85ov,M_1750_1999_Tot,M_2000_2999_15_19_yrs,M_2000_2999_20_24_yrs,M_2000_2999_25_34_yrs,M_2000_2999_35_44_yrs,M_2000_2999_45_54_yrs,M_2000_2999_55_64_yrs,M_2000_2999_65_74_yrs,M_2000_2999_75_84_yrs,M_2000_2999_85ov,M_2000_2999_Tot,M_3000_more_15_19_yrs,M_3000_more_20_24_yrs,M_3000_more_25_34_yrs,M_3000_more_35_44_yrs,M_3000_more_45_54_yrs,M_3000_more_55_64_yrs,M_3000_more_65_74_yrs,M_3000_more_75_84_yrs,M_3000_more_85ov,M_3000_more_Tot,M_PI_NS_15_19_yrs,M_PI_NS_ns_20_24_yrs,M_PI_NS_ns_25_34_yrs,M_PI_NS_ns_35_44_yrs,M_PI_NS_ns_45_54_yrs,M_PI_NS_ns_55_64_yrs,M_PI_NS_ns_65_74_yrs,M_PI_NS_ns_75_84_yrs,M_PI_NS_ns_85_yrs_ovr,M_PI_NS_ns_Tot,M_Tot_15_19_yrs,M_Tot_20_24_yrs,M_Tot_25_34_yrs,M_Tot_35_44_yrs,M_Tot_45_54_yrs,M_Tot_55_64_yrs,M_Tot_65_74_yrs,M_Tot_75_84_yrs,M_Tot_85ov,M_Tot_Tot,F_Neg_Nil_income_15_19_yrs,F_Neg_Nil_income_20_24_yrs,F_Neg_Nil_income_25_34_yrs,F_Neg_Nil_income_35_44_yrs,F_Neg_Nil_income_45_54_yrs,F_Neg_Nil_income_55_64_yrs,F_Neg_Nil_income_65_74_yrs,F_Neg_Nil_income_75_84_yrs,F_Neg_Nil_incme_85_yrs_ovr,F_Neg_Nil_income_Tot,F_1_149_15_19_yrs,F_1_149_20_24_yrs,F_1_149_25_34_yrs,F_1_149_35_44_yrs,F_1_149_45_54_yrs,F_1_149_55_64_yrs,F_1_149_65_74_yrs,F_1_149_75_84_yrs,F_1_149_85ov,F_1_149_Tot,F_150_299_15_19_yrs,F_150_299_20_24_yrs,F_150_299_25_34_yrs,F_150_299_35_44_yrs,F_150_299_45_54_yrs,F_150_299_55_64_yrs,F_150_299_65_74_yrs,F_150_299_75_84_yrs,F_150_299_85ov,F_150_299_Tot,F_300_399_15_19_yrs,F_300_399_20_24_yrs,F_300_399_25_34_yrs,F_300_399_35_44_yrs,F_300_399_45_54_yrs,F_300_399_55_64_yrs,F_300_399_65_74_yrs,F_300_399_75_84_yrs,F_300_399_85ov,F_300_399_Tot
LGA20110,121,14,12,17,22,40,18,15,3,263,100,12,0,8,12,29,22,0,0,177,21,18,25,17,32,66,79,46,9,312,12,15,23,39,40,92,158,134,40,565,18,21,16,27,56,80,115,65,30,439,17,26,24,29,54,89,111,49,22,428,8,33,54,58,91,88,57,27,3,424,3,44,71,76,107,129,66,20,8,529,0,26,63,87,113,116,58,16,0,480,0,9,44,62,71,86,40,5,0,316,0,4,34,50,63,59,12,0,0,223,0,0,10,36,46,28,8,0,0,136,0,0,14,36,55,54,3,3,0,177,0,0,4,11,21,24,8,4,0,83,29,15,49,63,99,105,94,45,29,527,330,235,454,632,894,1081,860,437,153,5074,93,11,26,39,37,78,28,13,4,323,128,14,23,30,31,35,16,12,5,292,29,14,34,52,65,112,77,51,9,451,16,19,31,57,65,115,190,128,47,672
LGA20260,101,15,15,16,21,24,14,11,5,233,68,11,4,13,9,18,10,3,0,136,27,30,33,31,27,77,65,36,12,339,14,10,21,33,41,75,130,94,24,448,21,20,27,32,56,90,133,78,28,483,21,33,44,28,51,60,94,47,13,396,7,45,73,51,69,75,67,38,15,443,7,43,79,79,69,92,44,19,3,440,3,17,67,67,84,96,37,11,4,381,0,5,50,54,75,42,18,7,3,247,0,5,30,40,46,58,10,0,0,190,0,0,21,27,53,34,5,4,0,138,0,0,17,31,43,33,10,3,3,140,0,0,7,11,15,20,11,0,0,72,33,62,226,258,191,161,115,69,13,1133,315,303,714,765,860,953,768,422,127,5232,88,16,18,35,33,65,26,9,3,301,63,9,21,20,17,36,9,5,0,192,32,27,39,42,64,103,84,43,39,458,14,22,42,44,55,86,167,89,28,560
LGA20570,1440,340,201,154,164,211,114,40,20,2679,738,208,71,48,65,98,101,43,9,1377,359,624,410,237,244,331,344,191,62,2798,97,285,278,219,307,431,914,652,205,3394,178,317,266,260,354,467,685,434,157,3115,119,408,358,269,293,426,499,234,76,2682,50,430,637,448,442,454,435,180,48,3135,27,427,967,631,618,568,296,97,33,3666,7,236,983,796,741,611,289,61,28,3761,7,87,673,575,578,406,131,44,13,2509,0,39,453,579,490,366,82,20,4,2029,0,20,271,420,401,264,47,15,3,1433,0,12,303,536,559,372,67,17,0,1866,3,12,98,289,359,233,76,26,3,1095,339,301,467,443,454,421,458,310,156,3354,3362,3737,6429,5910,6084,5659,4536,2356,806,38889,1140,239,377,361,329,540,209,77,22,3293,932,235,237,222,191,215,169,62,29,2297,456,679,528,424,398,631,472,248,118,3954,148,431,468,453,496,667,1168,736,246,4817
LGA20660,1839,516,416,215,213,284,213,96,37,3828,814,391,116,82,86,108,121,57,27,1794,268,528,319,206,209,278,407,258,96,2562,97,338,242,181,225,328,714,615,240,2973,94,299,326,259,280,325,647,410,222,2865,65,369,406,257,288,346,596,342,120,2787,51,324,584,372,384,464,490,247,74,2992,34,391,898,584,579,600,485,146,54,3762,13,259,1072,834,776,730,437,129,38,4283,3,98,916,781,688,562,265,70,23,3410,3,44,751,933,739,573,217,49,13,3329,3,19,506,827,670,459,123,30,9,2645,0,12,711,1510,1179,815,194,46,7,4476,0,8,213,939,973,578,172,40,19,2938,238,235,496,506,498,407,390,297,216,3286,3518,3825,7975,8488,7782,6847,5455,2839,1188,47926,1512,469,717,785,608,722,359,156,62,5388,989,380,248,363,321,307,230,85,45,2967,336,608,462,526,430,557,572,332,119,3934,96,328,350,448,459,593,1039,749,305,4368
LGA20740,319,38,37,36,69,122,67,30,7,735,194,28,12,13,21,57,50,20,5,397,64,86,76,70,117,203,217,129,45,1009,35,39,60,64,130,257,566,296,85,1546,43,39,83,103,131,234,396,222,78,1329,16,83,89,114,137,211,307,138,37,1130,10,88,163,148,171,219,209,108,35,1152,4,53,188,185,236,235,159,53,23,1147,3,45,211,211,235,239,127,39,16,1118,0,11,141,139,154,126,55,14,5,649,0,10,95,106,149,126,39,12,6,539,0,0,47,73,106,73,20,4,0,326,0,0,40,114,138,79,34,3,3,406,0,4,23,60,65,77,29,10,10,275,140,42,122,116,207,226,273,193,90,1407,827,560,1394,1553,2061,2480,2565,1285,446,13158,267,30,83,83,109,255,101,32,22,981,255,22,59,68,74,121,69,29,9,703,82,69,137,184,176,279,262,134,56,1371,34,68,136,169,216,333,667,291,114,2037
LGA20830,664,92,70,73,86,127,105,26,10,1254,305,68,22,36,37,63,69,26,11,627,117,114,93,87,114,196,242,134,35,1137,60,73,62,80,120,182,561,384,83,1612,108,100,96,96,143,223,368,254,72,1457,58,145,121,94,142,203,316,154,30,1264,42,201,246,182,222,270,227,107,28,1532,12,168,338,311,341,329,198,69,23,1799,8,113,406,370,387,357,154,44,11,1847,0,49,312,270,288,227,86,18,0,1256,0,21,217,236,246,213,50,10,0,994,0,9,140,173,205,158,36,4,3,729,0,6,151,250,310,233,36,8,4,1006,0,9,50,105,172,140,48,13,3,532,168,95,199,211,280,279,292,180,85,1781,1551,1263,2528,2561,3090,3211,2797,1422,403,18841,624,95,173,205,269,361,118,45,19,1906,376,88,120,118,144,155,109,24,19,1151,149,167,227,252,231,359,326,126,43,1875,52,112,212,211,252,362,634,349,80,2272
LGA20910,1796,318,153,118,166,213,152,78,43,3040,781,329,62,38,50,74,71,48,25,1481,196,412,113,92,99,165,187,158,73,1498,75,226,111,77,135,199,342,292,144,1598,45,197,115,114,141,209,339,266,191,1610,43,193,161,101,160,239,369,244,128,1629,17,184,216,139,209,273,338,197,93,1672,4,204,349,212,304,356,350,174,81,2037,5,175,478,315,405,451,415,168,71,2493,0,61,401,344,391,379,338,99,38,2056,8,27,333,416,526,443,275,94,32,2151,0,14,250,397,479,358,194,62,25,1780,3,5,421,1028,1251,802,384,107,40,4041,3,14,277,1897,2640,1474,502,135,59,7006,229,167,293,403,519,428,331,263,193,2833,3212,2538,3745,5693,7489,6058,4573,2377,1228,36928,1451,254,333,844,739,508,314,127,122,4689,919,343,96,216,276,270,186,57,45,2403,239,421,160,284,346,366,359,235,146,2552,68,248,163,273,355,375,581,424,242,2718
LGA21010,169,10,16,10,19,52,34,13,3,329,72,14,9,8,15,34,20,6,0,172,33,37,25,28,44,74,89,43,21,396,13,13,30,30,43,95,186,144,46,615,20,30,17,27,57,66,145,91,30,488,15,41,30,35,57,82,106,62,26,452,9,58,78,67,84,111,85,39,13,538,3,41,96,87,100,123,86,19,16,565,3,38,80,99,94,101,49,19,9,491,0,12,56,52,64,72,27,4,0,293,0,7,34,40,62,60,15,4,0,230,0,3,16,30,49,30,7,7,0,150,0,0,16,35,49,55,10,0,0,170,0,3,11,15,22,30,8,5,0,92,65,32,61,52,82,100,113,70,29,591,404,339,572,617,838,1083,984,531,207,5579,120,9,22,45,62,102,32,13,3,404,108,13,19,25,31,51,26,11,3,284,40,45,73,58,79,128,96,44,20,588,18,22,69,56,76,141,249,147,54,825
LGA21110,3470,1179,623,300,362,411,292,165,57,6861,1304,768,179,100,124,142,146,90,38,2892,433,1072,425,157,206,284,259,220,95,3148,138,625,366,169,207,262,398,426,207,2800,95,546,430,207,254,276,437,341,184,2762,76,475,594,256,287,356,435,320,143,2939,24,440,686,287,362,388,497,271,114,3066,25,475,1089,458,492,473,552,233,116,3907,12,429,1455,599,637,609,524,231,104,4607,10,193,1199,611,542,528,381,182,61,3707,11,99,1077,703,726,600,436,160,57,3875,0,23,662,632,689,547,270,101,47,2967,7,38,1044,1739,1776,1324,565,178,73,6747,8,37,503,2762,3864,2252,824,222,77,10550,364,429,779,599,742,572,452,366,257,4563,5968,6813,11111,9568,11276,9034,6483,3508,1627,65383,3214,1039,1094,1267,1202,886,558,260,156,9670,1473,746,276,427,420,362,269,138,89,4204,512,1027,470,461,561,540,491,333,140,4528,154,623,392,444,510,482,663,583,307,4164
LGA21180,3275,1235,1186,688,632,788,538,183,75,8593,1172,664,242,152,188,243,266,119,39,3079,503,1055,941,711,785,1037,1041,556,122,6745,200,721,747,499,660,961,1962,1217,254,7216,185,731,770,575,631,692,958,566,224,5335,119,799,1118,735,717,704,584,230,68,5081,80,856,1856,1258,1139,840,457,150,41,6673,48,704,2433,1691,1642,1140,367,52,18,8100,15,447,2248,1829,1548,1171,287,59,13,7612,3,182,1262,1245,1028,708,161,19,3,4608,6,58,860,881,837,518,97,10,7,3270,3,40,493,632,535,349,59,5,4,2104,7,16,484,913,684,468,80,6,3,2649,5,10,121,286,282,172,34,15,3,929,637,650,1370,982,971,888,803,453,187,6930,6251,8158,16128,13079,12260,10670,7684,3620,1053,78919,2977,1157,2360,1669,1483,1798,652,321,118,12546,1434,711,547,558,483,444,263,147,48,4629,600,1064,1194,1225,1296,1684,1095,517,150,8834,164,666,983,991,1105,1525,2206,1140,353,9131
