LGA_CODE_2016,M_15_19_Prvided_unpaid_assist,M_15_19_No_unpad_asst_prvided,M_15_19_Unpaid_assist_ns,M_15_19_Tot,M_20_24_Prvided_unpaid_assist,M_20_24_No_unpad_asst_prvided,M_20_24_Unpaid_assist_ns,M_20_24_Tot,M_25_34_Prvided_unpaid_assist,M_25_34_No_unpad_asst_prvided,M_25_34_Unpaid_assist_ns,M_25_34_Tot,M_35_44_Prvided_unpaid_assist,M_35_44_No_unpad_asst_prvided,M_35_44_Unpaid_assist_ns,M_35_44_Tot,M_45_54_Prvided_unpaid_assist,M_45_54_No_unpad_asst_prvided,M_45_54_Unpaid_assist_ns,M_45_54_Tot,M_55_64_Prvided_unpaid_assist,M_55_64_No_unpad_asst_prvided,M_55_64_Unpaid_assist_ns,M_55_64_Tot,M_65_74_Prvided_unpaid_assist,M_65_74_No_unpad_asst_prvided,M_65_74_Unpaid_assist_ns,M_65_74_Tot,M_75_84_Prvided_unpaid_assist,M_75_84_No_unpad_asst_prvided,M_75_84_Unpaid_assist_ns,M_75_84_Tot,M_85_ov_Prvided_unpaid_assist,M_85_ov_No_unpad_asst_prvided,M_85_ov_Unpaid_assist_ns,M_85_ov_Tot,M_Tot_prvided_unpaid_assist,M_Tot_No_unpaid_asst_prvided,M_Tot_Unpaid_assist_ns,M_Tot_Tot,F_15_19_Prvided_unpaid_assist,F_15_19_No_unpad_asst_prvided,F_15_19_Unpaid_assist_ns,F_15_19_Tot,F_20_24_Prvided_unpaid_assist,F_20_24_No_unpad_asst_prvided,F_20_24_Unpaid_assist_ns,F_20_24_Tot,F_25_34_Prvided_unpaid_assist,F_25_34_No_unpad_asst_prvided,F_25_34_Unpaid_assist_ns,F_25_34_Tot,F_35_44_Prvided_unpaid_assist,F_35_44_No_unpad_asst_prvided,F_35_44_Unpaid_assist_ns,F_35_44_Tot,F_45_54_Prvided_unpaid_assist,F_45_54_No_unpad_asst_prvided,F_45_54_Unpaid_assist_ns,F_45_54_Tot,F_55_64_Prvided_unpaid_assist,F_55_64_No_unpad_asst_prvided,F_55_64_Unpaid_assist_ns,F_55_64_Tot,F_65_74_Prvided_unpaid_assist,F_65_74_No_unpad_asst_prvided,F_65_74_Unpaid_assist_ns,F_65_74_Tot,F_75_84_Prvided_unpaid_assist,F_75_84_No_unpad_asst_prvided,F_75_84_Unpaid_assist_ns,F_75_84_Tot,F_85_ov_Prvided_unpaid_assist,F_85_ov_No_unpad_asst_prvided,F_85_ov_Unpaid_assist_ns,F_85_ov_Tot,F_Tot_prvided_unpaid_assist,F_Tot_No_unpaid_asst_prvided,F_Tot_Unpaid_assist_ns,F_Tot_Tot,P_15_19_Prvided_unpaid_assist,P_15_19_No_unpad_asst_prvided,P_15_19_Unpaid_assist_ns,P_15_19_Tot,P_20_24_Prvided_unpaid_assist,P_20_24_No_unpad_asst_prvided,P_20_24_Unpaid_assist_ns,P_20_24_Tot,P_25_34_Prvided_unpaid_assist,P_25_34_No_unpad_asst_prvided,P_25_34_Unpaid_assist_ns,P_25_34_Tot,P_35_44_Prvided_unpaid_assist,P_35_44_No_unpad_asst_prvided,P_35_44_Unpaid_assist_ns,P_35_44_Tot,P_45_54_Prvided_unpaid_assist,P_45_54_No_unpad_asst_prvided,P_45_54_Unpaid_assist_ns,P_45_54_Tot,P_55_64_Prvided_unpaid_assist,P_55_64_No_unpad_asst_prvided,P_55_64_Unpaid_assist_ns,P_55_64_Tot,P_65_74_Prvided_unpaid_assist,P_65_74_No_unpad_asst_prvided,P_65_74_Unpaid_assist_ns,P_65_74_Tot,P_75_84_Prvided_unpaid_assist,P_75_84_No_unpad_asst_prvided,P_75_84_Unpaid_assist_ns,P_75_84_Tot,P_85_ov_Prvided_unpaid_assist,P_85_ov_No_unpad_asst_prvided,P_85_ov_Unpaid_assist_ns,P_85_ov_Tot,P_Tot_prvided_unpaid_assist,P_Tot_No_unpaid_asst_prvided,P_Tot_Unpaid_assist_ns,P_Tot_Tot
LGA20110,11,285,30,330,12,206,22,235,32,375,48,454,57,513,56,632,112,678,100,894,141,846,92,1081,76,680,105,860,53,328,65,437,13,100,35,153,514,4007,551,5074,12,271,57,334,14,156,17,193,43,391,43,480,110,567,64,743,142,700,82,926,209,762,97,1068,113,650,100,861,52,353,78,479,8,176,50,237,698,4025,587,5307,27,553,87,665,24,364,42,427,83,768,89,935,163,1087,128,1376,255,1383,181,1815,349,1612,185,2142,187,1326,199,1718,99,676,137,915,27,273,85,383,1210,8036,1140,10384
LGA20260,23,256,38,315,15,225,61,303,55,442,222,714,64,445,251,765,112,554,189,860,105,676,174,953,84,564,124,768,40,295,87,422,12,97,24,127,508,3552,1169,5232,16,236,37,291,20,193,22,231,71,403,47,521,101,431,60,594,174,530,50,752,185,577,69,828,105,532,72,712,31,305,81,413,10,166,50,225,714,3372,492,4572,40,494,71,606,32,419,80,533,128,840,269,1235,164,880,313,1360,288,1087,238,1608,296,1248,241,1784,182,1096,200,1476,66,599,170,840,21,266,72,359,1214,6924,1657,9798
LGA20570,120,2942,302,3362,179,3269,291,3737,438,5545,456,6429,634,4857,424,5910,802,4830,457,6084,822,4417,418,5659,565,3474,495,4536,271,1718,370,2356,68,579,157,806,3899,31624,3366,38889,146,2798,299,3237,272,3240,287,3802,737,5485,459,6686,1033,5079,394,6502,1437,4888,467,6797,1543,4402,472,6419,858,3785,542,5186,331,2217,547,3097,59,1277,267,1601,6422,33173,3739,43329,264,5738,600,6603,456,6514,575,7544,1176,11031,918,13120,1661,9933,817,12416,2240,9717,927,12884,2365,8815,892,12080,1425,7261,1033,9723,604,3936,911,5449,130,1858,428,2409,10320,64795,7102,82219
LGA20660,125,3157,232,3518,174,3424,220,3825,466,7045,469,7975,772,7266,450,8488,1135,6186,467,7782,1165,5296,388,6847,805,4263,386,5455,338,2189,316,2839,128,856,198,1188,5121,39681,3124,47926,150,2930,229,3308,229,3160,196,3582,714,7074,480,8269,1295,7193,402,8887,1861,6144,432,8436,1960,5348,386,7691,1120,4454,482,6058,450,2686,495,3627,103,1566,402,2066,7877,40554,3494,51928,274,6090,465,6834,403,6588,419,7410,1177,14117,950,16248,2068,14458,849,17375,3001,12322,897,16224,3123,10642,769,14542,1927,8719,867,11511,790,4867,805,6470,229,2420,601,3253,12996,80234,6623,99850
LGA20740,38,655,134,827,33,474,56,560,97,1176,123,1394,149,1290,115,1553,273,1569,211,2061,345,1907,226,2480,295,1982,289,2565,118,933,236,1285,34,310,101,446,1376,10300,1485,13158,29,650,84,761,45,469,52,561,184,1180,118,1490,287,1356,148,1790,445,1546,191,2174,576,1915,224,2707,399,2052,293,2741,129,980,273,1379,27,502,159,695,2123,10645,1542,14301,63,1304,214,1587,82,941,101,1127,281,2359,240,2882,438,2641,262,3337,721,3115,403,4233,918,3819,449,5190,690,4038,578,5304,244,1908,514,2667,68,813,262,1143,3498,20943,3023,27459
LGA20830,70,1312,169,1551,61,1106,105,1263,171,2167,185,2528,262,2102,202,2561,368,2474,256,3090,449,2473,289,3211,316,2187,292,2797,141,1057,224,1422,29,271,107,403,1855,15162,1826,18841,69,1242,142,1451,99,1044,96,1245,315,2260,163,2743,489,2154,223,2867,701,2441,250,3390,775,2415,321,3506,465,2132,337,2934,151,1081,272,1507,38,507,161,706,3105,15278,1964,20347,135,2554,312,3003,160,2152,202,2510,491,4434,351,5269,749,4255,424,5432,1063,4917,499,6486,1222,4888,605,6718,779,4318,628,5728,289,2139,496,2925,65,778,270,1112,4959,30433,3790,39188
LGA20910,112,2895,208,3212,129,2268,151,2538,187,3284,276,3745,412,4925,360,5693,877,6144,469,7489,1026,4659,368,6058,595,3664,310,4573,292,1828,258,2377,118,943,171,1228,3751,30610,2570,36928,115,2666,191,2964,136,2106,141,2381,307,3645,281,4232,760,5604,355,6721,1619,6281,466,8364,1629,4586,363,6581,967,3788,390,5141,380,2250,330,2968,122,1870,399,2393,6042,32786,2915,41741,227,5555,395,6178,266,4366,288,4919,496,6932,558,7980,1175,10523,717,12418,2501,12426,929,15855,2661,9249,735,12636,1568,7455,698,9718,675,4078,591,5344,240,2815,568,3624,9795,63397,5485,78669
LGA21010,15,327,64,404,13,298,32,339,47,465,60,572,67,495,51,617,113,645,81,838,155,832,102,1083,124,742,118,984,48,394,86,531,23,144,42,207,599,4343,637,5579,27,294,54,378,25,242,37,303,93,495,52,636,124,506,62,693,180,752,91,1027,262,802,113,1180,155,732,123,1005,71,405,97,572,18,241,62,323,947,4481,679,6113,42,617,117,777,43,543,63,645,137,960,108,1209,190,1004,115,1316,290,1397,170,1865,414,1636,214,2259,279,1473,239,1991,113,803,184,1101,42,381,102,528,1549,8821,1322,11686
LGA21110,231,5408,330,5968,294,6133,386,6813,526,9846,735,11111,776,8246,545,9568,1561,9055,665,11276,1620,6920,491,9034,903,5186,396,6483,432,2743,329,3508,198,1241,193,1627,6540,54784,4058,65383,257,5376,311,5940,325,5848,364,6532,756,9970,708,11426,1392,9203,580,11168,2666,9551,604,12823,2620,6804,527,9949,1461,5488,524,7468,636,3397,491,4526,154,2636,420,3208,10264,58272,4509,73046,490,10784,640,11910,621,11982,747,13346,1286,19820,1437,22544,2159,17446,1126,20736,4228,18606,1264,24102,4237,13729,1015,18983,2366,10671,912,13951,1069,6142,818,8031,349,3875,608,4829,16806,113050,8568,138430
LGA21180,277,5332,645,6251,444,6982,737,8158,1073,13525,1525,16128,1342,10718,1017,13079,1526,9728,1002,12260,1363,8462,843,10670,882,5950,847,7684,432,2641,554,3620,82,775,195,1053,7427,64128,7365,78919,323,5071,610,6003,506,5911,577,6991,1600,12385,1202,15182,2118,10108,1011,13237,2378,9295,951,12624,2292,8278,925,11497,1248,5730,906,7892,458,3154,633,4242,49,1464,354,1866,10968,61397,7176,79538,594,10401,1257,12254,942,12899,1310,15155,2671,25914,2725,31313,3459,20833,2031,26317,3905,19026,1952,24883,3660,16743,1774,22171,2138,11687,1757,15576,884,5796,1180,7863,129,2237,553,2926,18393,125524,14542,158457
