LGA_CODE_2016,Num_MVs_per_dweling_0_MVs,Num_MVs_per_dweling_1_MVs,Num_MVs_per_dweling_2_MVs,Num_MVs_per_dweling_3_MVs,Num_MVs_per_dweling_4mo_MVs,Num_MVs_per_dweling_Tot,Num_MVs_NS,Total_dwelings
LGA20110,185,1646,1754,627,376,4589,241,4832
LGA20260,281,1424,1462,575,350,4092,209,4298
LGA20570,2564,13811,14178,4232,2174,36961,1488,38449
LGA20660,2702,15561,17650,4879,2415,43210,1218,44431
LGA20740,710,5069,4810,1349,591,12529,640,13175
LGA20830,644,5222,6806,2597,1676,16947,655,17605
LGA20910,1814,11968,14822,3843,1698,34142,893,35037
LGA21010,334,1909,1970,725,419,5347,241,5594
LGA21110,4687,21980,22792,6226,2751,58436,1416,59849
LGA21180,4325,19535,22172,8440,4367,58838,2718,61562
LGA21270,134,771,815,338,271,2329,130,2455
LGA21370,668,4112,5232,1984,1208,13199,654,13855
LGA21450,869,8535,12965,4670,3048,30081,926,31009
LGA21610,2850,24304,40342,13904,7842,89240,2887,92127
LGA21670,368,1940,1822,632,386,5155,293,5445
LGA21750,416,2679,2871,1056,620,7643,364,8005
LGA21830,259,1743,2150,913,672,5740,280,6022
LGA21890,7042,23775,16201,3954,1744,52721,2019,54736
LGA22110,818,5917,6556,2198,1123,16620,942,17564
LGA22170,2941,17008,19230,5661,2974,47818,1869,49687
LGA22250,211,1285,1505,608,404,4007,215,4219
LGA22310,4774,21019,18943,4247,1890,50871,1428,52296
LGA22410,353,2438,2671,1128,682,7278,371,7644
LGA22490,77,1242,3045,1479,1098,6934,246,7184
LGA22620,2281,13566,15673,5365,2817,39697,1666,41361
LGA22670,4197,17171,16202,5822,2887,46277,2279,48563
LGA22750,5432,30491,33332,9748,4847,83850,3146,86995
LGA22830,1274,7281,8331,3005,1701,21594,988,22583
LGA22910,232,1897,2198,842,539,5713,320,6029
LGA22980,121,708,767,344,266,2205,113,2320
LGA23110,2464,12395,11949,3138,1507,31454,1050,32508
LGA23190,481,2548,2798,1000,598,7431,294,7721
LGA23270,2827,17784,23785,8601,5018,58018,2108,60129
LGA23350,177,1584,2320,975,621,5677,216,5897
LGA23430,3579,20224,21943,5858,2740,54343,1695,56036
LGA23670,2004,15392,22466,7975,4424,52265,1393,53657
LGA23810,2061,9859,9841,3341,1810,26903,1305,28211
LGA23940,132,826,981,454,406,2802,158,2964
LGA24130,393,3758,6625,2692,1780,15245,486,15728
LGA24210,1584,11668,16781,5693,3286,39002,1074,40074
LGA24250,107,970,1207,470,281,3037,171,3207
LGA24330,4189,13277,9141,1990,788,29385,1098,30481
LGA24410,1895,13397,16250,4786,2581,38906,1058,39962
LGA24600,26466,21111,6096,902,314,54890,2124,57012
LGA24650,1330,11432,18370,5936,3211,40287,1422,41704
LGA24780,1298,6496,7076,2480,1469,18824,990,19817
LGA24850,474,3732,5300,2135,1506,13152,568,13725
LGA24900,529,3469,3798,1517,980,10292,604,10899
LGA24970,4666,21230,24373,7153,3147,60563,1662,62221
LGA25060,4382,16534,15004,4132,1978,42030,1486,43513
LGA25150,361,2942,4252,1874,1296,10723,424,11145
LGA25250,8299,26868,17574,4416,2006,59166,2054,61218
LGA25340,2338,18914,23267,7205,3775,55495,2299,57791
LGA25430,362,2643,2583,906,569,7061,307,7374
LGA25490,171,1485,2300,955,740,5659,239,5897
LGA25620,156,1462,1952,819,574,4959,308,5263
LGA25710,365,3955,8734,3672,2660,19392,369,19759
LGA25810,310,1506,1627,637,366,4450,242,4695
LGA25900,7942,23000,10629,1522,572,43662,1448,45110
LGA25990,92,726,1016,416,348,2592,129,2723
LGA26080,49,500,440,96,44,1130,49,1181
LGA26170,385,3350,4080,1609,977,10404,388,10796
LGA26260,343,2035,2161,899,622,6061,268,6326
LGA26350,7250,19309,11995,2631,1251,42436,1286,43724
LGA26430,157,1363,1517,574,359,3973,203,4174
LGA26490,237,2735,4576,1484,827,9851,309,10163
LGA26610,446,2202,2583,932,602,6755,439,7198
LGA26670,66,655,859,374,260,2210,115,2333
LGA26700,575,3552,4112,1381,856,10468,510,10980
LGA26730,755,4516,4844,1325,663,12108,528,12637
LGA26810,807,5140,5856,2244,1375,15424,658,16082
LGA26890,56,428,546,264,227,1520,69,1586
LGA26980,4672,21557,22400,5627,2530,56783,1527,58308
LGA27070,2910,19220,26434,8583,4569,61711,1968,63678
LGA27170,765,4765,5763,1710,780,13782,483,14260
LGA27260,2371,21620,28824,8322,3909,65049,1895,66946
LGA27350,7500,17772,7834,1444,406,34959,1292,36254
LGA27450,1536,13836,21241,8202,5590,50403,1497,51905
LGA27630,142,867,905,372,264,2547,131,2679
LGA29399,47,56,27,3,3,143,16,151
LGA29499,0,0,0,0,0,0,0,0
LGA29799,0,0,0,0,0,0,0,0
