LGA_CODE_2016,R_0_74_LT_Real_estate_agent,R_0_74_LT_Ste_terr_hsg_auth,R_0_74_LT_Psn_not_Sme_hhd,R_0_74_LT_hs_coop_com_ch_g,R_0_74_LT_Other_Lld_type,R_0_74_LT_Lld_type_ns,R_0_74_Tot,R_75_99_LT_Real_estate_agent,R_75_99_LT_Ste_terr_hsg_auth,R_75_99_LT_Psn_not_Sme_hhd,R_75_99_LT_hs_coop_com_ch_g,R_75_99_LT_Other_Lld_type,R_75_99_LT_Lld_type_ns,R_75_99_Tot,R_100_149_LT_Real_eSte_agent,R_100_149_LT_St_ter_hsg_aut,R_100_149_LT_Psn_not_Sme_hhd,R_100_149_LT_hs_coop_com_ch_g,R_100_149_LT_Other_Lld_type,R_100_149_LT_Lld_type_ns,R_100_149_Tot,R_150_199_LT_Real_eSte_agent,R_150_199_LT_Ste_ter_hsg_aut,R_150_199_LT_Psn_not_Sme_hhd,R_150_199_LT_hs_coop_com_ch_g,R_150_199_LT_Other_Lld_type,R_150_199_LT_Lld_type_ns,R_150_199_Tot,R_200_224_LT_Real_eSte_agent,R_200_224_LT_Ste_ter_hsg_aut,R_200_224_LT_Psn_not_Sme_hhd,R_200_224_LT_hs_coop_com_ch_g,R_200_224_LT_Other_Lld_type,R_200_224_LT_Lld_type_ns,R_200_224_Tot,R_225_274_LT_Real_eSte_agent,R_225_274_LT_Ste_ter_hsg_aut,R_225_274_LT_Psn_not_Sme_hhd,R_225_274_LT_hs_coop_com_ch_g,R_225_274_LT_Other_Lld_type,R_225_274_LT_Lld_type_ns,R_225_274_Tot,R_275_349_LT_Real_eSte_agent,R_275_349_LT_Ste_ter_hsg_aut,R_275_349_LT_Psn_not_Sme_hhd,R_275_349_LT_hs_coop_com_ch_g,R_275_349_LT_Other_Lld_type,R_275_349_LT_Lld_type_ns,R_275_349_Tot,R_350_449_LT_Real_eSte_agent,R_350_449_LT_Ste_ter_hsg_aut,R_350_449_LT_Psn_not_Sme_hhd,R_350_449_LT_hs_coop_com_ch_g,R_350_449_LT_Other_Lld_type,R_350_449_LT_Lld_type_ns,R_350_449_Tot,R_450_549_LT_Real_eSte_agent,R_450_549_LT_Ste_ter_hsg_aut,R_450_549_LT_Psn_not_Sme_hhd,R_450_549_LT_hs_coop_com_ch_g,R_450_549_LT_Other_Lld_type,R_450_549_LT_Lld_type_ns,R_450_549_Tot,R_550_649_LT_Real_eSte_agent,R_550_649_LT_Ste_ter_hsg_aut,R_550_649_LT_Psn_not_Sme_hhd,R_550_649_LT_hs_coop_com_ch_g,R_550_649_LT_Other_Lld_type,R_550_649_LT_Lld_type_ns,R_550_649_Tot,R_650_749_LT_Real_eSte_agent,R_650_749_LT_Ste_ter_hsg_aut,R_650_749_LT_Psn_not_Sme_hhd,R_650_749_LT_hs_coop_com_ch_g,R_650_749_LT_Other_Lld_type,R_650_749_LT_Lld_type_ns,R_650_749_Tot,R_750_849_LT_Real_eSte_agent,R_750_849_LT_Ste_ter_hsg_aut,R_750_849_LT_Psn_not_Sme_hhd,R_750_849_LT_hs_coop_com_ch_g,R_750_849_LT_Other_Lld_type,R_750_849_LT_Lld_type_ns,R_750_849_Tot,R_850_949_LT_Real_estat_agent,R_850_949_LT_Ste_ter_hsg_aut,R_850_949_LT_Psn_not_Sme_hhd,R_850_949_LT_hs_coop_com_ch_g,R_850_949_LT_Other_Lld_type,R_850_949_LT_Lld_type_ns,R_850_949_Tot,R_950_over_LT_Real_eSte_agent,R_950_over_LT_Ste_ter_hsg_aut,R_950_over_LT_Psn_not_Sme_hhd,R_950_ovr_LT_hs_coop_com_ch_g,R_950_over_LT_Other_Lld_type,R_950_over_LT_Lld_type_ns,R_950_over_Tot,Rent_ns_LT_Real_eSte_agent,Rent_ns_LT_Ste_ter_hsg_auth,Rent_ns_LT_Psn_not_Sme_hhd,Rent_ns_LT_hs_coop_com_ch_g,Rent_ns_LT_Other_Lld_type,Rent_ns_LT_Lld_type_ns,Rent_ns_Tot,Tot_LT_Real_eSte_agent,Tot_LT_Ste_ter_hsg_auth,Tot_LT_Psn_not_Sme_hhd,Tot_LT_hs_coop_com_ch_g,Tot_LT_Other_Lld_type,Tot_LT_Lld_type_ns,Tot_Tot
LGA20110,0,3,45,0,15,32,96,0,4,16,0,3,0,28,23,35,48,0,9,0,112,98,19,87,3,5,0,208,79,6,60,0,7,0,147,144,6,43,0,9,0,203,105,0,34,0,3,0,140,46,0,15,0,0,0,54,0,0,0,0,0,0,4,0,0,4,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,8,0,16,0,8,3,34,500,70,376,3,54,41,1047
LGA20260,0,10,51,3,25,35,121,3,9,8,0,0,0,21,38,53,52,3,15,0,163,123,17,66,0,14,4,216,70,17,45,0,6,0,139,132,5,29,0,0,0,166,58,0,21,0,0,0,83,18,0,6,0,3,0,25,7,0,0,0,0,0,10,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,3,0,0,0,9,8,10,20,3,13,5,63,462,122,289,14,87,49,1025
LGA20570,22,75,122,12,35,81,346,20,66,27,21,7,0,137,273,670,172,65,13,18,1208,751,273,268,87,26,9,1419,725,136,305,48,15,9,1237,2571,140,490,34,28,14,3285,2460,23,290,8,29,11,2821,870,8,112,4,23,10,1026,119,0,36,3,4,3,160,24,0,13,0,0,3,38,16,4,3,0,0,0,23,4,0,3,0,0,0,7,4,0,0,0,0,0,8,10,0,11,0,0,4,16,104,88,73,26,14,18,326,7961,1495,1923,311,201,180,12069
LGA20660,17,75,166,10,7,96,374,9,56,12,27,6,3,109,28,542,77,45,17,5,716,30,191,95,52,18,3,389,42,114,103,20,9,5,296,266,136,161,33,60,8,670,2080,138,430,31,63,13,2748,2944,79,405,7,34,9,3475,1050,19,164,0,13,4,1247,264,7,52,0,3,5,321,93,5,26,0,0,0,122,44,0,12,0,0,0,58,14,0,4,0,0,0,20,68,0,26,0,0,0,96,108,95,97,27,20,14,362,7057,1460,1816,253,253,165,11003
LGA20740,3,11,86,0,18,82,193,0,9,10,0,8,0,26,26,117,66,18,20,3,242,119,46,133,14,18,3,339,237,17,148,7,7,8,423,708,18,168,12,14,5,924,612,3,106,0,6,3,725,232,3,38,3,7,4,281,10,3,9,0,0,0,23,3,0,3,0,0,0,9,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,6,0,3,0,0,0,8,31,16,40,5,18,9,119,1989,242,804,56,117,111,3322
LGA20830,3,19,126,3,31,72,251,0,11,12,0,6,3,33,24,131,73,17,19,3,268,128,55,134,12,43,8,375,168,25,143,4,10,0,354,616,31,190,0,13,3,845,830,3,156,0,7,11,1002,292,0,46,0,0,0,347,21,0,6,0,0,0,32,7,0,5,0,0,0,16,0,0,3,0,0,0,5,0,0,6,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,3,30,14,50,7,11,3,114,2131,289,955,42,146,102,3655
LGA20910,12,38,168,9,12,103,341,3,32,11,0,3,3,56,10,405,35,16,10,5,487,23,96,36,44,6,0,213,28,51,47,15,3,0,137,109,38,81,15,9,3,260,522,53,160,0,4,0,739,1272,21,228,3,6,4,1536,1073,7,217,3,3,0,1310,659,0,110,3,4,5,780,419,0,63,0,4,3,483,366,0,65,0,0,0,430,256,0,37,0,3,3,291,636,0,130,0,10,0,769,117,44,63,9,15,6,252,5496,791,1446,119,84,142,8080
LGA21010,3,12,34,0,9,19,82,3,11,5,0,0,0,23,39,104,31,9,3,0,188,190,42,62,3,3,8,313,132,30,48,0,3,0,208,199,17,52,0,7,0,279,120,4,28,0,0,0,152,34,0,9,0,0,0,42,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,20,13,3,6,3,55,729,242,292,14,36,32,1350
LGA21110,35,23,325,24,29,210,647,4,24,11,20,0,3,68,42,218,81,34,8,0,387,133,59,151,60,5,0,412,194,50,126,32,13,4,415,471,20,190,28,18,6,736,1882,13,367,13,22,8,2303,4822,18,614,11,29,3,5497,2551,6,421,9,14,11,3005,1305,0,193,0,12,3,1509,794,0,127,0,3,0,931,503,3,67,3,6,0,579,328,0,44,0,0,0,379,670,0,109,0,3,3,789,235,39,170,37,21,28,535,13976,468,3005,268,189,287,18192
LGA21180,56,48,332,24,21,155,637,18,39,25,5,5,0,87,61,366,142,21,29,0,624,213,286,233,62,41,6,842,391,123,240,37,48,4,845,1095,91,571,38,125,14,1933,4832,153,1319,31,313,53,6700,2482,34,432,11,91,13,3063,264,3,66,3,8,3,349,43,0,26,0,3,0,79,28,3,8,0,6,0,40,22,3,6,0,3,0,38,10,0,0,0,0,0,13,88,0,24,0,3,3,113,224,107,237,24,35,37,662,9812,1262,3670,252,721,299,16016
LGA21270,0,22,50,3,14,35,126,0,5,9,0,3,0,20,16,12,59,7,15,0,113,28,5,52,0,5,3,93,9,0,16,0,0,0,28,5,0,4,0,0,0,11,0,0,7,0,0,0,3,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,3,8,0,20,65,49,212,11,50,39,427
LGA21370,8,29,111,3,57,77,291,7,22,16,13,11,0,69,75,226,120,25,40,8,492,237,95,192,16,34,9,579,210,39,147,3,21,6,433,413,37,118,3,18,3,587,338,3,94,0,9,3,441,142,3,35,0,0,0,188,21,0,11,0,0,0,30,5,0,3,0,0,0,6,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,5,0,0,0,8,33,19,37,5,27,7,130,1482,489,896,69,215,116,3261
LGA21450,10,12,113,10,31,83,252,3,11,3,4,4,0,28,16,103,60,11,13,0,205,34,56,74,6,11,0,181,50,21,102,8,40,0,225,527,21,189,4,22,7,766,2621,17,388,0,25,17,3066,1624,6,169,0,5,7,1812,164,3,30,0,3,0,199,39,3,13,0,3,0,59,17,0,4,0,0,0,19,10,0,0,0,0,0,9,0,0,0,0,0,0,0,18,0,4,0,0,0,20,109,14,75,4,17,8,233,5237,260,1238,45,173,120,7081
LGA21610,32,47,231,12,33,151,507,18,30,19,8,10,3,84,42,460,125,24,9,6,669,83,242,201,27,20,10,582,83,116,173,12,49,5,447,612,159,464,19,83,16,1351,5232,168,1193,32,144,28,6802,6196,63,717,7,91,24,7093,749,8,125,0,10,3,903,151,3,30,0,6,4,192,49,3,16,0,3,0,67,27,0,17,0,3,3,52,10,3,3,0,3,0,17,90,0,15,0,6,3,112,307,81,209,21,54,27,700,13681,1394,3544,162,527,279,19587
LGA21670,3,13,30,12,10,29,103,0,13,5,3,5,0,24,19,88,51,10,6,6,178,132,35,94,10,13,3,279,120,14,57,0,7,0,197,203,6,62,0,3,0,276,55,0,16,0,0,0,74,3,0,0,0,0,0,10,4,0,0,0,0,0,3,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,3,0,0,0,8,11,8,18,3,4,0,41,551,182,337,37,50,41,1200
LGA21750,5,9,62,4,31,53,164,3,5,9,6,5,0,28,27,107,48,16,19,3,218,96,55,98,21,18,3,295,130,24,96,8,10,0,267,249,3,105,0,10,0,365,228,3,60,0,8,0,298,63,0,25,0,3,0,88,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,18,14,23,12,16,3,94,818,224,528,62,122,71,1822
LGA21830,0,5,90,0,77,81,255,3,11,9,0,3,0,35,28,68,74,0,28,7,199,97,14,119,3,17,4,258,98,9,71,0,12,0,193,136,4,55,0,5,0,197,44,0,14,0,0,0,67,11,0,5,0,0,0,19,4,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,5,16,5,27,3,33,0,82,441,121,483,10,174,94,1316
LGA21890,44,145,259,15,13,179,662,4,96,25,28,3,3,163,66,933,123,28,33,10,1196,234,295,225,57,15,3,827,387,176,148,18,15,7,755,1450,124,284,24,24,5,1917,4409,154,711,17,82,21,5392,4440,93,659,9,44,13,5260,1967,11,325,7,13,7,2325,854,5,132,0,12,0,1004,343,5,55,0,0,0,404,130,3,42,3,0,0,178,47,0,10,0,0,0,64,138,3,26,0,3,0,173,243,169,152,30,34,35,661,14761,2225,3180,243,294,289,20983
LGA22110,10,14,125,0,53,109,313,4,34,19,19,8,3,88,54,186,120,32,54,6,453,227,129,186,23,50,4,627,237,52,161,22,27,0,495,556,43,186,14,17,3,822,602,9,105,3,4,4,727,217,3,36,4,3,3,260,9,0,3,0,0,0,11,4,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,7,0,0,0,11,28,19,46,12,27,3,142,1942,494,1006,122,243,140,3959
LGA22170,29,50,148,15,12,80,335,10,53,11,10,3,4,89,42,463,124,42,32,13,714,205,188,201,45,44,3,685,335,70,202,18,83,8,715,1307,88,435,32,131,15,2012,4188,114,760,23,53,25,5162,2722,15,386,12,27,10,3173,487,0,63,4,0,6,559,148,0,21,0,0,0,173,53,0,9,0,0,0,70,20,0,0,0,0,0,26,4,0,3,0,0,0,9,54,0,6,0,9,0,70,189,88,133,20,23,24,472,9787,1142,2502,220,419,187,14256
LGA22250,0,5,73,3,29,26,148,0,17,18,0,3,0,43,56,31,77,3,15,3,184,159,23,85,0,15,3,280,50,4,33,0,3,0,95,39,3,17,0,3,0,58,13,0,5,0,0,0,19,0,0,3,0,0,0,4,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,7,17,0,4,3,39,331,94,334,7,77,43,887
