LGA_CODE_2016,Sme_Usl_ad_1_yr_ago_as_2016_M,Sme_Usl_ad_1_yr_ago_as_2016_F,Sme_Usl_ad_1_yr_ago_as_2016_P,Dif_Usl_ad_1_yr_ago_Sme_SA2_M,Dif_Usl_ad_1_yr_ago_Sme_SA2_F,Dif_Usl_ad_1_yr_ago_Sme_SA2_P,Dif_Us_ad_1_ago_Dif_SA2_NSW_M,Dif_Us_ad_1_ago_Dif_SA2_NSW_F,Dif_Us_ad_1_ago_Dif_SA2_NSW_P,Dif_Us_ad_1_ago_Dif_SA2_Vic_M,Dif_Us_ad_1_ago_Dif_SA2_Vic_F,Dif_Us_ad_1_ago_Dif_SA2_Vic_P,Dif_Us_ad_1_ago_Dif_SA2_Qld_M,Dif_Us_ad_1_ago_Dif_SA2_Qld_F,Dif_Us_ad_1_ago_Dif_SA2_Qld_P,Dif_Us_ad_1_ago_Dif_SA2_SA_M,Dif_Us_ad_1_ago_Dif_SA2_SA_F,Dif_Us_ad_1_ago_Dif_SA2_SA_P,Dif_Us_ad_1_ago_Dif_SA2_WA_M,Dif_Us_ad_1_ago_Dif_SA2_WA_F,Dif_Us_ad_1_ago_Dif_SA2_WA_P,Dif_Us_ad_1_ago_Dif_SA2_Tas_M,Dif_Us_ad_1_ago_Dif_SA2_Tas_F,Dif_Us_ad_1_ago_Dif_SA2_Tas_P,Dif_Us_ad_1_ago_Dif_SA2_NT_M,Dif_Us_ad_1_ago_Dif_SA2_NT_F,Dif_Us_ad_1_ago_Dif_SA2_NT_P,Dif_Us_ad_1_ago_Dif_SA2_ACT_M,Dif_Us_ad_1_ago_Dif_SA2_ACT_F,Dif_Us_ad_1_ago_Dif_SA2_ACT_P,Dif_Us_ad_1_ago_Dif_SA2_OT_M,Dif_Us_ad_1_ago_Dif_SA2_OT_F,Dif_Us_ad_1_ago_Dif_SA2_OT_P,Dif_Us_ad_1_ago_Dif_SA2_Tot_M,Dif_Us_ad_1_ago_Dif_SA2_Tot_F,Dif_Us_ad_1_ago_Dif_SA2_Tot_P,Difnt_Usl_add_1_yr_ago_OS_M,Difnt_Usl_add_1_yr_ago_OS_F,Difnt_Usl_add_1_yr_ago_OS_P,Difnt_Usl_add_1_yr_ago_Ns_M,Difnt_Usl_add_1_yr_ago_Ns_F,Difnt_Usl_add_1_yr_ago_Ns_P,Difnt_Usl_add_1_yr_ago_Tot_M,Difnt_Usl_add_1_yr_ago_Tot_F,Difnt_Usl_add_1_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P
LGA20110,4811,4902,9717,288,308,605,61,69,127,238,251,482,27,30,61,6,9,15,12,19,29,4,8,15,3,7,14,0,0,3,0,0,0,355,387,741,23,46,68,7,4,9,669,748,1418,540,563,1107,6027,6214,12242
LGA20260,4294,4283,8578,295,309,606,17,11,30,263,238,497,14,14,30,11,12,20,18,15,36,4,3,9,3,3,3,0,0,0,0,0,0,327,301,620,25,47,71,5,10,17,652,667,1315,1144,460,1597,6088,5405,11493
LGA20570,36798,39648,76451,1720,1874,3601,126,129,252,4852,5466,10323,151,174,323,69,82,153,66,60,127,32,35,67,24,37,61,17,19,34,0,0,0,5348,5995,11342,308,326,636,86,85,167,7459,8277,15741,3916,4298,8214,48175,52233,100405
LGA20660,47308,50237,97542,1070,1085,2156,195,142,333,4713,4935,9649,180,148,330,53,48,101,66,75,139,15,30,43,24,37,63,37,28,71,0,0,0,5287,5444,10733,763,849,1610,84,75,162,7211,7450,14661,3926,4201,8127,58436,61896,120330
LGA20740,12003,12725,24722,1035,1159,2196,39,54,99,1050,1154,2199,55,58,117,14,9,21,21,28,47,12,11,15,20,18,35,7,0,4,0,0,0,1209,1331,2543,69,68,136,42,32,77,2358,2600,4954,1385,1449,2827,15738,16762,32505
LGA20830,18196,19048,37245,1026,1128,2153,52,61,112,1748,2010,3758,72,81,150,13,25,40,34,31,64,9,16,24,9,12,18,6,10,13,0,0,0,1938,2242,4182,73,82,157,43,40,82,3082,3494,6575,1974,2119,4096,23249,24669,47915
LGA20910,36152,39775,75929,1084,1138,2219,173,181,356,3927,4255,8180,115,121,237,31,43,74,62,62,126,9,11,20,9,18,24,17,18,40,3,0,0,4353,4714,9072,795,937,1732,52,70,123,6283,6860,13149,3362,3796,7156,45800,50434,96230
LGA21010,5231,5532,10766,371,420,791,37,52,87,309,361,671,21,24,45,3,3,5,7,5,10,3,6,11,3,10,13,0,0,4,0,0,0,388,454,838,13,17,30,8,8,18,784,894,1678,637,663,1300,6653,7088,13738
LGA21110,61207,66820,128024,1855,2004,3859,286,300,580,7659,8260,15926,229,248,478,118,106,223,169,151,321,47,47,92,16,28,48,72,82,152,0,0,0,8586,9231,17819,2132,2508,4640,111,111,219,12686,13854,26540,5550,5742,11294,79440,86419,165863
LGA21180,77031,78075,155106,1855,1651,3499,227,183,405,6952,6427,13375,167,160,321,100,68,168,83,67,152,18,29,49,37,34,74,20,22,44,0,0,3,7609,6987,14597,1738,1871,3613,147,159,306,11351,10669,22014,7574,7162,14739,95952,95906,191865
LGA21270,2516,2452,4968,119,117,236,5,7,9,107,120,229,4,11,19,9,7,9,0,3,8,0,3,7,0,0,0,0,0,0,0,0,0,134,151,285,8,11,19,6,3,9,266,284,541,335,311,650,3117,3040,6160
LGA21370,14578,14854,29429,842,885,1729,163,183,343,720,795,1517,62,54,116,11,15,27,19,15,33,14,11,25,9,5,13,4,3,7,0,0,0,998,1084,2086,38,59,93,48,42,92,1934,2072,4004,1585,1663,3248,18092,18591,36680
LGA21450,35490,36373,71866,1221,1378,2599,127,108,231,4797,5149,9951,113,102,218,27,22,45,41,43,82,13,10,18,17,20,36,3,9,14,0,0,0,5131,5462,10589,296,330,623,83,71,151,6725,7238,13961,3409,3452,6857,45626,47056,92691
LGA21610,116694,117916,234614,2584,2596,5178,352,356,709,14037,14092,28126,290,263,552,171,148,324,176,163,341,53,64,117,38,37,73,44,43,87,3,0,3,15160,15165,30328,2011,2383,4397,246,214,460,20002,20359,40366,10036,9798,19835,146733,148074,294813
LGA21670,5114,5236,10352,263,281,540,20,26,42,388,400,788,10,13,28,7,5,16,3,0,7,3,3,5,3,5,12,0,0,0,0,0,0,439,460,902,12,11,30,8,9,17,723,760,1479,515,546,1064,6350,6546,12893
LGA21750,8307,8296,16603,548,539,1085,20,31,55,496,551,1050,22,20,47,13,17,27,12,12,19,7,3,19,8,11,19,0,0,0,0,0,0,588,646,1240,42,50,97,15,11,31,1194,1247,2441,855,846,1701,10359,10392,20751
LGA21830,6507,6395,12900,331,334,663,19,17,38,327,340,669,23,21,48,5,10,15,6,9,20,3,3,8,13,4,19,0,0,0,0,0,0,401,415,816,22,23,44,9,8,21,766,783,1549,745,708,1454,8012,7884,15900
LGA21890,52561,56099,108661,1515,1602,3122,313,363,676,6941,7632,14573,200,225,423,112,111,220,131,120,249,51,49,96,32,46,79,43,54,94,0,0,0,7820,8594,16417,1836,2016,3850,187,200,394,11362,12423,23781,6154,6398,12551,70072,74912,144988
LGA22110,17071,17554,34626,1087,1224,2311,130,136,270,1133,1186,2315,88,113,204,31,31,59,40,39,82,8,3,14,22,16,40,14,13,20,0,0,0,1461,1544,3006,47,66,115,55,42,95,2650,2875,5532,2172,2270,4441,21894,22708,44601
