LGA_CODE_2016,T_LPLFS_EPT_DC_0_4,T_LPLFS_EPT_DC_5_9,T_LPLFS_EPT_DC_10_12,T_LPLFS_EPT_DC_13_14,T_LPLFS_EPT_DC_15_17,T_LPLFS_EPT_DC_18_20,T_LPLFS_EPT_DC_21_24,T_LPLFS_EPT_Tot,T_LPLFS_EAW_DC_0_4,T_LPLFS_EAW_DC_5_9,T_LPLFS_EAW_DC_10_12,T_LPLFS_EAW_DC_13_14,T_LPLFS_EAW_DC_15_17,T_LPLFS_EAW_DC_18_20,T_LPLFS_EAW_DC_21_24,T_LPLFS_EAW_Tot,T_LPLFS_HNS_DC_0_4,T_LPLFS_HNS_DC_5_9,T_LPLFS_HNS_DC_10_12,T_LPLFS_HNS_DC_13_14,T_LPLFS_HNS_DC_15_17,T_LPLFS_HNS_DC_18_20,T_LPLFS_HNS_DC_21_24,T_LPLFS_HNS_Tot,T_LPLFS_EW_Tot_DC_0_4,T_LPLFS_EW_Tot_DC_5_9,T_LPLFS_EW_Tot_DC_10_12,T_LPLFS_EW_Tot_DC_13_14,T_LPLFS_EW_Tot_DC_15_17,T_LPLFS_EW_Tot_DC_18_20,T_LPLFS_EW_Tot_DC_21_24,T_LPLFS_EW_Tot_Tot,T_LPLFS_ULFTW_DC_0_4,T_LPLFS_ULFTW_DC_5_9,T_LPLFS_ULFTW_DC_10_12,T_LPLFS_ULFTW_DC_13_14,T_LPLFS_ULFTW_DC_15_17,T_LPLFS_ULFTW_DC_18_20,T_LPLFS_ULFTW_DC_21_24,T_LPLFS_ULFTW_Tot,T_LPLFS_ULPTW_DC_0_4,T_LPLFS_ULPTW_DC_5_9,T_LPLFS_ULPTW_DC_10_12,T_LPLFS_ULPTW_DC_13_14,T_LPLFS_ULPTW_DC_15_17,T_LPLFS_ULPTW_DC_18_20,T_LPLFS_ULPTW_DC_21_24,T_LPLFS_ULPTW_Tot,T_LPLFS_U_T_DC_0_4,T_LPLFS_U_T_DC_5_9,T_LPLFS_U_T_DC_10_12,T_LPLFS_U_T_DC_13_14,T_LPLFS_U_T_DC_15_17,T_LPLFS_U_T_DC_18_20,T_LPLFS_U_T_DC_21_24,T_LPLFS_U_T_Tot,T_LPLFS_T_LF_DC_0_4,T_LPLFS_T_LF_DC_5_9,T_LPLFS_T_LF_DC_10_12,T_LPLFS_T_LF_DC_13_14,T_LPLFS_T_LF_DC_15_17,T_LPLFS_T_LF_DC_18_20,T_LPLFS_T_LF_DC_21_24,T_LPLFS_T_LF_Tot,T_LPLFS_NLF_DC_0_4,T_LPLFS_NLF_DC_5_9,T_LPLFS_NLF_DC_10_12,T_LPLFS_NLF_DC_13_14,T_LPLFS_NLF_DC_15_17,T_LPLFS_NLF_DC_18_20,T_LPLFS_NLF_DC_21_24,T_LPLFS_NLF_Tot,T_LPLFS_LFSNS_DC_0_4,T_LPLFS_LFSNS_DC_5_9,T_LPLFS_LFSNS_DC_10_12,T_LPLFS_LFSNS_DC_13_14,T_LPLFS_LFSNS_DC_15_17,T_LPLFS_LFSNS_DC_18_20,T_LPLFS_LFSNS_DC_21_24,T_LPLFS_LFSNS_Tot,T_LPLFS_Tot_DC_0_4,T_LPLFS_Tot_DC_5_9,T_LPLFS_Tot_DC_10_12,T_LPLFS_Tot_DC_13_14,T_LPLFS_Tot_DC_15_17,T_LPLFS_Tot_DC_18_20,T_LPLFS_Tot_DC_21_24,T_LPLFS_Tot_Tot
LGA20110,21,68,46,25,37,7,3,202,3,4,9,0,0,0,0,16,0,3,3,3,0,0,0,6,32,94,69,44,65,16,4,318,0,3,0,0,4,0,0,3,0,3,3,0,0,0,0,8,0,4,3,0,4,0,0,11,33,101,73,44,65,16,4,330,26,38,20,19,9,6,0,116,5,0,0,0,0,0,0,5,68,133,90,56,80,16,3,458
LGA20260,14,40,28,13,21,3,3,129,8,0,0,0,3,0,0,9,0,0,0,0,0,0,0,4,24,76,46,44,52,8,6,256,3,0,7,0,0,0,0,12,0,15,3,0,0,0,0,17,4,15,9,3,3,0,0,30,34,87,52,40,53,8,7,284,53,55,26,20,17,3,0,175,0,0,0,0,0,0,0,3,83,144,77,67,68,12,7,459
LGA20570,235,479,317,170,296,73,26,1602,30,35,16,19,13,6,0,112,6,8,14,7,11,0,3,41,338,720,541,340,627,202,69,2841,15,73,44,30,22,9,0,191,59,117,54,37,41,5,0,317,74,192,93,63,60,18,3,503,409,911,634,403,691,219,75,3348,682,566,301,210,192,49,18,2015,7,8,0,0,5,0,0,30,1100,1488,939,617,890,269,90,5388
LGA20660,133,344,234,157,245,125,62,1290,15,7,6,8,8,5,6,52,9,7,8,7,7,13,6,51,233,577,466,362,551,337,198,2726,4,21,6,10,12,16,3,77,17,40,25,17,11,13,5,133,24,58,33,32,27,31,6,214,255,636,498,389,581,369,204,2941,278,307,175,111,133,86,47,1134,5,3,4,4,4,3,0,28,537,948,687,502,722,452,248,4100
LGA20740,69,144,83,72,88,24,4,484,12,5,4,5,10,0,0,39,5,5,4,0,0,0,0,7,106,215,145,124,161,44,3,800,4,21,8,14,12,3,0,52,8,35,24,13,5,0,0,79,13,49,30,27,14,4,0,127,113,264,174,144,174,52,3,931,179,178,101,55,66,10,4,593,9,5,0,0,3,0,0,16,299,445,274,204,246,64,10,1540
LGA20830,80,185,129,79,102,28,11,611,15,12,3,5,5,0,3,42,4,4,0,0,8,3,0,19,136,281,213,161,269,73,27,1154,0,17,5,7,14,5,0,47,17,29,11,6,8,3,0,77,21,40,24,17,24,6,0,126,151,327,229,174,292,77,27,1280,250,260,134,66,109,40,4,859,0,3,0,0,0,0,0,7,405,590,368,249,397,117,30,2148
LGA20910,69,205,160,111,165,98,51,845,11,10,8,4,11,5,6,47,4,7,3,3,4,0,3,31,138,400,352,257,437,270,152,2005,3,13,6,5,16,12,4,62,5,22,15,11,15,5,3,66,12,35,20,16,27,16,5,127,147,434,373,270,465,286,157,2129,125,128,102,79,91,58,46,613,7,3,3,0,0,0,3,14,276,561,476,350,557,345,198,2755
LGA21010,29,45,44,28,44,4,0,193,3,0,0,0,4,0,0,8,0,0,0,0,0,0,0,4,35,79,72,55,76,15,3,337,0,12,3,3,0,0,0,16,7,8,5,0,4,0,0,30,12,21,12,3,3,0,0,45,45,95,85,59,84,15,3,380,111,95,39,33,30,9,0,315,0,0,0,0,3,0,0,6,157,191,122,95,113,26,3,700
LGA21110,108,285,226,181,276,199,102,1372,15,8,5,10,9,13,3,63,0,12,5,4,4,9,3,44,206,608,500,415,695,514,278,3211,10,28,11,18,18,16,4,98,8,27,14,14,26,18,17,119,19,54,24,31,41,31,23,219,218,663,524,446,738,537,301,3432,170,245,210,161,257,140,113,1304,3,3,0,3,0,0,0,15,391,909,738,616,995,684,420,4754
LGA21180,251,477,349,308,376,221,111,2087,42,17,13,10,17,9,6,112,29,30,27,17,35,13,9,168,569,994,752,580,876,521,316,4608,67,130,82,75,91,63,31,531,76,194,129,76,113,54,31,669,138,326,217,148,203,113,61,1202,708,1320,965,728,1080,635,374,5812,1229,1215,618,434,576,309,192,4579,45,35,23,21,16,6,4,157,1983,2571,1611,1183,1674,956,575,10544
LGA21270,10,19,18,6,18,4,0,79,3,3,0,3,4,0,0,10,0,0,0,0,0,0,0,0,11,27,20,14,27,4,0,104,0,3,0,0,3,0,0,3,0,4,3,0,0,0,0,7,0,6,3,0,3,0,0,13,11,31,26,14,29,4,0,116,20,15,12,5,10,3,0,68,0,0,0,0,0,0,0,0,31,51,38,17,39,7,0,182
LGA21370,63,107,107,68,85,19,4,445,4,4,0,0,5,0,0,22,3,0,4,3,4,0,0,9,108,196,183,121,188,49,3,848,0,16,10,4,7,0,0,33,18,24,5,3,5,0,0,63,16,37,19,7,14,3,0,97,126,237,199,128,199,49,3,948,202,182,99,48,59,15,0,605,5,7,3,5,0,0,0,16,334,421,299,183,263,69,3,1568
LGA21450,225,407,275,176,222,84,26,1416,23,21,11,14,15,3,3,88,16,9,9,8,10,3,0,51,378,641,457,367,515,217,80,2671,17,42,30,16,21,10,0,133,43,54,33,31,21,0,4,194,57,98,61,50,44,15,8,325,440,739,523,416,561,231,85,2996,590,459,211,121,143,41,24,1577,9,10,13,10,5,0,0,41,1037,1205,749,542,710,270,113,4614
LGA21610,468,839,624,450,612,229,85,3316,60,46,26,18,31,8,11,192,26,29,35,17,34,14,11,161,869,1625,1222,997,1467,652,313,7139,74,110,92,53,91,30,17,473,127,167,106,54,58,21,9,531,199,277,194,101,156,50,28,1012,1068,1899,1423,1100,1621,702,336,8149,1418,1338,661,448,616,267,150,4900,29,36,26,20,19,8,3,131,2519,3267,2111,1568,2255,975,492,13184
LGA21670,24,37,32,20,39,8,3,160,3,4,0,0,0,0,0,16,0,0,0,0,0,0,0,0,26,57,45,40,62,23,3,259,3,16,4,3,3,0,0,29,9,16,10,7,4,0,0,44,8,29,12,12,6,0,0,75,37,95,57,58,71,24,3,335,109,106,53,60,36,6,0,378,3,0,3,0,0,0,0,5,153,195,113,112,108,34,6,721
LGA21750,57,65,62,41,68,11,0,303,3,0,8,0,5,0,0,11,0,0,3,0,3,0,0,11,68,100,101,56,110,14,3,465,0,3,8,6,3,4,0,21,3,5,3,3,3,0,0,16,3,11,9,10,4,4,0,37,73,110,111,68,118,20,3,500,124,100,52,38,32,4,0,362,0,0,0,0,3,0,0,9,197,213,168,105,153,22,3,866
LGA21830,27,45,28,26,33,5,3,171,9,10,0,0,0,0,0,18,0,3,0,0,0,0,0,4,44,74,52,50,66,19,3,306,0,6,3,0,7,0,0,13,5,14,3,4,3,0,0,31,11,15,9,4,8,0,0,41,57,86,57,51,76,19,3,349,78,82,36,22,10,3,4,237,0,0,0,0,4,0,0,7,136,168,95,76,88,23,4,594
LGA21890,184,325,238,153,209,118,54,1279,27,13,8,6,3,8,10,70,4,8,4,3,4,0,0,21,325,566,444,291,466,287,169,2552,11,33,28,18,19,14,11,127,23,38,19,22,20,7,11,129,33,71,40,39,41,20,20,258,360,635,489,328,509,304,195,2812,386,372,207,159,186,107,76,1491,10,7,5,6,7,0,4,31,749,1013,698,490,697,413,271,4338
LGA22110,77,157,127,72,110,13,3,560,11,7,5,5,8,0,0,43,6,11,0,3,9,0,0,28,108,251,207,155,226,35,3,985,9,15,4,8,10,0,0,45,6,29,13,16,10,0,0,69,15,44,19,23,15,0,0,112,125,294,222,177,238,38,3,1098,229,218,107,69,96,11,3,737,4,7,0,8,0,0,0,20,358,522,337,253,335,53,7,1858
LGA22170,269,525,340,255,355,145,48,1939,38,21,18,16,20,3,4,122,21,18,14,15,17,6,0,86,495,900,682,514,841,382,155,3966,27,38,45,20,35,11,3,190,58,103,62,37,35,7,0,304,86,138,111,60,69,23,8,495,579,1037,792,576,912,407,165,4461,742,646,356,204,274,85,46,2356,17,31,16,4,3,3,3,75,1342,1715,1159,785,1191,493,208,6890
LGA22250,15,31,13,8,21,0,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,47,26,19,42,3,4,160,0,3,4,0,0,0,0,9,0,6,3,0,0,0,0,18,0,11,3,0,0,0,0,21,19,57,32,21,46,3,4,180,51,41,22,14,17,7,0,155,0,0,0,0,0,0,0,0,70,103,54,37,65,6,4,332
LGA22310,116,285,189,162,230,143,86,1205,18,11,0,5,10,3,4,61,3,8,9,3,6,5,4,42,248,578,443,352,536,384,261,2793,7,22,17,21,25,11,6,101,10,36,20,12,8,8,3,95,16,56,34,31,32,19,11,195,263,625,479,380,569,400,273,2993,147,207,123,93,123,82,76,847,0,0,4,0,0,0,0,12,414,834,605,472,691,486,347,3852
LGA22410,25,51,42,29,46,8,0,211,3,7,6,0,4,0,0,19,0,0,3,0,0,0,0,3,43,99,89,60,95,19,4,402,0,9,4,6,5,0,0,25,3,17,7,4,4,0,0,42,4,21,15,9,12,0,0,61,48,122,100,71,104,22,4,464,113,83,44,30,29,4,0,309,0,9,3,0,0,0,0,19,160,210,149,101,135,27,3,791
LGA22490,21,69,30,33,42,13,0,209,4,6,3,0,0,0,5,16,0,0,0,3,0,0,0,3,30,108,74,57,84,18,13,387,0,3,0,0,3,3,0,17,4,5,8,9,0,0,0,28,5,14,9,10,11,3,0,43,35,122,79,63,94,26,13,428,61,82,45,22,36,9,3,257,0,0,0,0,0,0,0,3,98,198,126,82,123,33,16,682
LGA22620,232,517,332,221,304,90,25,1719,47,38,24,20,11,5,3,142,6,7,4,4,4,0,3,36,372,777,559,425,632,212,92,3064,25,59,37,23,33,3,0,183,46,80,46,30,34,6,0,239,73,141,82,50,63,15,0,420,444,914,643,473,697,221,94,3489,754,679,344,208,233,59,19,2293,5,4,8,0,3,0,0,20,1200,1595,990,682,933,279,111,5800
LGA22670,174,339,266,187,267,148,81,1463,21,9,3,7,9,4,11,70,14,19,14,14,13,18,7,103,410,675,534,400,585,412,216,3234,45,72,39,20,56,29,12,276,42,78,61,33,44,37,9,300,91,146,100,52,95,59,27,576,502,819,636,451,685,471,244,3811,829,725,445,337,416,254,152,3169,17,23,14,11,17,0,4,94,1345,1577,1105,803,1115,728,401,7073
