LGA_CODE_2016,P_EducTrain_GD_GC,P_EducTrain_BD,P_EducTrain_AdD_D,P_EducTrain_Cert,P_EducTrain_ID_NS,P_EducTrain_ToT,P_HealthCareSocA_PD,P_HealthCareSocA_GD_GC,P_HealthCareSocA_BD,P_HealthCareSocA_AdD_D,P_HealthCareSocA_Cert,P_HealthCareSocA_ID_NS,P_HealthCareSocA_ToT,P_ArtRecServ_PD,P_ArtRecServ_GD_GC,P_ArtRecServ_BD,P_ArtRecServ_AdD_D,P_ArtRecServ_Cert,P_ArtRecServ_ID_NS,P_ArtRecServ_ToT,P_OthServ_PD,P_OthServ_GD_GC,P_OthServ_BD,P_OthServ_AdD_D,P_OthServ_Cert,P_OthServ_ID_NS,P_OthServ_ToT,P_ID_NS_PD,P_ID_NS_GD_GC,P_ID_NS_BD,P_ID_NS_AdD_D,P_ID_NS_Cert,P_ID_NS_ID_NS,P_ID_NS_ToT,P_ToT_PD,P_ToT_GD_GC,P_ToT_BD,P_ToT_AdD_D,P_ToT_Cert,P_ToT_ID_NS,P_ToT_ToT
LGA20110,63,172,51,53,8,392,27,58,151,131,152,20,540,3,9,25,14,33,3,79,3,3,13,17,90,3,121,3,0,23,19,61,13,116,153,188,793,656,1572,192,3551
LGA20260,41,110,25,27,3,226,20,28,151,123,200,23,539,0,0,6,8,21,0,39,5,6,7,19,80,3,115,0,3,13,9,40,27,94,68,121,566,505,1339,208,2808
LGA20570,617,1748,501,556,54,4205,619,579,2304,1110,1420,192,6223,36,16,170,85,187,25,525,27,20,107,174,728,35,1087,34,14,133,96,365,137,789,2158,1769,8051,4742,11631,1110,29471
LGA20660,918,2404,620,452,83,5941,1218,700,3155,1141,1145,232,7587,64,51,339,149,180,20,806,113,62,282,258,718,44,1484,134,48,427,186,407,175,1376,5953,2983,15900,6690,10305,1292,43124
LGA20740,147,396,106,110,15,851,87,96,378,262,410,67,1306,7,12,76,79,111,19,302,0,0,30,51,241,10,339,13,3,32,45,145,66,311,337,362,1632,1375,3833,506,8047
LGA20830,265,744,260,288,30,1808,142,154,664,460,638,78,2135,4,3,28,42,72,6,162,18,15,51,96,478,28,678,5,5,50,75,265,73,473,628,649,2801,2336,6705,640,13753
LGA20910,543,1663,445,242,65,3978,890,408,2105,680,448,131,4658,81,42,336,134,124,14,736,72,40,257,169,383,30,954,193,62,612,252,260,145,1525,5535,2288,15559,5323,5314,1050,35070
LGA21010,64,171,49,72,13,404,38,40,172,159,203,36,648,0,0,8,11,32,4,55,3,3,13,15,122,6,156,4,3,17,11,75,22,130,143,145,659,662,1756,235,3603
LGA21110,1059,3112,524,302,120,7592,2554,891,5258,1044,597,318,10661,189,81,581,187,163,26,1221,195,88,521,247,497,31,1579,403,110,1002,279,298,230,2326,13311,4588,31175,7528,6714,1678,65012
LGA21180,469,1676,615,540,113,3983,513,315,2331,1330,1599,303,6382,27,19,269,157,228,43,739,79,22,314,416,1293,114,2239,123,32,598,492,888,519,2651,3407,1409,14825,9187,15673,2692,47198
LGA21270,39,95,23,31,5,202,7,5,69,56,69,12,217,0,0,0,0,3,0,6,3,0,4,0,46,3,65,0,0,6,3,27,4,40,37,68,288,209,732,96,1421
LGA21370,132,437,127,133,15,921,71,122,463,419,562,89,1729,3,0,16,20,50,11,107,4,3,25,58,355,17,460,5,5,34,28,173,96,337,239,352,1772,1527,4948,623,9465
LGA21450,380,1216,451,496,63,2967,253,243,1139,1018,1324,165,4145,18,17,85,94,163,23,398,27,14,112,195,1024,46,1422,32,16,171,195,662,175,1260,1313,1010,5599,5492,13991,1255,28669
LGA21610,798,2835,1188,1091,161,7261,1070,693,4411,3329,3947,555,13999,46,25,240,307,441,55,1104,121,37,439,737,2646,155,4138,230,58,790,762,1836,723,4399,6467,2659,21394,17960,34599,4171,87260
LGA21670,27,107,38,52,13,247,22,17,110,110,197,27,485,0,3,9,12,20,3,39,0,0,10,9,95,4,125,0,0,10,10,62,26,112,64,76,384,380,1434,190,2528
LGA21750,67,237,75,76,12,507,55,47,252,212,364,61,992,6,0,17,13,35,0,75,7,0,11,25,150,5,202,3,3,20,19,109,63,212,186,182,1059,986,2911,402,5726
LGA21830,56,199,54,58,3,396,20,33,176,131,208,39,601,3,0,12,3,17,3,38,3,0,10,9,117,6,153,3,3,12,11,67,39,141,109,145,801,646,2018,285,4001
LGA21890,1109,2702,584,391,96,6960,1500,712,3364,1146,1035,205,7973,172,119,668,201,191,29,1368,180,78,444,317,689,68,1775,199,59,658,304,444,309,1964,8427,3660,20775,7856,9782,1663,52171
LGA22110,189,504,173,263,30,1249,109,156,530,474,661,93,2022,3,4,39,31,64,5,153,6,7,29,72,357,24,491,3,3,42,61,208,81,398,349,476,1929,1835,5395,673,10652
LGA22170,588,1696,708,668,84,4266,429,394,2048,1657,2175,281,6979,25,17,144,141,258,28,618,37,19,166,319,1252,82,1879,65,25,299,284,954,283,1904,1929,1583,8849,8191,18494,1857,40897
LGA22250,21,121,17,34,6,212,13,22,101,100,154,23,413,0,0,3,4,8,4,22,0,0,8,7,88,3,116,0,0,5,8,50,29,92,44,69,432,376,1340,205,2471
LGA22310,900,2734,660,405,118,6641,1398,584,3540,1139,840,249,7752,135,64,447,181,166,23,1018,143,55,486,337,696,58,1772,304,65,784,309,370,221,2053,9242,3398,23784,7746,8211,1727,54115
LGA22410,67,216,64,91,4,469,37,53,245,204,341,48,929,0,3,3,16,26,0,49,0,5,7,25,146,8,200,6,4,14,22,107,34,185,130,187,822,759,2678,306,4881
LGA22490,99,302,118,119,18,747,48,103,357,237,357,56,1146,4,0,19,15,32,3,85,3,3,14,37,225,4,293,3,8,21,32,142,41,247,266,329,1289,1181,3374,350,6787
LGA22620,608,1660,476,505,82,3781,619,595,2255,1252,1846,238,6800,20,13,100,67,188,19,412,43,28,114,201,956,47,1388,28,20,115,111,495,176,940,1718,1769,7907,4924,14024,1349,31691
LGA22670,257,863,370,274,74,2323,465,235,1911,1255,1440,216,5527,23,7,116,91,123,19,370,72,26,268,416,892,81,1745,154,27,496,421,763,428,2289,3412,975,10994,7481,10564,2064,35490
LGA22750,1113,3751,1273,1111,164,8896,1136,1050,4782,2443,3459,460,13331,55,48,314,205,387,52,1060,82,58,342,490,1774,76,2815,87,42,395,356,1018,369,2264,4719,3455,19062,12287,27200,2744,69461
