LGA_CODE_2016,F_ID_NS_15_19,F_ID_NS_20_24,F_ID_NS_25_34,F_ID_NS_35_44,F_ID_NS_45_54,F_ID_NS_55_64,F_ID_NS_65_74,F_ID_NS_75_84,F_ID_NS_85ov,F_ID_NS_Tot,F_Tot_15_19,F_Tot_20_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Ag_For_Fshg_15_19,P_Ag_For_Fshg_20_24,P_Ag_For_Fshg_25_34,P_Ag_For_Fshg_35_44,P_Ag_For_Fshg_45_54,P_Ag_For_Fshg_55_64,P_Ag_For_Fshg_65_74,P_Ag_For_Fshg_75_84,P_Ag_For_Fshg_85ov,P_Ag_For_Fshg_Tot,P_Mining_15_19,P_Mining_20_24,P_Mining_25_34,P_Mining_35_44,P_Mining_45_54,P_Mining_55_64,P_Mining_65_74,P_Mining_75_84,P_Mining_85ov,P_Mining_Tot,P_Manufact_15_19,P_Manufact_20_24,P_Manufact_25_34,P_Manufact_35_44,P_Manufact_45_54,P_Manufact_55_64,P_Manufact_65_74,P_Manufact_75_84,P_Manufact_85ov,P_Manufact_Tot,P_El_Gas_Wt_Waste_15_19,P_El_Gas_Wt_Waste_20_24,P_El_Gas_Wt_Waste_25_34,P_El_Gas_Wt_Waste_35_44,P_El_Gas_Wt_Waste_45_54,P_El_Gas_Wt_Waste_55_64,P_El_Gas_Wt_Waste_65_74,P_El_Gas_Wt_Waste_75_84,P_El_Gas_Wt_Waste_85ov,P_El_Gas_Wt_Waste_Tot,P_Constru_15_19,P_Constru_20_24,P_Constru_25_34,P_Constru_35_44,P_Constru_45_54,P_Constru_55_64,P_Constru_65_74,P_Constru_75_84,P_Constru_85ov,P_Constru_Tot,P_WhlesaleTde_15_19,P_WhlesaleTde_20_24,P_WhlesaleTde_25_34,P_WhlesaleTde_35_44,P_WhlesaleTde_45_54,P_WhlesaleTde_55_64,P_WhlesaleTde_65_74,P_WhlesaleTde_75_84,P_WhlesaleTde_85ov,P_WhlesaleTde_Tot,P_RetTde_15_19,P_RetTde_20_24,P_RetTde_25_34,P_RetTde_35_44,P_RetTde_45_54,P_RetTde_55_64,P_RetTde_65_74,P_RetTde_75_84,P_RetTde_85ov,P_RetTde_Tot,P_Accom_food_15_19,P_Accom_food_20_24,P_Accom_food_25_34,P_Accom_food_35_44,P_Accom_food_45_54,P_Accom_food_55_64,P_Accom_food_65_74,P_Accom_food_75_84,P_Accom_food_85ov,P_Accom_food_Tot,P_Trans_post_wrehsg_15_19,P_Trans_post_wrehsg_20_24,P_Trans_post_wrehsg_25_34,P_Trans_post_wrehsg_35_44,P_Trans_post_wrehsg_45_54,P_Trans_post_wrehsg_55_64,P_Trans_post_wrehsg_65_74,P_Trans_post_wrehsg_75_84,P_Trans_post_wrehsg_85ov,P_Trans_post_wrehsg_Tot,P_Info_media_teleco_15_19,P_Info_media_teleco_20_24,P_Info_media_teleco_25_34,P_Info_media_teleco_35_44,P_Info_media_teleco_45_54,P_Info_media_teleco_55_64,P_Info_media_teleco_65_74,P_Info_media_teleco_75_84,P_Info_media_teleco_85ov,P_Info_media_teleco_Tot,P_Fin_Insur_15_19,P_Fin_Insur_20_24,P_Fin_Insur_25_34,P_Fin_Insur_35_44,P_Fin_Insur_45_54,P_Fin_Insur_55_64,P_Fin_Insur_65_74,P_Fin_Insur_75_84,P_Fin_Insur_85ov,P_Fin_Insur_Tot,P_RtnHir_REst_15_19,P_RtnHir_REst_20_24,P_RtnHir_REst_25_34,P_RtnHir_REst_35_44,P_RtnHir_REst_45_54,P_RtnHir_REst_55_64,P_RtnHir_REst_65_74,P_RtnHir_REst_75_84,P_RtnHir_REst_85ov,P_RtnHir_REst_Tot,P_Pro_scien_tec_15_19,P_Pro_scien_tec_20_24,P_Pro_scien_tec_25_34,P_Pro_scien_tec_35_44,P_Pro_scien_tec_45_54,P_Pro_scien_tec_55_64,P_Pro_scien_tec_65_74,P_Pro_scien_tec_75_84,P_Pro_scien_tec_85ov,P_Pro_scien_tec_Tot,P_Admin_supp_15_19,P_Admin_supp_20_24,P_Admin_supp_25_34,P_Admin_supp_35_44,P_Admin_supp_45_54,P_Admin_supp_55_64,P_Admin_supp_65_74,P_Admin_supp_75_84,P_Admin_supp_85ov,P_Admin_supp_Tot,P_Public_admin_sfty_15_19,P_Public_admin_sfty_20_24,P_Public_admin_sfty_25_34,P_Public_admin_sfty_35_44,P_Public_admin_sfty_45_54,P_Public_admin_sfty_55_64,P_Public_admin_sfty_65_74,P_Public_admin_sfty_75_84,P_Public_admin_sfty_85ov,P_Public_admin_sfty_Tot,P_Educ_trng_15_19,P_Educ_trng_20_24,P_Educ_trng_25_34,P_Educ_trng_35_44,P_Educ_trng_45_54,P_Educ_trng_55_64,P_Educ_trng_65_74,P_Educ_trng_75_84,P_Educ_trng_85ov,P_Educ_trng_Tot,P_HlthCare_SocAs_15_19,P_HlthCare_SocAs_20_24,P_HlthCare_SocAs_25_34,P_HlthCare_SocAs_35_44,P_HlthCare_SocAs_45_54,P_HlthCare_SocAs_55_64,P_HlthCare_SocAs_65_74,P_HlthCare_SocAs_75_84,P_HlthCare_SocAs_85ov,P_HlthCare_SocAs_Tot,P_Art_recn_15_19,P_Art_recn_20_24,P_Art_recn_25_34,P_Art_recn_35_44,P_Art_recn_45_54,P_Art_recn_55_64,P_Art_recn_65_74,P_Art_recn_75_84,P_Art_recn_85ov,P_Art_recn_Tot
LGA20110,13,7,7,18,10,23,3,3,0,83,181,138,334,551,694,616,132,18,9,2668,12,28,52,67,119,121,63,28,5,495,0,0,3,3,4,8,5,0,0,29,31,36,74,74,119,106,19,3,0,461,0,0,6,13,28,34,3,0,0,87,27,44,86,85,99,83,11,0,0,434,3,3,11,14,33,13,3,0,0,79,90,35,40,81,147,109,27,0,0,531,101,68,109,157,152,124,44,0,0,758,0,10,12,31,43,61,16,0,0,180,0,3,3,14,3,7,3,0,0,28,0,3,13,19,24,11,0,0,0,72,3,7,17,21,28,21,9,0,0,101,0,3,23,58,65,49,20,0,0,224,7,8,32,40,55,55,10,0,0,205,3,3,33,69,75,71,11,0,0,276,8,15,43,120,105,120,28,0,0,433,5,25,85,98,176,195,36,3,0,626,12,4,13,25,30,17,7,0,0,113
LGA20260,8,5,10,10,9,18,5,6,0,73,142,146,361,411,551,449,120,22,0,2202,11,22,91,144,113,169,116,37,3,701,0,4,11,12,8,5,0,0,0,42,44,76,122,97,97,88,28,0,0,560,0,0,5,11,16,4,0,0,0,36,16,31,61,32,62,49,13,6,3,263,5,12,24,18,29,22,3,0,0,108,70,44,56,60,79,49,16,5,0,381,96,27,37,38,39,47,11,0,0,290,0,0,18,27,27,31,13,0,0,121,3,3,9,10,4,5,3,0,0,36,0,0,11,3,14,10,3,0,0,37,0,3,6,9,13,17,3,0,0,44,8,8,19,14,21,21,3,0,0,92,4,3,12,14,26,24,5,3,0,95,3,12,65,117,203,128,21,0,0,555,3,10,55,54,64,69,14,0,0,270,7,39,106,114,204,174,27,3,0,673,5,7,11,8,16,11,7,0,0,57
LGA20570,46,51,78,100,125,98,31,11,3,540,1459,2454,4536,4607,4839,3448,618,49,15,22028,22,66,115,120,143,103,101,31,3,701,6,18,89,91,95,43,0,0,0,334,140,245,614,885,936,598,84,3,3,3516,7,25,82,104,116,80,7,0,0,417,185,587,1139,770,712,487,79,3,4,3972,40,74,169,206,232,143,36,6,0,911,735,902,1034,807,830,603,142,16,3,5068,1011,779,587,416,354,242,57,3,3,3454,24,73,279,298,392,371,107,15,0,1551,33,87,257,226,183,100,22,0,0,917,0,57,175,178,204,122,24,3,0,770,7,64,131,103,112,79,31,3,0,535,32,238,634,605,461,303,113,13,0,2396,22,97,210,230,278,221,37,8,0,1102,29,122,584,727,689,489,81,5,3,2730,88,315,987,1168,1211,938,179,4,0,4890,69,586,1688,1643,1785,1496,238,13,3,7531,91,159,196,150,148,108,49,5,0,906
LGA20660,29,63,187,203,194,120,46,18,4,870,1287,2461,6121,6578,6329,4614,1012,93,12,28505,8,18,27,44,37,28,12,3,0,178,0,4,26,33,38,31,0,0,0,135,98,188,585,832,904,631,183,19,0,3446,4,24,135,151,123,98,22,0,0,551,118,495,1299,1145,1032,661,155,12,3,4914,24,99,338,453,470,301,68,11,0,1762,740,975,1064,772,830,650,188,21,0,5240,717,630,570,402,351,186,45,0,4,2920,27,108,387,469,579,417,107,4,0,2096,39,81,301,404,302,172,23,0,0,1327,18,113,677,869,613,323,60,12,0,2683,17,86,224,222,177,156,56,11,3,951,39,350,1350,1744,1179,807,245,33,8,5742,18,138,387,430,400,322,81,8,0,1776,58,226,817,1122,1061,723,146,22,0,4175,132,410,1290,1544,1565,1421,307,12,0,6683,55,506,1952,2044,2062,1737,475,36,0,8867,179,231,270,219,180,134,53,12,0,1277
LGA20740,19,11,20,48,43,53,10,4,3,214,342,333,971,1188,1515,1337,318,39,11,6064,18,21,93,92,136,133,118,57,4,682,0,0,15,18,17,13,4,0,0,67,39,40,90,115,156,133,41,3,0,629,5,5,43,60,69,54,3,0,0,237,45,124,313,334,375,279,78,5,7,1559,3,18,56,55,93,83,16,0,0,322,201,120,224,276,315,272,59,3,0,1469,210,143,228,147,196,193,47,4,0,1162,4,3,29,51,100,117,51,7,0,362,7,3,13,25,33,27,3,0,0,108,0,3,30,46,43,20,13,0,0,163,9,10,37,39,65,47,18,0,0,223,6,19,89,94,129,136,52,5,0,535,13,20,65,102,120,78,41,3,3,446,3,7,87,144,158,141,25,0,0,572,15,28,182,241,244,221,34,3,0,967,12,58,234,281,443,468,88,7,7,1584,33,29,72,87,98,98,38,0,0,460
LGA20830,13,24,44,54,83,55,29,7,0,308,604,841,1866,1948,2437,1870,401,64,3,10034,51,99,288,342,378,417,283,101,14,1979,0,8,35,40,33,34,4,0,0,153,65,136,317,315,405,245,48,13,0,1546,3,15,65,72,132,120,18,0,0,427,145,305,633,459,480,342,68,0,3,2435,13,34,111,117,156,104,20,4,0,566,226,250,348,302,363,273,65,12,0,1836,443,216,176,149,165,123,27,0,0,1297,8,36,95,140,219,213,60,3,0,771,12,17,51,46,45,47,11,0,0,232,8,21,88,90,94,55,21,0,0,377,3,29,54,62,46,24,22,3,0,243,16,66,192,215,198,213,68,8,0,983,22,29,81,103,149,121,28,5,0,534,3,39,224,256,304,219,50,4,3,1110,38,87,357,446,560,489,78,5,0,2057,38,184,474,494,679,595,106,6,0,2579,32,33,47,46,45,54,11,4,0,264
LGA20910,34,55,117,193,286,159,58,9,4,918,1093,1738,3213,4816,6227,3953,1135,93,17,22283,3,8,13,29,36,30,27,4,0,149,0,3,17,32,67,38,5,0,0,163,76,101,315,516,766,474,171,16,0,2436,0,20,65,116,115,60,10,0,0,395,67,255,550,614,784,490,150,19,0,2933,26,88,194,402,559,335,115,20,3,1743,537,721,559,705,815,576,248,40,0,4205,596,595,346,299,286,151,65,5,0,2346,6,57,162,263,410,263,71,7,7,1256,41,82,179,331,409,198,34,3,0,1288,17,123,400,990,991,465,146,21,13,3154,18,76,187,264,417,221,119,17,3,1321,43,363,963,1688,1951,1274,521,62,0,6851,19,87,197,331,418,254,105,16,0,1433,8,46,265,474,586,407,106,7,4,1905,175,273,529,816,1275,1152,305,27,0,4541,52,235,720,1022,1530,1278,369,30,3,5246,197,179,184,231,243,132,59,6,0,1238
LGA21010,9,8,16,14,21,18,12,4,0,99,165,182,402,458,707,638,152,18,4,2728,15,19,53,61,96,142,129,31,6,557,0,3,6,11,8,4,0,0,0,27,23,51,65,106,124,106,15,3,0,498,0,6,20,10,20,25,0,0,0,86,20,54,91,79,107,102,22,0,0,477,7,8,32,44,53,43,13,0,0,202,73,53,90,84,110,76,22,3,0,510,113,46,54,52,65,50,13,0,0,383,3,17,33,36,66,81,20,0,0,256,0,3,7,4,10,14,0,0,0,37,0,3,8,15,17,16,0,0,0,65,0,0,14,8,11,15,10,0,0,60,3,15,21,25,41,43,12,0,0,164,0,6,30,25,36,38,8,3,0,158,0,12,37,63,115,104,23,3,0,357,0,22,84,88,136,107,24,3,0,462,4,43,114,147,203,254,48,0,0,812,15,13,12,13,24,9,5,0,0,97
LGA21110,58,143,265,304,351,179,76,25,6,1408,1915,4332,8687,8009,9387,5990,1774,184,29,40305,12,24,47,42,75,52,52,16,3,310,0,0,48,75,70,45,17,0,0,258,123,249,672,799,1017,615,187,28,4,3699,7,38,220,181,181,58,14,0,0,702,57,363,947,747,887,482,192,16,3,3700,55,204,504,622,802,388,134,23,0,2727,827,1752,1580,1132,1350,782,272,31,5,7734,1082,1374,1198,600,578,284,78,7,0,5197,23,124,369,438,526,361,78,13,0,1942,88,220,611,580,544,277,69,3,0,2393,23,294,1312,1622,1532,708,212,30,6,5743,40,182,460,446,507,310,137,32,7,2124,91,961,2821,2795,2950,1913,714,83,13,12339,48,258,613,415,502,354,157,18,0,2373,19,162,687,746,908,718,197,23,0,3464,294,760,1700,1415,2029,1841,543,48,3,8638,104,755,2303,2296,2941,2364,813,96,11,11674,334,370,443,285,285,166,84,10,8,1976
LGA21180,68,217,491,480,428,247,42,9,3,1986,1666,4052,8988,7758,7507,4621,645,40,9,35291,5,43,140,103,133,76,9,3,0,507,0,0,21,25,21,18,3,0,0,91,113,482,1637,2235,2411,1600,194,10,0,8682,5,49,200,197,144,80,11,0,0,688,163,698,1714,1487,1199,786,126,11,0,6172,32,223,652,658,645,419,72,5,0,2703,823,1758,1978,1404,1443,854,160,11,0,8414,1300,1223,1468,735,727,464,68,4,0,5983,63,539,1983,1777,1744,1297,219,6,0,7635,39,138,355,353,213,75,17,0,0,1186,14,285,1095,785,478,214,26,0,4,2903,29,132,333,228,181,107,18,0,0,1041,26,359,1303,1021,632,348,93,10,0,3783,62,373,949,757,731,572,113,7,0,3557,28,222,829,838,856,612,121,8,0,3517,130,490,1180,1071,1082,777,130,10,0,4872,73,684,2164,1838,1718,1223,230,13,4,7932,117,231,369,231,170,115,24,0,0,1254
