LGA_CODE_2016,I_4000more_1AW_OthNW,I_4000more_BNW,I_4000more_LFsta_NS,I_4000more_Tot,Part_inc_stated_BE_WFT,Part_inc_stated_BE_WPT,Part_inc_stated_BE_BAW,Part_inc_stated_1EFT_OthPT,Part_inc_stated_1EFT_OthAW,Part_inc_stated_1EFT_OthNW,Part_inc_stated_1EPT_OthAW,Part_inc_stated_1EPT_OthNW,Part_inc_stated_1AW_OthNW,Part_inc_stated_BNW,Part_inc_stated_LFsta_NS,Part_inc_stated_Tot,All_inc_NS_BE_WFT,All_inc_NS_BE_WPT,All_inc_NS_BE_BAW,All_inc_NS_1EFT_OthPT,All_inc_NS_1EFT_OthAW,All_inc_NS_1EFT_OthNW,All_inc_NS_1EPT_OthAW,All_inc_NS_1EPT_OthNW,All_inc_NS_1AW_OthNW,All_inc_NS_BNW,All_inc_NS_LFsta_NS,All_inc_NS_Tot,Tot_BE_WFT,Tot_BE_WPT,Tot_BE_BAW,Tot_1EFT_OthPT,Tot_1EFT_OthAW,Tot_1EFT_OthNW,Tot_1EPT_OthAW,Tot_1EPT_OthNW,Tot_1AW_OthNW,Tot_BNW,Tot_LFsta_NS,Tot_Tot
LGA20110,0,0,0,49,29,9,4,28,0,20,0,3,0,10,79,182,0,0,0,0,0,0,0,0,0,0,0,5,230,91,14,384,35,163,16,47,16,71,84,1142
LGA20260,0,0,0,37,33,7,3,41,0,12,4,4,0,13,57,176,7,0,0,0,0,0,0,0,0,0,0,8,216,49,12,320,41,127,29,57,7,82,57,993
LGA20570,3,7,0,827,183,27,8,236,22,107,8,34,8,87,447,1163,15,0,7,20,5,11,0,0,0,19,18,111,1910,448,96,3834,389,1810,119,509,101,772,485,10460
LGA20660,13,28,0,2786,207,47,17,313,23,187,14,59,18,138,694,1711,30,6,13,36,5,8,4,3,9,18,34,169,2915,644,124,5676,608,2965,172,714,148,1202,760,15931
LGA20740,0,0,0,120,53,18,5,88,6,28,5,26,0,24,128,390,3,3,0,5,0,3,3,0,0,3,9,31,443,189,35,958,92,412,37,201,47,257,150,2825
LGA20830,3,3,0,376,102,13,4,148,19,61,3,25,11,40,238,656,16,0,14,13,3,6,0,5,0,9,7,73,931,232,64,1854,194,1004,73,265,64,340,259,5285
LGA20910,29,76,3,5045,232,46,9,350,27,182,10,53,13,71,861,1854,17,5,8,35,3,23,0,6,4,12,23,140,2888,464,77,4688,403,2614,97,559,103,686,896,13462
LGA21010,0,0,0,59,33,3,3,28,5,13,0,3,0,10,52,158,3,0,0,0,0,0,0,0,0,0,3,10,230,48,12,368,51,208,18,52,15,116,58,1166
LGA21110,33,170,12,8386,356,89,20,497,22,305,17,123,22,139,1475,3063,34,0,27,48,12,25,6,3,6,15,44,221,4782,845,153,7058,616,4296,181,1045,171,1432,1550,22119
LGA21180,8,64,0,1297,272,66,50,305,56,349,20,165,62,456,938,2740,24,4,25,28,3,20,7,10,14,78,158,371,4280,976,227,5094,616,5621,207,2021,459,4282,1177,24956
LGA21270,0,0,0,16,20,0,0,20,0,10,0,0,4,0,38,90,0,0,0,0,0,0,0,0,0,0,3,5,98,24,4,210,21,80,13,20,5,41,42,561
LGA21370,0,0,0,166,105,20,10,122,11,40,7,12,3,29,212,565,10,0,5,12,0,7,0,0,0,7,15,54,802,150,57,1259,138,561,63,177,46,244,238,3742
LGA21450,6,9,0,845,222,29,19,292,28,151,7,32,16,71,495,1368,24,4,11,31,3,12,0,4,5,12,34,136,2519,440,119,4370,458,2695,134,540,154,694,570,12683
LGA21610,8,51,3,2631,715,95,42,671,78,578,48,146,80,371,1685,4497,42,10,42,64,15,53,3,9,28,41,149,446,9332,1563,364,12235,1316,10233,405,2546,579,3735,1947,44260
LGA21670,0,0,0,24,19,5,0,34,0,15,0,13,0,18,52,148,0,0,0,0,0,0,0,0,0,4,0,16,163,47,3,316,27,184,21,76,14,159,56,1063
LGA21750,0,0,0,67,43,11,0,71,0,16,3,10,0,3,89,249,4,0,4,5,0,0,0,0,3,3,3,25,394,91,28,810,66,294,22,103,24,113,101,2042
LGA21830,0,0,0,92,52,4,3,47,3,17,0,7,3,6,81,228,4,0,0,9,0,3,0,0,0,3,0,23,409,60,25,579,53,217,17,56,20,110,90,1635
LGA21890,13,44,0,2342,189,48,15,233,13,143,13,65,17,197,647,1576,20,3,11,25,3,15,0,6,11,26,51,172,2636,811,128,4929,534,2915,166,936,205,1949,751,15959
LGA22110,0,5,4,141,96,18,9,95,4,42,0,22,8,34,251,571,3,0,3,6,0,4,0,0,4,14,13,47,626,217,49,1237,134,577,67,255,52,375,277,3866
LGA22170,4,23,0,1123,266,46,15,302,31,189,17,70,29,118,652,1735,25,3,12,35,3,21,3,8,11,22,43,190,2962,567,143,5294,562,3156,170,724,175,1122,726,15607
LGA22250,0,3,0,35,24,6,0,43,0,13,0,3,0,15,54,153,0,0,0,3,0,0,0,0,0,0,3,13,193,39,17,358,28,153,16,52,7,78,60,1004
LGA22310,20,63,5,4633,286,62,17,385,20,200,15,56,19,102,892,2049,23,3,9,52,4,19,3,12,11,12,42,191,3911,741,134,6171,607,3404,179,853,151,1044,964,18154
LGA22410,0,3,0,86,49,10,0,62,0,27,3,10,0,20,110,294,0,0,3,4,0,0,0,0,0,3,8,19,336,98,31,605,56,304,26,101,28,148,120,1860
LGA22490,3,0,0,183,55,7,4,87,11,38,0,12,9,21,136,376,5,0,3,9,0,7,3,3,3,8,3,42,547,117,43,1118,123,531,36,125,53,169,157,3015
LGA22620,3,14,0,698,186,42,18,253,32,107,10,41,10,83,487,1269,11,0,9,17,7,12,3,6,4,12,20,102,2099,536,100,4034,440,1997,180,596,119,889,534,11516
LGA22670,0,51,3,663,171,42,22,176,16,229,16,104,37,334,706,1843,18,3,21,20,6,16,0,3,8,41,90,220,3398,739,148,3141,363,4566,129,1581,304,3614,864,18850
LGA22750,12,22,3,2272,408,87,21,591,51,265,26,113,27,235,1132,2957,32,0,13,52,4,32,6,8,16,36,68,278,4286,1075,246,9073,974,4694,303,1322,293,2033,1259,25562
LGA22830,3,11,0,388,173,24,3,131,13,90,16,33,8,76,278,836,13,3,3,23,0,10,3,0,0,26,25,101,1460,267,63,2140,227,1102,87,363,108,723,324,6855
LGA22910,0,0,0,57,21,19,4,31,0,18,3,5,0,10,66,180,0,0,0,0,0,0,0,0,0,3,0,16,188,117,14,433,52,246,21,102,22,124,77,1391
LGA22980,0,0,0,14,8,3,0,14,4,4,0,0,0,4,27,66,0,0,0,3,0,0,0,0,0,0,0,6,104,16,3,172,20,100,7,23,3,51,28,525
