LGA_CODE_2016,P15_19_Managers,P15_19_Professionals,P15_19_TechnicTrades_Wrs,P15_19_CommunPersnlSvc_W,P15_19_ClericalAdminis_W,P15_19_Sales_W,P15_19_Mach_oper_drivers,P15_19_Labourers,P15_19_Occu_ID_NS,P15_19_Tot,P20_24_Managers,P20_24_Professionals,P20_24_TechnicTrades_W,P20_24_CommunPersnlSvc_W,P20_24_ClericalAdminis_W,P20_24_Sales_W,P20_24_Mach_oper_drivers,P20_24_Labourers,P20_24_Occu_ID_NS,P20_24_Tot,P25_34_Managers,P25_34_Professionals,P25_34_TechnicTrades_W,P25_34_CommunPersnlSvc_W,P25_34_ClericalAdminis_W,P25_34_Sales_W,P25_34_Mach_oper_drivers,P25_34_Labourers,P25_34_Occu_ID_NS,P25_34_Tot,P35_44_Managers,P35_44_Professionals,P35_44_TechnicTrades_W,P35_44_CommunPersnlSvc_W,P35_44_ClericalAdminis_W,P35_44_Sales_W,P35_44_Mach_oper_drivers,P35_44_Labourers,P35_44_Occu_ID_NS,P35_44_Tot,P45_54_Managers,P45_54_Professionals,P45_54_TechnicTrades_W,P45_54_CommunPersnlSvc_W,P45_54_ClericalAdminis_W,P45_54_Sales_W,P45_54_Mach_oper_drivers,P45_54_Labourers,P45_54_Occu_ID_NS,P45_54_Tot,P55_64_Managers,P55_64_Professionals,P55_64_TechnicTrades_W,P55_64_CommunPersnlSvc_W,P55_64_ClericalAdminis_W,P55_64_Sales_W,P55_64_Mach_oper_drivers,P55_64_Labourers,P55_64_Occu_ID_NS,P55_64_Tot,P65_74_Managers,P65_74_Professionals,P65_74_TechnicTrades_W,P65_74_CommunPersnlSvc_W,P65_74_ClericalAdminis_W,P65_74_Sales_W,P65_74_Mach_oper_drivers,P65_74_Labourers,P65_74_Occu_ID_NS,P65_74_Tot,P75_84_Managers,P75_84_Professionals,P75_84_TechnicTrades_W,P75_84_CommunPersnlSvc_W,P75_84_ClericalAdminis_W,P75_84_Sales_W,P75_84_Mach_oper_drivers,P75_84_Labourers,P75_84_Occu_ID_NS,P75_84_Tot,P85_ov_Managers,P85_ov_Professionals,P85_ov_TechnicTrades_W,P85_ov_CommunPersnlSvc_W,P85_ov_ClericalAdminis_W,P85_ov_Sales_W,P85_ov_Mach_oper_drivers,P85_ov_Labourers,P85_ov_Occu_ID_NS,P85_ov_Tot,P_Tot_Managers,P_Tot_Professionals,P_Tot_TechnicTrades_W,P_Tot_CommunPersnlSvc_W,P_Tot_ClericalAdminis_W,P_Tot_Sales_W,P_Tot_Mach_oper_drivers,P_Tot_Labourers,P_Tot_Occu_ID_NS,P_Tot_Tot
LGA20110,4,0,49,70,3,107,3,84,3,335,23,14,89,66,16,27,18,65,3,321,87,111,150,94,60,46,41,103,7,702,183,220,173,110,105,70,57,105,24,1046,280,194,198,140,156,119,108,185,15,1393,271,215,162,123,132,95,121,138,21,1280,102,50,35,35,34,31,30,34,8,349,36,3,3,0,3,0,0,0,9,53,7,0,0,0,0,0,0,0,3,12,984,801,865,642,506,506,379,713,90,5488
LGA20260,6,3,31,24,13,117,5,88,5,296,19,25,68,49,14,38,10,101,4,332,109,124,121,115,54,50,46,137,21,771,170,123,103,135,87,45,53,115,10,833,188,165,105,223,102,73,72,160,20,1102,211,144,89,167,89,52,66,154,16,985,126,34,29,28,23,12,10,32,3,302,39,3,6,3,3,3,0,12,3,67,4,0,0,0,0,0,0,0,3,9,867,623,555,745,393,388,259,794,84,4708
LGA20570,31,47,312,472,78,1124,35,562,53,2704,227,542,927,1005,442,878,139,599,77,4832,827,2515,1767,1143,1097,845,420,814,125,9546,1220,2536,1297,1011,1262,622,482,746,145,9310,1366,2093,1165,1077,1430,681,604,956,159,9541,903,1625,791,761,1094,516,513,738,79,7025,225,337,166,135,196,127,147,178,42,1555,38,36,14,5,20,6,14,20,13,169,7,0,4,3,0,0,0,7,4,30,4848,9735,6440,5615,5618,4795,2345,4621,696,44716
LGA20660,28,66,233,442,124,1029,42,428,36,2436,210,761,800,961,624,1002,145,463,66,5032,1362,4577,1922,1210,1627,880,317,543,172,12618,2403,5086,1576,1113,1872,711,346,526,210,13855,2277,3689,1374,1149,2221,744,476,647,205,12793,1401,2796,979,837,1766,562,384,589,126,9446,288,713,243,196,460,187,124,186,41,2440,29,76,19,12,36,22,10,34,21,265,3,0,5,0,7,3,0,3,4,32,8016,17774,7159,5933,8735,5146,1838,3416,889,58915
LGA20740,11,4,94,111,19,272,5,139,12,669,35,51,200,135,37,113,14,121,12,729,209,386,467,279,182,191,76,250,30,2060,356,439,463,291,246,218,114,249,25,2404,486,463,453,356,339,298,191,359,53,2996,442,442,367,298,329,270,189,344,54,2731,198,118,93,64,107,72,50,86,23,803,62,7,3,3,8,4,7,15,7,125,10,0,8,0,3,0,0,0,3,30,1808,1913,2146,1545,1266,1445,641,1553,218,12537
LGA20830,43,16,222,190,54,328,30,352,20,1244,104,157,467,265,135,247,76,291,22,1770,420,767,849,416,418,319,230,487,68,3979,643,771,622,427,520,236,303,431,83,4032,817,826,717,550,615,335,389,590,63,4902,719,796,514,368,506,236,350,469,59,4006,346,184,106,65,128,52,88,106,33,1102,115,13,9,7,13,9,3,13,6,190,17,0,3,6,0,0,0,3,4,36,3223,3534,3504,2292,2388,1751,1468,2740,354,21255
LGA20910,37,65,76,621,108,733,31,307,27,2005,165,588,340,808,515,778,78,205,41,3516,995,2417,701,540,752,559,86,183,91,6316,2820,3764,581,543,1076,657,77,154,133,9802,3661,4417,787,738,1672,847,142,246,171,12680,1941,3090,525,483,1247,577,155,230,137,8392,585,1034,167,184,447,241,53,99,65,2876,74,120,15,21,43,31,4,17,18,348,10,5,0,0,10,4,0,3,16,50,10287,15500,3187,3941,5867,4428,636,1441,695,45993
LGA21010,11,0,49,44,6,101,0,84,9,317,24,36,115,59,27,52,29,77,6,434,95,161,167,94,86,76,43,99,16,835,126,179,148,96,108,71,81,103,14,931,209,205,198,163,184,90,116,144,22,1340,250,226,158,154,155,66,111,175,12,1322,143,47,34,35,46,22,19,48,10,399,40,3,0,8,0,3,0,8,6,65,6,0,3,0,0,0,0,0,0,16,904,860,880,651,616,488,404,746,100,5659
LGA21110,59,175,104,1058,262,1241,39,433,51,3410,407,1913,602,1736,1210,1895,159,574,134,8629,2329,7787,1476,1437,2141,1393,209,598,267,17640,3975,7255,810,697,1861,890,139,314,260,16203,5039,7639,965,923,2395,1119,205,339,288,18912,2713,5478,629,602,1769,690,173,296,189,12535,786,1865,205,211,687,230,68,137,87,4277,121,238,22,17,66,37,4,29,45,570,18,37,3,3,3,7,0,3,7,82,15439,32381,4814,6688,10399,7498,999,2727,1324,82260
LGA21180,58,69,290,447,143,1391,69,688,79,3245,350,992,1253,1306,1006,1818,683,1367,247,9019,1630,3962,3142,2193,2989,1642,2209,2478,560,20802,1841,3133,2506,1675,2588,1157,2060,2296,457,17712,1659,1976,2182,1665,2402,1167,2424,2585,336,16406,962,1188,1464,1032,1573,689,1689,2033,213,10836,154,246,228,143,267,142,267,355,59,1861,18,21,17,3,15,5,12,27,15,131,0,0,3,0,0,0,7,3,3,21,6665,11582,11083,8477,10989,8019,9408,11826,1977,80034
