LGA_CODE_2016,P_Mng_0,P_Mng_1_15,P_Mng_16_24,P_Mng_25_34,P_Mng_35_39,P_Mng_40,P_Mng_41_48,P_Mng_49over,P_Mng_hours_NS,P_Mng_Tot,P_Pro_0,P_Pro_1_15,P_Pro_16_24,P_Pro_25_34,P_Pro_35_39,P_Pro_40,P_Pro_41_48,P_Pro_49over,P_Pro_hours_NS,P_Pro_Tot,P_TTW_0,P_TTW_1_15,P_TTW_16_24,P_TTW_25_34,P_TTW_35_39,P_TTW_40,P_TTW_41_48,P_TTW_49over,P_TTW_hours_NS,P_TTW_Tot,P_CPS_0,P_CPS_1_15,P_CPS_16_24,P_CPS_25_34,P_CPS_35_39,P_CPS_40,P_CPS_41_48,P_CPS_49over,P_CPS_hours_NS,P_CPS_Tot,P_CA_0,P_CA_1_15,P_CA_16_24,P_CA_25_34,P_CA_35_39,P_CA_40,P_CA_41_48,P_CA_49over,P_CA_hours_NS,P_CA_Tot,P_Sal_0,P_Sal_1_15,P_Sal_16_24,P_Sal_25_34,P_Sal_35_39,P_Sal_40,P_Sal_41_48,P_Sal_49over,P_Sal_hours_NS,P_Sal_Tot,P_MOD_0,P_MOD_1_15,P_MOD_16_24,P_MOD_25_34,P_MOD_35_39,P_MOD_40,P_MOD_41_48,P_MOD_49over,P_MOD_hours_NS,P_MOD_Tot,P_Lab_0,P_Lab_1_15,P_Lab_16_24,P_Lab_25_34,P_Lab_35_39,P_Lab_40,P_Lab_41_48,P_Lab_49over,P_Lab_hours_NS,P_Lab_Tot,P_ID_NS_0,P_ID_NS_1_15,P_ID_NS_16_24,P_ID_NS_25_34,P_ID_NS_35_39,P_ID_NS_40,P_ID_NS_41_48,P_ID_NS_49over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_15,P_Tot_16_24,P_Tot_25_34,P_Tot_35_39,P_Tot_40,P_Tot_41_48,P_Tot_49over,P_Tot_hours_NS,P_Tot_Tot
LGA20110,51,45,71,74,79,164,104,383,15,984,39,66,104,121,139,129,62,134,13,801,38,48,68,83,165,172,109,166,18,865,36,133,105,126,81,60,40,39,7,642,25,86,89,91,106,63,17,30,5,506,17,141,57,90,74,31,34,46,7,506,20,18,29,29,94,60,43,79,9,379,29,193,89,101,128,74,36,38,24,713,7,3,6,8,7,8,3,7,29,90,268,736,628,723,864,764,445,929,130,5488
LGA20260,38,50,46,55,74,150,87,352,15,867,26,56,77,94,90,127,60,88,0,623,26,46,38,65,129,125,47,73,12,555,60,91,89,111,119,153,47,61,6,745,25,61,55,66,92,42,20,26,0,393,18,134,58,47,55,40,13,22,3,388,11,22,22,14,53,53,36,54,0,259,23,137,80,145,146,142,47,73,6,794,7,0,3,8,12,12,3,12,32,84,224,605,467,602,770,838,352,757,88,4708
LGA20570,126,203,208,343,745,943,704,1523,48,4848,437,825,1092,1355,1697,1835,1046,1373,79,9735,149,380,323,490,1487,1778,797,939,97,6440,309,1275,946,1060,786,544,281,313,94,5615,236,667,777,878,1436,860,398,313,53,5618,209,1557,708,604,645,434,259,302,78,4795,85,142,150,195,456,435,340,506,36,2345,176,1131,612,607,832,501,345,320,97,4621,36,57,35,61,97,86,39,69,205,696,1778,6245,4841,5595,8169,7420,4216,5663,796,44716
LGA20660,197,247,373,534,1088,1830,1174,2516,62,8016,691,1480,1903,2113,2911,3995,1915,2655,115,17774,170,401,462,564,1464,2139,806,1058,98,7159,252,1409,1045,948,770,700,369,349,86,5933,313,1034,1205,1243,2066,1577,650,572,84,8735,147,1652,723,645,574,585,319,439,57,5146,56,133,168,155,427,396,214,257,26,1838,100,929,507,436,552,400,192,220,83,3416,40,77,52,74,117,139,48,67,271,889,1954,7370,6437,6710,9966,11764,5688,8134,888,58915
LGA20740,73,136,107,174,175,336,201,589,24,1808,126,198,264,297,287,308,174,238,17,1913,102,177,168,220,396,547,200,307,35,2146,108,330,302,302,195,124,79,81,28,1545,76,200,208,234,237,171,63,59,17,1266,88,416,214,227,191,138,69,72,29,1445,32,49,55,70,109,116,91,114,10,641,90,421,231,214,192,199,76,102,32,1553,22,21,14,8,16,16,9,22,81,218,727,1942,1569,1748,1803,1957,950,1582,260,12537
LGA20830,91,204,138,234,341,554,344,1279,44,3223,186,349,470,486,539,585,338,535,40,3534,107,202,183,269,718,884,450,630,60,3504,142,460,443,421,314,229,133,117,37,2292,92,369,364,375,516,335,160,150,35,2388,72,492,252,200,240,205,106,161,27,1751,62,80,102,116,228,271,228,357,31,1468,125,632,313,335,465,348,216,254,57,2740,25,26,23,21,44,42,23,32,114,354,904,2807,2284,2454,3404,3458,1993,3512,442,21255
LGA20910,218,385,508,709,873,2188,1314,4005,98,10287,499,1436,1766,1841,1707,3238,1703,3207,103,15500,82,256,233,296,530,839,311,594,44,3187,142,1386,669,571,317,383,185,233,64,3941,163,1009,946,842,936,944,442,515,70,5867,128,1281,614,430,408,605,271,637,63,4428,20,81,77,70,130,107,61,88,10,636,49,501,205,163,164,153,72,107,23,1441,34,94,44,43,52,99,35,103,179,695,1332,6425,5050,4969,5118,8552,4400,9489,652,45993
LGA21010,34,44,42,58,115,170,104,321,18,904,52,71,109,132,131,151,101,103,7,860,29,61,49,78,211,221,99,120,18,880,47,126,107,146,91,63,36,29,11,651,23,65,99,90,146,92,40,48,11,616,34,119,61,95,77,43,25,33,5,488,19,18,30,25,92,79,55,78,5,404,40,178,104,93,119,97,42,45,15,746,7,9,3,5,16,13,9,10,35,100,287,692,597,725,997,940,512,793,121,5659
LGA21110,342,646,804,1117,1622,3251,2017,5517,122,15439,972,2933,3030,3394,4345,7216,3582,6646,266,32381,120,426,419,421,891,1152,573,753,54,4814,243,2404,1179,874,631,590,327,350,91,6688,301,1669,1499,1287,1977,1886,798,873,110,10399,194,2319,1173,812,785,877,427,805,104,7498,25,166,128,109,161,193,84,111,21,999,81,952,590,288,303,213,102,145,52,2727,46,148,103,106,111,211,74,158,355,1324,2331,11663,8914,8406,10831,15585,7977,15371,1180,82260
LGA21180,169,254,294,435,1403,1702,791,1535,95,6665,410,823,965,1228,2861,2897,1001,1225,172,11582,235,660,800,843,3046,2930,1116,1187,274,11083,278,1580,1511,1591,1472,970,365,500,202,8477,363,928,1165,1278,3375,2377,733,599,181,10989,216,2360,1382,1045,1303,794,353,395,155,8019,223,546,730,866,2647,2121,893,1098,284,9408,272,1940,1861,1445,2905,1968,543,593,311,11826,69,141,116,103,330,263,56,100,807,1977,2220,9235,8827,8827,19331,16028,5856,7224,2475,80034
