POA_CODE_2016,Count_home_Census_Nt_0_14_yr,Count_hom_Census_Nt_15_24_yr,Count_hom_Census_Nt_25_34_yr,Count_hom_Census_Nt_35_44_yr,Count_hom_Census_Nt_45_54_yr,Count_hom_Census_Nt_55_64_yr,Count_hom_Census_Nt_65_74_yr,Count_hom_Census_Nt_75_84_yr,Count_hom_Census_Nt_85ov,Counted_home_Census_Night_Tot,VisSame_SA2_0_14_yr,VisSame_SA2_15_24_yr,VisSame_SA2_25_34_yr,VisSame_SA2_35_44_yr,VisSame_SA2_45_54_yr,VisSame_SA2_55_64_yr,VisSame_SA2_65_74_yr,VisSame_SA2_75_84_yr,VisSame_SA2_85ov,VisSame_SA2_Total,VisDiff_SA2_NSW_0_14_yr,VisDiff_SA2_NSW_15_24_yr,VisDiff_SA2_NSW_25_34_yr,VisDiff_SA2_NSW_35_44_yr,VisDiff_SA2_NSW_45_54_yr,VisDiff_SA2_NSW_55_64_yr,VisDiff_SA2_NSW_65_74_yr,VisDiff_SA2_NSW_75_84_yr,VisDiff_SA2_NSW_85ov,VisDiff_SA2_NSW_Total,VisDiff_SA2_VIC_0_14_yr,VisDiff_SA2_VIC_15_24_yr,VisDiff_SA2_VIC_25_34_yr,VisDiff_SA2_VIC_35_44_yr,VisDiff_SA2_VIC_45_54_yr,VisDiff_SA2_VIC_55_64_yr,VisDiff_SA2_VIC_65_74_yr,VisDiff_SA2_VIC_75_84_yr,VisDiff_SA2_VIC_85ov,VisDiff_SA2_VIC_Total,VisDiff_SA2_QLD_0_14_yr,VisDiff_SA2_QLD_15_24_yr,VisDiff_SA2_QLD_25_34_yr,VisDiff_SA2_QLD_35_44_yr,VisDiff_SA2_QLD_45_54_yr,VisDiff_SA2_QLD_55_64_yr,VisDiff_SA2_QLD_65_74_yr,VisDiff_SA2_QLD_75_84_yr,VisDiff_SA2_QLD_85ov,VisDiff_SA2_QLD_Total,VisDiff_SA2_SA_0_14_yr,VisDiff_SA2_SA_15_24_yr,VisDiff_SA2_SA_25_34_yr,VisDiff_SA2_SA_35_44_yr,VisDiff_SA2_SA_45_54_yr,VisDiff_SA2_SA_55_64_yr,VisDiff_SA2_SA_65_74_yr,VisDiff_SA2_SA_75_84_yr,VisDiff_SA2_SA_85ov,VisDiff_SA2_SA_Total,VisDiff_SA2_WA_0_14_yr,VisDiff_SA2_WA_15_24_yr,VisDiff_SA2_WA_25_34_yr,VisDiff_SA2_WA_35_44_yr,VisDiff_SA2_WA_45_54_yr,VisDiff_SA2_WA_55_64_yr,VisDiff_SA2_WA_65_74_yr,VisDiff_SA2_WA_75_84_yr,VisDiff_SA2_WA_85ov,VisDiff_SA2_WA_Total,VisDiff_SA2_TAS_0_14_yr,VisDiff_SA2_TAS_15_24_yr,VisDiff_SA2_TAS_25_34_yr,VisDiff_SA2_TAS_35_44_yr,VisDiff_SA2_TAS_45_54_yr,VisDiff_SA2_TAS_55_64_yr,VisDiff_SA2_TAS_65_74_yr,VisDiff_SA2_TAS_75_84_yr,VisDiff_SA2_TAS_85ov,VisDiff_SA2_TAS_Total,VisDiff_SA2_NT_0_14_yr,VisDiff_SA2_NT_15_24_yr,VisDiff_SA2_NT_25_34_yr,VisDiff_SA2_NT_35_44_yr,VisDiff_SA2_NT_45_54_yr,VisDiff_SA2_NT_55_64_yr,VisDiff_SA2_NT_65_74_yr,VisDiff_SA2_NT_75_84_yr,VisDiff_SA2_NT_85ov,VisDiff_SA2_NT_Total,VisDiff_SA2_ACT_0_14_yr,VisDiff_SA2_ACT_15_24_yr,VisDiff_SA2_ACT_25_34_yr,VisDiff_SA2_ACT_35_44_yr,VisDiff_SA2_ACT_45_54_yr,VisDiff_SA2_ACT_55_64_yr,VisDiff_SA2_ACT_65_74_yr,VisDiff_SA2_ACT_75_84_yr,VisDiff_SA2_ACT_85ov,VisDiff_SA2_ACT_Total,VisDiff_SA2_OT_0_14_yr,VisDiff_SA2_OT_15_24_yr,VisDiff_SA2_OT_25_34_yr,VisDiff_SA2_OT_35_44_yr,VisDiff_SA2_OT_45_54_yr,VisDiff_SA2_OT_55_64_yr,VisDiff_SA2_OT_65_74_yr,VisDiff_SA2_OT_75_84_yr,VisDiff_SA2_OT_85ov,VisDiff_SA2_OT_Total,VisDiff_SA2_Tot_0_14_yr,VisDiff_SA2_Tot_15_24_yr,VisDiff_SA2_Tot_25_34_yr,VisDiff_SA2_Tot_35_44_yr,VisDiff_SA2_Tot_45_54_yr,VisDiff_SA2_Tot_55_64_yr,VisDiff_SA2_Tot_65_74_yr,VisDiff_SA2_Tot_75_84_yr,VisDiff_SA2_Tot_85ov,VisDiff_SA2_Tot_Total,Vis_Tot_Visitrs_0_14_yr,Vis_Tot_Visitrs_15_24_yr,Vis_Tot_Visitrs_25_34_yr,Vis_Tot_Visitrs_35_44_yr,Vis_Tot_Visitrs_45_54_yr,Vis_Tot_Visitrs_55_64_yr,Vis_Tot_Visitrs_65_74_yr,Vis_Tot_Visitrs_75_84_yr,Vis_Tot_Visitrs_85ov,Vis_Tot_Visitrs_Total,Total_0_14_yr,Total_15_24_yr,Total_25_34_yr,Total_35_44_yr,Total_45_54_yr,Total_55_64_yr,Total_65_74_yr,Total_75_84_yr,Total_85ov,Total_Total
POA3000,1183,15064,13255,3437,1683,1188,671,179,69,36726,0,26,15,3,3,0,0,0,0,49,57,204,673,818,906,698,274,45,11,3682,117,748,882,521,530,468,248,75,16,3599,71,172,323,315,530,382,160,25,0,1976,26,80,130,175,223,196,90,26,0,947,15,110,180,228,276,223,129,28,0,1180,22,109,59,86,117,163,89,26,0,667,0,16,20,23,13,14,6,0,0,86,0,16,75,56,70,49,21,0,0,282,0,3,0,0,0,0,0,0,0,3,306,1444,2339,2218,2656,2187,1018,214,31,12427,306,1473,2351,2224,2659,2192,1020,214,31,12470,1495,16540,15606,5657,4342,3378,1691,396,96,49192
POA3002,284,398,1341,694,541,614,494,171,136,4675,0,0,0,0,3,0,0,0,0,9,3,19,52,42,70,49,23,8,0,264,73,64,149,110,121,112,134,80,43,885,9,4,31,18,20,17,6,0,0,106,0,6,11,13,10,23,13,0,0,82,6,8,27,18,6,12,8,0,0,84,6,9,6,3,5,25,3,3,0,56,0,0,6,4,0,0,0,0,0,13,0,0,0,3,5,12,6,0,0,20,0,0,0,0,0,0,0,0,0,0,93,112,282,219,241,256,184,92,43,1510,93,112,282,219,244,258,187,93,41,1520,375,516,1616,913,779,867,683,262,180,6196
POA3003,389,1076,2127,815,465,253,152,51,12,5340,0,0,0,4,0,0,0,0,0,3,0,0,3,0,0,0,4,0,0,10,3,31,75,37,23,17,8,3,0,200,0,0,0,3,0,7,0,0,0,16,0,0,3,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,42,83,37,30,31,11,8,0,240,3,39,80,37,30,31,11,8,0,246,399,1117,2207,853,496,281,165,60,12,5588
POA3004,553,1032,2697,1447,923,889,791,295,235,8863,0,0,0,0,0,0,0,0,0,3,12,8,50,85,90,65,14,5,3,344,25,107,182,139,165,163,193,127,106,1210,3,7,38,32,58,41,19,3,0,195,0,8,11,22,16,24,16,3,0,96,0,4,0,12,11,23,5,10,0,74,0,7,14,9,3,15,6,0,0,61,0,0,0,0,4,0,3,0,0,9,0,3,0,0,3,4,0,0,0,18,0,0,0,0,0,0,0,0,0,0,42,145,307,308,351,331,252,147,111,1995,42,145,308,310,351,332,252,147,111,1996,593,1173,3011,1756,1281,1224,1044,442,341,10861
POA3005,45,74,173,88,59,38,26,5,0,511,0,0,0,0,0,0,0,0,0,0,0,5,21,41,33,30,8,0,0,137,3,10,12,9,9,19,5,0,0,63,4,0,10,18,14,11,3,0,0,58,0,3,12,10,15,19,3,0,0,56,0,0,3,10,14,9,3,0,0,38,0,0,0,0,3,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,7,17,59,92,80,79,24,4,0,366,7,17,59,92,80,79,24,4,0,366,51,92,237,183,139,114,48,10,0,879
POA3006,886,3871,7332,2610,1350,1056,649,192,46,17996,0,3,0,0,0,0,0,0,0,10,41,97,316,398,474,264,94,25,0,1712,95,198,320,243,234,186,71,24,3,1369,21,44,94,137,202,154,50,16,0,715,11,18,55,50,99,85,32,10,0,356,15,40,55,97,161,93,38,11,0,516,7,16,11,28,39,29,28,9,0,152,0,7,5,3,3,4,6,0,0,29,0,0,24,26,25,12,11,0,0,100,0,0,0,0,0,0,0,0,0,0,193,424,876,979,1235,833,331,87,3,4953,193,427,876,983,1235,834,332,87,3,4965,1076,4298,8208,3587,2576,1890,981,281,49,22958
POA3008,730,1892,3852,1403,954,750,401,91,13,10101,0,4,11,0,3,0,0,0,0,26,4,15,76,96,125,89,23,4,0,429,36,67,117,74,78,58,36,4,7,480,4,12,39,39,48,46,19,4,0,213,13,8,12,40,43,15,5,0,0,138,27,0,23,25,32,29,16,0,0,153,0,15,3,4,4,8,8,0,0,39,0,0,0,0,0,4,3,0,0,10,0,3,0,10,8,4,0,0,0,24,0,4,0,0,0,0,0,0,0,4,83,125,275,278,343,253,108,12,5,1486,87,127,285,280,347,256,108,12,5,1510,818,2020,4139,1688,1298,1005,507,108,22,11612
POA3010,8,1356,109,14,11,14,13,0,0,1531,0,18,0,0,0,0,0,0,0,18,0,62,0,0,0,0,0,0,0,60,0,210,3,0,0,0,3,0,0,213,0,21,0,0,0,0,0,0,0,21,0,12,0,0,0,0,0,0,0,12,0,25,0,0,0,0,0,0,0,25,0,20,0,0,0,0,0,0,0,20,0,10,0,0,0,0,0,0,0,7,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,354,7,0,3,0,5,0,0,370,0,367,7,0,3,0,5,0,0,385,8,1728,114,18,15,18,19,0,0,1914
POA3011,2613,2946,5800,3459,2166,1685,922,645,380,20612,3,0,3,0,3,0,3,0,0,13,3,8,9,4,6,13,3,0,0,42,71,125,153,118,71,76,89,72,53,837,0,4,3,0,11,7,10,3,0,40,0,0,5,3,0,3,0,0,0,19,0,0,7,0,3,7,4,0,0,17,0,3,0,0,0,5,0,0,0,5,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,3,0,0,6,0,0,0,0,0,0,0,0,0,0,72,144,183,127,98,105,110,78,53,969,75,142,183,127,100,109,116,78,52,984,2692,3087,5988,3583,2270,1788,1035,729,436,21598
POA3012,4362,3074,5908,4442,2949,2147,1220,853,436,25387,3,7,3,0,12,0,3,0,4,36,0,0,4,3,4,4,3,0,0,24,62,91,121,80,53,55,39,18,8,518,0,3,6,5,3,0,3,0,0,24,0,0,0,0,0,5,4,0,0,12,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,62,94,135,95,60,72,56,17,8,589,61,97,138,96,68,68,56,19,14,625,4425,3167,6050,4539,3020,2212,1276,869,450,26007
POA3013,2770,1345,2575,2877,2068,1233,680,533,298,14385,3,3,0,0,4,0,0,0,0,13,0,3,4,0,3,0,9,0,0,21,28,34,48,47,30,28,30,13,8,274,0,0,0,0,0,0,9,3,0,9,0,0,0,0,0,3,0,0,0,11,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,28,46,50,50,42,41,53,19,9,333,35,45,56,50,41,38,53,18,9,351,2797,1391,2626,2927,2112,1276,734,560,310,14733
POA3015,3564,1591,2544,3257,2436,1719,884,521,296,16824,0,3,0,3,0,0,0,0,0,14,3,3,0,3,3,9,4,0,0,35,32,62,63,31,39,58,33,11,12,344,0,0,3,0,0,6,0,0,0,16,0,0,3,0,0,3,0,0,0,12,0,0,5,0,0,3,0,0,0,11,0,0,0,0,0,0,3,0,0,11,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,43,70,70,45,47,82,46,13,12,430,43,70,76,44,47,83,51,13,13,441,3610,1669,2621,3305,2482,1804,934,535,309,17260
POA3016,2857,1835,1315,1950,2645,2064,1259,584,323,14831,7,0,3,0,3,4,0,0,3,23,0,0,15,13,12,15,10,0,0,62,30,50,42,45,51,49,45,49,49,412,0,3,3,4,12,4,11,0,0,43,0,3,5,10,7,3,0,3,0,28,0,0,5,4,0,3,0,0,0,17,0,0,0,0,3,0,3,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,3,0,0,0,9,0,0,0,0,0,0,0,0,0,0,36,53,69,81,87,81,72,53,48,571,40,60,73,80,92,83,74,54,53,592,2899,1892,1384,2026,2733,2148,1331,642,373,15422
POA3018,2046,1092,1584,1892,1729,1500,1192,777,349,12162,0,4,0,0,3,0,0,0,0,11,0,0,5,0,5,0,0,0,0,17,40,26,43,27,24,29,26,6,10,227,0,0,0,0,0,4,3,0,0,14,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,33,52,32,27,33,31,7,11,272,44,39,56,30,35,33,31,11,11,286,2094,1124,1638,1922,1763,1534,1221,796,354,12450
POA3019,1669,1426,1768,1232,998,915,538,255,109,8906,0,5,0,0,3,0,0,0,0,15,7,0,3,9,3,5,3,0,0,29,31,50,67,20,30,28,12,0,0,241,10,16,0,6,13,4,0,0,0,56,14,4,10,11,4,6,3,0,0,51,0,0,0,0,0,0,8,0,0,5,0,3,0,0,0,11,7,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,62,68,80,53,52,53,34,4,0,412,60,77,85,49,55,51,38,4,0,427,1732,1501,1852,1283,1056,970,576,260,110,9338
POA3020,7569,5941,8019,5911,5070,4385,3383,2170,882,43321,7,16,16,18,12,5,6,10,0,91,7,0,3,12,3,3,3,3,0,28,132,153,222,160,126,100,62,43,22,1020,0,3,3,3,5,0,5,0,0,19,0,4,3,0,0,4,0,0,0,15,0,0,4,4,0,9,0,0,0,20,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,143,157,237,172,139,124,70,45,22,1110,149,180,250,193,151,127,84,48,23,1203,7716,6117,8265,6104,5225,4516,3459,2215,901,44528
POA3021,9286,7584,8693,6546,6296,6230,4765,2386,682,52468,14,28,22,20,19,12,8,4,3,131,0,3,14,4,7,0,3,0,0,31,240,231,366,219,176,164,105,128,80,1714,0,0,4,3,5,8,0,0,0,23,0,0,4,3,0,0,0,0,0,6,3,3,3,5,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,243,238,384,228,195,173,112,136,82,1797,255,267,409,250,214,184,121,139,86,1925,9548,7849,9093,6791,6508,6418,4890,2521,773,54393
POA3022,538,333,601,430,305,286,228,133,116,2971,0,0,0,0,4,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,9,11,22,16,14,8,12,7,4,106,0,0,0,0,3,0,0,0,0,4,0,0,0,0,7,0,3,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,10,24,20,27,10,13,7,4,125,11,10,24,20,25,10,15,7,10,135,550,343,628,448,331,297,250,144,123,3102
POA3023,15044,8200,9647,11223,7875,5456,3168,1286,401,62300,7,11,3,4,3,3,4,0,0,45,3,6,10,12,10,3,3,0,0,47,161,166,206,164,109,111,80,47,18,1063,0,7,15,8,9,6,0,0,0,49,3,3,5,7,3,3,7,0,0,26,0,3,3,3,4,3,0,0,0,19,5,0,9,0,0,3,0,0,0,22,0,0,0,0,3,0,0,0,0,4,0,0,3,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,174,181,250,196,144,141,88,46,18,1238,180,197,250,197,147,141,90,46,20,1279,15223,8398,9900,11420,8021,5600,3256,1332,424,63580
POA3024,6336,2739,4458,3849,2539,1732,1000,370,91,23117,0,3,3,3,3,0,0,0,0,15,4,0,0,5,7,0,3,0,0,19,94,83,118,73,50,42,23,14,4,498,0,3,0,0,4,3,7,0,0,10,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,106,91,120,75,55,42,33,14,8,544,104,93,121,79,59,42,36,14,5,559,6437,2836,4579,3925,2595,1778,1033,387,100,23676
POA3025,2225,1242,1796,1689,1282,1009,989,1077,478,11779,3,4,3,0,0,0,3,0,0,20,0,3,0,0,0,0,0,0,0,4,29,40,47,30,26,40,19,19,9,257,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,10,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,45,48,35,29,37,20,15,9,275,37,47,52,33,34,38,23,17,9,295,2256,1288,1850,1728,1312,1044,1009,1096,485,12074
POA3026,3,5,3,5,21,15,12,4,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,3,0,0,0,0,13,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7,8,0,0,0,0,24,0,0,8,7,8,0,0,0,0,24,3,4,11,11,33,15,12,0,0,91
POA3027,1730,641,1708,1376,568,336,116,19,10,6509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,9,25,9,11,7,6,0,0,87,0,0,0,0,0,3,0,0,0,9,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,12,34,10,14,16,5,0,0,102,10,12,34,10,14,16,5,0,0,102,1737,656,1744,1389,581,353,122,25,10,6607
POA3028,5055,3567,4904,3912,3939,3422,2055,1017,388,28268,0,11,0,0,0,4,3,0,0,20,5,0,15,12,4,3,3,0,0,53,62,93,105,90,63,47,49,24,5,538,0,4,14,11,4,3,3,0,0,38,0,4,0,3,0,0,3,0,0,7,0,0,0,3,0,0,0,0,0,4,0,0,3,0,0,0,3,3,0,12,0,0,3,0,0,0,0,0,0,3,0,0,3,9,3,3,0,0,0,17,0,0,0,0,0,0,0,0,0,0,72,97,143,123,82,57,60,22,5,661,75,107,146,123,85,62,62,28,4,681,5129,3672,5053,4033,4023,3485,2119,1042,395,28952
POA3029,23197,11410,18699,14829,10014,7230,4221,1530,385,91510,31,13,12,14,3,7,7,3,0,95,21,11,15,11,8,12,3,0,0,77,246,241,357,169,123,113,74,51,10,1384,3,7,8,6,5,8,7,0,0,39,4,4,8,7,3,4,0,0,0,36,9,5,3,4,0,0,0,0,0,24,0,0,4,4,3,5,3,0,0,17,0,4,0,0,0,0,0,0,0,6,0,0,0,0,0,4,0,0,0,8,0,0,0,0,0,0,0,0,0,0,279,266,391,205,140,142,88,59,11,1588,315,278,409,220,148,146,97,64,11,1683,23514,11690,19102,15044,10159,7374,4322,1596,399,93193
POA3030,24077,11217,16276,17251,12293,8304,4718,2238,876,97249,10,17,4,12,11,13,3,3,0,78,0,5,22,13,19,20,13,0,0,94,323,302,395,266,217,170,130,105,69,1968,7,10,18,7,15,12,10,0,0,77,0,9,3,8,7,4,10,0,0,34,0,0,9,4,3,3,0,3,0,26,5,3,3,0,6,6,8,0,0,30,0,0,0,0,0,0,0,0,0,5,0,0,3,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,333,329,450,294,261,215,173,113,70,2235,344,345,454,307,272,225,180,113,72,2317,24422,11563,16727,17560,12563,8528,4895,2355,949,99565
POA3031,2851,2158,4600,3013,1986,1505,870,514,215,17704,3,0,0,4,0,0,0,0,0,15,0,5,11,9,18,9,3,0,0,61,41,89,139,61,54,47,36,16,3,481,0,3,8,5,0,6,0,3,0,25,0,3,6,3,0,7,5,4,0,24,0,0,9,0,3,0,0,0,0,13,0,7,3,4,4,3,0,0,0,19,0,0,0,0,0,0,0,0,0,9,0,0,0,4,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,39,111,169,90,83,64,51,23,3,639,51,112,172,92,86,64,53,19,3,653,2894,2271,4776,3104,2072,1565,920,536,219,18353
POA3032,4572,3949,6378,4426,3650,2801,1487,728,329,28322,6,0,13,0,3,0,0,3,0,32,0,6,3,0,3,3,3,0,0,23,67,138,175,81,59,52,47,23,17,655,0,3,10,3,7,7,6,0,0,30,0,5,0,0,5,7,0,0,0,26,3,3,0,0,0,4,0,0,0,17,0,0,0,0,0,8,0,0,0,10,4,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,75,155,190,95,70,77,59,27,17,768,77,154,200,93,76,75,58,31,19,799,4644,4104,6581,4521,3727,2879,1550,760,355,29127
POA3033,2463,1530,1604,1900,1929,1427,1640,1163,366,14016,0,0,0,3,3,0,0,3,0,12,0,0,3,0,0,0,0,0,0,9,40,39,40,41,37,18,27,14,9,267,0,0,0,0,3,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,39,40,47,39,25,33,18,9,288,41,38,46,47,43,21,31,21,9,301,2501,1571,1647,1946,1966,1447,1676,1177,376,14311
POA3034,1748,1136,1384,1474,1397,1263,1371,1094,373,11242,0,0,0,0,3,0,0,0,0,8,0,0,3,0,3,0,0,0,0,8,31,29,47,40,31,23,19,23,12,259,4,3,0,0,0,0,3,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,36,48,46,36,23,18,25,12,283,38,36,48,46,39,23,18,25,12,290,1788,1174,1433,1514,1438,1286,1393,1121,387,11539
POA3036,976,763,489,640,875,755,659,311,172,5638,0,0,3,0,0,0,0,0,0,5,0,0,0,0,3,3,0,3,0,10,15,22,23,16,14,8,13,6,7,127,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,22,28,15,23,14,15,9,7,149,15,22,30,19,23,14,16,9,7,154,995,781,521,654,900,769,677,324,178,5793
POA3037,11705,7248,6959,8398,7116,4603,2442,1021,461,49955,3,3,7,3,0,3,0,3,0,17,0,0,0,7,3,4,0,0,0,16,92,94,167,113,73,64,74,44,18,738,0,7,4,4,0,9,4,3,0,24,0,0,0,0,0,0,0,0,0,3,0,0,3,3,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,98,174,124,79,80,80,49,21,793,96,104,184,125,78,82,80,50,21,814,11798,7344,7143,8522,7196,4682,2522,1069,482,50766
