POA_CODE_2016,Aust_BP_B_OS,Aust_FO_B_OS,Aust_MO_B_OS,Aust_Both_parents_born_Aust,Aust_Birthplace_not_stated,Aust_Tot_Resp,Aust_Abor_BP_B_OS,Aust_Abor_FO_B_OS,Aust_Abor_MO_B_OS,Aust_Abor_BP_B_Aus,Aust_Abor_BP_NS,Aust_Abor_Tot_Resp,Chinese_BP_B_OS,Chinese_FO_B_OS,Chinese_MO_B_OS,Chinese_BP_B_Aus,Chinese_BP_NS,Chinese_Tot_Resp,Croatian_BP_B_OS,Croatian_FO_B_OS,Croatian_MO_B_OS,Croatian_BP_B_Aus,Croatian_BP_NS,Croatian_Tot_Resp,Dutch_BP_B_OS,Dutch_FO_B_OS,Dutch_MO_B_OS,Dutch_BP_B_Aus,Dutch_BP_NS,Dutch_Tot_Resp,English_BP_B_OS,English_FO_B_OS,English_MO_B_OS,English_BP_B_Aus,English_BP_NS,English_Tot_Resp,Filipino_BP_B_OS,Filipino_FO_B_OS,Filipino_MO_B_OS,Filipino_BP_B_Aus,Filipino_BP_NS,Filipino_Tot_Resp,French_BP_B_OS,French_FO_B_OS,French_MO_B_OS,French_BP_B_Aus,French_BP_NS,French_Tot_Resp,German_BP_B_OS,German_FO_B_OS,German_MO_B_OS,German_BP_B_Aus,German_BP_NS,German_Tot_Resp,Greek_BP_B_OS,Greek_FO_B_OS,Greek_MO_B_OS,Greek_BP_B_Aus,Greek_BP_NS,Greek_Tot_Resp,Hungarian_BP_B_OS,Hungarian_FO_B_OS,Hungarian_MO_B_OS,Hungarian_BP_B_Aus,Hungarian_BP_NS,Hungarian_Tot_Resp,Indian_BP_B_OS,Indian_FO_B_OS,Indian_MO_B_OS,Indian_BP_B_Aus,Indian_BP_NS,Indian_Tot_Resp,Irish_BP_B_OS,Irish_FO_B_OS,Irish_MO_B_OS,Irish_BP_B_Aus,Irish_BP_NS,Irish_Tot_Resp,Italian_BP_B_OS,Italian_FO_B_OS,Italian_MO_B_OS,Italian_BP_B_Aus,Italian_BP_NS,Italian_Tot_Resp,Korean_BP_B_OS,Korean_FO_B_OS,Korean_MO_B_OS,Korean_BP_B_Aus,Korean_BP_NS,Korean_Tot_Resp,Lebanese_BP_B_OS,Lebanese_FO_B_OS,Lebanese_MO_B_OS,Lebanese_BP_B_Aus,Lebanese_BP_NS,Lebanese_Tot_Resp,Macedonian_BP_B_OS,Macdonian_FO_B_OS,Macdonian_MO_B_OS,Macdonian_BP_B_Aus,Macdonian_BP_NS,Macedonian_Tot_Resp,Maltese_BP_B_OS,Maltese_FO_B_OS,Maltese_MO_B_OS,Maltese_BP_B_Aus,Maltese_BP_NS,Maltese_Tot_Resp,Maori_BP_B_OS,Maori_FO_B_OS,Maori_MO_B_OS,Maori_BP_B_Aus,Maori_BP_NS,Maori_Tot_Resp,NZ_BP_B_OS,NZ_FO_B_OS,NZ_MO_B_OS,NZ_BP_B_Aus,NZ_BP_NS,NZ_Tot_Resp,Polish_BP_B_OS,Polish_FO_B_OS,Polish_MO_B_OS,Polish_BP_B_Aus,Polish_BP_NS,Polish_Tot_Resp,Russian_BP_B_OS,Russian_FO_B_OS,Russian_MO_B_OS,Russian_BP_B_Aus,Russian_BP_NS,Russian_Tot_Resp,Scottish_BP_B_OS,Scottish_FO_B_OS,Scottish_MO_B_OS,Scottish_BP_B_Aus,Scottish_BP_NS,Scottish_Tot_Resp,Serbian_BP_B_OS,Serbian_FO_B_OS,Serbian_MO_B_OS,Serbian_BP_B_Aus,Serbian_BP_NS,Serbian_Tot_Resp,Sth_African_BP_B_OS,Sth_African_FO_B_OS,Sth_African_MO_B_OS,Sth_Afrcan_BP_B_Aus,Sth_African_BP_NS,Sth_African_Tot_Resp,Spanish_BP_B_OS,Spanish_FO_B_OS,Spanish_MO_B_OS,Spanish_BP_B_Aus,Spanish_BP_NS,Spanish_Tot_Resp,Sri_Lankan_BP_B_OS,Sri_Lankan_FO_B_OS,Sri_Lankan_MO_B_OS,Sri_Lankan_BP_B_Aus,Sri_Lankan_BP_NS,Sri_Lankan_Tot_Resp,Turkish_BP_B_OS,Turkish_FO_B_OS,Turkish_MO_B_OS,Turkish_BP_B_Aus,Turkish_BP_NS,Turkish_Tot_Resp,Vietnamese_BP_B_OS,Vietnamese_FO_B_OS,Vietnamese_MO_B_OS,Vietnamese_BP_B_Aus,Vietnamese_BP_NS,Vietnamese_Tot_Resp,Welsh_BP_B_OS,Welsh_FO_B_OS,Welsh_MO_B_OS,Welsh_BP_B_Aus,Welsh_BP_NS,Welsh_Tot_Resp,Other_BP_B_OS,Other_FO_B_OS,Other_MO_B_OS,Other_BP_B_Aus,Other_BP_NS,Other_Tot_Resp,Ancestry_NS_BP_B_OS,Ancestry_NS_FO_B_OS,Ancestry_NS_MO_B_OS,Ancestry_NS_BP_B_Aus,Ancestry_NS_BP_NS,Ancestry_NS_Tot_Resp,Tot_P_BP_B_OS,Tot_P_FO_B_OS,Tot_P_MO_B_OS,Tot_P_BP_B_Aus,Tot_P_BP_NS,Tot_P_Tot_Resp
POA3000,139,295,274,1246,22,1972,3,0,0,13,0,17,16343,26,63,21,95,16556,60,0,3,5,3,73,95,37,15,39,3,190,1432,269,183,1389,57,3325,363,0,22,0,3,386,209,10,6,21,0,245,256,35,33,166,8,494,125,42,13,35,0,213,41,5,3,8,0,64,2435,7,4,5,12,2457,302,82,62,720,19,1179,515,75,30,173,6,796,1514,3,0,3,9,1534,41,6,3,4,0,55,40,6,7,8,0,50,29,10,9,12,0,57,49,7,0,0,0,55,89,9,10,4,0,113,96,8,11,19,0,133,98,3,5,8,0,110,275,73,56,504,10,918,39,4,0,6,0,46,26,3,4,3,0,37,213,3,0,4,0,226,167,0,0,3,0,173,69,0,3,0,0,80,590,3,11,0,5,608,37,4,5,23,0,68,5914,85,114,99,43,6253,157,3,9,21,4320,4513,29131,657,559,3055,4576,37975
POA3002,33,158,110,889,14,1209,0,0,0,6,0,6,249,10,7,4,0,275,21,0,3,3,0,25,30,17,7,19,0,71,354,161,115,1055,22,1708,16,0,3,0,0,24,27,4,0,17,0,52,77,9,6,99,8,200,53,15,12,30,0,112,16,0,0,4,0,17,56,6,4,0,0,68,127,55,32,596,17,825,123,39,18,94,0,277,17,0,0,0,0,22,17,4,0,7,0,20,16,0,0,0,0,17,7,3,0,11,0,22,13,0,3,0,0,19,33,7,3,5,0,46,33,8,4,13,0,56,22,7,0,4,0,30,120,48,28,404,10,610,5,0,0,0,0,5,4,0,0,0,0,6,23,0,0,7,0,29,23,0,0,3,0,31,3,0,0,0,0,3,39,0,0,0,0,45,13,3,5,13,0,30,364,45,30,55,7,496,5,3,0,16,534,564,1556,349,241,2222,593,4964
POA3003,16,117,106,551,12,805,0,0,0,4,0,4,894,6,22,9,5,941,16,0,0,3,0,23,32,10,9,24,4,71,291,108,95,521,9,1024,62,3,15,0,0,80,33,9,0,9,0,50,37,14,13,67,0,134,38,3,12,19,0,68,6,0,3,4,0,13,282,3,3,0,0,288,85,43,21,307,4,461,151,30,12,75,3,279,254,0,0,0,3,259,15,0,0,6,0,18,15,3,4,3,0,26,22,3,0,10,0,38,15,0,0,0,0,22,36,3,0,0,0,40,33,5,4,14,0,54,29,5,0,4,0,33,77,29,24,202,3,333,9,0,0,9,0,22,7,0,0,0,0,12,43,0,0,0,0,45,25,5,3,3,0,32,7,0,0,0,0,9,74,6,0,0,7,87,10,0,0,9,0,25,656,44,57,39,9,801,16,0,3,7,828,856,2909,261,232,1232,878,5515
POA3004,35,169,167,978,25,1368,3,0,0,3,0,4,1317,11,18,17,8,1378,30,3,4,14,0,50,36,15,13,29,0,93,696,155,151,1274,29,2310,78,0,8,0,3,90,87,3,6,25,0,117,143,28,15,137,3,330,81,16,7,35,3,145,36,6,0,5,0,47,470,8,3,7,0,486,258,45,38,525,12,884,211,43,21,108,3,386,89,0,0,0,0,92,17,3,5,4,0,32,19,5,0,0,0,21,27,12,0,5,0,42,24,0,4,0,0,26,70,0,3,6,0,83,127,11,7,18,0,166,73,5,3,10,0,81,202,43,47,456,7,745,23,0,0,3,0,27,35,3,0,0,0,35,48,3,3,3,0,62,58,3,0,0,0,69,20,0,3,0,0,26,77,0,0,0,3,81,34,4,3,30,0,70,1127,45,50,76,11,1302,30,4,0,24,1123,1177,4814,376,341,2568,1200,9307
POA3005,0,7,7,51,0,71,0,0,0,0,0,0,91,0,3,0,0,93,0,0,0,0,0,0,0,0,0,0,0,0,38,6,8,44,0,89,0,0,0,0,0,3,0,0,0,0,0,0,7,0,4,7,0,14,3,0,0,0,0,3,0,0,0,0,0,0,18,0,0,0,0,18,4,3,0,19,0,32,20,3,0,3,0,22,14,0,0,0,0,14,3,0,0,3,0,3,0,0,0,0,0,0,3,0,0,0,0,3,4,0,0,0,0,4,6,0,0,0,0,6,4,0,0,0,0,4,0,0,0,0,0,3,11,0,0,13,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,8,0,0,0,0,0,0,59,3,3,3,0,67,4,0,0,0,140,141,260,16,16,95,140,525
POA3006,95,279,263,1318,20,1969,0,3,0,5,0,11,4650,25,44,31,32,4779,52,8,3,3,0,66,92,32,23,44,0,187,1252,261,227,1467,31,3233,232,0,19,0,3,253,122,5,0,29,0,154,197,35,29,181,0,433,115,37,19,50,0,223,41,3,5,6,0,56,1087,4,10,10,12,1130,382,75,69,717,6,1250,439,78,54,165,0,736,498,0,9,7,3,509,30,3,8,7,0,49,31,0,3,14,0,42,45,11,3,12,0,71,63,0,0,3,0,67,136,9,14,0,0,164,95,17,10,19,0,137,123,4,4,6,0,143,323,54,50,520,5,953,57,0,7,0,0,66,48,5,6,0,0,63,174,10,3,4,3,196,117,6,4,3,0,135,44,3,0,0,0,49,212,0,7,9,0,232,30,9,3,29,0,73,2682,62,85,100,22,2952,68,3,0,21,2399,2491,11883,617,564,3227,2519,18808
POA3008,57,119,108,697,27,999,0,0,0,3,0,3,2600,13,22,21,11,2663,27,0,0,5,0,34,51,4,7,20,0,81,528,110,98,718,18,1473,104,0,3,0,0,114,71,3,3,10,0,86,84,15,7,87,0,193,87,21,3,27,0,137,15,0,3,4,0,17,1395,0,3,0,8,1404,120,31,16,328,8,510,224,27,7,68,3,332,326,3,7,0,3,340,22,6,0,0,0,28,20,0,4,5,0,29,15,8,4,6,0,40,29,0,0,0,5,34,50,3,3,0,0,63,44,7,3,6,0,66,48,0,0,3,0,57,147,27,33,248,3,452,40,0,3,0,0,42,15,0,0,0,0,21,56,0,3,4,3,67,37,0,0,4,0,44,30,0,3,0,0,36,136,3,3,0,5,149,14,0,0,16,0,31,1193,42,48,42,16,1331,41,0,0,9,1226,1281,6997,277,231,1625,1307,10437
POA3010,5,65,73,347,0,492,0,0,0,14,0,13,162,3,4,10,0,183,0,0,0,4,0,5,16,0,4,19,0,36,120,63,54,303,3,543,3,0,3,0,0,7,10,3,3,3,0,19,20,12,6,50,0,88,4,3,0,7,0,17,0,3,0,3,0,8,38,0,0,0,0,40,29,21,19,182,3,261,14,7,10,37,0,65,15,0,0,0,0,15,3,0,0,5,0,13,3,0,0,0,0,6,0,0,0,7,0,7,3,0,0,0,0,3,11,4,3,3,0,21,6,0,4,8,0,16,3,0,0,0,0,5,39,28,32,157,0,252,0,0,0,0,0,3,16,0,0,0,0,15,5,0,0,0,0,12,14,0,0,0,0,15,0,0,0,0,0,0,7,0,0,0,0,11,7,3,0,6,0,10,112,10,22,34,0,181,10,0,0,8,69,86,518,134,135,726,77,1593
POA3011,231,575,453,2619,49,3925,3,4,0,20,0,22,1742,32,53,41,13,1876,148,12,5,26,3,199,77,51,26,66,3,218,1213,528,420,2753,46,4967,308,3,25,10,7,356,76,5,17,44,0,141,170,70,57,314,9,619,402,37,17,106,9,567,36,8,6,5,0,55,1166,17,10,11,9,1212,342,203,158,1527,18,2246,406,114,51,305,10,887,66,0,0,3,0,69,22,10,0,4,0,31,196,3,11,15,9,232,88,33,14,50,4,180,57,9,6,3,0,77,120,32,24,11,3,196,110,26,8,39,0,191,34,3,4,17,0,60,298,136,105,935,17,1487,77,3,0,8,0,92,26,7,3,5,0,40,113,7,7,15,3,138,87,0,7,3,4,103,77,10,10,0,4,95,2077,15,34,18,23,2164,28,17,16,77,0,143,2807,162,136,219,33,3363,155,3,5,62,1829,2048,11119,1225,958,6113,2049,21462
POA3012,285,732,525,3329,64,4940,3,11,0,21,0,39,2059,37,44,61,19,2224,245,20,16,48,0,332,91,49,43,82,6,277,1342,607,458,3240,80,5719,416,5,41,9,7,482,52,15,11,53,0,136,195,88,42,362,10,694,477,61,45,134,12,732,49,15,5,17,0,90,1226,17,16,4,8,1276,382,213,138,1680,33,2446,784,163,87,410,24,1470,61,3,0,0,0,67,126,6,5,19,0,156,229,14,15,43,3,298,162,46,23,80,7,313,102,12,8,4,0,126,186,30,31,10,0,253,153,34,17,55,0,260,60,3,0,18,3,91,329,202,129,1136,11,1803,145,8,7,19,4,182,33,11,5,5,0,56,159,5,10,15,3,199,100,3,4,3,0,115,96,15,11,10,4,133,2951,19,54,23,24,3068,40,17,8,41,3,110,3293,261,179,236,56,4025,200,15,12,77,1650,1955,14021,1603,1161,7553,1969,26298
