POA_CODE_2016,Canada_Before_1946,Canada_1946_1955,Canada_1956_1965,Canada_1966_1975,Canada_1976_1985,Canada_1986_1995,Canada_1996_2005,Canada_2006_2010,Canada_2011,Canada_2012,Canada_2013,Canada_2014,Canada_2015,Canada_2016,Canada_Yr_arrival_NS,Canada_Tot,China_exc_SARs_Taiw_Bef_1946,China_exc_SARs_Taiwan_46_55,China_exc_SARs_Taiwan_56_65,China_exc_SARs_Taiwan_66_75,China_exc_SARs_Taiwan_76_85,China_exc_SARs_Taiwan_86_95,China_exc_SARs_Taiwan_96_05,China_exc_SARs_Taiwan_06_10,China_exc_SARs_Taiwan_2011,China_exc_SARs_Taiwan_2012,China_exc_SARs_Taiwan_2013,China_exc_SARs_Taiwan_2014,China_exc_SARs_Taiwan_2015,China_exc_SARs_Taiwan_2016,China_exc_SARs_Tawan_arr_ns,China_exc_SARs_Taiwan_Tot,Croatia_Before_1946,Croatia_1946_1955,Croatia_1956_1965,Croatia_1966_1975,Croatia_1976_1985,Croatia_1986_1995,Croatia_1996_2005,Croatia_2006_2010,Croatia_2011,Croatia_2012,Croatia_2013,Croatia_2014,Croatia_2015,Croatia_2016,Croatia_Yr_arrival_NS,Croatia_Tot,Egypt_Before_1946,Egypt_1946_1955,Egypt_1956_1965,Egypt_1966_1975,Egypt_1976_1985,Egypt_1986_1995,Egypt_1996_2005,Egypt_2006_2010,Egypt_2011,Egypt_2012,Egypt_2013,Egypt_2014,Egypt_2015,Egypt_2016,Egypt_Yr_arrival_NS,Egypt_Tot,Fiji_Before_1946,Fiji_1946_1955,Fiji_1956_1965,Fiji_1966_1975,Fiji_1976_1985,Fiji_1986_1995,Fiji_1996_2005,Fiji_2006_2010,Fiji_2011,Fiji_2012,Fiji_2013,Fiji_2014,Fiji_2015,Fiji_2016,Fiji_Yr_arrival_NS,Fiji_Tot,Germany_Before_1946,Germany_1946_1955,Germany_1956_1965,Germany_1966_1975,Germany_1976_1985,Germany_1986_1995,Germany_1996_2005,Germany_2006_2010,Germany_2011,Germany_2012,Germany_2013,Germany_2014,Germany_2015,Germany_2016,Germany_Yr_arrival_NS,Germany_Tot,Greece_Before_1946,Greece_1946_1955,Greece_1956_1965,Greece_1966_1975,Greece_1976_1985,Greece_1986_1995,Greece_1996_2005,Greece_2006_2010,Greece_2011,Greece_2012,Greece_2013,Greece_2014,Greece_2015,Greece_2016,Greece_Yr_arrival_NS,Greece_Tot,Hng_Kng_SAR_China_Bfre_1946,Hng_Kng_SAR_China_1946_1955,Hng_Kng_SAR_China_1956_1965,Hng_Kng_SAR_China_1966_1975,Hng_Kng_SAR_China_1976_1985,Hng_Kng_SAR_China_1986_1995,Hng_Kng_SAR_China_1996_2005,Hng_Kng_SAR_China_2006_2010,Hong_Kong_SAR_China_2011,Hong_Kong_SAR_China_2012,Hong_Kong_SAR_China_2013,Hong_Kong_SAR_China_2014,Hong_Kong_SAR_China_2015,Hong_Kong_SAR_China_2016,Hng_Kng_SAR_Chna_arrival_ns,Hong_Kong_SAR_China_Tot,India_Before_1946,India_1946_1955,India_1956_1965,India_1966_1975,India_1976_1985,India_1986_1995,India_1996_2005,India_2006_2010,India_2011,India_2012,India_2013,India_2014,India_2015,India_2016,India_Yr_arrival_NS,India_Tot,Indonesia_Before_1946,Indonesia_1946_1955,Indonesia_1956_1965,Indonesia_1966_1975,Indonesia_1976_1985,Indonesia_1986_1995,Indonesia_1996_2005,Indonesia_2006_2010,Indonesia_2011,Indonesia_2012,Indonesia_2013,Indonesia_2014,Indonesia_2015,Indonesia_2016,Indonesia_Yr_arrival_ns,Indonesia_Tot,Iran_Before_1946,Iran_1946_1955,Iran_1956_1965,Iran_1966_1975,Iran_1976_1985,Iran_1986_1995,Iran_1996_2005,Iran_2006_2010,Iran_2011,Iran_2012,Iran_2013,Iran_2014,Iran_2015,Iran_2016,Iran_Yr_arrival_NS,Iran_Tot,Iraq_Before_1946,Iraq_1946_1955,Iraq_1956_1965,Iraq_1966_1975,Iraq_1976_1985,Iraq_1986_1995,Iraq_1996_2005,Iraq_2006_2010,Iraq_2011,Iraq_2012,Iraq_2013,Iraq_2014,Iraq_2015,Iraq_2016,Iraq_Yr_arrival_NS,Iraq_Tot,Ireland_Before_1946,Ireland_1946_1955,Ireland_1956_1965,Ireland_1966_1975,Ireland_1976_1985,Ireland_1986_1995,Ireland_1996_2005,Ireland_2006_2010
POA3000,0,0,0,6,3,7,12,9,3,3,6,12,20,24,9,119,0,0,13,5,12,103,498,1375,492,718,1060,1530,1974,1044,612,9431,0,0,5,4,0,3,6,3,0,0,0,0,3,0,0,20,0,0,3,0,3,3,3,3,0,0,0,0,7,6,0,28,0,0,0,3,4,3,3,0,3,3,3,0,3,6,0,34,0,14,3,3,5,5,3,9,6,3,8,11,15,11,10,97,0,3,4,10,3,3,0,0,0,3,0,6,10,0,0,43,0,0,3,7,22,82,103,106,37,66,83,85,93,64,62,816,0,0,0,4,7,25,58,249,102,134,226,336,609,482,90,2326,0,0,0,3,8,17,194,206,94,169,210,262,283,213,31,1687,0,0,0,0,0,3,7,23,5,12,18,8,12,9,0,100,0,0,0,0,0,0,3,0,0,0,0,3,0,3,0,10,0,0,3,0,0,4,7,8
POA3002,0,0,0,0,6,4,0,6,0,0,0,0,3,3,0,27,0,0,0,0,0,7,10,6,0,7,3,3,3,7,18,65,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,4,0,3,3,0,3,0,0,3,0,5,0,3,32,0,0,7,4,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,3,3,12,3,4,0,0,3,0,3,0,0,27,0,0,0,3,6,3,4,3,4,0,0,0,0,4,0,31,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,11,0,0,0,0,4,3,7,5,0,4,4,3,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,7
POA3003,0,0,0,0,0,0,3,0,3,0,0,4,3,5,0,19,0,0,0,0,15,33,29,75,28,32,28,51,72,29,20,407,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,9,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,3,11,20,10,3,11,8,5,10,3,3,77,0,0,0,3,5,6,11,37,20,25,9,35,57,53,10,271,0,0,0,0,0,0,21,12,3,10,8,3,8,3,0,70,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,7
POA3004,0,0,0,3,3,3,10,6,0,3,0,8,11,5,0,45,0,3,3,0,0,46,111,200,45,43,44,64,68,39,52,714,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,12,0,3,3,3,0,0,3,0,3,3,0,0,0,0,0,25,0,0,0,0,0,3,0,3,0,0,0,0,0,3,0,11,3,15,9,4,3,3,4,8,0,3,3,4,4,0,3,72,0,0,3,3,0,3,0,0,0,3,0,0,0,0,0,19,0,0,0,4,5,24,19,17,7,4,3,5,0,0,0,98,0,0,4,10,7,15,42,74,14,27,40,37,62,39,7,371,0,0,0,0,0,6,45,24,3,4,6,9,9,10,3,131,0,0,0,0,7,3,6,13,5,3,5,3,12,3,0,64,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,4,0,0,3,3,6,3,6,18
POA3005,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,6,4,9,3,0,3,0,13,0,5,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,3,4,0,0,0,0,0,0,0,3,7,0,0,0,0,0,0,4,8,0,0,0,0,3,3,0,15,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA3006,0,0,0,3,5,3,9,5,6,6,16,14,13,6,5,83,0,0,0,4,10,91,279,537,149,172,245,342,350,172,124,2472,0,0,4,6,0,3,4,0,0,0,0,6,0,0,0,23,0,3,4,0,0,4,3,0,0,0,0,0,0,0,0,15,0,0,0,4,8,7,6,9,0,0,3,3,0,0,0,36,0,3,5,4,5,10,13,22,0,9,4,3,6,5,0,87,0,0,11,6,0,3,0,0,0,3,8,3,0,0,0,36,0,0,0,0,11,46,54,47,18,14,14,10,13,13,7,252,0,0,0,11,4,31,96,182,44,59,61,105,146,105,19,862,0,0,0,0,3,17,181,117,34,40,40,60,42,30,6,572,0,0,0,0,7,0,7,40,16,15,14,8,4,0,3,119,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,6,0,0,0,0,0,3,5,22
POA3008,0,0,0,0,0,3,3,3,0,0,0,3,6,3,4,29,0,0,0,0,0,52,198,396,106,160,178,222,235,129,81,1755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,3,0,8,0,0,0,0,0,0,6,4,0,23,0,0,0,0,3,7,0,3,0,0,0,0,0,0,0,14,0,4,8,8,0,3,4,15,3,3,5,4,3,0,3,50,0,0,6,6,4,0,6,0,0,0,0,0,0,0,0,23,0,0,0,0,9,23,26,18,0,3,17,3,5,8,7,129,0,0,0,4,3,8,56,157,92,102,133,232,303,223,55,1368,0,0,0,0,0,6,27,29,12,6,5,11,7,21,4,134,0,0,0,0,3,3,4,14,7,9,6,0,7,5,4,64,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,3,7
POA3010,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,9,0,0,0,0,0,0,9,8,0,4,4,11,9,13,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3,0,3,5,3,24,0,0,0,0,0,0,3,0,0,3,0,0,4,5,0,20,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,7,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
POA3011,0,0,0,5,10,8,15,7,3,8,5,3,5,0,0,66,0,0,0,0,16,84,97,103,29,45,52,79,101,51,23,686,0,0,21,54,0,4,11,0,0,0,0,0,0,0,5,95,0,0,6,7,3,4,0,0,0,0,0,0,0,0,0,24,0,0,0,0,4,9,3,3,0,0,0,3,0,0,0,21,0,14,14,8,7,0,11,10,3,0,3,5,4,3,3,75,0,12,109,69,7,3,0,0,0,0,0,0,0,0,8,213,0,0,0,3,13,22,13,13,3,3,3,0,0,6,0,85,0,0,0,7,4,28,75,359,23,67,143,160,161,102,35,1164,0,0,0,0,0,13,35,27,7,8,12,9,20,7,3,145,0,0,0,0,0,0,4,13,10,11,20,3,4,3,0,62,0,0,0,0,0,0,10,12,0,3,0,0,0,0,0,32,0,4,0,12,3,12,13,15
POA3012,0,0,0,0,4,5,3,6,3,3,0,4,3,0,3,40,0,0,0,0,14,65,99,152,33,33,29,32,67,40,18,588,0,3,25,56,3,4,18,0,0,3,0,3,0,0,3,119,0,3,6,3,3,3,9,0,0,0,6,3,0,0,4,42,0,0,0,3,7,13,8,4,0,4,0,8,3,0,3,51,0,35,16,9,9,3,15,3,0,0,0,0,0,0,5,97,0,10,88,100,10,3,3,0,0,0,3,0,0,0,9,234,0,0,0,0,18,45,30,14,0,0,3,4,3,0,0,120,0,0,0,23,4,18,95,361,40,76,114,124,133,115,32,1127,0,0,3,0,5,16,34,28,0,0,3,3,0,4,4,106,0,0,0,0,0,0,11,9,5,23,13,0,0,0,5,77,0,0,0,0,0,0,0,5,3,0,0,0,0,0,4,14,0,8,3,8,5,4,10,19
