POA_CODE_2016,A25_34_SOLSE_T_06_10,A25_34_SOLSE_T_11,A25_34_SOLSE_T_12,A25_34_SOLSE_T_13,A25_34_SOLSE_T_14,A25_34_SOLSE_T_15,A25_34_SOLSE_T_16,A25_34_SOLSE_T_YNS,A25_34_SOLSE_T_T,A25_34_L_PinE_NS_B00,A25_34_L_PinE_NS_00_05,A25_34_L_PinE_NS_06_10,A25_34_L_PinE_NS_11,A25_34_L_PinE_NS_12,A25_34_L_PinE_NS_13,A25_34_L_PinE_NS_14,A25_34_L_PinE_NS_15,A25_34_L_PinE_NS_16,A25_34_L_PinE_NS_YNS,A25_34_L_PinE_NS_T,A25_34_T_B00,A25_34_T_00_05,A25_34_T_06_10,A25_34_T_11,A25_34_T_12,A25_34_T_13,A25_34_T_14,A25_34_T_15,A25_34_T_16,A25_34_T_YNS,A25_34_T_T,A35_44_SEO_B00,A35_44_SEO_00_05,A35_44_SEO_06_10,A35_44_SEO_11,A35_44_SEO_12,A35_44_SEO_13,A35_44_SEO_14,A35_44_SEO_15,A35_44_SEO_16,A35_44_SEO_YNS,A35_44_SEO_T,A35_44_SOLSE_VWW_B00,A35_44_SOLSE_VWW_00_05,A35_44_SOLSE_VWW_06_10,A35_44_SOLSE_VWW_11,A35_44_SOLSE_VWW_12,A35_44_SOLSE_VWW_13,A35_44_SOLSE_VWW_14,A35_44_SOLSE_VWW_15,A35_44_SOLSE_VWW_16,A35_44_SOLSE_VWW_YNS,A35_44_SOLSE_VWW_T,A35_44_SOLSE_NWNAA_B00,A35_44_SOLSE_NWNAA_00_05,A35_44_SOLSE_NWNAA_06_10,A35_44_SOLSE_NWNAA_11,A35_44_SOLSE_NWNAA_12,A35_44_SOLSE_NWNAA_13,A35_44_SOLSE_NWNAA_14,A35_44_SOLSE_NWNAA_15,A35_44_SOLSE_NWNAA_16,A35_44_SOLSE_NWNAA_YNS,A35_44_SOLSE_NWNAA_T,A35_44_SOLSE_PinE_NS_B00,A35_44_SOLSE_PinE_NS_00_05,A35_44_SOLSE_PinE_NS_06_10,A35_44_SOLSE_PinE_NS_11,A35_44_SOLSE_PinE_NS_12,A35_44_SOLSE_PinE_NS_13,A35_44_SOLSE_PinE_NS_14,A35_44_SOLSE_PinE_NS_15,A35_44_SOLSE_PinE_NS_16,A35_44_SOLSE_PinE_NS_YNS,A35_44_SOLSE_PinE_NS_T,A35_44_SOLSE_T_B00,A35_44_SOLSE_T_00_05,A35_44_SOLSE_T_06_10,A35_44_SOLSE_T_11,A35_44_SOLSE_T_12,A35_44_SOLSE_T_13,A35_44_SOLSE_T_14,A35_44_SOLSE_T_15,A35_44_SOLSE_T_16,A35_44_SOLSE_T_YNS,A35_44_SOLSE_T_T,A35_44_L_PinE_NS_B00,A35_44_L_PinE_NS_00_05,A35_44_L_PinE_NS_06_10,A35_44_L_PinE_NS_11,A35_44_L_PinE_NS_12,A35_44_L_PinE_NS_13,A35_44_L_PinE_NS_14,A35_44_L_PinE_NS_15,A35_44_L_PinE_NS_16,A35_44_L_PinE_NS_YNS,A35_44_L_PinE_NS_T,A35_44_T_B00,A35_44_T_00_05,A35_44_T_06_10,A35_44_T_11,A35_44_T_12,A35_44_T_13,A35_44_T_14,A35_44_T_15,A35_44_T_16,A35_44_T_YNS,A35_44_T_T,A45_54_SEO_B00,A45_54_SEO_00_05,A45_54_SEO_06_10,A45_54_SEO_11,A45_54_SEO_12,A45_54_SEO_13,A45_54_SEO_14,A45_54_SEO_15,A45_54_SEO_16,A45_54_SEO_YNS,A45_54_SEO_T,A45_54_SOLSE_VWW_B00,A45_54_SOLSE_VWW_00_05,A45_54_SOLSE_VWW_06_10,A45_54_SOLSE_VWW_11,A45_54_SOLSE_VWW_12,A45_54_SOLSE_VWW_13,A45_54_SOLSE_VWW_14,A45_54_SOLSE_VWW_15,A45_54_SOLSE_VWW_16,A45_54_SOLSE_VWW_YNS,A45_54_SOLSE_VWW_T,A45_54_SOLSE_NWNAA_B00,A45_54_SOLSE_NWNAA_00_05,A45_54_SOLSE_NWNAA_06_10,A45_54_SOLSE_NWNAA_11,A45_54_SOLSE_NWNAA_12,A45_54_SOLSE_NWNAA_13,A45_54_SOLSE_NWNAA_14,A45_54_SOLSE_NWNAA_15,A45_54_SOLSE_NWNAA_16,A45_54_SOLSE_NWNAA_YNS,A45_54_SOLSE_NWNAA_T,A45_54_SOLSE_PinE_NS_B00,A45_54_SOLSE_PinE_NS_00_05,A45_54_SOLSE_PinE_NS_06_10,A45_54_SOLSE_PinE_NS_11,A45_54_SOLSE_PinE_NS_12,A45_54_SOLSE_PinE_NS_13,A45_54_SOLSE_PinE_NS_14,A45_54_SOLSE_PinE_NS_15,A45_54_SOLSE_PinE_NS_16,A45_54_SOLSE_PinE_NS_YNS,A45_54_SOLSE_PinE_NS_T,A45_54_SOLSE_T_B00,A45_54_SOLSE_T_00_05,A45_54_SOLSE_T_06_10,A45_54_SOLSE_T_11,A45_54_SOLSE_T_12,A45_54_SOLSE_T_13,A45_54_SOLSE_T_14,A45_54_SOLSE_T_15,A45_54_SOLSE_T_16,A45_54_SOLSE_T_YNS,A45_54_SOLSE_T_T,A45_54_L_PinE_NS_B00,A45_54_L_PinE_NS_00_05,A45_54_L_PinE_NS_06_10,A45_54_L_PinE_NS_11,A45_54_L_PinE_NS_12,A45_54_L_PinE_NS_13,A45_54_L_PinE_NS_14,A45_54_L_PinE_NS_15,A45_54_L_PinE_NS_16,A45_54_L_PinE_NS_YNS,A45_54_L_PinE_NS_T,A45_54_T_B00,A45_54_T_00_05,A45_54_T_06_10,A45_54_T_11,A45_54_T_12,A45_54_T_13,A45_54_T_14,A45_54_T_15,A45_54_T_16,A45_54_T_YNS,A45_54_T_T,A55_64_SEO_B00,A55_64_SEO_00_05,A55_64_SEO_06_10,A55_64_SEO_11,A55_64_SEO_12,A55_64_SEO_13,A55_64_SEO_14,A55_64_SEO_15,A55_64_SEO_16,A55_64_SEO_YNS,A55_64_SEO_T,A55_64_SOLSE_VWW_B00,A55_64_SOLSE_VWW_00_05,A55_64_SOLSE_VWW_06_10,A55_64_SOLSE_VWW_11
POA3000,1712,459,638,926,1213,1580,1038,549,9123,0,0,0,0,0,0,0,0,0,7,9,523,872,1971,533,723,1037,1370,1774,1187,615,10609,162,84,111,17,22,19,21,24,11,14,487,236,218,310,61,66,79,107,154,77,52,1365,4,16,40,9,20,33,41,48,35,37,277,0,0,0,0,0,0,0,0,0,0,6,233,237,349,67,91,115,151,204,116,91,1655,0,0,0,0,0,0,0,0,0,0,3,397,318,456,89,109,133,169,228,130,107,2136,142,33,27,12,3,11,9,3,11,12,258,125,41,45,12,13,17,19,21,14,23,337,7,20,49,14,18,28,24,31,32,39,264,0,0,0,0,0,0,0,0,0,0,0,138,62,95,31,35,40,43,53,48,59,598,0,0,0,0,0,0,0,0,0,0,0,275,96,119,41,41,48,59,58,52,68,855,142,15,10,4,3,0,0,3,0,8,185,112,21,19,9
POA3002,41,11,17,13,12,26,16,5,176,0,0,0,0,0,0,0,0,0,0,0,90,37,67,28,35,37,38,45,35,13,425,52,21,21,0,5,0,6,3,7,3,119,31,13,31,5,0,0,3,13,0,3,102,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,33,13,31,5,0,0,3,13,0,3,111,0,0,0,0,0,0,0,0,0,0,7,81,35,46,7,6,7,8,15,7,12,230,71,3,9,3,7,0,6,3,4,6,108,24,3,4,0,0,0,0,0,0,5,44,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,24,4,5,0,0,0,0,0,0,7,45,0,0,0,0,0,0,0,0,0,6,6,102,7,10,3,7,0,6,7,4,20,160,86,0,3,6,0,4,0,3,0,0,104,32,0,0,0
POA3003,173,43,65,69,118,184,90,48,900,0,0,0,0,0,0,0,0,0,24,24,109,78,221,68,94,90,147,220,104,84,1205,54,19,23,3,3,0,3,4,3,4,119,43,36,40,21,13,5,11,13,3,3,181,0,0,3,5,0,0,6,0,0,3,23,0,0,0,0,0,0,0,0,0,0,0,44,34,39,22,18,6,15,12,3,6,206,0,0,0,0,0,0,0,0,0,19,19,98,58,61,27,20,11,15,15,7,28,344,40,3,0,0,3,0,0,0,0,3,56,49,10,8,0,0,0,0,3,0,7,79,4,0,3,0,3,0,0,3,0,0,16,0,0,0,0,0,0,0,0,0,0,0,52,13,12,0,3,0,0,4,3,8,99,0,0,0,0,0,0,0,0,0,6,6,95,13,18,0,5,0,3,4,3,14,160,28,0,0,0,0,0,0,0,0,0,36,39,0,3,0
POA3004,231,71,85,90,78,148,83,34,1048,0,0,3,0,0,0,0,0,0,3,3,161,189,340,107,132,133,128,223,113,58,1579,91,48,53,22,7,12,15,17,13,9,272,87,75,101,23,23,24,26,44,19,12,434,0,0,3,0,3,0,4,4,0,8,23,4,0,0,0,0,0,0,0,0,0,7,91,75,105,25,26,24,28,50,21,16,463,0,0,0,0,0,0,0,0,0,4,4,185,119,156,43,31,34,37,65,33,35,737,116,27,20,12,3,9,4,4,0,12,209,57,26,23,5,7,10,13,3,3,4,153,3,7,12,0,0,0,0,3,0,6,34,0,0,0,0,0,0,0,0,0,0,0,55,33,41,5,6,10,14,8,4,7,187,0,0,0,0,0,0,0,0,0,3,4,174,61,62,14,7,17,19,14,3,22,398,148,7,13,4,3,4,6,3,0,3,190,77,14,11,0
POA3005,22,6,0,4,6,6,3,7,68,0,0,0,0,0,0,0,0,0,0,0,7,18,19,6,3,4,7,14,3,7,93,0,3,6,0,0,0,0,0,0,0,14,17,3,5,0,3,0,0,0,0,3,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,3,5,0,3,0,0,0,0,3,30,0,0,0,0,0,0,0,0,0,0,0,18,3,11,0,3,0,0,0,0,3,49,4,3,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,10,3,3,0,0,0,0,0,4,0,20,3,0,0,0,0,0,0,0,0,0,6,0,0,0,0
POA3006,882,175,230,287,408,440,314,124,3551,0,0,0,0,0,0,0,0,0,3,7,449,564,1127,272,343,408,543,594,383,166,4858,174,82,77,31,26,26,24,23,13,10,491,210,182,222,29,53,36,68,52,35,13,909,3,6,19,8,12,11,4,5,13,6,89,3,3,6,0,0,0,0,0,0,0,7,218,192,245,38,72,47,72,60,48,22,1012,0,0,0,0,0,0,0,0,0,0,0,390,270,320,71,98,80,96,87,56,40,1500,137,36,40,5,13,5,3,9,0,8,266,121,42,46,6,8,16,7,22,4,19,303,0,0,26,8,6,11,6,14,14,14,98,0,0,0,0,0,0,0,0,0,0,0,130,47,76,12,19,25,12,35,18,34,401,0,0,0,0,0,0,0,0,0,0,3,262,85,124,19,32,28,18,45,17,38,668,138,13,10,6,9,10,5,3,6,4,198,130,10,16,4
POA3008,512,153,189,230,320,370,256,93,2459,0,0,0,0,0,0,0,0,0,0,3,179,270,573,183,210,266,354,438,290,112,2872,56,32,47,21,18,9,12,12,5,8,223,88,82,113,33,55,34,48,39,35,14,542,4,4,11,3,7,5,9,13,3,5,57,0,3,0,0,0,0,0,0,0,0,6,94,90,119,40,55,35,55,50,35,18,597,0,0,0,0,0,0,0,0,0,0,3,153,122,167,61,76,45,68,65,46,26,820,70,23,30,4,10,0,8,3,9,3,155,89,22,14,8,3,10,9,8,4,4,162,7,9,24,4,7,10,11,9,9,8,101,0,0,0,0,0,0,0,0,0,0,3,92,30,39,8,12,25,17,19,12,13,268,0,0,0,0,0,0,0,0,0,0,3,161,53,64,14,21,25,24,22,18,16,424,98,3,5,3,4,0,3,7,0,3,128,69,8,8,0
POA3010,6,0,4,3,11,0,8,0,45,0,0,0,0,0,0,0,0,0,0,0,3,0,10,0,4,8,11,4,17,0,60,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,6,0,0,0,0,0,0,0,0,0,8,0,0,0,0
POA3011,634,112,202,260,262,227,115,70,2211,0,0,0,0,0,0,0,0,0,0,3,333,233,776,153,254,324,325,269,127,98,2887,214,109,93,12,12,11,13,10,4,9,484,287,146,249,30,34,44,26,36,12,20,890,23,23,29,3,15,21,10,10,4,5,148,0,0,0,0,0,3,0,0,0,0,3,309,168,284,31,52,65,34,53,18,27,1040,0,0,0,0,0,0,0,0,0,0,0,525,275,376,49,61,78,48,64,24,34,1525,222,35,16,4,6,6,3,0,3,9,292,324,36,54,3,12,8,5,4,0,5,453,119,23,29,5,4,7,6,11,9,7,210,0,0,0,0,0,0,0,0,0,0,3,443,58,80,9,15,8,11,12,7,18,658,0,0,0,0,0,0,0,0,0,0,0,661,91,96,13,20,11,16,12,10,22,953,187,7,0,0,0,0,0,0,0,3,204,330,10,9,5
POA3012,751,130,189,221,228,223,99,54,2361,0,0,0,0,0,0,0,0,0,52,50,401,276,914,165,242,247,265,250,109,128,3007,286,145,112,25,15,7,9,7,0,21,626,499,199,251,29,41,38,35,22,18,17,1149,45,20,40,3,16,13,9,4,7,9,167,9,0,6,0,0,0,0,0,0,0,12,551,229,298,37,53,48,41,31,26,25,1330,0,0,0,0,0,0,0,0,0,29,29,831,370,414,62,69,55,48,40,25,72,1981,252,25,22,7,0,3,5,3,0,14,326,545,53,61,7,8,14,8,7,3,14,713,192,24,29,3,13,14,13,8,6,16,306,4,0,0,0,0,0,0,0,0,0,9,740,77,91,14,18,19,18,15,5,28,1029,0,0,0,0,0,0,0,0,0,15,18,989,104,112,23,18,22,19,18,10,53,1371,219,7,5,0,0,3,4,0,0,9,243,471,17,10,3
