POA_CODE_2016,M_15_19_CF_Own_CCO,M_15_19_CF_Oth_CCO,M_15_19_CF_Own_CC_Oth_CC,M_15_19_CF_Total,M_15_19_DNPCC,M_15_19_UCC_NS,M_15_19_Total,M_20_24_CF_Own_CCO,M_20_24_CF_Oth_CCO,M_20_24_CF_Own_CC_Oth_CC,M_20_24_CF_Total,M_20_24_DNPCC,M_20_24_UCC_NS,M_20_24_Total,M_25_34_CF_Own_CCO,M_25_34_CF_Oth_CCO,M_25_34_CF_Own_CC_Oth_CC,M_25_34_CF_Total,M_25_34_DNPCC,M_25_34_UCC_NS,M_25_34_Total,M_35_44_CF_Own_CCO,M_35_44_CF_Oth_CCO,M_35_44_CF_Own_CC_Oth_CC,M_35_44_CF_Total,M_35_44_DNPCC,M_35_44_UCC_NS,M_35_44_Total,M_45_54_CF_Own_CCO,M_45_54_CF_Oth_CCO,M_45_54_CF_Own_CC_Oth_CC,M_45_54_CF_Total,M_45_54_DNPCC,M_45_54_UCC_NS,M_45_54_Total,M_55_64_CF_Own_CCO,M_55_64_CF_Oth_CCO,M_55_64_CF_Own_CC_Oth_CC,M_55_64_CF_Total,M_55_64_DNPCC,M_55_64_UCC_NS,M_55_64_Total,M_65_74_CF_Own_CCO,M_65_74_CF_Oth_CCO,M_65_74_CF_Own_CC_Oth_CC,M_65_74_CF_Total,M_65_74_DNPCC,M_65_74_UCC_NS,M_65_74_Total,M_75_84_CF_Own_CCO,M_75_84_CF_Oth_CCO,M_75_84_CF_Own_CC_Oth_CC,M_75_84_CF_Total,M_75_84_DNPCC,M_75_84_UCC_NS,M_75_84_Total,M_85ov_CF_Own_CCO,M_85ov_CF_Oth_CCO,M_85ov_CF_Own_CC_Oth_CC,M_85ov_CF_Total,M_85ov_DNPCC,M_85ov_UCC_NS,M_85ov_Total,M_Tot_CF_Own_CCO,M_Tot_CF_Oth_CCO,M_Tot_CF_Own_CC_Oth_CC,M_Tot_CF_Total,M_Tot_DNPCC,M_Tot_UCC_NS,M_Tot_Total,F_15_19_CF_Own_CCO,F_15_19_CF_Oth_CCO,F_15_19_CF_Own_CC_Oth_CC,F_15_19_CF_Total,F_15_19_DNPCC,F_15_19_UCC_NS,F_15_19_Total,F_20_24_CF_Own_CCO,F_20_24_CF_Oth_CCO,F_20_24_CF_Own_CC_Oth_CC,F_20_24_CF_Total,F_20_24_DNPCC,F_20_24_UCC_NS,F_20_24_Total,F_25_34_CF_Own_CCO,F_25_34_CF_Oth_CCO,F_25_34_CF_Own_CC_Oth_CC,F_25_34_CF_Total,F_25_34_DNPCC,F_25_34_UCC_NS,F_25_34_Total,F_35_44_CF_Own_CCO,F_35_44_CF_Oth_CCO,F_35_44_CF_Own_CC_Oth_CC,F_35_44_CF_Total,F_35_44_DNPCC,F_35_44_UCC_NS,F_35_44_Total,F_45_54_CF_Own_CCO,F_45_54_CF_Oth_CCO,F_45_54_CF_Own_CC_Oth_CC,F_45_54_CF_Total,F_45_54_DNPCC,F_45_54_UCC_NS,F_45_54_Total,F_55_64_CF_Own_CCO,F_55_64_CF_Oth_CCO,F_55_64_CF_Own_CC_Oth_CC,F_55_64_CF_Total,F_55_64_DNPCC,F_55_64_UCC_NS,F_55_64_Total,F_65_74_CF_Own_CCO,F_65_74_CF_Oth_CCO,F_65_74_CF_Own_CC_Oth_CC,F_65_74_CF_Total,F_65_74_DNPCC,F_65_74_UCC_NS,F_65_74_Total,F_75_84_CF_Own_CCO,F_75_84_CF_Oth_CCO,F_75_84_CF_Own_CC_Oth_CC,F_75_84_CF_Total,F_75_84_DNPCC,F_75_84_UCC_NS,F_75_84_Total,F_85ov_CF_Own_CCO,F_85ov_CF_Oth_CCO,F_85ov_CF_Own_CC_Oth_CC,F_85ov_CF_Total,F_85ov_DNPCC,F_85ov_UCC_NS,F_85ov_Total,F_Tot_CF_Own_CCO,F_Tot_CF_Oth_CCO,F_Tot_CF_Own_CC_Oth_CC,F_Tot_CF_Total,F_Tot_DNPCC,F_Tot_UCC_NS,F_Tot_Total,P_15_19_CF_Own_CCO,P_15_19_CF_Oth_CCO,P_15_19_CF_Own_CC_Oth_CC,P_15_19_CF_Total,P_15_19_DNPCC,P_15_19_UCC_NS,P_15_19_Total,P_20_24_CF_Own_CCO,P_20_24_CF_Oth_CCO,P_20_24_CF_Own_CC_Oth_CC,P_20_24_CF_Total,P_20_24_DNPCC,P_20_24_UCC_NS,P_20_24_Total,P_25_34_CF_Own_CCO,P_25_34_CF_Oth_CCO,P_25_34_CF_Own_CC_Oth_CC,P_25_34_CF_Total,P_25_34_DNPCC,P_25_34_UCC_NS,P_25_34_Total,P_35_44_CF_Own_CCO,P_35_44_CF_Oth_CCO,P_35_44_CF_Own_CC_Oth_CC,P_35_44_CF_Total,P_35_44_DNPCC,P_35_44_UCC_NS,P_35_44_Total,P_45_54_CF_Own_CCO,P_45_54_CF_Oth_CCO,P_45_54_CF_Own_CC_Oth_CC,P_45_54_CF_Total,P_45_54_DNPCC,P_45_54_UCC_NS,P_45_54_Total,P_55_64_CF_Own_CCO,P_55_64_CF_Oth_CCO,P_55_64_CF_Own_CC_Oth_CC,P_55_64_CF_Total,P_55_64_DNPCC,P_55_64_UCC_NS,P_55_64_Total,P_65_74_CF_Own_CCO,P_65_74_CF_Oth_CCO,P_65_74_CF_Own_CC_Oth_CC,P_65_74_CF_Total,P_65_74_DNPCC,P_65_74_UCC_NS,P_65_74_Total,P_75_84_CF_Own_CCO,P_75_84_CF_Oth_CCO,P_75_84_CF_Own_CC_Oth_CC,P_75_84_CF_Total,P_75_84_DNPCC,P_75_84_UCC_NS,P_75_84_Total,P_85ov_CF_Own_CCO,P_85ov_CF_Oth_CCO,P_85ov_CF_Own_CC_Oth_CC,P_85ov_CF_Total
POA3000,0,11,0,13,1346,158,1515,11,20,0,27,4778,606,5416,291,37,0,327,5713,873,6909,305,23,3,333,1308,323,1966,103,19,0,116,594,146,864,14,34,3,55,455,151,658,8,47,0,59,251,87,397,0,6,0,6,81,20,110,3,0,0,3,35,8,43,731,204,4,940,14565,2368,17876,0,23,0,23,1831,185,2037,19,59,0,82,5766,635,6480,429,86,3,522,5547,758,6830,289,35,6,333,1021,251,1605,103,24,7,140,608,156,894,9,63,0,73,422,106,604,11,55,0,67,184,61,314,0,3,0,3,66,14,86,0,0,0,0,26,6,34,868,353,12,1241,15464,2188,18886,0,33,0,32,3175,347,3559,28,72,0,105,10543,1247,11897,719,129,3,852,11254,1634,13736,599,56,7,665,2333,581,3570,210,43,3,258,1196,305,1754,31,98,3,134,874,254,1262,14,105,0,123,435,146,709,0,16,0,16,150,33,198,3,0,0,3
POA3002,0,3,0,3,36,6,44,0,3,0,7,130,18,159,25,17,0,39,521,67,634,83,18,0,95,228,48,371,64,0,3,65,172,38,280,13,25,0,40,242,27,314,0,49,0,50,200,31,276,0,14,0,14,63,15,85,0,0,0,0,42,3,49,187,123,4,307,1644,264,2212,0,3,0,3,33,11,46,0,6,0,7,153,22,181,41,41,0,85,578,103,770,83,20,0,104,196,39,346,52,14,0,61,204,30,295,8,63,0,67,248,38,356,0,71,0,71,163,36,268,3,10,0,13,71,9,94,0,3,0,3,84,13,100,183,230,0,421,1729,304,2453,0,3,0,3,67,20,91,3,11,0,15,286,41,343,66,61,0,131,1101,173,1407,164,37,0,197,426,88,719,112,11,3,127,372,66,571,25,87,0,111,486,65,664,0,113,0,115,363,62,546,3,26,0,25,136,26,181,0,3,0,3
POA3003,0,0,0,0,72,12,86,0,3,0,3,373,78,454,45,15,0,59,916,250,1225,99,10,0,105,232,140,477,55,4,0,57,152,68,286,11,7,0,14,105,32,150,3,11,0,19,52,13,84,0,3,0,0,19,5,27,0,0,0,0,5,0,6,207,56,0,265,1928,603,2796,0,9,0,9,83,16,104,0,14,0,15,398,49,456,55,17,0,78,784,104,968,111,15,3,130,198,34,357,43,7,0,52,141,14,208,3,10,0,19,91,14,119,3,16,0,18,43,18,76,0,0,0,0,18,9,27,0,0,0,0,8,4,8,220,87,8,320,1753,256,2325,0,6,0,12,153,30,192,0,12,0,19,769,128,913,96,35,4,137,1695,355,2189,210,23,3,237,430,175,837,99,12,0,109,290,87,486,12,20,0,35,192,43,264,6,33,0,37,96,28,160,3,3,0,5,38,15,52,0,0,0,0
POA3004,0,0,0,3,94,14,114,0,7,0,7,322,37,363,76,29,0,105,1086,136,1324,166,13,3,181,524,112,821,59,6,3,72,313,77,465,20,22,0,49,339,67,455,11,58,0,69,314,67,447,0,25,0,24,112,32,172,0,3,0,3,61,31,94,332,164,13,505,3164,582,4250,3,6,0,11,116,24,144,0,13,0,14,388,48,453,134,45,4,182,1122,175,1478,182,20,3,207,396,79,686,70,22,0,84,346,71,508,6,84,0,86,360,50,497,7,110,0,119,245,48,407,0,20,0,22,112,40,170,0,0,0,3,87,63,147,396,314,6,722,3169,601,4488,3,5,0,8,213,41,261,0,16,0,15,714,85,818,206,74,3,280,2209,307,2795,341,32,11,388,922,192,1507,131,30,3,161,659,154,968,30,107,0,137,692,122,949,20,166,0,187,557,116,861,3,42,0,46,224,68,340,0,3,0,6
POA3005,0,0,0,0,3,3,6,0,0,0,0,23,5,30,8,3,0,15,49,34,93,15,0,0,15,24,17,56,3,0,0,3,18,8,31,0,0,0,0,11,4,20,0,4,0,4,8,8,15,0,0,0,0,0,3,3,0,0,0,0,0,0,0,25,8,0,31,134,87,251,0,0,0,0,6,0,9,0,0,0,0,22,4,27,7,0,0,14,56,22,89,10,0,0,14,20,10,36,4,0,0,4,23,9,34,0,3,0,3,9,5,19,0,3,0,3,3,4,12,0,0,0,0,3,0,4,0,0,0,0,0,0,0,23,9,0,34,146,50,232,0,0,0,0,16,4,20,0,0,0,0,41,14,58,18,3,0,20,105,56,179,28,0,0,31,41,24,90,4,0,0,6,40,16,67,0,3,0,3,26,12,38,0,10,0,10,8,11,26,0,0,0,0,3,3,5,0,0,0,0
POA3006,0,4,0,4,286,56,346,4,9,0,18,1276,206,1497,190,42,0,238,3109,498,3838,262,19,3,280,1026,233,1539,95,9,0,105,531,118,749,30,37,0,67,402,81,553,4,48,0,53,241,57,357,0,14,0,20,92,9,121,0,0,0,0,24,7,29,589,198,7,791,6980,1254,9021,0,7,0,7,385,73,472,3,34,0,34,1444,233,1711,274,87,4,369,2932,466,3758,260,44,0,299,733,148,1184,77,36,0,114,467,97,673,16,93,0,110,407,78,590,3,77,0,75,226,51,352,0,7,0,7,80,14,103,3,0,0,3,20,3,25,636,373,8,1021,6697,1159,8882,0,13,0,13,671,127,815,9,45,0,58,2718,436,3215,470,129,3,601,6034,959,7599,519,63,3,587,1760,385,2727,175,43,0,219,999,211,1428,45,132,3,175,810,158,1146,3,127,0,134,471,108,710,0,26,0,28,169,21,219,3,0,0,3
POA3008,0,0,0,0,169,25,196,0,4,0,5,630,62,701,179,13,0,192,1634,265,2084,178,17,0,191,507,107,809,61,8,0,71,366,70,513,17,27,0,42,308,48,396,4,30,0,35,162,43,241,0,3,0,7,39,9,54,0,0,0,0,7,5,9,437,97,0,537,3829,629,5002,0,4,0,4,192,32,231,11,6,0,13,687,104,808,291,28,4,321,1363,214,1890,168,21,3,193,368,83,639,36,22,0,62,353,73,493,8,58,0,65,283,46,392,5,50,0,54,99,31,183,0,4,0,4,26,6,45,0,0,0,0,5,0,9,517,191,7,717,3384,594,4696,0,6,0,6,358,62,426,10,14,0,22,1322,167,1512,464,37,4,507,2992,476,3976,350,29,3,387,877,190,1445,101,29,0,136,725,143,1005,23,89,0,104,587,96,789,4,76,0,86,266,71,425,3,6,0,10,74,15,96,0,0,0,0
POA3010,0,13,0,13,280,12,311,0,6,0,9,291,19,315,3,0,0,3,56,3,61,3,0,0,3,4,0,11,3,0,0,4,3,0,6,0,0,0,0,7,0,12,0,0,0,0,9,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,23,0,32,651,38,721,0,21,0,22,404,17,444,0,18,0,18,307,20,344,0,0,0,3,44,0,49,0,0,0,3,0,0,6,0,0,0,0,3,0,13,0,0,0,0,7,0,9,0,0,0,0,6,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,41,0,46,779,42,864,0,36,0,40,683,31,752,0,21,0,22,600,38,662,5,0,0,6,100,3,111,4,0,0,8,9,0,14,8,0,0,3,6,0,17,0,4,0,4,19,0,21,0,0,0,0,15,0,13,0,0,0,0,0,0,0,0,0,0,0
POA3011,0,12,0,12,358,45,416,7,19,0,29,1083,130,1245,277,62,8,345,2502,255,3102,660,39,10,708,1037,183,1925,309,22,6,328,738,109,1177,76,35,0,116,709,98,923,9,43,0,48,384,51,485,0,10,0,10,238,58,305,0,0,0,0,112,31,139,1330,243,24,1603,7152,960,9719,3,16,0,24,347,35,410,30,40,0,78,860,106,1038,450,115,10,574,2109,244,2926,739,64,28,835,702,135,1669,241,40,10,286,704,105,1095,33,92,3,129,609,74,817,0,85,0,87,355,44,483,0,14,0,19,306,54,374,0,0,0,0,213,44,253,1493,474,57,2024,6206,832,9061,3,30,0,37,711,87,831,38,61,0,105,1947,239,2285,730,176,20,923,4605,501,6025,1399,101,40,1541,1736,317,3592,550,55,18,617,1435,215,2272,112,133,6,248,1318,170,1734,8,120,3,133,742,97,966,0,26,0,32,541,113,681,0,0,0,0
POA3012,3,18,0,17,492,46,558,12,29,0,40,991,98,1124,405,72,7,482,2425,316,3224,964,28,35,1027,1116,195,2333,466,25,13,510,886,133,1535,91,60,3,162,859,83,1096,13,58,0,68,464,62,593,0,17,0,19,311,58,388,0,3,0,3,139,39,180,1958,309,61,2326,7676,1027,11031,0,32,0,33,434,45,512,29,45,0,75,838,86,994,692,129,11,832,1865,204,2907,1125,94,75,1298,814,153,2266,423,65,26,510,916,116,1542,35,171,4,207,822,88,1126,10,124,0,127,468,72,666,3,32,0,40,399,79,516,3,3,0,4,212,66,284,2316,681,124,3128,6775,912,10814,4,48,0,51,919,91,1065,43,71,0,112,1828,179,2116,1092,198,19,1315,4290,524,6128,2091,117,109,2325,1925,345,4600,893,92,40,1017,1803,253,3072,128,228,8,373,1679,175,2221,17,173,0,198,936,132,1261,3,50,0,53,709,135,902,3,6,0,5
