POA_CODE_2016,Num_Psns_UR_1_FamHhold,Num_Psns_UR_1_NonFamHhold,Num_Psns_UR_1_Total,Num_Psns_UR_2_FamHhold,Num_Psns_UR_2_NonFamHhold,Num_Psns_UR_2_Total,Num_Psns_UR_3_FamHhold,Num_Psns_UR_3_NonFamHhold,Num_Psns_UR_3_Total,Num_Psns_UR_4_FamHhold,Num_Psns_UR_4_NonFamHhold,Num_Psns_UR_4_Total,Num_Psns_UR_5_FamHhold,Num_Psns_UR_5_NonFamHhold,Num_Psns_UR_5_Total,Num_Psns_UR_6mo_FamHhold,Num_Psns_UR_6mo_NonFamHhold,Num_Psns_UR_6mo_Total,Total_FamHhold,Total_NonFamHhold,Total_Total
POA3000,..,6243,6243,3928,2796,6726,1201,1145,2343,468,492,963,117,163,275,44,84,128,5761,10911,16671
POA3002,..,859,859,783,127,908,196,52,246,83,23,111,24,3,32,12,3,12,1097,1074,2173
POA3003,..,560,560,687,243,936,215,112,323,137,56,193,31,22,58,15,14,29,1082,1006,2089
POA3004,..,1726,1726,1628,277,1896,381,93,477,164,21,181,31,4,34,6,3,9,2208,2125,4337
POA3005,..,51,51,60,13,69,24,8,39,9,0,9,6,0,5,0,0,3,97,75,169
POA3006,..,2891,2891,2783,973,3757,820,368,1189,255,103,360,59,27,85,29,20,46,3943,4384,8328
POA3008,..,1385,1385,1591,408,1997,578,176,753,202,69,278,46,21,68,17,5,26,2432,2064,4497
POA3010,..,0,0,3,0,3,0,0,0,3,0,3,0,0,0,0,0,0,12,0,12
POA3011,..,2636,2636,2319,627,2948,1194,267,1453,855,116,965,242,41,284,133,33,165,4738,3714,8451
POA3012,..,2653,2653,2665,494,3156,1565,195,1762,1411,75,1494,453,36,487,235,29,264,6331,3480,9811
POA3013,..,1305,1305,1674,233,1913,895,104,992,986,36,1023,282,4,291,69,3,71,3901,1685,5591
POA3015,..,1502,1502,1901,196,2095,1089,68,1153,1186,29,1209,369,9,376,120,3,121,4664,1803,6462
POA3016,..,1498,1498,1621,86,1700,870,22,892,1110,7,1111,400,0,400,92,0,91,4079,1605,5687
POA3018,..,1577,1577,1611,147,1757,736,19,758,734,0,731,222,3,222,84,3,83,3381,1747,5129
POA3019,..,743,743,641,89,733,469,54,522,456,27,477,270,14,285,222,11,230,2052,937,2991
POA3020,..,3297,3297,3758,392,4147,2573,143,2717,2280,99,2375,1123,63,1183,937,58,998,10663,4049,14707
