POA_CODE_2016,D_0_4_FPEFT_MPEFT,D_0_4_FPEFT_MPEPT,D_0_4_FPEFT_MPEAW,D_0_4_FPEFT_MPEHNS,D_0_4_FPEFT_MPET,D_0_4_FPEFT_MPULFTW,D_0_4_FPEFT_MPULPTW,D_0_4_FPEFT_MPUT,D_0_4_FPEFT_MPTLF,D_0_4_FPEFT_MPNLF,D_0_4_FPEFT_MPLFSNS,D_0_4_FPEFT_T,D_0_4_FPEPT_MPEFT,D_0_4_FPEPT_MPEPT,D_0_4_FPEPT_MPEAW,D_0_4_FPEPT_MPEHNS,D_0_4_FPEPT_MPET,D_0_4_FPEPT_MPULFTW,D_0_4_FPEPT_MPULPTW,D_0_4_FPEPT_MPUT,D_0_4_FPEPT_MPTLF,D_0_4_FPEPT_MPNLF,D_0_4_FPEPT_MPLFSNS,D_0_4_FPEPT_T,D_0_4_FPEAW_MPEFT,D_0_4_FPEAW_MPEPT,D_0_4_FPEAW_MPEAW,D_0_4_FPEAW_MPEHNS,D_0_4_FPEAW_MPET,D_0_4_FPEAW_MPULFTW,D_0_4_FPEAW_MPULPTW,D_0_4_FPEAW_MPUT,D_0_4_FPEAW_MPTLF,D_0_4_FPEAW_MPNLF,D_0_4_FPEAW_MPLFSNS,D_0_4_FPEAW_T,D_0_4_FPHNS_MPEFT,D_0_4_FPHNS_MPEPT,D_0_4_FPHNS_MPEAW,D_0_4_FPHNS_MPEHNS,D_0_4_FPHNS_MPET,D_0_4_FPHNS_MPULFTW,D_0_4_FPHNS_MPULPTW,D_0_4_FPHNS_MPUT,D_0_4_FPHNS_MPTLF,D_0_4_FPHNS_MPNLF,D_0_4_FPHNS_MPLFSNS,D_0_4_FPHNS_T,D_0_4_FPET_MPEFT,D_0_4_FPET_MPEPT,D_0_4_FPET_MPEAW,D_0_4_FPET_MPEHNS,D_0_4_FPET_MPET,D_0_4_FPET_MPULFTW,D_0_4_FPET_MPULPTW,D_0_4_FPET_MPUT,D_0_4_FPET_MPTLF,D_0_4_FPET_MPNLF,D_0_4_FPET_MPLFSNS,D_0_4_FPET_T,D_0_4_FPULFTW_MPEFT,D_0_4_FPULFTW_MPEPT,D_0_4_FPULFTW_MP_EAW,D_0_4_FPULFTW_MP_E_HW_NS,D_0_4_FPULFTW_MPET,D_0_4_FPULFTW_MPULFTW,D_0_4_FPULFTW_MPULPTW,D_0_4_FPULFTW_MPUT,D_0_4_FPULFTW_MPTLF,D_0_4_FPULFTW_MPNLF,D_0_4_FPULFTW_MPLFSNS,D_0_4_FPULFTW_T,D_0_4_FPULPTW_MPEFT,D_0_4_FPULPTW_MPEPT,D_0_4_FPULPTW_MPEAW,D_0_4_FPULPTW_MPEm_HW_NS,D_0_4_FPULPTW_MPET,D_0_4_FPULPTW_MPULFTW,D_0_4_FPULPTW_MPULPTW,D_0_4_FPULPTW_MPUT,D_0_4_FPULPTW_MPTLF,D_0_4_FPULPTW_MPNLF,D_0_4_FPULPTW_MPLFSNS,D_0_4_FPULPTW_T,D_0_4_FPUT_MPEFT,D_0_4_FPUT_MPEPT,D_0_4_FPUT_MPEAW,D_0_4_FPUT_MP_E_HNS,D_0_4_FPUT_MPET,D_0_4_FPUT_MPULFTW,D_0_4_FPUT_MPULPTW,D_0_4_FPUT_MPUT,D_0_4_FPUT_MPTLF,D_0_4_FPUT_MPNLF,D_0_4_FPUT_MPLFSNS,D_0_4_FPUT_T,D_0_4_FPTLF_MPEFT,D_0_4_FPTLF_MPEPT,D_0_4_FPTLF_MPEAW,D_0_4_FPTLF_MPEHNS,D_0_4_FPTLF_MPET,D_0_4_FPTLF_MPULFTW,D_0_4_FPTLF_MPULPTW,D_0_4_FPTLF_MPUT,D_0_4_FPTLF_MPTLF,D_0_4_FPTLF_MPNLF,D_0_4_FPTLF_MPLFSNS,D_0_4_FPTLF_T,D_0_4_FPNLF_MPEFT,D_0_4_FPNLF_MPEPT,D_0_4_FPNLF_MPEAW,D_0_4_FPNLF_MP_E_HNS,D_0_4_FPNLF_MPET,D_0_4_FPNLF_MPUEmpLfFTW,D_0_4_FPNLF_MPUEmpLfPTW,D_0_4_FPNLF_MPUT,D_0_4_FPNLF_MPTLF,D_0_4_FPNLF_MPNLF,D_0_4_FPNLF_MPLFSNS,D_0_4_FPNLF_T,D_0_4_FPLFSNS_MPEFT,D_0_4_FPLFSNS_MPEPT,D_0_4_FPLFSNS_MPEAW,D_0_4_FPLFSNS_MP_E_HNS,D_0_4_FPLFSNS_MPET,D_0_4_FPLFSNS_MPULFTW,D_0_4_FPLFSNS_MPULPTW,D_0_4_FPLFSNS_MPUT,D_0_4_FPLFSNS_MPTLF,D_0_4_FPLFSNS_MPNLF,D_0_4_FPLFSNS_MPLFSNS,D_0_4_FPLFSNS_T,D_0_4_FPT_MPEFT,D_0_4_FPT_MPEPT,D_0_4_FPT_MPEAW,D_0_4_FPT_MPEHNS,D_0_4_FPT_MPET,D_0_4_FPT_MPULFTW,D_0_4_FPT_MPULPTW,D_0_4_FPT_MPUT,D_0_4_FPT_MPTLF,D_0_4_FPT_MPNLF,D_0_4_FPT_MPLFSNS,D_0_4_FPT_T,D_5_9_FPEFT_MPEFT,D_5_9_FPEFT_MPEPT,D_5_9_FPEFT_MPEAW,D_5_9_FPEFT_MPEHNS,D_5_9_FPEFT_MPET,D_5_9_FPEFT_MPULFTW,D_5_9_FPEFT_MPULPTW,D_5_9_FPEFT_MPUT,D_5_9_FPEFT_MPTLF,D_5_9_FPEFT_MPNLF,D_5_9_FPEFT_MPLFSNS,D_5_9_FPEFT_T,D_5_9_FPEPT_MPEFT,D_5_9_FPEPT_MPEPT,D_5_9_FPEPT_MPEAW,D_5_9_FPEPT_MPEHNS,D_5_9_FPEPT_MPET,D_5_9_FPEPT_MPULFTW,D_5_9_FPEPT_MPULPTW,D_5_9_FPEPT_MPUT,D_5_9_FPEPT_MPTLF,D_5_9_FPEPT_MPNLF,D_5_9_FPEPT_MPLFSNS,D_5_9_FPEPT_T,D_5_9_FPEAW_MPEFT,D_5_9_FPEAW_MPEPT,D_5_9_FPEAW_MPEAW,D_5_9_FPEAW_MPEHNS,D_5_9_FPEAW_MPET,D_5_9_FPEAW_MPULFTW,D_5_9_FPEAW_MPULPTW,D_5_9_FPEAW_MPUT,D_5_9_FPEAW_MPTLF,D_5_9_FPEAW_MPNLF,D_5_9_FPEAW_MPLFSNS,D_5_9_FPEAW_T,D_5_9_FPHNS_MPEFT,D_5_9_FPHNS_MPEPT,D_5_9_FPHNS_MPEAW,D_5_9_FPHNS_MPEHNS,D_5_9_FPHNS_MPET,D_5_9_FPHNS_MPULFTW,D_5_9_FPHNS_MPULPTW,D_5_9_FPHNS_MPUT,D_5_9_FPHNS_MPTLF,D_5_9_FPHNS_MPNLF,D_5_9_FPHNS_MPLFSNS,D_5_9_FPHNS_T,D_5_9_FPET_MPEFT,D_5_9_FPET_MPEPT,D_5_9_FPET_MPEAW,D_5_9_FPET_MP_E_HNS,D_5_9_FPET_MPET,D_5_9_FPET_MPULFTW,D_5_9_FPET_MPULPTW,D_5_9_FPET_MPUT
POA3000,73,8,0,0,80,6,0,5,90,7,0,100,66,14,0,0,81,3,0,3,81,4,0,91,31,0,0,0,36,0,0,0,36,4,0,35,0,0,0,0,3,0,0,0,3,0,0,3,172,20,0,3,196,8,0,8,206,18,0,222,23,0,0,0,23,0,0,0,23,0,0,19,17,0,0,0,13,0,0,0,14,0,0,14,32,0,0,0,36,0,0,0,39,0,0,38,206,22,0,3,231,12,0,9,247,18,3,262,205,31,3,3,237,6,0,6,247,37,0,285,0,0,0,0,0,0,0,0,0,0,0,3,409,49,6,3,471,22,0,23,495,50,4,550,34,4,0,0,43,3,0,5,53,0,0,50,29,3,0,0,32,0,0,0,32,0,0,29,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,65,12,0,0,80,3,0,5
POA3002,23,0,0,0,26,0,0,0,27,0,0,23,29,5,0,0,36,0,0,0,37,0,0,37,23,0,5,0,27,0,0,0,26,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,74,3,5,0,86,0,0,5,87,0,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,3,5,0,83,0,0,5,90,0,0,92,24,0,0,0,27,0,0,0,27,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,99,6,5,0,112,0,0,5,114,0,0,119,9,0,0,0,8,0,0,0,8,0,0,9,16,3,0,0,20,3,3,4,27,0,0,27,0,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,30,4,0,0,32,3,3,4
POA3003,24,0,0,0,27,0,0,0,23,0,0,26,33,5,0,0,41,5,0,5,42,0,0,40,10,3,0,0,12,0,0,0,12,0,0,18,3,0,0,0,3,0,0,0,3,0,0,3,65,15,0,4,81,3,0,3,88,0,0,88,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,3,0,0,0,3,0,0,3,7,0,0,0,7,0,0,0,7,0,0,10,75,15,0,4,89,3,0,3,96,7,0,99,36,8,3,0,45,0,0,0,44,5,0,49,0,0,0,0,0,0,0,0,0,0,0,0,109,16,3,7,132,6,0,6,135,9,0,146,25,3,0,0,25,0,0,0,29,3,0,27,24,3,0,0,27,0,0,0,27,0,0,27,3,0,3,0,4,0,0,0,4,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,49,12,3,0,61,0,0,0
POA3004,38,5,0,0,45,3,0,3,48,3,0,56,35,0,0,0,37,0,0,0,37,3,0,40,13,9,6,0,28,0,0,0,28,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,89,15,6,0,113,3,0,3,114,12,0,121,5,0,0,0,7,0,0,0,7,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,7,0,0,0,7,0,0,12,96,14,6,0,122,3,0,3,122,11,0,134,67,6,0,0,72,0,0,0,73,10,0,87,0,0,0,0,0,0,0,0,0,0,0,0,160,23,6,3,194,8,0,8,194,24,0,217,35,3,0,0,41,3,0,3,42,0,0,42,21,7,0,0,21,0,0,0,21,4,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,9,3,0,71,3,0,3
POA3005,3,3,0,0,5,0,0,0,5,0,0,5,9,0,0,0,9,0,0,0,9,0,0,9,0,0,0,0,4,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,12,3,0,0,18,0,0,0,18,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,3,0,0,3,3,0,0,0,3,0,0,0,3,0,0,3,10,3,0,0,16,0,0,0,16,0,0,16,3,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,3,0,0,20,0,0,0,20,0,0,19,0,0,0,0,5,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,10,0,0,0
POA3006,63,8,0,0,68,7,0,7,75,3,0,79,67,6,0,0,77,0,0,0,76,0,0,81,40,8,7,0,48,3,0,3,47,0,0,48,3,0,0,0,5,0,0,0,5,0,0,5,170,16,9,3,202,10,0,10,206,3,0,210,12,0,0,0,11,0,0,0,11,0,0,11,3,4,0,0,7,4,0,4,8,0,0,9,13,4,0,0,16,4,0,4,23,0,0,19,187,17,8,3,218,10,0,11,224,3,0,233,147,20,3,3,168,8,0,9,180,27,0,205,0,0,0,0,0,0,0,0,0,0,0,0,328,38,7,7,383,15,3,16,403,38,0,441,24,0,0,0,26,0,0,0,24,0,0,25,23,5,0,4,25,0,0,0,28,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,4,0,4,50,3,0,3
POA3008,81,6,0,0,88,3,0,3,91,0,0,88,45,5,0,0,51,0,0,0,54,0,0,51,11,7,6,0,25,0,0,0,25,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,135,21,8,0,164,4,0,4,171,3,0,173,15,0,0,0,15,3,0,3,17,0,0,17,8,3,0,0,7,0,0,0,7,0,0,7,20,3,0,0,20,3,0,3,24,0,0,24,153,19,8,0,184,3,0,3,190,3,0,192,173,12,0,4,185,3,3,9,196,27,0,222,0,0,0,0,0,0,0,0,0,0,0,0,328,30,14,9,375,11,3,15,383,33,0,415,21,0,0,0,27,0,0,3,30,0,0,30,22,0,0,0,22,0,0,0,22,0,0,22,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,46,3,0,0,45,0,0,3
POA3010,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA3011,142,26,3,0,171,7,0,9,182,13,0,197,304,48,4,7,356,3,3,10,366,11,0,375,86,13,10,0,107,0,0,0,107,3,0,111,6,0,0,3,9,0,0,0,14,0,0,14,534,88,19,5,652,13,8,15,668,28,0,694,7,0,0,0,8,3,0,3,12,0,0,12,14,5,0,0,27,0,3,5,32,4,0,30,25,7,0,0,37,8,7,12,44,4,0,44,560,100,19,5,681,16,13,28,710,34,0,739,209,46,9,10,271,16,4,24,290,35,0,329,0,0,0,3,4,0,0,0,4,0,0,3,769,147,23,19,956,33,18,49,1008,69,0,1077,136,16,0,0,150,9,4,10,164,17,0,177,201,34,3,4,239,3,5,4,240,6,0,249,7,0,3,0,10,0,0,0,10,3,0,12,0,0,0,0,3,0,0,0,3,0,0,3,340,52,8,3,399,6,9,17
POA3012,186,19,3,3,215,8,0,11,219,7,0,228,500,81,6,0,586,3,5,12,595,17,0,608,135,20,16,3,173,0,0,0,175,11,0,178,3,3,0,0,8,0,0,0,8,0,0,8,826,117,25,7,977,16,6,16,996,30,0,1026,13,4,0,0,13,6,0,10,20,0,0,23,27,3,4,3,31,0,0,0,33,3,0,36,33,13,4,3,49,5,0,8,60,3,0,61,862,129,28,10,1023,22,9,26,1051,34,0,1089,364,62,10,11,443,19,5,22,467,43,0,510,0,0,0,0,0,0,0,0,0,0,4,5,1226,195,38,15,1469,40,10,51,1523,79,4,1602,199,30,3,3,235,13,5,17,250,18,0,271,367,49,3,0,418,12,0,12,434,20,0,452,26,4,0,0,29,0,0,0,29,0,0,29,4,0,0,3,7,0,0,0,7,0,0,10,594,87,7,5,693,23,5,25
