POA_CODE_2016,F_Mgnt_Com_35_44,F_Mgnt_Com_45_54,F_Mgnt_Com_55_64,F_Mgnt_Com_65_74,F_Mgnt_Com_75_84,F_Mgnt_Com_85ov,F_Mgnt_Com_Tot,F_Society_Cult_15_24,F_Society_Cult_25_34,F_Society_Cult_35_44,F_Society_Cult_45_54,F_Society_Cult_55_64,F_Society_Cult_65_74,F_Society_Cult_75_84,F_Society_Cult_85ov,F_Society_Cult_Tot,F_Creative_Arts_15_24,F_Creative_Arts_25_34,F_Creative_Arts_35_44,F_Creative_Arts_45_54,F_Creative_Arts_55_64,F_Creative_Arts_65_74,F_Creative_Arts_75_84,F_Creative_Arts_85ov,F_Creative_Arts_Tot,F_Fd_Hosp_Psnl_Svcs_15_24,F_Fd_Hosp_Psnl_Svcs_25_34,F_Fd_Hosp_Psnl_Svcs_35_44,F_Fd_Hosp_Psnl_Svcs_45_54,F_Fd_Hosp_Psnl_Svcs_55_64,F_Fd_Hosp_Psnl_Svcs_65_74,F_Fd_Hosp_Psnl_Svcs_75_84,F_Fd_Hosp_Psnl_Svcs_85ov,F_Fd_Hosp_Psnl_Svcs_Tot,F_MixFld_Prgm_15_24,F_MixFld_Prgm_25_34,F_MixFld_Prgm_35_44,F_MixFld_Prgm_45_54,F_MixFld_Prgm_55_64,F_MixFld_Prgm_65_74,F_MixFld_Prgm_75_84,F_MixFld_Prgm_85ov,F_MixFld_Prgm_Tot,F_FldStd_InadDes_15_24,F_FldStd_InadDes_25_34,F_FldStd_InadDes_35_44,F_FldStd_InadDes_45_54,F_FldStd_InadDes_55_64,F_FldStd_InadDes_65_74,F_FldStd_InadDes_75_84,F_FldStd_InadDes_85ov,F_FldStd_InadDes_Tot,F_FldStd_NS_15_24,F_FldStd_NS_25_34,F_FldStd_NS_35_44,F_FldStd_NS_45_54,F_FldStd_NS_55_64,F_FldStd_NS_65_74,F_FldStd_NS_75_84,F_FldStd_NS_85ov,F_FldStd_NS_Tot,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_NatPhyl_Scn_15_24,P_NatPhyl_Scn_25_34,P_NatPhyl_Scn_35_44,P_NatPhyl_Scn_45_54,P_NatPhyl_Scn_55_64,P_NatPhyl_Scn_65_74,P_NatPhyl_Scn_75_84,P_NatPhyl_Scn_85ov,P_NatPhyl_Scn_Tot,P_InfoTech_15_24,P_InfoTech_25_34,P_InfoTech_35_44,P_InfoTech_45_54,P_InfoTech_55_64,P_InfoTech_65_74,P_InfoTech_75_84,P_InfoTech_85ov,P_InfoTech_Tot,P_Eng_RelTec_15_24,P_Eng_RelTec_25_34,P_Eng_RelTec_35_44,P_Eng_RelTec_45_54,P_Eng_RelTec_55_64,P_Eng_RelTec_65_74,P_Eng_RelTec_75_84,P_Eng_RelTec_85ov,P_Eng_RelTec_Tot,P_ArchtBldng_15_24,P_ArchtBldng_25_34,P_ArchtBldng_35_44,P_ArchtBldng_45_54,P_ArchtBldng_55_64,P_ArchtBldng_65_74,P_ArchtBldng_75_84,P_ArchtBldng_85ov,P_ArchtBldng_Tot,P_Ag_Envir_Rltd_Sts_15_24,P_Ag_Envir_Rltd_Sts_25_34,P_Ag_Envir_Rltd_Sts_35_44,P_Ag_Envir_Rltd_Sts_45_54,P_Ag_Envir_Rltd_Sts_55_64,P_Ag_Envir_Rltd_Sts_65_74,P_Ag_Envir_Rltd_Sts_75_84,P_Ag_Envir_Rltd_Sts_85ov,P_Ag_Envir_Rltd_Sts_Tot,P_Health_15_24,P_Health_25_34,P_Health_35_44,P_Health_45_54,P_Health_55_64,P_Health_65_74,P_Health_75_84,P_Health_85ov,P_Health_Tot,P_Educ_15_24,P_Educ_25_34,P_Educ_35_44,P_Educ_45_54,P_Educ_55_64,P_Educ_65_74,P_Educ_75_84,P_Educ_85ov,P_Educ_Tot,P_Mgnt_Com_15_24,P_Mgnt_Com_25_34,P_Mgnt_Com_35_44,P_Mgnt_Com_45_54,P_Mgnt_Com_55_64,P_Mgnt_Com_65_74,P_Mgnt_Com_75_84,P_Mgnt_Com_85ov,P_Mgnt_Com_Tot,P_Society_Cult_15_24,P_Society_Cult_25_34,P_Society_Cult_35_44,P_Society_Cult_45_54,P_Society_Cult_55_64,P_Society_Cult_65_74,P_Society_Cult_75_84,P_Society_Cult_85ov,P_Society_Cult_Tot,P_Creative_Arts_15_24,P_Creative_Arts_25_34,P_Creative_Arts_35_44,P_Creative_Arts_45_54,P_Creative_Arts_55_64,P_Creative_Arts_65_74,P_Creative_Arts_75_84,P_Creative_Arts_85ov,P_Creative_Arts_Tot,P_Fd_Hosp_Psnl_Svcs_15_24,P_Fd_Hosp_Psnl_Svcs_25_34,P_Fd_Hosp_Psnl_Svcs_35_44,P_Fd_Hosp_Psnl_Svcs_45_54,P_Fd_Hosp_Psnl_Svcs_55_64,P_Fd_Hosp_Psnl_Svcs_65_74,P_Fd_Hosp_Psnl_Svcs_75_84,P_Fd_Hosp_Psnl_Svcs_85ov,P_Fd_Hosp_Psnl_Svcs_Tot,P_MixFld_Prgm_15_24,P_MixFld_Prgm_25_34,P_MixFld_Prgm_35_44,P_MixFld_Prgm_45_54,P_MixFld_Prgm_55_64,P_MixFld_Prgm_65_74,P_MixFld_Prgm_75_84,P_MixFld_Prgm_85ov,P_MixFld_Prgm_Tot,P_FldStd_InadDes_15_24,P_FldStd_InadDes_25_34,P_FldStd_InadDes_35_44,P_FldStd_InadDes_45_54,P_FldStd_InadDes_55_64,P_FldStd_InadDes_65_74,P_FldStd_InadDes_75_84,P_FldStd_InadDes_85ov,P_FldStd_InadDes_Tot,P_FldStd_NS_15_24,P_FldStd_NS_25_34,P_FldStd_NS_35_44,P_FldStd_NS_45_54,P_FldStd_NS_55_64,P_FldStd_NS_65_74,P_FldStd_NS_75_84,P_FldStd_NS_85ov,P_FldStd_NS_Tot,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54
POA3000,354,173,71,35,7,6,3791,335,669,191,83,77,39,5,0,1404,359,478,88,37,25,7,3,0,993,167,278,49,24,13,3,3,0,530,145,13,4,0,0,0,0,0,163,87,72,21,16,17,5,3,0,220,831,796,274,165,110,68,19,3,2266,4068,5850,1360,658,439,217,52,18,12670,371,444,103,44,35,19,9,0,1027,270,1227,339,65,24,0,0,0,1935,567,1276,254,99,67,45,13,7,2330,233,390,86,39,26,19,3,0,799,65,74,17,13,0,0,0,0,173,124,564,146,80,82,38,10,3,1049,85,210,88,50,77,42,10,0,562,2175,3140,711,294,151,85,22,8,6591,504,1049,315,167,147,75,25,11,2292,517,764,163,69,48,18,3,0,1590,308,598,130,40,18,12,3,0,1105,246,33,8,7,3,0,0,0,294,134,132,33,25,25,6,3,0,365,1620,1701,607,324,252,147,38,17,4702,7219,11614,2995,1326
POA3002,78,58,47,27,8,6,383,15,140,70,50,49,40,9,7,384,17,81,31,22,14,8,3,0,176,6,4,7,10,3,3,0,0,30,0,0,0,0,0,0,0,0,0,3,16,5,7,7,4,4,0,44,25,104,44,36,44,38,7,18,308,125,703,317,247,277,194,69,55,1989,7,40,13,25,21,19,4,8,130,3,51,21,10,10,3,0,0,105,8,66,38,26,28,31,15,8,209,9,46,20,12,20,11,3,0,124,6,5,9,3,0,3,0,0,27,20,162,68,55,70,55,35,10,485,3,39,22,14,63,51,13,13,226,40,262,152,126,102,75,18,13,789,31,240,119,79,87,81,27,12,681,23,131,60,43,23,12,3,0,292,10,15,10,12,8,7,0,0,52,0,0,0,0,0,0,0,0,0,3,24,10,13,14,12,4,4,76,54,179,94,73,70,77,20,20,589,225,1267,639,485
POA3003,74,39,15,5,0,0,446,35,154,41,35,16,10,0,0,300,42,86,41,14,5,7,0,0,186,15,46,17,11,3,0,0,0,94,3,0,0,0,0,0,0,0,3,7,15,3,4,4,0,0,0,29,66,106,36,14,12,17,4,4,260,330,852,315,159,87,59,18,3,1822,26,73,27,17,8,3,0,0,152,30,140,40,17,10,0,0,0,235,60,162,60,22,15,12,0,0,338,17,74,24,11,4,6,0,0,132,8,11,4,7,3,0,0,0,30,24,108,44,24,26,7,3,0,233,7,39,24,16,10,18,9,0,132,138,410,147,87,26,14,0,0,824,56,230,83,58,34,20,3,0,484,57,167,73,24,8,5,0,0,339,29,103,40,14,3,0,0,0,187,3,3,0,0,0,0,0,0,4,10,29,7,11,9,0,0,0,62,156,365,187,84,43,35,8,5,879,621,1908,752,391
POA3004,158,114,97,52,14,12,949,42,170,85,61,58,59,17,7,498,38,113,28,15,27,9,4,3,242,16,46,23,16,7,10,0,6,126,7,0,0,0,0,0,0,0,9,6,16,15,8,14,6,0,0,63,69,170,86,76,60,50,33,64,609,323,1348,598,419,365,285,115,110,3565,41,88,50,26,26,23,5,3,259,19,176,134,23,18,10,0,0,381,23,216,116,55,53,61,30,16,567,16,102,50,19,26,21,4,0,250,4,17,6,0,5,3,0,0,34,41,229,109,64,68,66,40,18,634,4,69,48,42,46,57,31,6,306,122,755,322,217,202,124,34,15,1798,53,243,144,93,94,118,27,15,791,63,183,62,38,31,15,5,3,397,32,81,42,32,11,14,0,6,214,8,0,3,0,0,0,0,0,15,6,23,23,23,19,7,0,0,111,128,307,199,161,127,117,64,93,1198,557,2495,1314,784
POA3005,10,3,3,3,0,0,50,3,4,6,0,0,0,0,0,18,4,9,0,3,0,0,3,0,18,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,20,9,9,5,5,0,0,45,19,79,38,25,10,6,0,0,178,0,6,6,3,3,0,0,0,14,0,10,3,0,0,0,0,0,17,3,11,12,3,4,4,0,0,41,0,3,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,5,8,0,4,0,0,0,21,0,3,4,5,3,0,0,0,18,7,54,18,4,3,8,0,0,94,0,7,12,0,0,0,0,0,19,3,5,4,4,0,0,3,0,26,0,5,5,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,12,54,23,23,12,12,3,0,135,31,161,85,51
POA3006,348,147,99,33,8,0,2085,113,415,151,58,68,57,12,3,870,131,230,68,21,10,6,0,0,465,71,143,49,16,5,3,0,0,288,15,5,0,0,0,0,0,0,19,17,39,16,12,11,7,0,0,108,304,472,150,111,78,52,8,4,1172,1161,3343,1047,508,438,236,62,11,6801,86,237,87,32,39,25,7,0,516,69,561,250,68,26,5,0,0,981,156,625,194,91,83,54,26,3,1225,59,179,50,29,27,9,0,4,366,11,31,12,4,3,3,0,0,73,40,395,135,66,107,51,19,8,821,25,127,56,53,83,49,15,3,406,559,2051,667,306,187,97,29,0,3894,172,667,261,102,117,93,23,4,1443,203,401,127,39,21,9,5,0,809,118,318,93,32,7,3,0,0,579,19,10,0,0,3,0,0,0,33,31,68,29,25,17,11,0,0,187,557,978,387,237,153,106,23,10,2454,2112,6648,2365,1082
POA3008,156,113,63,19,3,0,1063,48,160,67,52,38,17,3,0,388,57,113,29,10,12,5,0,0,220,34,54,18,15,3,3,0,0,137,13,5,0,3,0,0,0,0,23,11,23,11,4,13,0,0,0,60,132,225,93,78,55,34,7,0,632,576,1677,551,362,272,124,24,0,3587,38,99,70,30,23,16,6,0,278,46,503,158,28,14,0,0,0,753,86,569,166,73,64,34,7,4,1000,27,89,26,26,18,13,5,0,219,5,17,4,5,3,3,0,0,42,27,155,64,49,45,19,8,0,360,13,55,32,34,46,31,3,0,216,282,937,307,231,154,58,8,3,1970,73,265,107,80,63,31,10,0,627,76,162,43,12,17,7,0,0,318,47,106,50,28,4,7,0,0,245,26,7,0,3,0,3,0,0,38,9,38,22,10,22,0,0,0,103,230,495,195,150,105,79,12,8,1277,983,3493,1237,765
POA3010,0,0,0,0,0,0,18,20,13,0,4,4,0,0,0,41,19,3,0,0,4,0,0,0,23,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,10,41,4,0,0,0,0,0,0,49,161,43,6,13,9,3,0,0,222,50,15,0,0,0,0,0,0,64,5,4,0,0,0,0,0,0,14,9,16,0,0,0,0,0,0,23,5,0,0,0,0,0,0,0,10,6,0,0,0,0,0,0,0,4,8,14,0,0,0,0,0,0,30,4,6,3,0,0,3,0,0,19,33,6,0,0,0,0,0,0,37,38,20,3,10,15,0,0,0,85,23,3,0,0,7,0,0,0,32,8,0,0,0,0,0,0,0,10,4,0,0,0,0,0,0,0,4,14,0,0,0,0,0,0,0,14,70,5,0,0,0,0,0,0,80,280,99,13,16
POA3011,286,134,47,18,3,4,1195,78,451,288,160,88,32,7,3,1107,82,291,126,70,32,9,0,0,617,47,103,50,27,21,10,0,0,258,4,3,0,0,3,0,0,4,17,12,59,36,19,14,4,3,0,141,138,252,142,111,82,54,65,42,890,654,2455,1387,751,447,186,106,66,6048,58,213,149,54,38,12,3,0,533,72,372,177,60,34,4,0,0,713,112,383,213,148,121,60,32,13,1074,30,173,138,67,51,15,11,4,486,11,38,37,23,8,4,0,0,130,61,449,206,85,66,32,10,7,908,27,227,181,122,111,38,14,3,723,305,1062,610,248,107,39,5,5,2381,144,669,463,277,157,57,11,4,1776,143,530,231,130,57,18,0,0,1112,79,217,123,57,34,11,0,0,519,14,6,7,0,3,0,0,4,32,26,98,62,35,28,13,8,0,266,333,521,332,234,197,140,135,81,1980,1420,4956,2930,1540
POA3012,431,206,78,29,6,4,1569,58,346,318,205,133,25,4,4,1097,48,184,167,65,27,5,0,0,504,58,136,108,59,27,10,4,0,411,0,4,5,0,8,6,0,0,21,13,51,43,27,10,3,0,0,144,120,210,168,123,97,69,76,77,939,594,2409,1790,1002,559,211,122,99,6789,49,152,163,74,24,9,3,0,479,52,392,228,84,24,3,0,0,787,130,478,310,208,190,93,50,29,1486,30,181,148,67,57,28,11,3,522,8,54,43,26,10,8,0,0,150,75,476,238,154,78,32,10,5,1070,39,234,214,161,126,49,14,7,838,258,1213,808,353,165,46,10,13,2877,113,511,500,301,197,41,7,4,1670,110,311,308,141,38,8,0,0,930,92,297,177,104,47,17,7,0,743,7,10,5,0,7,9,3,3,47,18,76,78,42,17,7,0,0,240,259,531,379,273,185,141,138,120,2026,1243,4927,3605,1991
