POA_CODE_2016,F_Health_Occ_Mng,F_Health_Occ_Pro,F_Health_Occ_TTW,F_Health_Occ_CPS,F_Health_Occ_CA,F_Health_Occ_Sal,F_Health_Occ_MOD,F_Health_Occ_Lab,F_Health_Occ_IDNS,F_Health_Total,F_Educat_Occ_Mng,F_Educat_Occ_Pro,F_Educat_Occ_TTW,F_Educat_Occ_CPS,F_Educat_Occ_CA,F_Educat_Occ_Sal,F_Educat_Occ_MOD,F_Educat_Occ_Lab,F_Educat_Occ_IDNS,F_Educat_Total,F_ManagCom_Occ_Mng,F_ManagCom_Occ_Pro,F_ManagCom_Occ_TTW,F_ManagCom_Occ_CPS,F_ManagCom_Occ_CA,F_ManagCom_Occ_Sal,F_ManagCom_Occ_MOD,F_ManagCom_Occ_Lab,F_ManagCom_Occ_IDNS,F_ManagCom_Total,F_SocietCultu_Occ_Mng,F_SocietCultu_Occ_Pro,F_SocietCultu_Occ_TTW,F_SocietCultu_Occ_CPS,F_SocietCultu_Occ_CA,F_SocietCultu_Occ_Sal,F_SocietCultu_Occ_MOD,F_SocietCultu_Occ_Lab,F_SocietCultu_Occ_IDNS,F_SocietCultu_Total,F_CreatArt_Occ_Mng,F_CreatArt_Occ_Pro,F_CreatArt_Occ_TTW,F_CreatArt_Occ_CPS,F_CreatArt_Occ_CA,F_CreatArt_Occ_Sal,F_CreatArt_Occ_MOD,F_CreatArt_Occ_Lab,F_CreatArt_Occ_IDNS,F_CreatArt_Total,F_FoodHospPersServ_Occ_Mng,F_FoodHospPersServ_Occ_Pro,F_FoodHospPersServ_Occ_TTW,F_FoodHospPersServ_Occ_CPS,F_FoodHospPersServ_Occ_CA,F_FoodHospPersServ_Occ_Sal,F_FoodHospPersServ_Occ_MOD,F_FoodHospPersServ_Occ_Lab,F_FoodHospPersServ_Occ_IDNS,F_FoodHospPersServ_Total,F_MixFieldProg_Occ_Mng,F_MixFieldProg_Occ_Pro,F_MixFieldProg_Occ_TTW,F_MixFieldProg_Occ_CPS,F_MixFieldProg_Occ_CA,F_MixFieldProg_Occ_Sal,F_MixFieldProg_Occ_MOD,F_MixFieldProg_Occ_Lab,F_MixFieldProg_Occ_IDNS,F_MixFieldProg_Total,F_FS_ID_Occ_Mng,F_FS_ID_Occ_Pro,F_FS_ID_Occ_TTW,F_FS_ID_Occ_CPS,F_FS_ID_Occ_CA,F_FS_ID_Occ_Sal,F_FS_ID_Occ_MOD,F_FS_ID_Occ_Lab,F_FS_ID_Occ_IDNS,F_FS_ID_Total,F_FS_NS_Occ_Mng,F_FS_NS_Occ_Pro,F_FS_NS_Occ_TTW,F_FS_NS_Occ_CPS,F_FS_NS_Occ_CA,F_FS_NS_Occ_Sal,F_FS_NS_Occ_MOD,F_FS_NS_Occ_Lab,F_FS_NS_Occ_IDNS,F_FS_NS_Total,F_Tot_Occ_Mng,F_Tot_Occ_Pro,F_Tot_Occ_TTW,F_Tot_Occ_CPS,F_Tot_Occ_CA,F_Tot_Occ_Sal,F_Tot_Occ_MOD,F_Tot_Occ_Lab,F_Tot_Occ_IDNS,F_Total_Total,P_NatPhySci_Occ_Mng,P_NatPhySci_Occ_Pro,P_NatPhySci_Occ_TTW,P_NatPhySci_Occ_CPS,P_NatPhySci_Occ_CA,P_NatPhySci_Occ_Sal,P_NatPhySci_Occ_MOD,P_NatPhySci_Occ_Lab,P_NatPhySci_Occ_IDNS,P_NatPhySci_Total,P_InfoTechn_Occ_Mng,P_InfoTechn_Occ_Pro,P_InfoTechn_Occ_TTW,P_InfoTechn_Occ_CPS,P_InfoTechn_Occ_CA,P_InfoTechn_Occ_Sal,P_InfoTechn_Occ_MOD,P_InfoTechn_Occ_Lab,P_InfoTechn_Occ_IDNS,P_InfoTechn_Total,P_EngRelTech_Occ_Mng,P_EngRelTech_Occ_Pro,P_EngRelTech_Occ_TTW,P_EngRelTech_Occ_CPS,P_EngRelTech_Occ_CA,P_EngRelTech_Occ_Sal,P_EngRelTech_Occ_MOD,P_EngRelTech_Occ_Lab,P_EngRelTech_Occ_IDNS,P_EngRelTech_Total,P_ArchitBuild_Occ_Mng,P_ArchitBuild_Occ_Pro,P_ArchitBuild_Occ_TTW,P_ArchitBuild_Occ_CPS,P_ArchitBuild_Occ_CA,P_ArchitBuild_Occ_Sal,P_ArchitBuild_Occ_MOD,P_ArchitBuild_Occ_Lab,P_ArchitBuild_Occ_IDNS,P_ArchitBuild_Total,P_AgriEnviRelStu_Occ_Mng,P_AgriEnviRelStu_Occ_Pro,P_AgriEnviRelStu_Occ_TTW,P_AgriEnviRelStu_Occ_CPS,P_AgriEnviRelStu_Occ_CA,P_AgriEnviRelStu_Occ_Sal,P_AgriEnviRelStu_Occ_MOD,P_AgriEnviRelStu_Occ_Lab,P_AgriEnviRelStu_Occ_IDNS,P_AgriEnviRelStu_Total,P_Health_Occ_Mng,P_Health_Occ_Pro,P_Health_Occ_TTW,P_Health_Occ_CPS,P_Health_Occ_CA,P_Health_Occ_Sal,P_Health_Occ_MOD,P_Health_Occ_Lab,P_Health_Occ_IDNS,P_Health_Total,P_Educat_Occ_Mng,P_Educat_Occ_Pro,P_Educat_Occ_TTW,P_Educat_Occ_CPS,P_Educat_Occ_CA,P_Educat_Occ_Sal,P_Educat_Occ_MOD,P_Educat_Occ_Lab,P_Educat_Occ_IDNS,P_Educat_Total,P_ManagCom_Occ_Mng,P_ManagCom_Occ_Pro,P_ManagCom_Occ_TTW,P_ManagCom_Occ_CPS,P_ManagCom_Occ_CA,P_ManagCom_Occ_Sal,P_ManagCom_Occ_MOD,P_ManagCom_Occ_Lab,P_ManagCom_Occ_IDNS,P_ManagCom_Total,P_SocietCultu_Occ_Mng,P_SocietCultu_Occ_Pro,P_SocietCultu_Occ_TTW,P_SocietCultu_Occ_CPS,P_SocietCultu_Occ_CA,P_SocietCultu_Occ_Sal,P_SocietCultu_Occ_MOD,P_SocietCultu_Occ_Lab,P_SocietCultu_Occ_IDNS,P_SocietCultu_Total,P_CreatArt_Occ_Mng,P_CreatArt_Occ_Pro,P_CreatArt_Occ_TTW,P_CreatArt_Occ_CPS,P_CreatArt_Occ_CA,P_CreatArt_Occ_Sal,P_CreatArt_Occ_MOD,P_CreatArt_Occ_Lab,P_CreatArt_Occ_IDNS,P_CreatArt_Total
POA3000,22,317,7,95,27,20,0,13,3,501,25,114,5,47,16,10,0,10,3,231,278,602,73,319,395,270,12,132,27,2119,82,314,19,176,110,62,7,39,21,817,59,177,29,122,52,66,0,35,5,550,31,10,121,112,28,30,0,33,4,374,3,0,0,11,4,4,0,0,0,22,16,21,8,15,6,10,0,11,0,94,12,14,8,32,13,4,0,18,12,115,635,2151,345,1057,761,579,22,353,89,5995,45,205,35,66,55,31,5,25,6,466,135,899,97,50,72,63,14,59,19,1410,163,707,131,91,82,96,31,118,22,1439,37,237,64,34,23,29,4,26,0,454,14,16,10,12,9,7,0,5,0,84,28,523,15,120,34,22,4,29,8,781,41,177,14,54,23,13,0,21,5,348,636,1160,165,472,643,420,36,298,55,3881,154,573,55,239,171,89,9,78,31,1393,104,357,76,162,76,100,7,81,13,983
POA3002,19,185,4,21,11,0,0,0,0,236,8,70,0,4,6,4,0,0,0,106,88,111,4,17,60,12,0,3,7,304,51,159,3,19,32,10,0,5,0,280,25,75,8,8,18,17,0,3,0,148,3,0,3,7,4,4,0,0,0,24,0,0,0,0,0,0,0,0,0,0,5,7,0,0,7,5,0,0,0,31,7,3,0,0,3,0,0,4,0,18,217,696,28,74,173,55,3,14,9,1279,17,53,7,6,9,3,0,0,3,97,12,63,8,0,11,0,0,3,0,98,38,68,19,3,6,0,3,6,0,151,19,54,13,0,12,4,0,3,0,105,3,12,0,0,3,0,0,0,0,19,22,305,6,25,11,0,0,0,0,378,11,98,0,8,8,5,0,0,0,139,200,265,9,37,85,43,0,8,12,651,88,306,4,33,61,13,4,6,6,515,39,119,17,18,18,24,0,6,0,246
POA3003,7,97,3,14,9,3,0,3,0,133,13,41,0,7,4,0,0,0,0,68,74,108,12,35,78,27,0,7,3,341,30,98,0,33,31,10,0,6,4,215,12,65,12,8,14,18,0,7,3,143,10,0,18,21,5,5,0,4,0,70,0,0,0,3,0,0,0,0,0,3,4,3,3,3,8,3,0,3,0,27,0,3,0,0,0,0,0,0,3,15,162,517,57,131,171,87,5,36,26,1194,22,58,5,5,12,6,0,0,0,110,22,127,14,4,3,3,0,7,0,185,25,110,27,13,22,8,9,17,4,232,8,53,18,5,8,7,3,8,0,102,3,9,4,3,0,0,0,0,0,26,13,147,3,15,10,9,3,3,0,201,13,64,0,13,4,3,0,0,0,93,133,220,29,49,135,55,3,20,6,657,53,177,4,44,53,19,5,10,8,364,32,124,25,21,22,31,6,13,3,276
POA3004,20,200,3,25,31,4,0,0,0,279,16,82,3,11,17,8,0,4,0,142,175,247,8,43,162,57,0,9,4,715,51,165,7,42,60,14,0,4,7,348,31,75,8,13,28,16,0,3,0,173,19,3,18,20,19,12,0,0,3,100,0,0,0,0,0,3,0,0,0,4,6,14,0,0,5,4,0,0,0,35,3,10,3,3,3,3,0,0,8,28,371,954,71,175,364,133,0,32,25,2131,36,75,5,14,19,9,0,6,0,162,53,192,26,12,15,14,3,5,10,315,98,196,57,11,26,9,12,18,5,426,41,90,41,5,16,6,0,6,4,204,6,4,3,0,4,0,0,3,5,30,28,336,5,28,35,8,0,5,0,450,25,108,4,19,17,7,3,4,3,185,400,515,25,80,238,110,4,22,26,1419,94,279,13,62,83,25,3,5,10,572,49,147,10,32,36,27,0,11,0,316
POA3005,0,3,0,0,3,0,0,0,0,8,4,4,0,0,0,0,0,0,0,11,10,13,0,0,7,3,0,0,0,37,0,7,0,0,3,0,0,0,0,14,5,5,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,42,3,12,18,5,0,0,0,95,5,3,0,0,0,0,0,0,0,12,6,6,0,3,0,0,0,0,0,16,11,8,5,3,3,0,0,0,0,32,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,8,0,0,3,0,0,0,0,13,5,4,0,0,0,0,0,0,0,11,15,36,0,0,8,4,0,0,3,72,4,9,0,3,3,0,0,0,0,19,4,6,0,0,0,4,0,0,0,16
POA3006,19,300,7,49,21,4,0,4,8,419,23,117,7,23,22,10,0,4,3,205,302,589,18,130,318,116,3,50,14,1542,70,269,12,72,106,49,3,11,10,603,42,123,14,50,40,37,4,13,0,318,28,14,86,57,23,19,0,9,0,227,0,0,0,3,0,0,0,0,0,8,15,23,3,5,16,8,0,3,0,76,0,11,3,4,6,4,0,0,12,37,594,1787,180,436,620,279,12,126,73,4111,56,197,25,21,28,11,0,13,7,357,133,500,46,26,48,18,8,10,20,809,149,440,119,46,63,50,16,53,12,944,53,91,64,14,23,18,3,10,0,272,13,12,4,4,4,9,0,3,5,53,34,479,12,62,26,13,0,12,11,652,37,153,7,35,30,9,3,12,5,280,720,1132,61,202,501,254,20,98,41,3026,150,469,34,124,152,75,5,31,18,1056,75,249,34,77,59,53,7,21,0,581
POA3008,11,107,3,27,19,7,0,0,3,178,17,49,0,3,21,3,0,0,0,96,147,243,12,50,156,72,0,19,12,707,32,99,5,46,52,20,0,7,4,260,12,43,9,14,14,19,0,3,6,128,18,8,20,21,11,10,0,3,0,92,0,0,0,0,0,3,0,0,0,8,7,13,6,3,3,0,0,0,0,31,6,3,3,4,7,3,0,0,3,38,313,820,80,183,319,161,5,42,34,1963,40,93,5,9,17,17,0,4,3,186,79,451,17,6,26,11,4,3,10,611,128,481,66,5,42,22,13,22,5,786,36,56,41,0,3,3,3,10,0,149,6,7,0,3,0,3,0,6,0,25,23,181,3,38,19,9,0,0,3,273,27,72,4,9,24,5,0,3,0,139,359,505,33,80,237,127,6,48,18,1421,76,178,16,68,68,34,0,13,11,454,20,77,18,19,21,27,0,5,8,199
POA3010,0,8,0,0,0,0,0,0,0,9,0,5,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,7,3,13,0,5,0,0,0,4,0,25,0,5,0,5,3,0,0,0,0,20,0,0,0,5,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,4,5,48,0,15,17,6,0,7,3,103,3,20,0,3,4,0,0,0,0,34,0,0,0,0,0,0,0,0,0,3,0,15,0,0,4,0,0,0,0,15,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,9,0,9,0,0,0,0,0,0,0,5,0,11,0,4,0,5,0,0,0,16,14,32,0,6,4,0,0,3,0,58,3,8,0,5,4,0,0,0,0,25
POA3011,22,337,15,76,25,7,3,10,8,505,35,305,0,45,25,9,0,8,0,427,163,224,6,81,247,98,10,56,20,901,92,369,19,172,121,43,3,31,17,859,72,243,27,59,57,42,5,11,4,512,24,7,45,43,15,26,0,17,0,172,0,0,0,3,3,0,0,0,0,3,17,32,5,16,15,13,0,11,3,106,3,8,4,4,3,0,3,12,8,46,515,1732,163,529,570,259,33,189,64,4046,72,166,32,25,28,28,8,19,3,393,61,206,54,32,50,57,40,59,10,577,94,215,180,22,39,47,60,94,8,773,54,133,140,9,23,13,8,15,0,399,13,32,23,5,16,7,13,9,3,110,46,493,30,108,34,13,3,25,5,752,57,423,7,52,27,11,7,14,0,609,356,471,67,150,386,181,51,138,32,1837,168,594,41,262,171,67,25,61,17,1393,106,439,66,94,90,71,23,32,6,928
POA3012,33,411,8,104,36,11,3,13,5,635,41,296,7,66,23,11,0,9,5,457,251,304,29,106,326,107,10,57,17,1205,106,337,19,194,138,41,3,23,6,869,50,174,32,32,56,37,3,11,3,397,31,15,69,61,39,31,9,32,3,283,0,0,0,0,3,0,0,0,0,10,16,28,0,9,20,12,0,7,0,104,3,15,4,19,4,9,0,10,12,77,607,1797,224,627,745,303,35,186,61,4579,54,180,27,17,37,27,11,26,6,380,100,246,51,33,69,43,39,53,9,645,127,279,269,36,72,62,100,128,5,1086,59,71,187,15,25,9,14,24,3,412,16,21,26,9,22,6,8,8,0,120,50,564,19,155,38,20,16,26,10,889,66,436,5,81,34,19,7,15,9,663,501,596,100,180,511,211,70,136,21,2326,173,516,35,277,177,64,27,56,15,1338,89,332,80,62,90,70,20,23,4,778
POA3013,34,302,4,40,25,12,3,3,0,426,35,264,3,34,35,5,0,3,0,378,230,211,14,43,170,68,0,13,5,757,94,305,15,115,113,25,5,15,3,686,60,160,25,28,33,32,4,9,5,340,8,5,35,29,28,14,0,5,0,124,0,0,0,0,0,0,0,0,0,3,18,35,5,6,23,6,0,0,3,106,7,7,0,7,5,3,0,3,3,47,546,1428,117,323,469,185,17,63,24,3174,43,124,12,8,19,13,8,5,6,237,55,140,19,6,17,12,4,9,4,256,111,182,189,15,39,13,38,40,10,637,51,78,133,3,10,11,8,17,3,317,13,13,23,9,9,3,4,10,0,76,56,390,7,62,28,14,3,5,0,568,56,367,13,41,46,11,0,5,0,536,462,425,38,72,249,109,26,36,22,1434,153,463,25,166,142,39,13,27,11,1034,97,287,67,51,49,53,7,16,5,640
POA3015,32,351,14,70,49,8,3,8,3,531,40,305,7,38,28,5,0,3,5,426,261,248,9,44,279,62,4,14,12,939,96,271,12,122,104,17,0,10,7,632,37,128,11,20,36,25,0,3,0,261,9,12,42,27,33,20,3,5,0,158,0,0,0,0,0,0,0,0,0,0,21,27,0,7,14,6,0,0,0,74,11,6,3,6,18,3,0,0,11,58,586,1524,126,347,608,171,17,43,40,3475,67,125,21,12,16,12,5,5,7,268,78,147,20,4,22,9,8,8,0,287,181,261,273,13,46,28,59,55,17,928,72,88,203,5,17,8,12,23,6,445,19,19,28,6,7,5,0,9,0,94,50,447,27,88,50,15,7,10,5,697,74,410,16,57,35,9,0,3,3,608,567,501,36,72,384,139,34,31,15,1779,144,411,15,171,132,24,9,19,11,940,61,234,34,37,52,32,8,17,0,476
