POA_CODE_2016,P_FoodHospPersServ_Occ_Mng,P_FoodHospPersServ_Occ_Pro,P_FoodHospPersServ_Occ_TTW,P_FoodHospPersServ_Occ_CPS,P_FoodHospPersServ_Occ_CA,P_FoodHospPersServ_Occ_Sal,P_FoodHospPersServ_Occ_MOD,P_FoodHospPersServ_Occ_Lab,P_FoodHospPersServ_Occ_IDNS,P_FoodHospPersServ_Total,P_MixFieldProg_Occ_Mng,P_MixFieldProg_Occ_Pro,P_MixFieldProg_Occ_TTW,P_MixFieldProg_Occ_CPS,P_MixFieldProg_Occ_CA,P_MixFieldProg_Occ_Sal,P_MixFieldProg_Occ_MOD,P_MixFieldProg_Occ_Lab,P_MixFieldProg_Occ_IDNS,P_MixFieldProg_Total,P_FS_ID_Occ_Mng,P_FS_ID_Occ_Pro,P_FS_ID_Occ_TTW,P_FS_ID_Occ_CPS,P_FS_ID_Occ_CA,P_FS_ID_Occ_Sal,P_FS_ID_Occ_MOD,P_FS_ID_Occ_Lab,P_FS_ID_Occ_IDNS,P_FS_ID_Total,P_FS_NS_Occ_Mng,P_FS_NS_Occ_Pro,P_FS_NS_Occ_TTW,P_FS_NS_Occ_CPS,P_FS_NS_Occ_CA,P_FS_NS_Occ_Sal,P_FS_NS_Occ_MOD,P_FS_NS_Occ_Lab,P_FS_NS_Occ_IDNS,P_FS_NS_Total,P_Tot_Occ_Mng,P_Tot_Occ_Pro,P_Tot_Occ_TTW,P_Tot_Occ_CPS,P_Tot_Occ_CA,P_Tot_Occ_Sal,P_Tot_Occ_MOD,P_Tot_Occ_Lab,P_Tot_Occ_IDNS,P_Total_Total
POA3000,69,9,411,157,50,53,3,64,8,831,6,5,6,14,3,5,0,11,0,48,29,43,10,26,10,23,3,25,3,175,28,28,28,53,16,4,3,40,26,239,1509,4940,1126,1548,1274,948,125,876,186,12538
POA3002,12,0,17,9,8,4,0,0,0,42,0,0,0,0,0,0,0,0,0,0,16,16,0,0,12,6,0,0,5,57,8,11,4,0,3,3,0,4,3,42,480,1372,94,148,250,107,6,41,32,2540
POA3003,18,7,63,30,11,15,3,12,0,151,0,0,0,3,0,0,0,0,0,3,6,11,10,5,4,3,3,3,5,50,4,6,3,7,4,0,0,6,9,43,352,1124,208,211,288,145,35,106,42,2498
POA3004,32,6,64,25,27,19,0,4,3,172,0,0,0,0,0,6,0,0,0,8,19,22,4,3,5,5,0,3,0,65,18,22,5,3,4,7,0,0,12,77,901,1996,269,279,522,256,31,88,75,4414
POA3005,0,0,3,0,3,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,49,82,11,18,22,12,3,4,3,203
POA3006,56,20,224,108,30,23,6,17,3,481,0,0,0,3,0,0,0,0,0,12,31,36,3,11,18,7,7,9,4,130,11,21,16,12,7,8,3,3,31,107,1510,3797,640,744,999,548,78,288,164,8758
POA3008,33,8,70,31,20,9,3,7,0,183,0,0,0,0,0,4,0,0,0,10,18,22,9,5,7,3,3,0,3,67,19,17,8,14,9,3,0,3,7,77,852,2144,287,282,488,289,42,126,77,4590
POA3010,0,0,0,5,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,7,0,4,0,0,0,0,0,0,0,4,21,111,0,24,19,3,0,12,3,198
POA3011,43,6,145,70,23,37,16,46,3,391,0,0,0,3,3,0,3,0,0,13,29,64,10,18,33,11,13,16,3,202,20,17,23,9,8,13,13,21,23,153,1122,3262,807,853,937,561,276,559,132,8513
POA3012,47,25,215,89,48,52,22,55,7,562,0,0,4,0,3,0,0,4,3,18,29,49,12,21,35,21,7,9,3,186,14,27,25,26,15,18,17,30,42,213,1329,3328,1065,996,1181,623,359,594,141,9623
