POA_CODE_2016,M_Ag_For_Fshg_15_19,M_Ag_For_Fshg_20_24,M_Ag_For_Fshg_25_34,M_Ag_For_Fshg_35_44,M_Ag_For_Fshg_45_54,M_Ag_For_Fshg_55_64,M_Ag_For_Fshg_65_74,M_Ag_For_Fshg_75_84,M_Ag_For_Fshg_85ov,M_Ag_For_Fshg_Tot,M_Mining_15_19,M_Mining_20_24,M_Mining_25_34,M_Mining_35_44,M_Mining_45_54,M_Mining_55_64,M_Mining_65_74,M_Mining_75_84,M_Mining_85ov,M_Mining_Tot,M_Manufact_15_19,M_Manufact_20_24,M_Manufact_25_34,M_Manufact_35_44,M_Manufact_45_54,M_Manufact_55_64,M_Manufact_65_74,M_Manufact_75_84,M_Manufact_85ov,M_Manufact_Tot,M_El_Gas_Wt_Waste_15_19,M_El_Gas_Wt_Waste_20_24,M_El_Gas_Wt_Waste_25_34,M_El_Gas_Wt_Waste_35_44,M_El_Gas_Wt_Waste_45_54,M_El_Gas_Wt_Waste_55_64,M_El_Gas_Wt_Waste_65_74,M_El_Gas_Wt_Waste_75_84,M_El_Gas_Wt_Waste_85ov,M_El_Gas_Wt_Waste_Tot,M_Constru_15_19,M_Constru_20_24,M_Constru_25_34,M_Constru_35_44,M_Constru_45_54,M_Constru_55_64,M_Constru_65_74,M_Constru_75_84,M_Constru_85ov,M_Constru_Tot,M_WhlesaleTde_15_19,M_WhlesaleTde_20_24,M_WhlesaleTde_25_34,M_WhlesaleTde_35_44,M_WhlesaleTde_45_54,M_WhlesaleTde_55_64,M_WhlesaleTde_65_74,M_WhlesaleTde_75_84,M_WhlesaleTde_85ov,M_WhlesaleTde_Tot,M_RetTde_15_19,M_RetTde_20_24,M_RetTde_25_34,M_RetTde_35_44,M_RetTde_45_54,M_RetTde_55_64,M_RetTde_65_74,M_RetTde_75_84,M_RetTde_85ov,M_RetTde_Tot,M_Accom_food_15_19,M_Accom_food_20_24,M_Accom_food_25_34,M_Accom_food_35_44,M_Accom_food_45_54,M_Accom_food_55_64,M_Accom_food_65_74,M_Accom_food_75_84,M_Accom_food_85ov,M_Accom_food_Tot,M_Trans_post_wrehsg_15_19,M_Trans_post_wrehsg_20_24,M_Trans_post_wrehsg_25_34,M_Trans_post_wrehsg_35_44,M_Trans_post_wrehsg_45_54,M_Trans_post_wrehsg_55_64,M_Trans_post_wrehsg_65_74,M_Trans_post_wrehsg_75_84,M_Trans_post_wrehsg_85ov,M_Trans_post_wrehsg_Tot,M_Info_media_teleco_15_19,M_Info_media_teleco_20_24,M_Info_media_teleco_25_34,M_Info_media_teleco_35_44,M_Info_media_teleco_45_54,M_Info_media_teleco_55_64,M_Info_media_teleco_65_74,M_Info_media_teleco_75_84,M_Info_media_teleco_85ov,M_Info_media_teleco_Tot,M_Fin_Insur_15_19,M_Fin_Insur_20_24,M_Fin_Insur_25_34,M_Fin_Insur_35_44,M_Fin_Insur_45_54,M_Fin_Insur_55_64,M_Fin_Insur_65_74,M_Fin_Insur_75_84,M_Fin_Insur_85ov,M_Fin_Insur_Tot,M_RtnHir_REst_15_19,M_RtnHir_REst_20_24,M_RtnHir_REst_25_34,M_RtnHir_REst_35_44,M_RtnHir_REst_45_54,M_RtnHir_REst_55_64,M_RtnHir_REst_65_74,M_RtnHir_REst_75_84,M_RtnHir_REst_85ov,M_RtnHir_REst_Tot,M_Pro_scien_tec_15_19,M_Pro_scien_tec_20_24,M_Pro_scien_tec_25_34,M_Pro_scien_tec_35_44,M_Pro_scien_tec_45_54,M_Pro_scien_tec_55_64,M_Pro_scien_tec_65_74,M_Pro_scien_tec_75_84,M_Pro_scien_tec_85ov,M_Pro_scien_tec_Tot,M_Admin_supp_15_19,M_Admin_supp_20_24,M_Admin_supp_25_34,M_Admin_supp_35_44,M_Admin_supp_45_54,M_Admin_supp_55_64,M_Admin_supp_65_74,M_Admin_supp_75_84,M_Admin_supp_85ov,M_Admin_supp_Tot,M_Public_admin_sfty_15_19,M_Public_admin_sfty_20_24,M_Public_admin_sfty_25_34,M_Public_admin_sfty_35_44,M_Public_admin_sfty_45_54,M_Public_admin_sfty_55_64,M_Public_admin_sfty_65_74,M_Public_admin_sfty_75_84,M_Public_admin_sfty_85ov,M_Public_admin_sfty_Tot,M_Educ_trng_15_19,M_Educ_trng_20_24,M_Educ_trng_25_34,M_Educ_trng_35_44,M_Educ_trng_45_54,M_Educ_trng_55_64,M_Educ_trng_65_74,M_Educ_trng_75_84,M_Educ_trng_85ov,M_Educ_trng_Tot,M_HlthCare_SocAs_15_19,M_HlthCare_SocAs_20_24,M_HlthCare_SocAs_25_34,M_HlthCare_SocAs_35_44,M_HlthCare_SocAs_45_54,M_HlthCare_SocAs_55_64,M_HlthCare_SocAs_65_74,M_HlthCare_SocAs_75_84,M_HlthCare_SocAs_85ov,M_HlthCare_SocAs_Tot,M_Art_recn_15_19,M_Art_recn_20_24,M_Art_recn_25_34,M_Art_recn_35_44,M_Art_recn_45_54,M_Art_recn_55_64,M_Art_recn_65_74,M_Art_recn_75_84,M_Art_recn_85ov,M_Art_recn_Tot,M_Oth_scs_15_19,M_Oth_scs_20_24,M_Oth_scs_25_34,M_Oth_scs_35_44,M_Oth_scs_45_54,M_Oth_scs_55_64,M_Oth_scs_65_74,M_Oth_scs_75_84,M_Oth_scs_85ov,M_Oth_scs_Tot,M_ID_NS_15_19,M_ID_NS_20_24,M_ID_NS_25_34,M_ID_NS_35_44,M_ID_NS_45_54,M_ID_NS_55_64,M_ID_NS_65_74,M_ID_NS_75_84,M_ID_NS_85ov,M_ID_NS_Tot
POA3000,0,3,5,0,0,0,0,0,0,16,0,0,7,8,3,0,0,0,0,18,6,29,105,36,25,20,6,5,0,222,0,3,43,19,0,8,0,0,0,73,3,34,117,34,25,13,6,0,0,235,4,14,100,28,14,11,0,0,0,171,27,136,244,78,35,14,9,0,3,545,74,555,1018,184,68,32,8,0,3,1938,3,23,128,39,24,21,4,0,0,249,3,25,180,62,24,15,3,0,0,311,0,48,333,127,44,14,5,0,0,577,0,22,98,22,9,9,4,0,0,167,5,134,1101,354,98,65,24,6,3,1781,3,66,197,59,14,4,3,0,0,347,0,13,94,51,40,26,7,0,0,229,5,62,188,95,43,39,7,0,0,450,3,20,143,62,42,34,6,0,0,311,0,41,96,39,13,13,3,0,0,204,5,27,71,33,17,8,6,0,0,173,17,102,193,67,50,12,3,0,0,447
POA3002,0,0,3,0,0,0,4,3,0,13,0,0,0,3,0,0,3,0,0,6,0,3,22,9,6,5,5,0,0,52,0,0,12,4,0,0,0,0,0,24,0,3,18,8,6,20,4,0,0,58,0,7,12,6,6,8,3,0,0,39,3,10,17,16,6,9,6,0,0,78,3,10,45,8,10,11,4,0,0,91,0,3,16,19,11,8,0,0,0,46,0,3,21,16,6,3,0,0,0,57,0,9,46,36,27,20,11,0,0,139,0,0,7,4,4,6,7,4,0,34,0,20,134,51,47,44,36,8,3,344,0,5,15,8,8,3,5,0,0,47,0,0,28,12,9,14,4,0,0,76,0,3,30,20,13,21,15,0,0,107,0,5,41,44,28,24,19,3,0,168,0,11,18,14,3,0,4,0,0,52,0,0,9,3,5,3,3,0,0,24,0,0,23,12,10,9,3,3,0,68
POA3003,0,0,4,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,3,0,10,23,12,8,4,0,0,0,61,0,0,8,5,0,0,0,0,0,15,0,8,28,13,9,0,3,0,0,62,0,0,14,9,8,7,0,0,0,41,5,14,43,11,6,7,0,0,0,91,4,62,156,29,7,3,0,0,0,266,0,6,24,16,8,3,7,0,0,65,0,4,30,18,15,4,0,0,0,70,0,6,64,32,8,4,3,0,0,112,0,7,14,4,0,0,0,0,0,30,3,26,186,74,33,16,10,0,0,337,0,8,33,10,9,5,0,0,0,60,0,3,38,12,16,6,4,0,0,76,0,14,38,25,18,6,3,0,0,111,0,3,39,16,7,12,0,0,0,80,0,11,21,3,3,0,0,0,0,43,4,7,20,7,5,3,0,0,0,44,3,7,26,9,9,3,0,0,0,58
POA3004,0,0,0,6,0,3,0,0,0,12,0,0,12,5,3,3,0,0,0,21,0,6,46,25,21,13,4,3,0,125,0,7,7,5,0,7,0,0,0,25,0,10,81,31,12,20,6,0,0,162,0,3,28,30,14,19,7,4,0,108,0,15,49,28,18,19,14,4,0,143,11,52,100,34,12,9,3,0,0,213,0,3,25,22,22,11,10,0,0,97,0,10,35,32,19,10,4,0,0,111,0,12,114,57,29,20,25,0,0,252,0,9,41,21,10,15,6,0,0,99,0,22,247,146,56,72,48,3,0,592,0,6,28,26,13,3,5,0,0,82,0,6,44,27,20,10,8,3,0,119,3,6,42,31,16,23,14,3,0,140,0,12,69,47,22,22,19,3,0,208,0,7,21,18,12,9,7,0,0,79,0,3,21,11,3,3,0,0,0,38,0,12,46,28,24,29,19,6,0,164
POA3005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,10,0,0,0,0,3,0,0,0,0,6,0,0,4,3,0,0,0,0,0,10,0,0,12,3,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,4,5,3,0,0,0,0,14,0,0,0,0,0,0,0,0,0,3,0,0,11,5,7,0,0,0,0,26,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,3,5,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,6
POA3006,0,0,7,3,6,5,3,0,0,22,0,0,17,8,9,4,0,0,0,41,0,17,119,50,43,33,4,0,0,266,0,3,42,11,13,6,0,0,0,75,6,24,137,52,29,20,10,3,3,285,3,7,56,38,23,24,9,0,0,150,16,68,160,55,41,16,5,0,0,354,22,174,335,70,26,11,0,0,0,633,4,21,90,40,27,12,5,0,0,203,0,16,120,61,19,10,0,0,0,232,3,31,325,141,52,21,9,3,0,586,3,14,80,24,16,12,5,0,0,158,5,76,651,243,86,60,31,3,0,1158,3,38,99,52,9,12,5,0,0,214,0,12,67,65,40,17,0,0,0,200,7,22,115,60,26,30,14,0,0,273,3,13,106,61,24,35,16,0,0,257,4,45,167,55,28,5,8,0,0,306,3,16,62,23,11,9,0,0,0,120,5,25,118,50,33,18,11,0,0,255
POA3008,0,0,0,3,0,0,0,0,0,10,0,0,3,3,3,4,0,0,0,11,0,3,40,36,25,19,3,0,0,127,0,3,22,8,10,4,0,0,0,38,3,9,52,29,22,21,7,0,0,148,0,7,58,22,13,15,8,0,0,123,8,37,71,37,25,19,6,0,0,201,11,60,126,46,15,5,4,0,0,280,0,5,35,22,26,13,5,0,0,121,0,0,89,32,9,8,4,0,0,147,0,4,174,89,39,22,5,0,0,330,0,3,33,7,10,14,6,0,0,77,0,28,558,169,65,38,17,4,0,870,0,15,34,23,13,5,0,0,0,84,0,0,46,19,40,17,5,0,0,124,0,5,46,22,12,17,3,3,0,118,0,3,37,20,19,17,5,0,0,105,3,6,26,7,14,3,0,0,0,71,0,8,20,15,13,0,4,0,0,61,0,18,48,23,26,19,7,0,0,150
POA3010,3,3,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,9,7,0,0,0,0,0,0,0,16,38,38,3,0,0,3,0,0,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,12,5,0,0,0,0,0,0,20,3,3,0,0,0,0,0,0,0,6,0,3,0,0,0,0,0,0,0,3,33,52,15,3,4,4,3,0,0,121,3,3,0,0,0,0,0,0,0,9,3,11,0,0,0,0,0,0,0,14,0,3,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,8
POA3011,0,3,11,13,7,0,0,0,0,26,0,0,3,4,3,0,0,0,0,13,8,22,119,98,69,47,11,0,0,367,0,6,42,31,12,4,0,0,0,94,7,36,148,91,70,30,6,0,0,391,0,15,76,46,18,17,0,3,0,175,19,123,223,78,47,26,9,0,0,528,40,170,265,98,52,20,0,0,0,648,3,21,134,83,82,62,13,3,0,403,0,11,77,76,41,17,0,0,0,223,0,15,118,115,35,9,3,0,0,297,0,7,19,24,18,9,3,0,0,79,0,26,273,218,86,43,0,0,0,660,0,40,139,57,20,14,8,0,0,285,3,12,125,108,55,30,9,0,0,344,6,51,160,108,60,62,7,0,0,448,3,24,154,86,62,32,10,0,0,370,6,28,78,35,29,15,7,0,0,190,3,10,58,38,26,24,3,0,0,160,3,42,111,60,43,35,8,0,0,301
POA3012,0,0,16,4,3,3,0,0,0,26,0,0,6,4,3,4,0,0,0,23,6,32,161,163,134,98,7,0,0,596,0,3,32,19,17,11,0,0,0,85,9,58,230,160,86,61,5,0,0,611,0,13,65,68,39,29,0,0,0,218,37,124,233,111,56,36,9,0,0,607,60,145,247,122,53,18,8,0,0,654,3,53,179,150,122,91,18,0,0,619,3,13,76,75,27,10,4,0,0,207,3,10,164,126,36,10,3,0,0,356,0,6,35,33,15,9,3,0,0,104,3,35,253,233,96,24,8,3,0,657,3,31,116,66,49,21,3,0,0,292,0,9,122,124,84,38,7,0,0,393,0,34,127,122,93,50,5,0,0,425,5,20,130,98,55,39,9,0,0,348,12,26,77,43,30,13,0,0,0,198,3,26,72,55,38,19,0,0,0,212,11,38,164,101,82,38,12,0,0,436
