POA_CODE_2016,I_4000more_1AW_OthNW,I_4000more_BNW,I_4000more_LFsta_NS,I_4000more_Tot,Part_inc_stated_BE_WFT,Part_inc_stated_BE_WPT,Part_inc_stated_BE_BAW,Part_inc_stated_1EFT_OthPT,Part_inc_stated_1EFT_OthAW,Part_inc_stated_1EFT_OthNW,Part_inc_stated_1EPT_OthAW,Part_inc_stated_1EPT_OthNW,Part_inc_stated_1AW_OthNW,Part_inc_stated_BNW,Part_inc_stated_LFsta_NS,Part_inc_stated_Tot,All_inc_NS_BE_WFT,All_inc_NS_BE_WPT,All_inc_NS_BE_BAW,All_inc_NS_1EFT_OthPT,All_inc_NS_1EFT_OthAW,All_inc_NS_1EFT_OthNW,All_inc_NS_1EPT_OthAW,All_inc_NS_1EPT_OthNW,All_inc_NS_1AW_OthNW,All_inc_NS_BNW,All_inc_NS_LFsta_NS,All_inc_NS_Tot,Tot_BE_WFT,Tot_BE_WPT,Tot_BE_BAW,Tot_1EFT_OthPT,Tot_1EFT_OthAW,Tot_1EFT_OthNW,Tot_1EPT_OthAW,Tot_1EPT_OthNW,Tot_1AW_OthNW,Tot_BNW,Tot_LFsta_NS,Tot_Tot
POA3000,0,0,0,98,6,3,0,4,0,8,0,7,4,6,60,97,0,0,0,0,0,0,0,0,0,0,3,4,141,22,8,112,30,330,3,50,15,85,66,860
POA3002,0,4,0,102,0,0,0,3,0,5,0,0,0,3,16,29,0,0,0,0,0,0,0,0,0,0,0,0,57,15,7,65,19,56,0,9,7,16,16,262
POA3003,0,0,0,66,7,0,0,3,0,0,0,0,0,3,15,31,0,0,0,0,0,0,0,0,0,0,0,0,69,14,3,58,13,57,3,17,4,11,15,263
POA3004,0,3,0,110,3,5,0,5,0,8,0,0,0,0,37,57,0,0,0,0,0,0,0,0,0,0,0,3,94,10,3,76,23,116,8,20,6,33,38,428
POA3005,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,10,3,3,0,0,0,3,0,29
POA3006,0,5,0,150,7,0,0,3,0,5,0,0,0,3,53,75,0,0,0,0,0,0,0,0,0,3,0,6,127,20,9,110,34,204,11,26,13,90,55,701
POA3008,0,3,0,114,8,0,0,3,0,0,0,0,3,3,46,62,0,0,0,0,0,0,0,0,0,0,0,3,137,11,11,84,16,214,5,24,9,57,45,619
POA3010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
POA3011,0,3,0,244,16,0,3,16,4,6,0,4,3,22,77,154,0,0,3,3,0,0,0,3,0,0,3,18,312,97,20,474,83,343,29,119,29,215,85,1799
POA3012,4,5,0,337,23,0,0,26,6,24,0,9,3,18,121,225,3,0,0,0,4,0,0,0,0,3,10,25,506,130,23,773,136,562,26,192,36,272,144,2796
POA3013,3,3,0,443,17,0,0,21,0,14,0,8,4,10,79,158,0,0,0,3,0,0,0,0,0,0,0,8,421,61,11,645,109,315,19,72,16,121,82,1867
POA3015,3,3,0,527,37,5,4,39,0,16,3,14,0,14,119,251,3,0,0,3,4,0,0,0,4,3,6,30,509,83,26,862,105,399,25,82,32,122,125,2372
POA3016,3,3,0,729,51,6,3,53,3,22,0,4,3,17,112,278,4,0,0,3,0,0,0,0,0,0,0,15,524,72,16,745,71,374,21,73,20,111,119,2139
POA3018,0,4,0,222,14,3,0,19,3,8,0,5,0,18,61,139,8,0,0,4,0,3,0,0,0,3,0,27,308,59,7,448,53,281,17,62,14,127,69,1453
POA3019,0,3,0,22,7,0,0,3,0,10,0,7,4,16,43,79,0,0,0,0,0,0,0,0,0,5,4,12,143,32,5,139,16,249,7,116,13,193,45,960
POA3020,3,16,0,167,52,11,11,32,10,68,4,30,14,108,193,532,5,3,3,4,0,3,0,4,3,21,39,80,705,212,47,886,110,1130,32,478,82,1087,256,5025
