POA_CODE_2016,P15_19_Managers,P15_19_Professionals,P15_19_TechnicTrades_Wrs,P15_19_CommunPersnlSvc_W,P15_19_ClericalAdminis_W,P15_19_Sales_W,P15_19_Mach_oper_drivers,P15_19_Labourers,P15_19_Occu_ID_NS,P15_19_Tot,P20_24_Managers,P20_24_Professionals,P20_24_TechnicTrades_W,P20_24_CommunPersnlSvc_W,P20_24_ClericalAdminis_W,P20_24_Sales_W,P20_24_Mach_oper_drivers,P20_24_Labourers,P20_24_Occu_ID_NS,P20_24_Tot,P25_34_Managers,P25_34_Professionals,P25_34_TechnicTrades_W,P25_34_CommunPersnlSvc_W,P25_34_ClericalAdminis_W,P25_34_Sales_W,P25_34_Mach_oper_drivers,P25_34_Labourers,P25_34_Occu_ID_NS,P25_34_Tot,P35_44_Managers,P35_44_Professionals,P35_44_TechnicTrades_W,P35_44_CommunPersnlSvc_W,P35_44_ClericalAdminis_W,P35_44_Sales_W,P35_44_Mach_oper_drivers,P35_44_Labourers,P35_44_Occu_ID_NS,P35_44_Tot,P45_54_Managers,P45_54_Professionals,P45_54_TechnicTrades_W,P45_54_CommunPersnlSvc_W,P45_54_ClericalAdminis_W,P45_54_Sales_W,P45_54_Mach_oper_drivers,P45_54_Labourers,P45_54_Occu_ID_NS,P45_54_Tot,P55_64_Managers,P55_64_Professionals,P55_64_TechnicTrades_W,P55_64_CommunPersnlSvc_W,P55_64_ClericalAdminis_W,P55_64_Sales_W,P55_64_Mach_oper_drivers,P55_64_Labourers,P55_64_Occu_ID_NS,P55_64_Tot,P65_74_Managers,P65_74_Professionals,P65_74_TechnicTrades_W,P65_74_CommunPersnlSvc_W,P65_74_ClericalAdminis_W,P65_74_Sales_W,P65_74_Mach_oper_drivers,P65_74_Labourers,P65_74_Occu_ID_NS,P65_74_Tot,P75_84_Managers,P75_84_Professionals,P75_84_TechnicTrades_W,P75_84_CommunPersnlSvc_W,P75_84_ClericalAdminis_W,P75_84_Sales_W,P75_84_Mach_oper_drivers,P75_84_Labourers,P75_84_Occu_ID_NS,P75_84_Tot,P85_ov_Managers,P85_ov_Professionals,P85_ov_TechnicTrades_W,P85_ov_CommunPersnlSvc_W,P85_ov_ClericalAdminis_W,P85_ov_Sales_W,P85_ov_Mach_oper_drivers,P85_ov_Labourers,P85_ov_Occu_ID_NS,P85_ov_Tot,P_Tot_Managers,P_Tot_Professionals,P_Tot_TechnicTrades_W,P_Tot_CommunPersnlSvc_W,P_Tot_ClericalAdminis_W,P_Tot_Sales_W,P_Tot_Mach_oper_drivers,P_Tot_Labourers,P_Tot_Occu_ID_NS,P_Tot_Tot
POA3000,7,28,23,111,29,123,4,56,12,389,106,500,287,808,274,455,41,390,52,2917,780,3184,908,1170,799,623,94,773,119,8438,449,949,222,184,267,116,25,112,44,2367,299,346,71,74,132,61,14,47,31,1082,159,247,37,26,70,47,13,18,16,627,47,81,5,3,19,11,4,9,6,188,9,14,0,0,0,0,0,0,0,24,4,3,0,0,0,3,0,0,0,11,1852,5342,1563,2373,1586,1435,198,1406,284,16052
POA3002,0,3,0,7,3,8,3,0,0,28,17,73,8,48,35,35,3,9,0,229,135,621,59,86,117,51,3,17,17,1115,124,287,22,33,66,22,6,7,3,564,114,195,9,30,45,15,3,12,5,431,129,173,8,10,59,17,0,4,6,417,59,102,3,3,20,12,4,3,9,205,10,11,0,0,3,0,0,0,0,29,0,3,0,0,3,0,0,0,0,8,596,1461,113,217,353,161,21,61,46,3025
POA3003,0,3,4,11,0,22,0,10,5,46,23,98,45,79,40,50,7,32,12,392,153,625,141,155,174,99,21,77,23,1483,126,237,42,31,72,29,9,10,15,571,78,137,23,12,45,16,5,14,5,331,30,56,15,14,25,5,6,3,3,151,4,29,4,0,14,0,0,3,0,54,0,6,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,417,1197,269,307,367,221,53,162,59,3038
POA3004,3,3,3,20,3,12,0,11,0,52,20,114,37,95,63,58,7,22,7,425,356,964,156,160,270,132,13,57,35,2141,251,482,63,57,121,66,8,26,20,1096,207,222,30,40,95,39,8,9,24,679,160,228,23,20,80,46,6,15,12,587,85,120,5,9,46,17,3,10,8,301,17,15,3,0,7,0,0,4,0,47,3,3,3,0,0,0,0,0,0,14,1100,2149,321,398,690,371,50,155,102,5334
POA3005,0,0,0,0,0,3,0,0,0,3,0,3,0,5,0,5,0,0,0,20,21,39,4,6,11,9,0,4,3,96,12,29,8,4,10,4,0,0,0,65,9,14,0,0,5,3,0,0,0,35,8,3,0,3,0,0,0,0,0,19,6,0,0,0,0,0,0,0,0,7,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,64,91,7,27,31,22,0,7,4,258
POA3006,8,20,14,49,14,44,7,21,0,176,78,285,121,303,158,195,16,101,26,1286,774,2299,455,515,657,371,57,225,110,5454,452,836,133,135,205,115,18,36,35,1979,319,315,47,64,138,57,13,15,21,989,199,254,21,29,89,40,7,18,8,661,66,95,8,3,19,17,3,6,4,224,11,12,0,0,0,3,0,0,0,21,0,5,0,0,0,0,0,0,0,3,1903,4113,800,1102,1292,841,116,424,212,10800
POA3008,0,3,7,20,6,19,0,10,3,71,30,106,47,103,68,97,0,48,16,524,321,1352,184,174,267,168,22,96,51,2650,280,436,62,50,120,61,16,25,13,1060,230,191,33,32,103,56,16,14,14,699,160,138,19,21,72,32,10,9,16,468,42,61,3,11,19,12,0,0,3,150,9,7,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,3,1077,2300,360,412,652,444,73,203,112,5641
POA3010,8,35,12,90,22,39,3,74,0,275,9,77,0,92,33,35,0,64,0,314,3,50,0,3,4,0,0,3,0,63,0,7,0,0,0,0,0,0,0,12,5,3,0,0,0,0,0,0,0,14,9,5,0,0,0,0,0,0,0,18,0,3,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,181,12,181,64,78,4,140,0,698
POA3011,8,9,14,64,8,89,8,48,8,251,52,174,108,254,125,256,45,159,21,1201,425,1545,434,487,540,366,153,391,93,4438,509,990,253,204,330,110,82,147,44,2683,244,469,162,132,176,99,88,129,27,1538,102,250,85,57,115,48,95,94,12,864,10,39,3,15,19,15,20,24,5,149,0,4,0,0,0,0,4,0,0,16,0,0,0,0,0,0,0,0,0,3,1350,3481,1066,1213,1326,991,491,995,214,11141
POA3012,3,6,17,55,16,117,5,65,8,298,75,156,127,238,151,248,63,192,28,1275,538,1397,541,507,613,350,211,392,95,4636,595,1194,341,261,446,190,175,208,58,3474,341,555,212,205,312,126,177,199,33,2163,105,222,119,121,178,75,124,179,16,1137,14,29,15,19,26,20,17,26,3,172,3,3,3,0,0,0,0,9,3,16,0,0,0,0,0,0,0,0,0,9,1670,3571,1384,1410,1741,1124,779,1263,248,13180
