SA1_7DIGITCODE_2016,P_Y8b_15_19_yrs,P_Y8b_20_24_yrs,P_Y8b_25_34_yrs,P_Y8b_35_44_yrs,P_Y8b_45_54_yrs,P_Y8b_55_64_yrs,P_Y8b_65_74_yrs,P_Y8b_75_84_yrs,P_Y8b_85ov,P_Y8b_Tot,P_DNGTS_15_19,P_DNGTS_20_24,P_DNGTS_25_34,P_DNGTS_35_44,P_DNGTS_45_54,P_DNGTS_55_64,P_DNGTS_65_74,P_DNGTS_75_84,P_DNGTS_85_ov,P_DNGTS_Tot,P_Hghst_yr_schl_ns_15_19_yrs,P_Hghst_yr_schl_ns_20_24_yrs,P_Hghst_yr_schl_ns_25_34_yrs,P_Hghst_yr_schl_ns_35_44_yrs,P_Hghst_yr_schl_ns_45_54_yrs,P_Hghst_yr_schl_ns_55_64_yrs,P_Hghst_yr_schl_ns_65_74_yrs,P_Hghst_yr_schl_ns_75_84_yrs,P_Hghst_yr_schl_ns_85_yrs_ovr,P_Hghst_yr_schl_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
2100101,0,0,0,0,0,0,0,3,6,11,0,0,0,3,0,0,0,0,0,3,0,3,3,0,4,3,7,3,0,17,9,30,46,37,53,53,50,20,14,327
2100102,0,0,4,0,0,13,13,3,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,3,3,16,6,6,21,15,19,52,49,17,6,193
2100105,0,0,0,0,0,3,4,0,3,15,0,0,0,0,0,0,0,0,0,3,0,3,4,4,8,4,5,3,3,28,17,25,50,30,37,44,22,16,8,255
2100106,0,0,4,0,0,3,3,10,0,26,0,0,0,0,0,0,0,0,0,0,3,0,8,3,5,3,4,3,0,29,22,30,67,61,71,68,67,26,6,424
2100107,0,0,0,3,5,3,8,6,4,32,0,0,0,0,0,0,0,0,0,0,0,10,8,3,3,7,0,3,3,33,11,30,49,45,48,44,33,34,20,306
2100108,0,0,0,3,3,6,3,8,6,31,0,0,0,0,0,0,0,0,0,0,0,8,0,3,3,4,9,3,0,25,23,53,85,100,85,65,25,31,16,488
2100109,0,0,0,0,0,3,3,8,5,18,0,0,0,0,5,0,0,0,0,7,0,3,3,5,11,3,6,10,0,39,14,29,79,83,77,48,51,33,15,430
2100110,0,0,0,0,0,3,3,3,0,8,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,8,0,0,14,16,28,17,56,97,68,48,11,0,357
2100111,0,0,0,0,3,0,4,5,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,0,0,0,0,13,14,27,20,40,90,29,26,15,0,264
2100112,0,0,0,3,0,0,5,8,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0,0,0,11,19,22,31,49,72,97,37,25,3,351
2100113,0,0,0,0,0,3,7,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,7,0,0,14,8,18,22,59,59,40,39,13,0,257
2100114,0,0,0,0,0,0,4,8,3,15,0,0,3,0,0,0,0,0,0,9,0,3,0,0,7,0,0,6,3,23,19,45,66,53,69,64,60,36,13,430
2100115,0,0,0,0,0,0,7,3,0,12,0,0,0,0,0,0,0,0,0,0,0,3,3,0,7,0,0,5,0,16,12,20,73,86,72,70,36,16,10,381
2100117,0,0,0,0,0,0,0,3,3,9,0,0,0,0,0,0,0,0,0,0,0,3,3,5,5,4,6,3,0,29,20,40,89,114,139,118,66,30,4,629
2100118,0,0,0,0,0,3,3,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,7,3,14,17,63,54,20,18,6,0,210
2100119,0,0,0,0,0,0,4,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,0,4,0,13,19,34,26,85,91,63,27,11,0,351
2100120,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,8,6,6,5,0,0,0,26,12,47,136,87,51,29,18,10,0,396
2100121,0,0,0,0,0,0,0,3,0,12,0,0,0,0,0,0,0,0,0,0,6,0,4,3,4,4,4,0,0,24,14,24,71,132,99,53,42,11,0,452
2100122,0,0,0,0,0,6,14,11,0,32,0,0,0,0,0,0,0,0,0,0,3,4,6,12,6,5,8,3,0,49,28,91,295,206,131,81,78,20,3,937
2100123,0,3,3,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,7,0,17,6,10,12,3,0,0,53,33,70,196,108,91,72,36,5,0,618
2100124,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,5,5,5,3,0,0,20,14,21,18,89,87,40,31,12,4,312
2100201,0,0,0,0,0,5,3,5,0,15,0,0,0,0,0,0,0,0,0,0,0,0,3,7,3,7,0,5,0,24,14,29,43,69,100,74,52,42,3,415
2100202,0,0,0,0,0,0,0,7,0,7,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,9,4,3,23,13,17,14,28,45,41,59,34,10,260
2100203,0,0,0,0,0,0,0,3,0,8,0,0,0,0,0,0,0,0,0,0,7,3,4,4,3,3,3,0,0,22,10,20,32,46,76,64,52,27,10,340
