SA1_7DIGITCODE_2016,P_FoodHospPersServ_Occ_Mng,P_FoodHospPersServ_Occ_Pro,P_FoodHospPersServ_Occ_TTW,P_FoodHospPersServ_Occ_CPS,P_FoodHospPersServ_Occ_CA,P_FoodHospPersServ_Occ_Sal,P_FoodHospPersServ_Occ_MOD,P_FoodHospPersServ_Occ_Lab,P_FoodHospPersServ_Occ_IDNS,P_FoodHospPersServ_Total,P_MixFieldProg_Occ_Mng,P_MixFieldProg_Occ_Pro,P_MixFieldProg_Occ_TTW,P_MixFieldProg_Occ_CPS,P_MixFieldProg_Occ_CA,P_MixFieldProg_Occ_Sal,P_MixFieldProg_Occ_MOD,P_MixFieldProg_Occ_Lab,P_MixFieldProg_Occ_IDNS,P_MixFieldProg_Total,P_FS_ID_Occ_Mng,P_FS_ID_Occ_Pro,P_FS_ID_Occ_TTW,P_FS_ID_Occ_CPS,P_FS_ID_Occ_CA,P_FS_ID_Occ_Sal,P_FS_ID_Occ_MOD,P_FS_ID_Occ_Lab,P_FS_ID_Occ_IDNS,P_FS_ID_Total,P_FS_NS_Occ_Mng,P_FS_NS_Occ_Pro,P_FS_NS_Occ_TTW,P_FS_NS_Occ_CPS,P_FS_NS_Occ_CA,P_FS_NS_Occ_Sal,P_FS_NS_Occ_MOD,P_FS_NS_Occ_Lab,P_FS_NS_Occ_IDNS,P_FS_NS_Total,P_Tot_Occ_Mng,P_Tot_Occ_Pro,P_Tot_Occ_TTW,P_Tot_Occ_CPS,P_Tot_Occ_CA,P_Tot_Occ_Sal,P_Tot_Occ_MOD,P_Tot_Occ_Lab,P_Tot_Occ_IDNS,P_Total_Total
2100101,0,0,0,3,0,0,0,3,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,5,16,38,17,14,12,14,0,12,0,129
2100102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,19,8,7,6,6,3,0,0,45
2100105,0,0,0,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,31,16,21,7,4,0,6,0,88
2100106,0,0,4,0,3,3,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,6,21,60,30,17,27,8,3,3,6,180
2100107,0,0,0,4,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,30,19,21,8,5,3,4,0,96
2100108,0,0,0,3,0,3,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,3,0,0,0,5,16,65,37,26,24,11,12,6,0,208
2100109,0,0,4,0,0,0,3,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,22,46,23,21,17,8,6,3,3,150
2100110,0,0,0,4,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,56,24,19,20,7,0,4,0,167
2100111,0,0,0,4,0,0,0,3,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,42,10,21,16,7,3,5,4,114
2100112,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,10,52,26,16,16,9,3,10,0,140
2100113,3,0,3,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,27,40,19,11,16,5,8,3,0,123
2100114,0,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,28,47,22,27,14,12,8,11,0,166
2100115,5,0,0,3,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,22,36,28,25,27,8,10,14,0,174
2100117,4,0,0,4,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,9,55,141,28,29,34,9,0,10,0,308
2100118,0,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,38,10,15,8,5,0,4,0,98
2100119,0,0,3,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6,36,44,35,18,24,9,7,7,4,175
2100120,0,0,10,0,0,3,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,66,31,28,20,17,4,7,0,197
2100121,0,0,0,3,3,3,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,5,0,0,0,0,0,0,0,0,0,4,35,83,33,22,33,14,9,10,3,231
2100122,6,0,4,8,5,4,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,9,74,160,85,54,62,28,17,29,3,503
2100123,0,3,9,3,4,0,0,3,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,6,4,33,100,45,52,41,17,5,6,5,306
2100124,0,0,4,0,0,3,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,33,50,29,17,22,7,5,3,3,172
2100201,0,0,0,4,5,3,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,7,36,72,19,20,23,15,5,0,3,192
2100202,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,48,12,5,15,4,0,0,0,91
2100203,0,0,0,0,4,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,19,60,13,20,18,12,5,6,0,150
2100204,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,4,21,43,12,11,6,7,3,3,0,106
2100205,0,0,6,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,13,74,30,8,18,5,5,9,3,174
2100206,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,51,6,3,8,5,0,0,3,100
2100207,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,71,17,8,8,10,3,3,0,135
2100208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,44,93,15,8,10,11,0,0,3,182
2100209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2100210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2100211,0,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,4,23,82,17,23,21,16,4,10,3,197
2100212,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,28,7,9,13,3,0,0,0,76
2100213,0,0,8,0,0,3,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,18,65,19,14,5,7,0,0,0,129
2100214,0,0,4,3,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,14,60,17,16,17,10,5,10,4,148
2100215,0,0,0,0,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,3,31,74,26,20,17,10,5,3,6,180
2100216,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,10,41,9,20,15,8,8,7,0,122
2100217,0,0,3,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,48,8,15,5,7,3,3,3,110
2100218,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,57,9,12,17,6,0,4,4,130
2100219,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,13,6,10,3,3,0,3,0,46
2100220,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,14,48,12,8,3,8,0,0,3,98
2100221,0,0,3,0,0,0,3,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,24,16,3,5,3,3,3,0,66
2100222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,41,91,9,6,22,4,0,0,3,182
2100223,0,0,4,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,24,76,20,15,19,10,3,3,3,174
2100224,0,0,5,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,23,76,13,14,13,10,7,3,0,161
2100225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,41,5,5,9,0,4,0,0,89
2100226,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,12,36,8,8,4,3,0,0,0,72
