SA2_MAINCODE_2016,P_85y_ov_DNUDW,P_85y_ov_UDW_NS,P_85y_ov_Total,P_Tot_DUDW_LT_5_h,P_Tot_DUDW_5_14_h,P_Tot_DUDW_15_29_h,P_Tot_DUDW_30_h_mo,P_Tot_DNUDW,P_Tot_UDW_NS,P_Tot_Total
201011001,40,24,121,2130,2577,1202,933,1569,525,8939
201011002,205,50,389,2416,2830,1268,836,1903,828,10075
201011003,309,92,601,4119,5261,2426,1824,3689,1508,18826
201011004,260,114,574,4246,5209,2111,1871,4504,1934,19864
201011005,31,20,79,1322,1563,809,565,931,476,5666
201011006,83,17,146,1261,1504,673,567,1250,394,5647
201011007,7,0,26,634,838,465,386,497,239,3058
201011008,214,83,466,2219,2841,1351,1261,2937,1173,11776
201021009,38,20,86,885,1313,676,582,853,469,4767
201021010,111,53,237,1125,1574,908,797,1262,811,6485
201021011,114,68,261,1377,2162,1104,868,1226,877,7614
201021012,21,14,63,867,1244,635,584,706,520,4555
201031013,22,20,74,424,646,408,424,569,331,2801
201031014,42,35,117,594,793,417,437,684,760,3685
201031015,26,13,54,638,938,516,501,673,338,3602
201031016,172,81,354,1105,1464,842,760,1719,786,6677
201031017,41,23,108,710,1081,693,583,934,476,4476
202011018,198,181,503,2511,3104,1353,1078,2606,1460,12111
202011019,101,60,251,1921,2387,1049,1011,2092,1120,9576
202011020,311,109,613,2544,3111,1365,1115,2356,901,11385
202011021,105,44,284,1936,2238,924,608,1383,570,7652
202011022,286,188,668,3286,4173,1892,1578,3691,1628,16243
202011023,7,3,25,871,1073,550,444,561,269,3769
202011024,22,7,71,1532,1896,1019,695,919,388,6453
202011025,46,19,110,1979,2557,1144,954,1641,767,9056
202021026,15,12,55,1146,1624,849,701,803,471,5598
202021027,122,128,388,1493,2424,1173,899,1300,1692,8987
202021028,70,37,182,1269,2065,1162,914,1056,764,7215
202021029,51,18,107,620,944,466,527,791,497,3849
202021030,172,38,285,1646,2204,1024,857,1407,818,7956
202021031,29,50,120,1075,1634,860,581,717,600,5465
