SA2_MAINCODE_2016,D_0_4_FPEFT_MPEFT,D_0_4_FPEFT_MPEPT,D_0_4_FPEFT_MPEAW,D_0_4_FPEFT_MPEHNS,D_0_4_FPEFT_MPET,D_0_4_FPEFT_MPULFTW,D_0_4_FPEFT_MPULPTW,D_0_4_FPEFT_MPUT,D_0_4_FPEFT_MPTLF,D_0_4_FPEFT_MPNLF,D_0_4_FPEFT_MPLFSNS,D_0_4_FPEFT_T,D_0_4_FPEPT_MPEFT,D_0_4_FPEPT_MPEPT,D_0_4_FPEPT_MPEAW,D_0_4_FPEPT_MPEHNS,D_0_4_FPEPT_MPET,D_0_4_FPEPT_MPULFTW,D_0_4_FPEPT_MPULPTW,D_0_4_FPEPT_MPUT,D_0_4_FPEPT_MPTLF,D_0_4_FPEPT_MPNLF,D_0_4_FPEPT_MPLFSNS,D_0_4_FPEPT_T,D_0_4_FPEAW_MPEFT,D_0_4_FPEAW_MPEPT,D_0_4_FPEAW_MPEAW,D_0_4_FPEAW_MPEHNS,D_0_4_FPEAW_MPET,D_0_4_FPEAW_MPULFTW,D_0_4_FPEAW_MPULPTW,D_0_4_FPEAW_MPUT,D_0_4_FPEAW_MPTLF,D_0_4_FPEAW_MPNLF,D_0_4_FPEAW_MPLFSNS,D_0_4_FPEAW_T,D_0_4_FPHNS_MPEFT,D_0_4_FPHNS_MPEPT,D_0_4_FPHNS_MPEAW,D_0_4_FPHNS_MPEHNS,D_0_4_FPHNS_MPET,D_0_4_FPHNS_MPULFTW,D_0_4_FPHNS_MPULPTW,D_0_4_FPHNS_MPUT,D_0_4_FPHNS_MPTLF,D_0_4_FPHNS_MPNLF,D_0_4_FPHNS_MPLFSNS,D_0_4_FPHNS_T,D_0_4_FPET_MPEFT,D_0_4_FPET_MPEPT,D_0_4_FPET_MPEAW,D_0_4_FPET_MPEHNS,D_0_4_FPET_MPET,D_0_4_FPET_MPULFTW,D_0_4_FPET_MPULPTW,D_0_4_FPET_MPUT,D_0_4_FPET_MPTLF,D_0_4_FPET_MPNLF,D_0_4_FPET_MPLFSNS,D_0_4_FPET_T,D_0_4_FPULFTW_MPEFT,D_0_4_FPULFTW_MPEPT,D_0_4_FPULFTW_MP_EAW,D_0_4_FPULFTW_MP_E_HW_NS,D_0_4_FPULFTW_MPET,D_0_4_FPULFTW_MPULFTW,D_0_4_FPULFTW_MPULPTW,D_0_4_FPULFTW_MPUT,D_0_4_FPULFTW_MPTLF,D_0_4_FPULFTW_MPNLF,D_0_4_FPULFTW_MPLFSNS,D_0_4_FPULFTW_T,D_0_4_FPULPTW_MPEFT,D_0_4_FPULPTW_MPEPT,D_0_4_FPULPTW_MPEAW,D_0_4_FPULPTW_MPEm_HW_NS,D_0_4_FPULPTW_MPET,D_0_4_FPULPTW_MPULFTW,D_0_4_FPULPTW_MPULPTW,D_0_4_FPULPTW_MPUT,D_0_4_FPULPTW_MPTLF,D_0_4_FPULPTW_MPNLF,D_0_4_FPULPTW_MPLFSNS,D_0_4_FPULPTW_T,D_0_4_FPUT_MPEFT,D_0_4_FPUT_MPEPT,D_0_4_FPUT_MPEAW,D_0_4_FPUT_MP_E_HNS,D_0_4_FPUT_MPET,D_0_4_FPUT_MPULFTW,D_0_4_FPUT_MPULPTW,D_0_4_FPUT_MPUT,D_0_4_FPUT_MPTLF,D_0_4_FPUT_MPNLF,D_0_4_FPUT_MPLFSNS,D_0_4_FPUT_T,D_0_4_FPTLF_MPEFT,D_0_4_FPTLF_MPEPT,D_0_4_FPTLF_MPEAW,D_0_4_FPTLF_MPEHNS,D_0_4_FPTLF_MPET,D_0_4_FPTLF_MPULFTW,D_0_4_FPTLF_MPULPTW,D_0_4_FPTLF_MPUT,D_0_4_FPTLF_MPTLF,D_0_4_FPTLF_MPNLF,D_0_4_FPTLF_MPLFSNS,D_0_4_FPTLF_T,D_0_4_FPNLF_MPEFT,D_0_4_FPNLF_MPEPT,D_0_4_FPNLF_MPEAW,D_0_4_FPNLF_MP_E_HNS,D_0_4_FPNLF_MPET,D_0_4_FPNLF_MPUEmpLfFTW,D_0_4_FPNLF_MPUEmpLfPTW,D_0_4_FPNLF_MPUT,D_0_4_FPNLF_MPTLF,D_0_4_FPNLF_MPNLF,D_0_4_FPNLF_MPLFSNS,D_0_4_FPNLF_T,D_0_4_FPLFSNS_MPEFT,D_0_4_FPLFSNS_MPEPT,D_0_4_FPLFSNS_MPEAW,D_0_4_FPLFSNS_MP_E_HNS,D_0_4_FPLFSNS_MPET,D_0_4_FPLFSNS_MPULFTW,D_0_4_FPLFSNS_MPULPTW,D_0_4_FPLFSNS_MPUT,D_0_4_FPLFSNS_MPTLF,D_0_4_FPLFSNS_MPNLF,D_0_4_FPLFSNS_MPLFSNS,D_0_4_FPLFSNS_T,D_0_4_FPT_MPEFT,D_0_4_FPT_MPEPT,D_0_4_FPT_MPEAW,D_0_4_FPT_MPEHNS,D_0_4_FPT_MPET,D_0_4_FPT_MPULFTW,D_0_4_FPT_MPULPTW,D_0_4_FPT_MPUT,D_0_4_FPT_MPTLF,D_0_4_FPT_MPNLF,D_0_4_FPT_MPLFSNS,D_0_4_FPT_T,D_5_9_FPEFT_MPEFT,D_5_9_FPEFT_MPEPT,D_5_9_FPEFT_MPEAW,D_5_9_FPEFT_MPEHNS,D_5_9_FPEFT_MPET,D_5_9_FPEFT_MPULFTW,D_5_9_FPEFT_MPULPTW,D_5_9_FPEFT_MPUT,D_5_9_FPEFT_MPTLF,D_5_9_FPEFT_MPNLF,D_5_9_FPEFT_MPLFSNS,D_5_9_FPEFT_T,D_5_9_FPEPT_MPEFT,D_5_9_FPEPT_MPEPT,D_5_9_FPEPT_MPEAW,D_5_9_FPEPT_MPEHNS,D_5_9_FPEPT_MPET,D_5_9_FPEPT_MPULFTW,D_5_9_FPEPT_MPULPTW,D_5_9_FPEPT_MPUT,D_5_9_FPEPT_MPTLF,D_5_9_FPEPT_MPNLF,D_5_9_FPEPT_MPLFSNS,D_5_9_FPEPT_T,D_5_9_FPEAW_MPEFT,D_5_9_FPEAW_MPEPT,D_5_9_FPEAW_MPEAW,D_5_9_FPEAW_MPEHNS,D_5_9_FPEAW_MPET,D_5_9_FPEAW_MPULFTW,D_5_9_FPEAW_MPULPTW,D_5_9_FPEAW_MPUT,D_5_9_FPEAW_MPTLF,D_5_9_FPEAW_MPNLF,D_5_9_FPEAW_MPLFSNS,D_5_9_FPEAW_T,D_5_9_FPHNS_MPEFT,D_5_9_FPHNS_MPEPT,D_5_9_FPHNS_MPEAW,D_5_9_FPHNS_MPEHNS,D_5_9_FPHNS_MPET,D_5_9_FPHNS_MPULFTW,D_5_9_FPHNS_MPULPTW,D_5_9_FPHNS_MPUT,D_5_9_FPHNS_MPTLF,D_5_9_FPHNS_MPNLF,D_5_9_FPHNS_MPLFSNS,D_5_9_FPHNS_T,D_5_9_FPET_MPEFT,D_5_9_FPET_MPEPT,D_5_9_FPET_MPEAW,D_5_9_FPET_MP_E_HNS,D_5_9_FPET_MPET,D_5_9_FPET_MPULFTW,D_5_9_FPET_MPULPTW,D_5_9_FPET_MPUT
201011001,64,12,0,3,74,0,0,0,78,3,0,85,281,16,4,0,308,3,0,3,315,5,0,314,70,3,3,0,82,0,0,0,82,0,0,82,4,0,0,0,9,0,0,0,9,0,0,9,425,37,13,6,469,3,3,6,476,8,0,482,3,0,0,0,3,3,0,3,9,0,0,9,9,0,0,0,9,0,0,0,9,0,0,9,14,0,0,0,14,3,0,3,15,0,0,15,433,37,13,6,485,7,3,7,492,8,0,499,155,23,0,5,184,0,0,0,182,10,0,190,0,0,0,0,0,0,0,0,0,0,0,0,593,53,12,10,667,11,3,11,679,13,0,696,119,12,0,0,133,0,0,0,134,7,0,142,318,23,6,0,348,4,0,4,355,4,0,359,22,0,0,0,22,0,0,0,22,0,0,20,3,0,0,3,3,0,0,0,3,0,0,3,456,42,6,3,507,8,0,6
201011002,49,10,0,0,59,0,0,0,59,0,0,64,167,34,0,0,200,0,0,4,202,7,0,210,39,6,4,0,45,0,0,0,44,0,0,44,0,0,0,0,3,0,0,0,3,0,0,3,256,50,6,0,305,3,0,7,312,8,0,320,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,4,0,0,4,4,0,0,0,4,0,0,0,4,0,0,4,258,50,6,0,316,3,0,7,316,8,0,324,100,12,0,5,120,3,0,3,125,9,0,133,3,3,0,0,5,0,0,0,5,0,0,6,367,58,5,5,442,10,0,6,447,14,0,466,95,10,0,4,113,0,0,0,111,6,0,117,206,12,5,0,223,0,0,0,224,3,0,225,9,0,0,0,9,0,0,0,13,0,0,13,0,0,0,5,3,0,0,0,3,0,0,3,308,28,8,7,350,4,0,4
201011003,86,16,0,0,107,3,0,3,104,9,0,117,407,45,0,4,454,0,4,4,458,12,0,472,106,8,8,0,122,0,0,0,122,0,0,121,3,0,0,5,7,0,0,0,7,0,0,8,602,65,11,7,687,3,4,5,691,21,0,711,3,0,0,0,3,0,0,0,3,0,0,3,12,0,0,0,15,0,0,0,15,0,0,15,12,0,0,0,17,0,0,0,17,0,0,17,620,68,11,7,706,3,4,5,708,21,0,728,294,22,9,5,332,10,4,13,346,31,0,379,0,0,0,0,0,0,0,0,0,0,7,3,912,90,17,14,1036,17,5,20,1061,51,7,1116,130,24,0,0,149,4,0,4,157,8,0,169,454,52,3,6,512,5,0,7,518,7,0,526,16,8,0,0,21,0,0,0,21,0,0,26,0,0,0,4,5,0,0,0,5,0,0,3,599,79,4,9,690,6,0,6
201011004,66,15,3,0,88,4,3,5,92,10,0,99,372,44,10,0,421,3,0,3,429,15,0,442,73,9,14,0,91,0,0,0,95,3,0,93,7,0,0,8,13,0,0,0,13,0,0,12,515,66,19,7,608,6,6,12,618,25,0,647,9,0,0,0,7,0,0,0,10,0,0,15,8,4,0,0,13,0,0,0,13,0,0,17,18,7,0,0,25,0,0,3,23,3,0,26,532,72,19,8,633,10,3,13,649,29,0,677,252,46,14,0,307,32,0,32,340,52,0,391,0,0,0,3,3,0,0,0,4,0,3,4,780,115,30,12,946,36,7,42,991,80,5,1070,113,21,0,7,141,3,0,3,140,17,0,166,337,48,0,3,385,7,5,9,394,26,0,420,6,0,7,3,16,0,0,0,16,7,0,18,3,0,0,9,11,3,0,3,9,3,0,16,458,68,4,17,551,10,5,16
201011005,30,0,0,0,34,0,0,0,32,3,0,34,122,21,0,0,146,0,0,0,148,0,0,148,36,3,9,0,45,0,0,0,46,0,0,46,0,0,0,0,3,0,0,0,3,0,0,3,195,24,11,3,225,0,0,5,231,3,0,229,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,8,0,0,0,8,0,0,8,7,0,0,0,8,0,0,0,8,0,0,8,198,24,11,3,235,0,0,5,243,3,0,246,96,3,3,0,108,0,0,0,109,4,0,109,0,0,0,0,0,0,0,0,0,0,0,0,300,30,9,3,343,4,0,3,351,3,0,353,77,7,0,0,88,3,3,3,90,0,0,90,214,22,3,3,242,0,0,0,245,0,0,250,6,0,3,0,10,0,0,0,10,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,298,33,10,3,344,3,3,6
201011006,43,4,0,0,50,0,0,0,50,7,0,54,145,9,0,4,159,3,0,3,158,3,0,160,25,3,3,0,25,0,0,0,25,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,206,22,3,3,234,3,0,3,234,8,0,246,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,0,0,0,7,0,0,7,7,0,0,0,9,0,0,0,10,0,0,8,213,18,3,3,239,3,0,0,242,9,0,251,62,10,3,0,68,3,0,3,75,15,0,87,0,0,0,0,0,0,0,0,0,0,0,0,269,26,4,3,310,9,0,8,313,25,0,339,42,0,0,0,44,0,0,0,44,3,0,48,142,19,0,0,163,0,0,0,163,3,0,171,3,4,0,0,6,0,0,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,194,21,0,0,216,0,0,0
201011007,21,3,0,0,17,0,0,0,17,0,0,17,61,6,0,0,65,0,0,0,65,0,0,72,19,0,0,4,20,0,0,0,20,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,98,10,0,4,114,0,0,0,114,0,0,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,10,0,4,112,0,0,0,112,0,0,111,58,3,3,3,69,0,0,0,69,3,0,70,0,0,0,0,0,0,0,0,0,0,0,0,155,10,4,3,177,0,0,0,177,3,0,187,41,6,0,0,47,0,0,0,47,0,0,46,128,5,0,0,137,0,0,0,137,0,0,139,3,0,0,3,9,0,0,0,9,0,0,9,4,0,0,0,4,0,0,0,4,0,0,4,173,16,0,3,191,0,0,0
201011008,46,11,0,0,63,0,0,3,65,3,0,70,257,33,0,0,290,3,0,7,292,8,0,308,31,16,0,0,52,0,0,0,52,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,340,58,3,0,406,8,0,7,410,13,0,426,3,0,0,0,5,0,0,0,8,0,0,6,3,0,0,0,3,0,0,0,3,0,0,9,3,5,0,0,11,0,0,0,13,3,0,17,347,68,3,0,417,8,0,10,427,17,0,445,161,24,3,7,195,15,5,20,221,33,0,252,0,0,0,0,0,0,0,0,0,0,0,0,505,87,9,6,615,22,9,33,642,55,0,697,84,13,0,0,93,3,0,3,100,8,0,106,243,25,0,4,273,0,0,0,272,13,0,290,5,3,3,0,7,0,0,0,7,0,0,7,0,3,0,4,8,0,0,0,8,0,0,8,328,39,5,9,383,3,0,3
201021009,22,0,0,0,22,0,0,5,28,4,0,32,88,7,3,0,99,6,0,6,108,0,0,108,18,3,0,0,22,0,0,0,22,0,0,19,0,0,0,0,3,0,0,0,3,0,0,3,131,13,7,0,152,5,0,7,155,6,0,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136,13,7,0,150,5,0,7,157,6,0,167,64,19,0,0,79,5,0,5,91,4,0,94,0,0,0,0,0,0,0,0,0,0,0,0,201,28,7,0,235,10,0,14,243,12,0,261,37,11,3,0,43,0,0,6,50,7,0,51,114,14,3,0,130,0,0,0,128,0,0,133,4,0,0,0,6,0,0,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,152,25,4,0,187,6,0,9
201021010,15,3,0,0,12,0,0,0,12,3,0,15,107,13,0,0,119,3,0,3,127,3,0,130,21,5,4,0,30,0,0,0,30,0,0,30,3,0,0,3,5,0,0,0,5,0,0,5,139,21,4,3,172,3,0,3,171,7,0,181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,3,6,0,0,0,4,0,0,0,4,0,0,4,144,21,4,6,171,3,0,3,178,7,0,187,72,13,3,3,88,3,0,3,91,15,0,103,0,0,0,0,0,0,0,0,0,0,0,0,212,34,11,4,265,7,0,7,271,17,0,290,44,10,0,0,54,0,0,0,58,3,0,60,151,26,0,0,179,3,3,7,177,11,0,186,11,0,3,0,8,0,0,0,8,0,0,8,3,0,0,0,3,0,0,0,3,0,0,8,203,35,3,0,241,3,4,5
