SA2_MAINCODE_2016,P_PGrad_Deg_35_44,P_PGrad_Deg_45_54,P_PGrad_Deg_55_64,P_PGrad_Deg_65_74,P_PGrad_Deg_75_84,P_PGrad_Deg_85ov,P_PGrad_Deg_Total,P_GradDip_and_GradCert_15_24,P_GradDip_and_GradCert_25_34,P_GradDip_and_GradCert_35_44,P_GradDip_and_GradCert_45_54,P_GradDip_and_GradCert_55_64,P_GradDip_and_GradCert_65_74,P_GradDip_and_GradCert_75_84,P_GradDip_and_GradCert_85ov,P_GradDip_and_GradCert_Total,P_BachDeg_15_24,P_BachDeg_25_34,P_BachDeg_35_44,P_BachDeg_45_54,P_BachDeg_55_64,P_BachDeg_65_74,P_BachDeg_75_84,P_BachDeg_85ov,P_BachDeg_Total,P_AdvDip_and_Dip_15_24,P_AdvDip_and_Dip_25_34,P_AdvDip_and_Dip_35_44,P_AdvDip_and_Dip_45_54,P_AdvDip_and_Dip_55_64,P_AdvDip_and_Dip_65_74,P_AdvDip_and_Dip_75_84,P_AdvDip_and_Dip_85ov,P_AdvDip_and_Dip_Total,P_Cert_III_IV_15_24,P_Cert_III_IV_25_34,P_Cert_III_IV_35_44,P_Cert_III_IV_45_54,P_Cert_III_IV_55_64,P_Cert_III_IV_65_74,P_Cert_III_IV_75_84,P_Cert_III_IV_85ov,P_Cert_III_IV_Total,P_Cert_I_II_15_24,P_Cert_I_II_25_34,P_Cert_I_II_35_44,P_Cert_I_II_45_54,P_Cert_I_II_55_64,P_Cert_I_II_65_74,P_Cert_I_II_75_84,P_Cert_I_II_85ov,P_Cert_I_II_Total,P_Cert_Levl_nfd_15_24,P_Cert_Levl_nfd_25_34,P_Cert_Levl_nfd_35_44,P_Cert_Levl_nfd_45_54,P_Cert_Levl_nfd_55_64,P_Cert_Levl_nfd_65_74,P_Cert_Levl_nfd_75_84,P_Cert_Levl_nfd_85ov,P_Cert_Levl_nfd_Total,P_Cert_Lev_Tot_15_24,P_Cert_Lev_Tot_25_34,P_Cert_Lev_Tot_35_44,P_Cert_Lev_Tot_45_54,P_Cert_Lev_Tot_55_64,P_Cert_Lev_Tot_65_74,P_Cert_Lev_Tot_75_84,P_Cert_Lev_Tot_85ov,P_Cert_Lev_Tot_Total,P_Lev_Edu_IDes_15_24,P_Lev_Edu_IDes_25_34,P_Lev_Edu_IDes_35_44,P_Lev_Edu_IDes_45_54,P_Lev_Edu_IDes_55_64,P_Lev_Edu_IDes_65_74,P_Lev_Edu_IDes_75_84,P_Lev_Edu_IDes_85ov,P_Lev_Edu_IDes_Total,P_Lev_Edu_NS_15_24,P_Lev_Edu_NS_25_34,P_Lev_Edu_NS_35_44,P_Lev_Edu_NS_45_54,P_Lev_Edu_NS_55_64,P_Lev_Edu_NS_65_74,P_Lev_Edu_NS_75_84,P_Lev_Edu_NS_85ov,P_Lev_Edu_NS_Total,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Total
201011001,121,92,46,24,15,0,377,5,48,68,84,51,20,4,0,278,93,358,370,262,150,90,31,5,1364,32,165,188,210,135,81,26,11,843,183,374,352,318,185,105,56,9,1582,45,18,24,14,11,15,0,0,120,14,23,26,21,21,18,12,0,142,243,416,406,358,214,131,64,9,1842,0,5,6,7,12,9,11,0,53,85,71,70,103,90,97,61,26,607,464,1148,1231,1111,699,456,208,45,5365
201011002,131,149,142,64,21,0,622,4,58,79,114,104,51,13,0,434,119,450,428,362,298,192,83,26,1958,53,136,173,199,181,154,81,19,991,144,208,190,253,211,113,73,29,1228,26,16,16,12,17,5,4,0,84,14,13,21,36,27,30,14,3,151,188,234,219,301,256,150,89,34,1466,3,6,12,10,11,15,13,6,72,127,94,104,138,118,144,120,66,910,504,1087,1143,1266,1113,766,413,152,6447
201011003,135,156,125,82,21,3,680,8,110,130,158,144,58,18,4,624,158,747,680,437,355,248,67,24,2715,98,286,311,360,297,192,80,22,1645,415,762,576,614,527,295,117,35,3348,60,45,53,36,30,11,0,0,225,22,35,55,58,51,35,22,10,290,497,838,688,710,610,336,144,44,3861,14,12,15,19,31,20,10,0,118,237,206,194,205,224,277,260,159,1763,1022,2342,2154,2036,1786,1208,609,252,11411
201011004,133,77,87,34,7,0,496,9,77,96,82,88,40,10,0,396,229,691,447,243,228,138,45,9,2030,136,350,310,301,267,157,71,8,1594,581,939,674,590,501,341,133,43,3804,93,79,37,40,42,14,0,0,305,19,60,59,54,45,27,16,10,295,695,1083,769,679,590,381,152,54,4408,13,7,14,21,14,18,6,5,102,345,306,234,258,284,345,266,159,2192,1434,2657,2004,1661,1555,1116,559,243,11225
201011005,54,80,75,46,9,0,298,0,12,53,53,60,29,6,0,212,61,178,265,185,149,91,29,9,958,48,57,120,119,126,69,30,9,572,131,148,171,166,166,90,33,9,910,12,10,7,10,13,9,0,0,57,7,5,12,9,15,15,7,3,79,160,162,189,177,188,114,43,12,1045,0,0,3,0,6,8,3,0,27,74,51,65,65,87,78,41,20,487,346,490,755,680,691,434,158,40,3606
201011006,15,10,16,10,4,0,75,3,19,25,22,11,4,3,0,91,43,174,108,82,44,28,8,0,497,34,79,100,92,69,60,16,6,447,157,320,226,215,167,99,27,9,1215,19,14,10,8,10,4,0,4,68,3,16,20,17,11,8,8,3,87,182,348,249,236,185,117,32,14,1370,4,8,0,4,3,11,3,0,38,69,49,54,56,60,61,70,24,443,338,705,557,504,390,284,133,55,2959
201011007,6,19,16,4,0,0,54,0,9,32,18,13,5,0,0,83,15,47,89,69,55,27,3,0,307,4,25,60,78,52,35,9,3,271,68,110,161,160,119,53,13,3,683,8,9,16,10,4,3,0,0,47,10,6,9,18,10,7,0,0,51,84,125,185,186,129,55,14,3,778,0,3,3,4,3,3,0,0,25,40,23,31,46,63,38,22,5,275,145,238,402,421,330,173,56,13,1783
201011008,34,29,18,16,11,3,162,3,37,55,33,32,25,4,0,199,74,267,207,121,114,80,42,16,915,49,149,150,146,115,97,43,20,765,256,592,411,353,275,208,141,34,2256,40,51,37,17,16,3,3,0,172,22,39,32,38,32,17,6,7,199,318,685,471,411,320,228,148,40,2624,4,11,10,11,14,12,11,7,69,170,155,144,158,190,211,212,96,1323,626,1349,1073,904,796,674,462,182,6061
201021009,37,32,23,13,0,0,123,0,20,25,16,30,13,0,0,110,16,89,132,100,76,54,5,7,480,18,57,86,106,73,64,15,3,429,76,172,192,219,184,88,25,13,967,3,7,9,15,6,5,0,0,50,3,15,19,20,21,9,9,4,93,89,191,227,253,208,97,29,12,1111,0,3,3,4,10,11,3,3,36,62,37,58,106,99,104,43,25,544,190,407,570,628,520,353,102,49,2820
201021010,38,40,50,29,11,0,175,0,15,38,40,46,23,8,0,166,22,88,125,106,128,84,19,11,582,19,66,97,120,142,80,37,8,568,105,189,213,240,233,161,62,19,1223,19,21,16,13,16,7,0,0,83,9,19,18,26,26,20,7,0,118,132,227,251,276,276,190,68,15,1430,0,0,3,3,10,13,0,0,28,107,72,69,127,166,160,130,64,898,283,471,625,702,812,581,270,106,3845
