SA2_MAINCODE_2016,M_AgriForestFish_0,M_AgriForestFish_1_15,M_AgriForestFish_16_24,M_AgriForestFish_25_34,M_AgriForestFish_35_39,M_AgriForestFish_40,M_AgriForestFish_41_48,M_AgriForestFish_49over,M_AgriForestFish_hours_NS,M_AgriForestFish_Tot,M_Min_0,M_Min_1_15,M_Min_16_24,M_Min_25_34,M_Min_35_39,M_Min_40,M_Min_41_48,M_Min_49over,M_Min_hours_NS,M_Min_Tot,M_Mnfg_0,M_Mnfg_1_15,M_Mnfg_16_24,M_Mnfg_25_34,M_Mnfg_35_39,M_Mnfg_40,M_Mnfg_41_48,M_Mnfg_49over,M_Mnfg_hours_NS,M_Mnfg_Tot,M_EGW_WS_0,M_EGW_WS_1_15,M_EGW_WS_16_24,M_EGW_WS_25_34,M_EGW_WS_35_39,M_EGW_WS_40,M_EGW_WS_41_48,M_EGW_WS_49over,M_EGW_WS_hours_NS,M_EGW_WS_Tot,M_Cnstn_0,M_Cnstn_1_15,M_Cnstn_16_24,M_Cnstn_25_34,M_Cnstn_35_39,M_Cnstn_40,M_Cnstn_41_48,M_Cnstn_49over,M_Cnstn_hours_NS,M_Cnstn_Tot,M_WTrade_0,M_WTrade_1_15,M_WTrade_16_24,M_WTrade_25_34,M_WTrade_35_39,M_WTrade_40,M_WTrade_41_48,M_WTrade_49over,M_WTrade_hours_NS,M_WTrade_Tot,M_RTrade_0,M_RTrade_1_15,M_RTrade_16_24,M_RTrade_25_34,M_RTrade_35_39,M_RTrade_40,M_RTrade_41_48,M_RTrade_49over,M_RTrade_hours_NS,M_RTrade_Tot,M_AccomFoodS_0,M_AccomFoodS_1_15,M_AccomFoodS_16_24,M_AccomFoodS_25_34,M_AccomFoodS_35_39,M_AccomFoodS_40,M_AccomFoodS_41_48,M_AccomFoodS_49over,M_AccomFoodS_hours_NS,M_AccomFoodS_Tot,M_TransPostWhse_0,M_TransPostWhse_1_15,M_TransPostWhse_16_24,M_TransPostWhse_25_34,M_TransPostWhse_35_39,M_TransPostWhse_40,M_TransPostWhse_41_48,M_TransPostWhse_49over,M_TransPostWhse_hours_NS,M_TransPostWhse_Tot,M_InfoMedTelecom_0,M_InfoMedTelecom_1_15,M_InfoMedTelecom_16_24,M_InfoMedTelecom_25_34,M_InfoMedTelecom_35_39,M_InfoMedTelecom_40,M_InfoMedTelecom_41_48,M_InfoMedTelecom_49over,M_InfoMedTelecom_hours_NS,M_InfoMedTelecom_Tot,M_FinInsurS_0,M_FinInsurS_1_15,M_FinInsurS_16_24,M_FinInsurS_25_34,M_FinInsurS_35_39,M_FinInsurS_40,M_FinInsurS_41_48,M_FinInsurS_49over,M_FinInsurS_hours_NS,M_FinInsurS_Tot,M_RentHirREserv_0,M_RentHirREserv_1_15,M_RentHirREserv_16_24,M_RentHirREserv_25_34,M_RentHirREserv_35_39,M_RentHirREserv_40,M_RentHirREserv_41_48,M_RentHirREserv_49over,M_RentHirREserv_hours_NS,M_RentHirREserv_Tot,M_ProScieTechServ_0,M_ProScieTechServ_1_15,M_ProScieTechServ_16_24,M_ProScieTechServ_25_34,M_ProScieTechServ_35_39,M_ProScieTechServ_40,M_ProScieTechServ_41_48,M_ProScieTechServ_49over,M_ProScieTechServ_hours_NS,M_ProScieTechServ_Tot,M_AdminSupServ_0,M_AdminSupServ_1_15,M_AdminSupServ_16_24,M_AdminSupServ_25_34,M_AdminSupServ_35_39,M_AdminSupServ_40,M_AdminSupServ_41_48,M_AdminSupServ_49over,M_AdminSupServ_hours_NS,M_AdminSupServ_Tot,M_PubAdmiSafety_0,M_PubAdmiSafety_1_15,M_PubAdmiSafety_16_24,M_PubAdmiSafety_25_34,M_PubAdmiSafety_35_39,M_PubAdmiSafety_40,M_PubAdmiSafety_41_48,M_PubAdmiSafety_49over,M_PubAdmiSafety_hours_NS,M_PubAdmiSafety_Tot,M_EducTrain_0,M_EducTrain_1_15,M_EducTrain_16_24,M_EducTrain_25_34,M_EducTrain_35_39,M_EducTrain_40,M_EducTrain_41_48,M_EducTrain_49over,M_EducTrain_hours_NS,M_EducTrain_Tot,M_HealthCareSocA_0,M_HealthCareSocA_1_15,M_HealthCareSocA_16_24,M_HealthCareSocA_25_34,M_HealthCareSocA_35_39,M_HealthCareSocA_40,M_HealthCareSocA_41_48,M_HealthCareSocA_49over,M_HealthCareSocA_hours_NS,M_HealthCareSocA_Tot,M_ArtRecServ_0,M_ArtRecServ_1_15,M_ArtRecServ_16_24,M_ArtRecServ_25_34,M_ArtRecServ_35_39,M_ArtRecServ_40,M_ArtRecServ_41_48,M_ArtRecServ_49over,M_ArtRecServ_hours_NS,M_ArtRecServ_Tot,M_OthServ_0,M_OthServ_1_15,M_OthServ_16_24,M_OthServ_25_34,M_OthServ_35_39,M_OthServ_40,M_OthServ_41_48,M_OthServ_49over,M_OthServ_hours_NS,M_OthServ_Tot,M_ID_NS_0,M_ID_NS_1_15,M_ID_NS_16_24,M_ID_NS_25_34,M_ID_NS_35_39,M_ID_NS_40,M_ID_NS_41_48,M_ID_NS_49over,M_ID_NS_hours_NS,M_ID_NS_Tot
201011001,3,7,0,11,8,6,3,14,0,51,0,0,3,0,0,7,12,11,0,38,9,7,4,17,88,105,78,73,0,383,0,0,0,0,15,15,5,6,0,54,8,10,6,17,82,133,65,106,4,431,0,0,3,3,20,26,16,30,0,98,4,50,18,27,59,46,29,39,0,274,7,76,14,20,15,12,9,27,3,187,10,8,0,16,19,41,27,42,0,158,0,4,4,3,16,20,19,10,0,87,0,3,3,3,13,18,8,9,0,69,0,5,0,0,4,6,11,12,0,43,3,13,9,11,30,39,34,28,3,165,3,5,3,0,8,9,7,3,3,52,9,8,5,3,49,65,30,23,0,190,4,27,3,12,35,31,28,52,0,191,15,19,16,26,51,48,29,30,0,237,3,10,6,3,10,6,7,4,0,51,0,4,3,3,11,13,17,19,3,83,0,3,4,4,23,15,8,11,15,90
201011002,3,6,4,9,9,11,3,20,0,61,0,0,0,0,4,0,6,8,0,19,0,7,6,11,56,44,32,55,0,214,0,0,0,3,10,10,4,12,0,39,4,7,5,14,49,96,38,82,4,297,3,6,4,7,6,11,8,16,0,68,3,51,33,33,44,34,20,48,3,274,0,74,26,18,14,19,17,32,3,204,7,15,7,6,10,14,16,22,0,101,0,6,3,3,16,11,17,18,0,71,0,4,6,9,9,27,7,23,0,81,0,0,0,6,3,10,12,25,3,57,5,19,20,21,21,69,31,52,0,229,0,8,12,0,10,11,0,5,0,45,4,7,4,9,40,34,21,25,3,144,7,26,12,19,37,39,27,36,3,217,17,16,30,51,49,56,53,84,0,346,4,15,4,4,11,6,4,7,3,57,0,3,3,10,10,17,8,8,0,68,5,12,0,3,15,19,3,19,18,95
201011003,6,7,7,8,9,15,7,27,3,94,3,0,0,3,9,3,6,28,0,49,9,20,22,20,132,152,99,121,9,572,0,3,0,3,22,31,9,9,0,85,16,15,26,45,142,312,137,212,15,918,0,5,6,9,34,18,26,38,0,140,13,86,38,45,96,60,64,75,6,484,9,84,39,47,33,23,30,42,0,294,7,18,14,21,40,54,37,70,9,274,3,8,6,9,37,32,28,24,0,143,4,0,0,0,14,21,16,16,0,78,0,6,0,3,11,15,10,17,0,58,12,28,16,19,44,90,51,75,3,327,3,20,12,17,30,20,13,18,0,137,9,20,16,9,90,122,54,33,5,353,11,44,27,28,97,76,57,71,0,411,6,30,30,65,67,68,38,57,3,361,5,22,12,11,19,11,5,23,0,110,9,21,10,12,43,35,24,40,0,196,6,20,13,17,29,48,11,36,43,221
201011004,0,5,3,3,21,17,6,15,0,70,7,0,0,3,7,7,16,44,0,80,11,21,17,20,149,157,103,82,3,566,0,0,3,3,22,12,6,17,0,60,17,17,37,65,138,261,110,132,12,797,7,8,9,6,38,39,28,21,3,154,17,77,56,62,136,85,49,67,9,547,12,110,39,42,52,30,32,36,6,365,13,18,17,22,31,40,33,77,3,262,8,3,3,3,29,24,24,19,0,112,5,0,0,9,4,19,10,7,0,53,0,3,3,0,15,10,5,20,0,56,3,18,16,18,50,88,42,53,0,285,3,24,20,24,34,13,12,5,4,139,9,12,15,14,100,66,31,25,4,279,13,40,25,29,72,43,44,49,0,318,8,27,20,56,78,68,29,36,3,333,4,25,6,12,16,17,5,9,3,101,9,13,19,22,64,37,25,36,4,215,4,14,17,20,47,39,19,29,55,236
201011005,0,7,3,0,3,4,6,11,0,37,0,3,0,0,0,4,0,20,0,33,0,3,0,4,24,45,39,35,4,162,0,0,0,0,7,3,3,5,0,17,9,9,5,16,28,77,41,63,6,254,0,3,6,7,7,6,3,8,3,46,8,27,17,9,26,18,14,20,8,154,7,55,11,9,3,4,0,9,0,103,3,3,0,7,14,13,13,11,0,69,3,4,0,8,5,7,14,7,0,42,0,0,0,0,3,11,0,5,0,24,0,0,0,0,0,4,4,9,0,25,6,13,6,13,24,26,14,26,0,129,0,10,3,3,4,10,0,6,0,41,3,7,5,6,29,36,20,18,4,115,4,11,10,12,31,32,20,48,6,188,3,7,11,20,30,26,11,24,0,136,5,20,6,3,5,0,3,3,0,53,0,3,4,6,6,14,4,15,0,56,0,3,7,7,3,9,0,8,10,60
201011006,0,4,0,3,10,4,6,5,0,31,0,0,0,0,3,0,5,19,0,30,0,7,5,3,67,71,41,24,0,235,0,0,0,0,9,3,6,3,0,19,11,6,3,14,57,98,47,61,8,302,0,5,3,3,21,19,11,14,0,71,8,26,19,17,39,25,23,28,0,175,0,48,10,4,12,5,12,8,0,108,3,4,11,7,16,23,17,45,0,118,0,3,4,0,16,4,8,7,0,42,0,0,0,0,7,0,0,3,0,14,0,0,0,0,3,5,0,11,0,18,5,0,3,5,10,23,10,12,0,60,0,0,3,5,3,6,0,4,0,27,4,5,3,4,23,26,11,18,0,91,0,5,3,8,16,15,8,6,0,68,6,4,8,15,21,22,8,8,0,94,0,4,0,3,4,4,0,0,0,22,4,6,0,3,9,14,16,14,0,70,6,4,5,4,9,16,6,3,18,70
201011007,0,0,4,0,8,3,6,11,0,43,0,0,0,0,6,0,3,7,0,16,3,4,0,9,44,43,34,17,0,154,0,0,0,0,4,8,7,4,0,18,3,11,10,10,33,94,22,43,8,230,0,3,0,0,7,14,10,9,0,43,3,17,3,10,10,15,4,11,0,66,0,14,3,3,7,4,0,0,0,33,4,5,3,0,13,10,12,21,0,74,0,0,0,0,6,3,7,0,0,28,0,0,0,0,0,6,5,4,0,14,0,0,0,0,3,0,3,7,0,15,0,4,0,0,9,6,4,8,0,32,0,4,0,3,4,3,3,0,0,15,0,0,0,6,11,14,10,13,0,54,0,0,6,3,11,10,4,6,3,42,3,3,3,3,15,17,9,0,0,52,0,3,3,0,8,3,0,4,0,17,0,5,0,4,7,12,6,6,0,44,0,3,0,0,8,10,3,7,9,42
201011008,0,9,5,10,9,11,15,23,3,84,0,0,3,0,0,0,7,12,0,27,15,12,7,19,139,126,83,56,0,456,0,0,0,3,16,15,3,3,0,46,16,9,18,29,95,167,60,97,0,493,4,12,3,7,22,35,19,16,3,124,4,44,25,24,72,39,33,27,5,266,4,52,23,12,15,14,11,18,3,154,9,16,16,14,32,28,21,58,6,200,0,6,4,3,19,10,18,11,3,70,0,0,0,0,9,11,4,4,0,32,0,0,0,0,3,6,3,4,0,21,0,7,0,3,18,23,7,25,0,91,0,8,6,8,16,11,3,9,3,60,8,10,5,14,49,41,16,18,0,163,4,17,12,12,26,23,15,30,0,138,4,8,16,28,39,25,12,18,0,148,3,6,3,4,12,6,13,9,0,52,3,17,3,14,37,30,17,12,0,125,4,6,3,5,35,27,7,11,39,150
201021009,0,3,4,7,8,28,7,49,0,103,0,0,0,0,0,3,6,16,0,31,7,3,0,4,25,41,18,28,0,137,0,0,0,0,14,7,0,7,0,30,7,8,12,15,49,95,23,69,3,295,3,0,3,3,7,13,7,11,0,52,0,11,6,4,3,10,14,9,5,63,4,41,3,11,0,4,3,8,3,72,8,8,5,16,14,28,29,52,3,160,0,3,0,0,5,8,0,5,0,23,0,0,0,0,4,8,0,3,0,18,0,0,0,0,4,3,0,3,0,18,0,4,4,8,3,19,5,15,0,63,0,3,5,3,3,3,0,4,0,29,6,0,4,3,30,22,13,8,0,96,4,3,0,5,10,7,4,8,0,48,3,0,3,3,5,11,7,7,0,38,0,3,4,4,5,4,0,3,0,29,3,3,4,3,17,12,6,11,0,60,0,5,5,8,8,23,5,24,18,98
201021010,5,20,13,22,18,44,22,112,3,247,0,0,0,0,0,0,4,7,0,14,4,11,8,13,60,55,31,33,4,206,0,0,0,0,5,6,0,3,0,21,14,11,7,22,36,75,36,42,11,246,0,3,0,5,12,9,6,6,0,46,5,11,12,18,28,20,16,24,3,134,3,13,9,8,9,3,8,25,0,76,3,7,5,12,11,25,3,34,4,92,0,0,0,3,8,0,5,3,0,20,0,0,0,0,0,3,0,0,0,6,0,0,3,0,4,3,3,3,0,15,0,8,3,14,8,17,14,12,0,73,3,5,6,5,5,7,0,7,0,43,0,0,4,11,22,13,15,14,0,77,3,8,7,6,18,9,6,12,4,73,6,3,13,12,18,9,4,3,3,72,3,5,6,3,4,4,0,3,0,31,3,5,3,7,21,11,8,11,0,76,6,5,9,4,14,15,8,7,24,90
