SA2_MAINCODE_2016,NegNil_Inc_BE_WFT,NegNil_Inc_BE_WPT,NegNil_Inc_BE_BAW,NegNil_Inc_1EFT_OthPT,NegNil_Inc_1EFT_OthAW,NegNil_Inc_1EFT_OthNW,NegNil_Inc_1EPT_OthAW,NegNil_Inc_1EPT_OthNW,NegNil_Inc_1AW_OthNW,NegNil_Inc_BNW,NegNil_Inc_LFsta_NS,NegNil_Inc_Tot,I_1_149_BE_WFT,I_1_149_BE_WPT,I_1_149_BE_BAW,I_1_149_1EFT_OthPT,I_1_149_1EFT_OthAW,I_1_149_1EFT_OthNW,I_1_149_1EPT_OthAW,I_1_149_1EPT_OthNW,I_1_149_1AW_OthNW,I_1_149_BNW,I_1_149_LFsta_NS,I_1_149_Tot,I_150_299_BE_WFT,I_150_299_BE_WPT,I_150_299_BE_BAW,I_150_299_1EFT_OthPT,I_150_299_1EFT_OthAW,I_150_299_1EFT_OthNW,I_150_299_1EPT_OthAW,I_150_299_1EPT_OthNW,I_150_299_1AW_OthNW,I_150_299_BNW,I_150_299_LFsta_NS,I_150_299_Tot,I_300_399_BE_WFT,I_300_399_BE_WPT,I_300_399_BE_BAW,I_300_399_1EFT_OthPT,I_300_399_1EFT_OthAW,I_300_399_1EFT_OthNW,I_300_399_1EPT_OthAW,I_300_399_1EPT_OthNW,I_300_399_1AW_OthNW,I_300_399_BNW,I_300_399_LFsta_NS,I_300_399_Tot,I_400_499_BE_WFT,I_400_499_BE_WPT,I_400_499_BE_BAW,I_400_499_1EFT_OthPT,I_400_499_1EFT_OthAW,I_400_499_1EFT_OthNW,I_400_499_1EPT_OthAW,I_400_499_1EPT_OthNW,I_400_499_1AW_OthNW,I_400_499_BNW,I_400_499_LFsta_NS,I_400_499_Tot,I_500_649_BE_WFT,I_500_649_BE_WPT,I_500_649_BE_BAW,I_500_649_1EFT_OthPT,I_500_649_1EFT_OthAW,I_500_649_1EFT_OthNW,I_500_649_1EPT_OthAW,I_500_649_1EPT_OthNW,I_500_649_1AW_OthNW,I_500_649_BNW,I_500_649_LFsta_NS,I_500_649_Tot,I_650_799_BE_WFT,I_650_799_BE_WPT,I_650_799_BE_BAW,I_650_799_1EFT_OthPT,I_650_799_1EFT_OthAW,I_650_799_1EFT_OthNW,I_650_799_1EPT_OthAW,I_650_799_1EPT_OthNW,I_650_799_1AW_OthNW,I_650_799_BNW,I_650_799_LFsta_NS,I_650_799_Tot,I_800_999_BE_WFT,I_800_999_BE_WPT,I_800_999_BE_BAW,I_800_999_1EFT_OthPT,I_800_999_1EFT_OthAW,I_800_999_1EFT_OthNW,I_800_999_1EPT_OthAW,I_800_999_1EPT_OthNW,I_800_999_1AW_OthNW,I_800_999_BNW,I_800_999_LFsta_NS,I_800_999_Tot,I_1000_1249_BE_WFT,I_1000_1249_BE_WPT,I_1000_1249_BE_BAW,I_1000_1249_1EFT_OthPT,I_1000_1249_1EFT_OthAW,I_1000_1249_1EFT_OthNW,I_1000_1249_1EPT_OthAW,I_1000_1249_1EPT_OthNW,I_1000_1249_1AW_OthNW,I_1000_1249_BNW,I_1000_1249_LFsta_NS,I_1000_1249_Tot,I_1250_1499_BE_WFT,I_1250_1499_BE_WPT,I_1250_1499_BE_BAW,I_1250_1499_1EFT_OthPT,I_1250_1499_1EFT_OthAW,I_1250_1499_1EFT_OthNW,I_1250_1499_1EPT_OthAW,I_1250_1499_1EPT_OthNW,I_1250_1499_1AW_OthNW,I_1250_1499_BNW,I_1250_1499_LFsta_NS,I_1250_1499_Tot,I_1500_1749_BE_WFT,I_1500_1749_BE_WPT,I_1500_1749_BE_BAW,I_1500_1749_1EFT_OthPT,I_1500_1749_1EFT_OthAW,I_1500_1749_1EFT_OthNW,I_1500_1749_1EPT_OthAW,I_1500_1749_1EPT_OthNW,I_1500_1749_1AW_OthNW,I_1500_1749_BNW,I_1500_1749_LFsta_NS,I_1500_1749_Tot,I_1750_1999_BE_WFT,I_1750_1999_BE_WPT,I_1750_1999_BE_BAW,I_1750_1999_1EFT_OthPT,I_1750_1999_1EFT_OthAW,I_1750_1999_1EFT_OthNW,I_1750_1999_1EPT_OthAW,I_1750_1999_1EPT_OthNW,I_1750_1999_1AW_OthNW,I_1750_1999_BNW,I_1750_1999_LFsta_NS,I_1750_1999_Tot,I_2000_2499_BE_WFT,I_2000_2499_BE_WPT,I_2000_2499_BE_BAW,I_2000_2499_1EFT_OthPT,I_2000_2499_1EFT_OthAW,I_2000_2499_1EFT_OthNW,I_2000_2499_1EPT_OthAW,I_2000_2499_1EPT_OthNW,I_2000_2499_1AW_OthNW,I_2000_2499_BNW,I_2000_2499_LFsta_NS,I_2000_2499_Tot,I_2500_2999_BE_WFT,I_2500_2999_BE_WPT,I_2500_2999_BE_BAW,I_2500_2999_1EFT_OthPT,I_2500_2999_1EFT_OthAW,I_2500_2999_1EFT_OthNW,I_2500_2999_1EPT_OthAW,I_2500_2999_1EPT_OthNW,I_2500_2999_1AW_OthNW,I_2500_2999_BNW,I_2500_2999_LFsta_NS,I_2500_2999_Tot,I_3000_3499_BE_WFT,I_3000_3499_BE_WPT,I_3000_3499_BE_BAW,I_3000_3499_1EFT_OthPT,I_3000_3499_1EFT_OthAW,I_3000_3499_1EFT_OthNW,I_3000_3499_1EPT_OthAW,I_3000_3499_1EPT_OthNW,I_3000_3499_1AW_OthNW,I_3000_3499_BNW,I_3000_3499_LFsta_NS,I_3000_3499_Tot,I_3500_3999_BE_WFT,I_3500_3999_BE_WPT,I_3500_3999_BE_BAW,I_3500_3999_1EFT_OthPT,I_3500_3999_1EFT_OthAW,I_3500_3999_1EFT_OthNW,I_3500_3999_1EPT_OthAW,I_3500_3999_1EPT_OthNW,I_3500_3999_1AW_OthNW,I_3500_3999_BNW,I_3500_3999_LFsta_NS,I_3500_3999_Tot,I_4000more_BE_WFT,I_4000more_BE_WPT,I_4000more_BE_BAW,I_4000more_1EFT_OthPT,I_4000more_1EFT_OthAW,I_4000more_1EFT_OthNW,I_4000more_1EPT_OthAW,I_4000more_1EPT_OthNW
201011001,0,0,0,0,0,3,0,0,0,15,0,14,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,35,0,0,0,0,0,0,0,5,0,13,0,24,0,5,0,3,0,7,0,13,3,94,3,130,0,6,0,8,0,6,0,12,0,50,0,88,3,8,0,7,0,5,0,10,3,47,0,91,10,3,0,15,0,21,3,11,0,23,0,93,20,3,0,18,0,17,0,3,0,14,0,68,21,0,0,18,7,10,0,5,3,11,0,75,64,3,3,34,3,20,0,0,4,10,0,142,53,0,0,20,0,4,3,0,0,3,0,84,39,0,0,8,0,0,0,0,0,3,0,53,12,0,0,3,0,0,0,0,0,0,0,22,21,0,3,14,0,0,0,3
201011002,3,0,0,0,0,0,0,0,0,15,0,17,0,0,0,0,0,0,0,3,0,3,0,11,0,0,0,0,0,0,0,3,0,6,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,28,0,37,0,0,0,0,0,4,0,9,0,13,0,26,0,4,0,3,0,4,0,8,0,101,0,121,4,6,0,0,0,4,0,6,0,52,0,88,0,8,0,15,0,12,0,12,5,49,0,99,12,3,0,19,0,10,3,8,0,38,4,100,12,5,0,26,0,15,0,11,0,14,0,77,17,3,0,23,0,12,0,8,0,16,0,84,52,6,0,34,6,17,0,9,3,29,0,146,46,5,0,27,6,8,0,4,0,13,0,107,29,0,0,17,3,0,0,0,0,0,0,50,20,0,0,5,0,6,0,0,0,3,0,40,35,7,3,25,3,12,4,8
201011003,0,0,0,0,0,0,0,3,0,20,0,23,0,0,0,0,0,0,0,3,0,10,0,16,0,0,0,0,0,0,0,3,0,12,0,17,0,0,0,0,0,0,0,0,0,8,0,20,0,0,0,3,0,3,0,12,0,66,0,83,0,6,0,7,0,0,0,19,0,32,0,61,0,7,0,8,0,8,0,26,0,262,0,311,3,16,0,20,0,22,0,33,0,88,3,191,13,20,0,27,11,33,0,22,0,109,0,244,26,19,0,61,3,29,3,19,3,67,0,235,40,9,0,63,3,24,3,4,0,21,0,155,48,4,4,50,6,22,3,3,0,16,0,154,134,21,7,64,5,32,0,12,3,17,0,299,72,3,5,44,3,5,0,0,0,3,0,137,46,0,3,26,4,0,0,0,0,7,0,81,30,0,0,0,3,6,0,0,0,3,0,45,37,8,0,19,3,10,0,3
201011004,0,0,0,0,0,0,0,0,0,15,7,23,0,0,0,0,0,0,0,0,0,14,0,14,0,0,0,0,0,0,0,4,0,6,0,12,0,0,0,0,0,0,0,3,0,8,0,8,0,3,0,0,0,3,0,15,3,84,0,113,0,4,0,3,0,7,0,22,0,37,3,76,0,15,0,8,0,17,0,31,4,319,6,391,8,16,0,16,0,43,3,26,6,96,3,215,14,25,0,35,0,39,0,28,0,86,0,237,35,21,3,60,4,30,0,18,3,64,0,239,39,10,0,50,3,27,0,5,0,13,0,148,51,8,0,31,3,15,0,3,0,12,0,124,128,11,3,49,7,21,3,3,0,8,0,235,67,4,0,25,0,0,0,0,3,3,0,108,37,0,0,9,0,0,0,0,0,3,0,49,18,0,0,0,0,8,0,0,0,0,0,26,15,0,0,9,0,0,0,0
201011005,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,11,0,11,0,0,0,0,0,0,0,4,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,5,0,15,0,24,0,0,0,0,0,0,0,3,0,8,0,18,3,3,0,0,0,0,0,11,0,71,0,90,0,4,0,0,0,8,0,8,0,43,0,60,5,3,0,6,0,10,0,10,6,37,0,70,4,5,0,9,0,6,0,4,0,24,0,51,7,0,0,8,0,6,0,4,0,12,0,39,7,3,0,10,0,9,0,3,0,9,0,47,24,3,0,24,3,9,0,3,0,13,0,81,25,3,0,13,6,5,0,3,0,3,0,54,22,0,0,7,0,0,0,0,0,3,0,38,9,0,0,4,0,3,0,0,0,3,0,18,19,0,0,19,0,4,0,3
201011006,0,0,0,0,0,0,0,0,0,5,0,4,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,3,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,21,0,29,0,4,0,0,0,0,0,0,0,6,0,17,0,4,0,0,0,5,0,7,0,103,3,122,0,0,0,3,0,8,0,10,0,31,0,53,3,10,0,20,0,9,0,5,4,27,0,81,19,3,0,22,3,12,0,4,0,13,0,69,15,6,0,19,0,14,0,3,3,0,0,52,22,0,0,18,3,3,0,0,0,3,0,46,49,0,3,15,4,6,0,3,0,3,0,90,27,0,0,11,3,0,0,0,0,0,0,39,10,0,0,3,0,0,0,0,0,0,0,15,13,0,0,3,0,0,0,0,0,0,0,16,4,0,0,3,0,0,0,0
201011007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,16,0,24,0,0,0,0,0,0,0,0,0,13,0,9,0,0,0,0,0,0,0,9,0,40,0,55,0,0,0,0,0,10,0,5,0,21,0,33,3,3,0,4,0,7,0,3,3,19,0,43,0,0,0,13,3,0,0,3,0,6,0,35,3,3,0,7,0,0,0,3,0,0,0,26,4,3,0,8,0,3,0,0,0,3,0,22,22,0,0,14,0,4,4,0,0,4,0,52,14,3,0,4,3,3,0,3,0,0,0,30,10,0,0,3,0,0,0,0,0,0,0,10,3,0,0,0,0,0,0,0,0,0,0,4,3,0,0,3,0,0,0,0
201011008,0,0,0,0,0,0,0,0,0,10,0,10,0,0,0,0,0,0,0,0,0,4,0,5,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,5,0,70,0,74,0,0,0,0,0,0,0,4,0,25,0,34,0,7,0,0,3,17,0,25,3,224,3,279,3,3,0,4,0,13,0,17,5,83,0,138,7,10,0,16,4,25,0,19,3,71,0,159,15,9,0,37,0,14,0,16,0,43,0,126,19,3,0,27,0,15,0,6,0,3,0,76,30,0,0,23,3,16,0,0,0,6,0,80,72,6,8,29,3,5,0,0,0,9,0,143,33,0,3,17,5,0,0,0,0,4,0,63,7,0,0,7,0,3,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,3,7,0,0,3,0,0,0,0
201021009,0,0,0,0,0,0,0,0,0,12,0,11,0,0,0,0,0,0,0,0,0,10,0,12,3,0,0,0,0,0,0,0,0,6,0,9,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,6,0,23,0,31,0,0,0,0,0,7,0,4,0,13,0,20,3,3,0,0,0,3,0,8,4,72,0,91,3,3,0,7,0,7,0,9,0,17,0,40,3,6,0,3,0,11,0,5,0,20,0,59,13,4,0,20,0,18,0,3,0,18,0,72,4,3,0,10,0,9,0,0,0,6,0,29,15,0,0,7,0,10,0,0,0,3,0,43,42,0,0,9,0,17,0,4,0,0,0,72,19,0,3,9,0,5,0,3,0,0,0,45,13,0,0,9,3,4,0,0,0,3,0,30,12,0,0,0,0,3,0,0,0,0,0,16,9,0,0,3,5,4,0,0
201021010,0,0,0,0,0,0,0,0,0,10,0,14,3,0,0,0,0,0,0,0,0,3,0,10,0,3,0,3,0,0,0,5,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,5,3,43,0,52,0,0,0,0,0,0,0,8,0,22,0,36,3,8,0,5,0,8,0,21,0,111,3,162,4,5,0,0,0,15,0,15,0,57,0,102,7,4,0,11,0,10,3,11,0,45,3,102,20,6,3,21,0,3,0,8,0,26,0,85,9,3,0,9,0,8,3,7,3,3,0,49,15,6,0,12,3,7,0,0,0,10,0,47,27,3,0,29,0,18,0,5,3,3,0,95,27,0,0,15,3,0,0,0,0,0,0,48,10,3,0,8,0,0,0,0,0,0,0,19,6,3,0,0,0,0,0,0,0,3,0,12,10,0,0,4,0,0,0,0
