SA2_MAINCODE_2016,NegNil_inc_Emp_WFT,NegNil_inc_Emp_WPT,NegNil_inc_Emp_AW,NegNil_inc_E_T,NegNil_inc_UnE_lfw_FTW,NegNil_inc_UnE_lfw_PTW,NegNil_inc_UnE_lfw_Tot,NegNil_inc_T_LF,NegNil_inc_Notin_LF,NegNil_inc_LF_sta_NS,NegNil_inc_Tot,I_1_149_Emp_WFT,I_1_149_Emp_WPT,I_1_149_Emp_AW,I_1_149_E_T,I_1_149_UnE_lfw_FTW,I_1_149_UnE_lfw_PTW,I_1_149_UnE_lfw_Tot,I_1_149_T_LF,I_1_149_Notin_LF,I_1_149_LF_sta_NS,I_1_149_Tot,I_150_299_Emp_WFT,I_150_299_Emp_WPT,I_150_299_Emp_AW,I_150_299_E_T,I_150_299_UnE_lfw_FTW,I_150_299_UnE_lfw_PTW,I_150_299_UnE_lfw_Tot,I_150_299_T_LF,I_150_299_Notin_LF,I_150_299_LF_sta_NS,I_150_299_Tot,I_300_399_Emp_WFT,I_300_399_Emp_WPT,I_300_399_Emp_AW,I_300_399_E_T,I_300_399_UnE_lfw_FTW,I_300_399_UnE_lfw_PTW,I_300_399_UnE_lfw_Tot,I_300_399_T_LF,I_300_399_Notin_LF,I_300_399_LF_sta_NS,I_300_399_Tot,I_400_499_Emp_WFT,I_400_499_Emp_WPT,I_400_499_Emp_AW,I_400_499_E_T,I_400_499_UnE_lfw_FTW,I_400_499_UnE_lfw_PTW,I_400_499_UnE_lfw_Tot,I_400_499_T_LF,I_400_499_Notin_LF,I_400_499_LF_sta_NS,I_400_499_Tot,I_500_649_Emp_WFT,I_500_649_Emp_WPT,I_500_649_Emp_AW,I_500_649_E_T,I_500_649_UnE_lfw_FTW,I_500_649_UnE_lfw_PTW,I_500_649_UnE_lfw_Tot,I_500_649_T_LF,I_500_649_Notin_LF,I_500_649_LF_sta_NS,I_500_649_Tot,I_650_799_Emp_WFT,I_650_799_Emp_WPT,I_650_799_Emp_AW,I_650_799_E_T,I_650_799_UnE_lfw_FTW,I_650_799_UnE_lfw_PTW,I_650_799_UnE_lfw_Tot,I_650_799_T_LF,I_650_799_Notin_LF,I_650_799_LF_sta_NS,I_650_799_Tot,I_800_999_Emp_WFT,I_800_999_Emp_WPT,I_800_999_Emp_AW,I_800_999_E_T,I_800_999_UnE_lfw_FTW,I_800_999_UnE_lfw_PTW,I_800_999_UnE_lfw_Tot,I_800_999_T_LF,I_800_999_Notin_LF,I_800_999_LF_sta_NS,I_800_999_Tot,I_1000_1249_Emp_WFT,I_1000_1249_Emp_WPT,I_1000_1249_Emp_AW,I_1000_1249_E_T,I_1000_1249_UnE_lfw_FTW,I_1000_1249_UnE_lfw_PTW,I_1000_1249_UnE_lfw_Tot,I_1000_1249_T_LF,I_1000_1249_Notin_LF,I_1000_1249_LF_sta_NS,I_1000_1249_Tot,I_1250_1499_Emp_WFT,I_1250_1499_Emp_WPT,I_1250_1499_Emp_AW,I_1250_1499_E_T,I_1250_1499_UnE_lfw_FTW,I_1250_1499_UnE_lfw_PTW,I_1250_1499_UnE_lfw_Tot,I_1250_1499_T_LF,I_1250_1499_Notin_LF,I_1250_1499_LF_sta_NS,I_1250_1499_Tot,I_1500_1749_Emp_WFT,I_1500_1749_Emp_WPT,I_1500_1749_Emp_AW,I_1500_1749_E_T,I_1500_1749_UnE_lfw_FTW,I_1500_1749_UnE_lfw_PTW,I_1500_1749_UnE_lfw_Tot,I_1500_1749_T_LF,I_1500_1749_Notin_LF,I_1500_1749_LF_sta_NS,I_1500_1749_Tot,I_1750_1999_Emp_WFT,I_1750_1999_Emp_WPT,I_1750_1999_Emp_AW,I_1750_1999_E_T,I_1750_1999_UnE_lfw_FTW,I_1750_1999_UnE_lfw_PTW,I_1750_1999_UnE_lfw_Tot,I_1750_1999_T_LF,I_1750_1999_Notin_LF,I_1750_1999_LF_sta_NS,I_1750_1999_Tot,I_2000_2499_Emp_WFT,I_2000_2499_Emp_WPT,I_2000_2499_Emp_AW,I_2000_2499_E_T,I_2000_2499_UnE_lfw_FTW,I_2000_2499_UnE_lfw_PTW,I_2000_2499_UnE_lfw_Tot,I_2000_2499_T_LF,I_2000_2499_Notin_LF,I_2000_2499_LF_sta_NS,I_2000_2499_Tot,I_2500_2999_Emp_WFT,I_2500_2999_Emp_WPT,I_2500_2999_Emp_AW,I_2500_2999_E_T,I_2500_2999_UnE_lfw_FTW,I_2500_2999_UnE_lfw_PTW,I_2500_2999_UnE_lfw_Tot,I_2500_2999_T_LF,I_2500_2999_Notin_LF,I_2500_2999_LF_sta_NS,I_2500_2999_Tot,I_3000_3499_Emp_WFT,I_3000_3499_Emp_WPT,I_3000_3499_Emp_AW,I_3000_3499_E_T,I_3000_3499_UnE_lfw_FTW,I_3000_3499_UnE_lfw_PTW,I_3000_3499_UnE_lfw_Tot,I_3000_3499_T_LF,I_3000_3499_Notin_LF,I_3000_3499_LF_sta_NS,I_3000_3499_Tot,I_3500_3999_Emp_WFT,I_3500_3999_Emp_WPT,I_3500_3999_Emp_AW,I_3500_3999_E_T,I_3500_3999_UnE_lfw_FTW,I_3500_3999_UnE_lfw_PTW,I_3500_3999_UnE_lfw_Tot,I_3500_3999_T_LF,I_3500_3999_Notin_LF,I_3500_3999_LF_sta_NS,I_3500_3999_Tot,I_4000more_Emp_WFT,I_4000more_Emp_WPT,I_4000more_Emp_AW,I_4000more_E_T,I_4000more_UnE_lfw_FTW,I_4000more_UnE_lfw_PTW,I_4000more_UnE_lfw_Tot,I_4000more_T_LF,I_4000more_Notin_LF,I_4000more_LF_sta_NS,I_4000more_Tot,Part_inc_sta_Emp_WFT,Part_inc_sta_Emp_WPT,Part_inc_sta_Emp_AW,Part_inc_sta_E_T,Part_inc_sta_UnE_lfw_FTW,Part_inc_sta_UnE_lfw_PTW,Part_inc_sta_UnE_lfw_Tot,Part_inc_sta_T_LF,Part_inc_sta_Notin_LF,Part_inc_sta_LF_sta_NS,Part_inc_sta_Tot,All_inc_NS_Emp_WFT,All_inc_NS_Emp_WPT
201011001,0,0,0,0,0,0,0,3,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,7,3,0,5,0,4,0,4,0,0,0,3,5,0,5,0,12,0,12,0,0,3,13,9,0,25,5,28,0,33,7,5,7,41,22,0,59,13,20,0,29,0,0,0,25,20,0,53,13,23,0,41,0,0,0,39,8,0,54,31,23,3,52,3,0,3,56,9,0,68,23,12,0,34,0,0,0,34,6,0,43,17,3,0,23,0,0,0,23,3,0,25,13,0,0,20,0,0,0,20,0,0,22,20,5,0,27,0,0,0,27,3,0,28,11,3,0,13,0,0,0,13,4,0,14,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,3,0,0,3,4,0,0,4,0,0,0,4,0,0,9,21,10,0,38,0,0,6,40,8,0,44,0,0
201011002,0,0,0,0,0,0,0,0,7,0,5,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,4,4,0,0,3,0,0,0,3,3,3,5,6,11,0,16,0,7,0,5,3,0,3,10,18,0,32,3,17,0,24,3,4,3,30,16,0,46,7,11,0,16,0,0,0,20,26,0,43,8,22,0,29,3,0,3,32,28,0,58,16,25,0,36,0,0,0,40,10,0,51,29,11,0,36,0,0,0,36,6,0,49,20,10,4,30,0,0,0,30,6,0,34,15,5,0,23,0,0,0,23,7,0,31,10,6,0,15,0,0,0,15,0,0,18,3,0,0,9,0,0,0,9,0,0,6,0,0,0,3,0,0,0,3,0,0,3,4,0,0,4,0,0,0,3,0,0,4,7,0,0,8,0,0,0,8,0,0,6,22,3,0,29,0,3,4,32,11,3,42,4,3
201011003,3,0,0,3,3,0,0,3,7,0,13,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,5,0,3,8,10,0,24,0,16,0,16,3,3,4,20,27,0,44,0,12,3,15,4,10,17,32,49,0,78,6,34,3,50,9,14,21,70,60,0,130,10,32,7,50,6,0,4,54,77,0,129,32,35,0,58,0,0,3,62,55,0,119,27,31,0,57,3,3,4,62,39,0,99,26,25,3,59,0,0,0,59,24,0,79,25,7,3,33,0,0,0,33,21,0,61,28,3,0,33,0,0,0,33,10,0,44,25,7,3,36,0,0,0,36,6,0,41,13,3,0,16,0,0,0,16,3,0,17,0,3,0,3,0,0,0,3,0,0,5,9,0,0,9,0,0,0,9,3,0,12,0,0,0,3,0,0,0,3,0,0,7,38,32,0,66,0,5,6,73,26,3,105,0,3
201011004,0,0,0,0,0,0,0,4,14,0,15,0,0,0,0,0,0,0,0,5,0,9,4,6,0,9,4,0,9,21,19,0,37,0,18,0,18,3,8,11,27,47,0,72,3,20,3,28,8,14,18,43,77,0,119,3,63,8,77,6,14,22,99,111,0,209,27,65,6,107,4,10,19,118,115,3,244,43,54,3,96,3,4,10,111,65,0,179,40,35,3,81,3,8,8,91,56,0,146,38,23,0,65,0,0,3,66,24,0,87,30,11,0,44,0,3,3,51,13,0,63,26,6,0,32,0,0,0,35,5,0,38,23,10,6,33,0,0,0,33,9,0,48,10,0,0,6,0,0,0,6,3,0,11,10,0,0,11,0,0,0,11,0,0,11,4,3,0,3,0,0,0,3,0,0,10,0,0,0,0,0,0,0,0,0,0,0,29,32,3,61,9,6,15,75,40,0,118,0,6
201011005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,0,3,0,4,0,4,0,0,0,3,5,0,10,0,0,0,3,3,0,3,5,9,0,17,6,8,0,16,0,0,0,16,11,0,27,9,8,0,20,0,0,0,20,8,0,30,7,4,0,6,0,0,0,6,4,0,13,7,4,0,16,0,0,0,16,4,0,17,9,3,3,12,0,0,0,12,3,0,18,4,3,0,10,0,0,0,10,0,0,5,10,3,0,17,0,0,0,14,4,0,19,0,3,0,4,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,5,5,14,0,0,0,14,0,0,22,0,0
201011006,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,7,5,8,0,12,0,0,0,0,0,0,0,0,4,0,6,3,6,0,12,0,6,6,17,12,0,28,0,19,0,20,3,3,7,22,20,0,42,9,17,0,26,0,0,0,26,16,0,44,10,16,3,28,0,0,3,26,15,0,46,14,12,4,23,0,0,0,29,15,0,42,15,12,3,28,0,0,0,28,7,0,32,5,10,0,13,0,0,0,13,3,0,15,8,3,0,13,0,0,0,13,0,0,17,6,3,0,8,0,0,0,8,3,0,14,3,0,0,3,0,0,0,7,0,0,7,3,0,0,3,0,0,0,3,0,0,3,0,0,0,3,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,11,9,0,16,0,0,0,19,12,0,35,0,0
201011007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,3,0,3,0,3,0,0,0,3,3,0,5,0,3,0,6,0,3,3,7,8,0,14,0,3,0,3,0,0,0,3,3,0,12,4,3,0,6,0,0,0,6,6,0,15,7,3,0,8,0,0,3,6,0,0,11,5,0,0,5,0,0,0,5,0,0,4,4,0,0,4,0,0,0,4,3,0,3,4,0,0,3,0,0,0,3,0,0,3,7,0,0,7,0,0,0,7,0,0,7,3,0,0,7,0,0,0,7,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,6,0,0,0,6,0,0,10,0,0
201011008,0,0,0,3,0,0,0,3,10,0,8,0,0,0,0,0,0,0,0,3,0,3,0,3,0,3,0,0,0,5,17,0,27,0,3,0,7,3,3,9,12,32,0,47,3,19,0,24,4,8,16,40,54,0,97,3,24,3,33,3,9,14,46,48,0,98,5,31,3,38,0,3,7,50,50,0,102,21,20,0,43,3,5,10,49,53,0,97,27,21,3,57,0,0,0,57,30,0,87,24,16,0,36,0,0,4,35,20,0,52,17,10,0,27,0,0,0,27,10,0,35,13,4,0,17,0,0,0,17,3,0,16,10,0,0,18,0,0,0,18,3,0,20,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,7,12,13,3,27,3,0,3,34,28,3,66,0,3
201021009,0,0,0,0,0,0,0,0,3,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,12,0,0,0,0,0,0,6,3,4,0,12,0,9,0,9,0,0,0,8,7,0,13,4,3,0,7,0,0,3,7,9,0,15,4,5,0,11,0,0,0,12,8,0,25,3,10,0,12,0,0,0,12,6,0,25,8,4,0,10,0,0,0,12,7,0,25,7,3,0,9,0,0,0,9,3,0,10,10,3,0,13,0,0,0,13,0,0,13,3,4,0,4,0,0,0,4,3,0,7,5,5,0,7,0,0,0,7,0,0,11,0,0,0,3,0,0,0,3,0,0,4,4,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,5,3,14,0,0,0,13,6,0,21,0,0
201021010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,5,0,12,0,6,0,3,0,0,0,5,8,0,16,3,6,0,9,4,0,0,9,12,0,25,0,13,0,12,4,0,4,19,24,0,45,0,9,0,20,0,0,0,21,25,0,40,5,16,3,20,0,0,0,24,14,0,40,7,7,0,13,0,0,0,17,15,0,31,3,4,0,9,0,3,3,12,8,0,18,3,4,0,8,0,0,0,8,0,0,12,6,0,0,7,0,0,0,7,0,0,12,9,0,0,9,0,0,0,9,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,3,0,0,3,0,0,0,3,0,0,3,7,5,0,8,0,0,0,8,16,0,26,0,0
