SA2_MAINCODE_2016,All_inc_NS_Emp_AW,All_inc_NS_E_T,All_inc_NS_UnE_lfw_FTW,All_inc_NS_UnE_lfw_PTW,All_inc_NS_UnE_lfw_Tot,All_inc_NS_T_LF,All_inc_NS_Notin_LF,All_inc_NS_LF_sta_NS,All_inc_NS_Tot,Tot_Emp_WFT,Tot_Emp_WPT,Tot_Emp_AW,Tot_E_T,Tot_UnE_lfw_FTW,Tot_UnE_lfw_PTW,Tot_UnE_lfw_Tot,Tot_T_LF,Tot_Notin_LF,Tot_LF_sta_NS,Tot_Tot
201011001,0,0,0,0,0,3,4,0,6,177,152,7,337,17,14,27,366,107,3,476
201011002,0,4,0,0,0,4,3,4,10,149,120,10,283,14,11,27,312,156,3,470
201011003,3,7,0,0,3,7,7,6,16,242,248,25,514,30,43,73,586,430,11,1026
201011004,3,12,0,3,3,13,20,5,33,303,346,36,687,45,73,118,801,631,17,1447
201011005,0,0,0,0,0,0,3,0,3,70,49,6,127,3,0,3,132,61,0,194
201011006,0,0,0,0,0,0,10,3,12,89,102,12,207,13,16,27,237,125,3,363
201011007,0,0,0,0,0,0,0,0,0,38,18,5,62,0,3,5,66,31,0,94
201011008,0,4,0,0,0,7,20,8,30,143,174,20,332,22,43,60,397,384,13,795
201021009,0,4,0,0,0,5,0,3,3,49,48,9,111,3,7,16,127,77,3,202
201021010,0,0,3,0,3,3,0,7,9,51,77,11,138,9,6,17,161,138,3,304
201021011,0,0,0,0,0,0,3,3,9,65,103,6,179,3,15,18,195,128,3,325
201021012,0,0,0,0,0,0,3,0,3,37,49,4,86,9,10,12,100,77,0,177
201031013,0,0,0,0,0,0,0,0,3,15,20,0,38,3,3,10,40,62,4,104
201031014,0,0,0,0,0,0,0,3,3,29,34,0,66,4,3,10,73,56,3,127
201031015,0,0,0,0,0,0,3,0,3,25,35,5,65,9,0,7,73,81,0,159
201031016,0,3,0,0,0,3,11,3,17,60,94,10,159,15,13,30,192,245,5,439
201031017,0,0,0,0,0,0,3,4,7,36,36,5,78,3,15,16,92,135,4,231
202011018,0,7,0,0,0,7,14,0,20,173,218,23,417,26,45,65,481,386,5,875
202011019,4,5,0,0,0,5,12,3,23,140,173,22,337,21,28,50,386,362,7,755
202011020,0,3,0,0,0,3,5,0,11,157,166,13,336,19,15,33,369,226,11,610
202011021,0,3,0,0,0,3,3,3,11,137,118,18,274,3,7,13,283,167,3,457
202011022,0,3,0,0,3,4,11,4,25,260,240,30,532,31,23,54,583,429,7,1025
202011023,0,0,0,0,0,0,0,0,0,37,40,0,77,5,0,4,84,44,0,127
202011024,0,6,0,0,0,6,0,0,6,97,92,11,201,4,7,16,215,58,0,272
202011025,0,3,0,0,0,3,0,0,5,137,186,28,354,10,21,36,389,199,0,582
202021026,0,0,0,0,0,0,0,0,8,50,43,7,99,3,6,11,112,76,0,186
202021027,0,0,0,0,0,0,5,0,5,111,152,9,264,13,18,30,290,184,6,487
202021028,0,3,0,0,0,3,3,0,6,63,79,5,144,9,6,13,160,127,3,288
202021029,0,0,0,0,0,0,4,0,4,31,38,0,62,11,3,15,79,96,0,178
202021030,0,3,0,0,0,5,0,3,8,100,112,12,220,5,4,11,238,130,3,372
202021031,0,0,0,0,0,0,0,0,4,77,73,6,157,6,3,10,165,70,0,238
202031032,0,0,0,0,0,0,0,0,0,39,37,0,75,0,3,3,79,63,4,147
202031033,0,0,0,0,0,0,11,0,13,30,43,4,80,10,0,6,89,135,3,231
203011034,0,0,0,0,0,0,0,0,3,61,54,0,119,3,8,7,129,53,0,180
203011035,0,3,0,0,0,3,0,0,3,46,56,11,113,3,4,12,122,86,3,214
203011036,0,7,0,0,0,7,4,0,11,44,51,3,103,3,3,3,110,78,0,181
203021037,0,0,0,0,0,4,3,0,3,203,176,19,404,16,15,28,435,218,3,656
203021038,3,5,0,0,3,8,27,26,66,262,386,44,700,86,93,176,874,1124,38,2035
203021039,0,5,0,0,0,5,7,3,10,146,132,16,295,15,7,21,321,188,4,508
203021040,0,10,0,0,0,9,9,4,27,261,211,32,500,19,13,31,536,293,10,832
203021041,3,5,0,0,3,8,4,3,17,281,242,26,551,26,16,40,588,304,7,906
203021042,0,6,0,0,0,6,3,0,10,210,172,16,399,11,10,26,429,176,3,602
203021043,0,0,0,0,0,4,3,3,8,225,188,23,438,11,12,23,463,221,8,692
203021044,0,0,0,0,0,0,0,3,5,156,166,13,339,15,20,35,376,168,3,547
203021045,3,3,4,0,4,7,14,6,32,187,218,30,432,30,18,48,488,398,15,896
203021046,0,0,0,0,0,0,3,0,3,122,88,5,216,13,8,13,228,96,4,330
203021047,0,3,0,0,3,3,16,3,22,196,178,14,385,24,22,38,425,333,6,761
203031048,0,3,0,0,0,3,9,3,10,149,165,12,333,12,14,28,362,216,3,579
203031049,0,0,0,0,0,0,0,3,4,56,44,3,105,3,3,6,107,37,3,148
203031050,0,3,0,0,0,3,9,0,10,238,271,17,527,17,19,37,564,231,0,798
203031051,0,3,0,0,0,3,11,6,15,60,53,7,117,6,9,16,133,122,11,269
203031052,0,0,0,0,0,0,3,0,5,31,43,0,73,0,6,6,76,33,0,112
203031053,0,8,0,0,0,8,3,3,14,160,192,18,365,14,16,31,395,114,3,511
204011054,0,0,0,0,0,0,3,4,6,39,38,0,79,7,8,13,89,69,6,166
204011055,0,3,0,0,3,3,4,5,11,54,60,7,126,8,5,18,142,105,5,254
204011056,0,3,0,0,0,3,5,0,15,180,169,19,367,16,14,24,394,246,6,647
204011057,0,3,0,0,0,3,0,3,5,69,101,12,177,3,3,5,181,76,7,265
204011058,0,0,0,0,0,0,3,0,3,38,29,0,64,3,4,5,70,61,0,139
204011059,0,0,0,0,0,0,3,6,9,88,83,12,183,13,11,25,212,168,8,384
204011060,0,0,0,0,0,0,0,0,0,27,29,6,60,6,0,7,62,52,0,114
204011061,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,4,0,8
204011062,0,0,0,0,0,0,5,0,5,33,31,4,67,7,5,13,78,47,0,124
204021063,0,0,0,0,0,4,13,3,22,111,135,12,254,13,9,26,280,231,3,519
204021064,0,0,0,0,0,0,3,0,3,22,19,7,41,3,7,5,47,40,0,90
204021065,0,0,0,0,0,0,0,0,3,56,47,3,106,3,4,6,112,49,0,168
204021066,0,5,0,0,0,5,17,16,39,189,243,20,457,29,26,60,514,372,17,909
204021067,0,0,0,0,0,0,4,0,4,58,62,7,125,3,5,9,134,88,0,225
204031068,0,0,0,0,0,0,4,0,3,52,54,6,108,7,7,11,119,54,3,176
204031069,0,5,0,0,0,5,0,0,4,61,93,12,167,3,3,6,172,77,0,258
204031070,0,0,0,0,0,0,3,0,4,29,36,4,69,0,3,3,74,27,0,100
