SA3_CODE_2016,M_15_19_yr_Married,M_15_19_yr_Separated,M_15_19_yr_Divorced,M_15_19_yr_Widowed,M_15_19_yr_Never_Married,M_15_19_yr_Tot,M_20_24_yr_Married,M_20_24_yr_Separated,M_20_24_yr_Divorced,M_20_24_yr_Widowed,M_20_24_yr_Never_Married,M_20_24_yr_Tot,M_25_34_yr_Married,M_25_34_yr_Separated,M_25_34_yr_Divorced,M_25_34_yr_Widowed,M_25_34_yr_Never_Married,M_25_34_yr_Tot,M_35_44_yr_Married,M_35_44_yr_Separated,M_35_44_yr_Divorced,M_35_44_yr_Widowed,M_35_44_yr_Never_Married,M_35_44_yr_Tot,M_45_54_yr_Married,M_45_54_yr_Separated,M_45_54_yr_Divorced,M_45_54_yr_Widowed,M_45_54_yr_Never_Married,M_45_54_yr_Tot,M_55_64_yr_Married,M_55_64_yr_Separated,M_55_64_yr_Divorced,M_55_64_yr_Widowed,M_55_64_yr_Never_Married,M_55_64_yr_Tot,M_65_74_yr_Married,M_65_74_yr_Separated,M_65_74_yr_Divorced,M_65_74_yr_Widowed,M_65_74_yr_Never_Married,M_65_74_yr_Tot,M_75_84_yr_Married,M_75_84_yr_Separated,M_75_84_yr_Divorced,M_75_84_yr_Widowed,M_75_84_yr_Never_Married,M_75_84_yr_Tot,M_85ov_Married,M_85ov_Separated,M_85ov_Divorced,M_85ov_Widowed,M_85ov_Never_Married,M_85ov_Tot,M_Tot_Married,M_Tot_Separated,M_Tot_Divorced,M_Tot_Widowed,M_Tot_Never_Married,M_Tot_Tot,F_15_19_yr_Married,F_15_19_yr_Separated,F_15_19_yr_Divorced,F_15_19_yr_Widowed,F_15_19_yr_Never_Married,F_15_19_yr_Tot,F_20_24_yr_Married,F_20_24_yr_Separated,F_20_24_yr_Divorced,F_20_24_yr_Widowed,F_20_24_yr_Never_Married,F_20_24_yr_Tot,F_25_34_yr_Married,F_25_34_yr_Separated,F_25_34_yr_Divorced,F_25_34_yr_Widowed,F_25_34_yr_Never_Married,F_25_34_yr_Tot,F_35_44_yr_Married,F_35_44_yr_Separated,F_35_44_yr_Divorced,F_35_44_yr_Widowed,F_35_44_yr_Never_Married,F_35_44_yr_Tot,F_45_54_yr_Married,F_45_54_yr_Separated,F_45_54_yr_Divorced,F_45_54_yr_Widowed,F_45_54_yr_Never_Married,F_45_54_yr_Tot,F_55_64_yr_Married,F_55_64_yr_Separated,F_55_64_yr_Divorced,F_55_64_yr_Widowed,F_55_64_yr_Never_Married,F_55_64_yr_Tot,F_65_74_yr_Married,F_65_74_yr_Separated,F_65_74_yr_Divorced,F_65_74_yr_Widowed,F_65_74_yr_Never_Married,F_65_74_yr_Tot,F_75_84_yr_Married,F_75_84_yr_Separated,F_75_84_yr_Divorced,F_75_84_yr_Widowed,F_75_84_yr_Never_Married,F_75_84_yr_Tot,F_85ov_Married,F_85ov_Separated,F_85ov_Divorced,F_85ov_Widowed,F_85ov_Never_Married,F_85ov_Tot,F_Tot_Married,F_Tot_Separated,F_Tot_Divorced,F_Tot_Widowed,F_Tot_Never_Married,F_Tot_Tot,P_15_19_yr_Married,P_15_19_yr_Separated,P_15_19_yr_Divorced,P_15_19_yr_Widowed,P_15_19_yr_Never_Married,P_15_19_yr_Tot,P_20_24_yr_Married,P_20_24_yr_Separated,P_20_24_yr_Divorced,P_20_24_yr_Widowed,P_20_24_yr_Never_Married,P_20_24_yr_Tot,P_25_34_yr_Married,P_25_34_yr_Separated,P_25_34_yr_Divorced,P_25_34_yr_Widowed,P_25_34_yr_Never_Married,P_25_34_yr_Tot,P_35_44_yr_Married,P_35_44_yr_Separated,P_35_44_yr_Divorced,P_35_44_yr_Widowed,P_35_44_yr_Never_Married,P_35_44_yr_Tot,P_45_54_yr_Married,P_45_54_yr_Separated,P_45_54_yr_Divorced,P_45_54_yr_Widowed,P_45_54_yr_Never_Married,P_45_54_yr_Tot,P_55_64_yr_Married,P_55_64_yr_Separated,P_55_64_yr_Divorced,P_55_64_yr_Widowed,P_55_64_yr_Never_Married,P_55_64_yr_Tot,P_65_74_yr_Married,P_65_74_yr_Separated,P_65_74_yr_Divorced,P_65_74_yr_Widowed,P_65_74_yr_Never_Married,P_65_74_yr_Tot,P_75_84_yr_Married,P_75_84_yr_Separated,P_75_84_yr_Divorced,P_75_84_yr_Widowed,P_75_84_yr_Never_Married,P_75_84_yr_Tot,P_85ov_Married,P_85ov_Separated,P_85ov_Divorced,P_85ov_Widowed,P_85ov_Never_Married,P_85ov_Tot,P_Tot_Married,P_Tot_Separated,P_Tot_Divorced,P_Tot_Widowed,P_Tot_Never_Married,P_Tot_Tot
20101,8,5,0,3,3464,3475,74,8,3,3,3734,3821,2077,132,76,11,4206,6508,3545,257,356,20,1883,6057,3739,362,825,52,1315,6289,3802,267,877,118,737,5803,3225,179,601,252,327,4598,1658,56,203,326,131,2372,440,15,36,281,34,801,18574,1278,2978,1049,15828,39714,3,0,0,3,3331,3343,129,19,4,3,3708,3866,2623,193,137,16,3818,6794,3767,392,583,40,1856,6643,3843,499,1287,142,1220,6995,3786,392,1367,380,631,6561,2984,180,949,866,253,5226,1287,41,275,1363,145,3107,242,12,74,1198,71,1603,18671,1730,4684,4015,15034,44132,12,7,0,7,6795,6819,199,34,6,6,7445,7686,4705,326,218,27,8027,13301,7311,652,938,61,3732,12700,7583,860,2116,195,2535,13287,7592,658,2242,495,1371,12360,6212,363,1552,1120,577,9822,2945,92,476,1688,276,5476,684,27,112,1476,103,2398,37246,3009,7661,5065,30864,83848
20102,0,0,0,0,779,775,4,0,0,0,576,586,350,13,8,5,672,1054,872,66,86,8,581,1612,1226,81,266,21,570,2164,1419,111,370,33,412,2353,1288,65,295,106,184,1930,513,27,82,109,44,778,106,3,16,89,13,233,5787,377,1122,363,3834,11485,0,0,0,3,724,726,25,3,0,0,491,515,468,32,19,0,629,1148,979,68,125,6,603,1785,1359,92,342,39,474,2306,1421,98,427,128,350,2418,1143,57,282,235,119,1837,330,11,71,339,29,775,67,0,16,316,15,420,5785,364,1288,1067,3435,11939,3,0,0,3,1499,1505,31,3,0,0,1066,1106,818,40,27,9,1302,2203,1851,132,215,15,1181,3394,2581,181,609,53,1050,4478,2840,206,797,164,767,4777,2430,121,580,341,300,3772,841,43,156,450,73,1557,170,6,36,404,33,648,11572,736,2410,1432,7270,23428
20103,0,0,0,0,691,691,20,3,0,0,550,568,288,19,9,0,650,979,639,69,78,6,584,1374,872,109,254,20,517,1765,1218,136,420,52,332,2156,1262,105,369,114,171,2021,596,30,117,150,62,950,136,3,5,99,11,263,5037,476,1248,440,3571,10772,3,0,0,0,637,636,32,0,0,0,481,513,413,43,17,3,569,1042,699,75,109,15,368,1281,969,110,315,42,330,1764,1200,104,424,135,170,2042,1163,62,278,298,67,1866,391,15,80,390,28,900,69,6,17,333,14,439,4936,407,1249,1221,2668,10474,3,0,0,0,1327,1330,50,3,0,0,1029,1079,703,66,22,7,1217,2016,1341,145,190,24,958,2657,1844,220,566,58,848,3532,2420,235,840,193,510,4195,2423,167,650,414,238,3882,984,45,202,543,82,1854,207,10,27,428,26,700,9970,885,2498,1656,6235,21245
20201,8,3,3,0,3012,3016,104,4,4,5,3282,3395,2047,114,79,3,3756,6001,3051,243,307,13,1744,5358,3206,354,754,54,1152,5513,3485,294,845,91,670,5384,2974,165,560,214,280,4192,1675,49,205,310,112,2352,468,17,31,325,47,886,17017,1232,2784,1012,14043,36093,11,0,3,6,2980,3002,164,11,3,4,3390,3572,2550,202,145,13,3510,6419,3249,363,551,38,1689,5884,3314,421,1178,102,1017,6039,3501,334,1292,365,526,6022,2727,161,817,770,213,4688,1303,41,275,1161,108,2891,274,16,78,1194,64,1632,17106,1559,4335,3651,13499,40147,17,3,4,6,5988,6023,272,15,6,8,6672,6970,4596,319,222,12,7274,12416,6301,608,855,49,3432,11241,6518,777,1929,154,2169,11552,6983,634,2137,457,1194,11405,5705,319,1376,980,498,8880,2986,92,483,1471,215,5240,738,26,111,1524,111,2515,34121,2792,7119,4664,27546,76243
20202,0,0,0,0,1391,1394,35,0,0,0,967,1010,629,28,17,0,1297,1971,1585,101,148,12,920,2774,2042,163,385,29,861,3484,2247,166,627,96,598,3727,2020,129,535,142,235,3068,944,33,158,178,81,1386,228,5,19,147,26,433,9733,636,1884,611,6376,19239,0,0,0,0,1279,1279,36,3,0,0,827,866,751,46,38,5,1061,1898,1741,144,190,18,902,2998,2211,186,529,55,751,3739,2198,148,776,186,485,3797,1806,102,584,399,199,3088,662,22,162,562,66,1464,125,3,43,500,29,698,9529,659,2321,1726,5598,19830,0,0,0,0,2670,2668,72,5,3,0,1788,1878,1377,76,50,8,2360,3871,3332,250,338,35,1820,5768,4252,351,915,87,1615,7219,4441,312,1400,287,1079,7525,3825,231,1116,540,439,6155,1602,54,315,740,142,2852,357,9,59,648,58,1128,19264,1296,4203,2342,11973,39071
20203,0,0,0,0,339,340,7,0,0,0,184,195,133,12,7,0,239,390,353,27,35,0,195,609,485,48,110,8,192,835,654,63,185,21,160,1078,528,60,146,46,92,876,238,9,49,63,25,383,61,6,7,49,16,141,2459,219,541,183,1433,4841,0,0,0,0,343,343,9,3,0,0,175,193,209,13,9,0,190,426,386,18,34,5,142,593,559,33,112,20,141,867,631,38,160,49,57,942,443,23,97,102,29,695,178,8,29,173,13,404,35,0,4,130,3,173,2455,143,440,483,1110,4624,0,0,0,0,682,686,19,3,0,0,365,384,338,22,20,0,436,818,740,45,67,3,338,1194,1044,83,219,21,335,1701,1284,105,339,68,218,2013,974,82,247,146,119,1568,417,14,78,235,36,786,97,3,11,179,20,311,4909,364,980,665,2545,9469
20301,0,0,0,0,667,667,8,0,0,0,465,474,389,11,14,0,472,883,900,44,63,4,300,1314,963,80,124,16,219,1403,914,53,183,28,131,1312,714,30,93,45,48,931,254,14,27,45,12,349,52,3,0,28,10,97,4203,230,503,168,2326,7428,0,0,0,0,568,573,19,0,0,0,370,385,513,25,26,3,423,981,941,69,93,5,270,1377,1039,60,154,22,157,1430,913,39,160,56,79,1250,593,7,92,112,24,829,184,3,19,119,9,337,28,0,5,126,4,162,4228,200,549,446,1899,7330,0,0,0,0,1240,1242,27,0,0,0,833,863,896,31,34,3,894,1864,1840,115,154,11,576,2696,2006,133,278,36,375,2833,1826,95,347,86,206,2563,1310,41,186,153,69,1761,441,17,52,164,18,687,83,4,9,158,9,258,8434,433,1059,613,4226,14759
20302,18,0,8,0,6055,6078,182,11,4,4,6748,6948,4273,177,158,14,7968,12591,6851,513,659,17,3531,11585,6957,654,1497,71,2529,11712,6924,509,1685,195,1248,10562,5899,293,1085,431,508,8215,3230,106,343,664,172,4511,1031,29,70,653,66,1845,35367,2290,5509,2057,28823,74047,18,0,0,7,5948,5979,307,17,11,7,6399,6737,5133,304,253,43,7057,12794,7076,676,981,101,3298,12140,7112,874,2268,264,2081,12603,6825,642,2433,741,1035,11679,5438,314,1589,1564,400,9304,2555,82,511,2543,159,5845,582,20,141,2487,119,3343,35051,2934,8197,7753,26492,80427,39,0,7,7,12007,12055,491,30,13,8,13146,13688,9406,482,413,50,15024,25386,13933,1193,1644,122,6829,23722,14072,1529,3772,334,4611,24312,13748,1156,4122,941,2286,22243,11336,603,2676,2002,908,17524,5780,188,852,3205,324,10355,1615,43,213,3138,184,5191,70420,5221,13705,9809,55317,154470
20303,3,0,4,0,1997,2004,15,0,3,0,1538,1554,1162,48,25,3,1927,3171,2838,165,211,14,1177,4403,2953,214,454,20,738,4376,3464,205,706,74,470,4913,3478,137,453,196,180,4443,1631,34,135,245,56,2098,429,9,26,244,15,723,15959,809,2014,793,8093,27678,4,0,0,0,1804,1809,39,6,4,3,1303,1353,1610,82,61,6,1910,3670,3039,210,307,23,1139,4718,3076,282,755,87,748,4948,3615,239,885,214,442,5392,3218,127,733,538,184,4800,1211,27,185,861,69,2362,204,6,39,872,27,1154,16020,982,2976,2602,7636,30213,6,0,4,0,3802,3814,56,8,7,3,2837,2906,2775,133,89,8,3838,6841,5871,379,522,39,2319,9119,6030,495,1209,110,1483,9326,7076,437,1598,288,911,10308,6694,264,1183,739,364,9245,2842,61,318,1106,130,4456,631,13,69,1113,44,1869,31982,1789,4997,3399,15728,57894
20401,4,3,0,0,1708,1713,22,0,0,0,1370,1388,750,45,49,0,1677,2515,1552,106,186,8,953,2802,2013,237,481,26,861,3615,2556,262,690,97,606,4214,2478,207,622,205,259,3762,1159,43,163,230,93,1694,299,11,31,187,38,565,10815,909,2224,761,7557,22269,6,0,0,0,1504,1508,46,11,0,0,1111,1170,998,68,42,7,1436,2551,1681,190,251,18,921,3059,2154,253,630,86,640,3757,2640,197,770,196,361,4161,2269,134,522,490,142,3549,819,23,167,766,58,1826,117,6,43,635,14,820,10713,885,2424,2198,6186,22410,10,4,3,0,3212,3227,63,11,0,0,2477,2554,1744,115,90,10,3113,5066,3233,297,432,26,1873,5864,4161,489,1110,112,1497,7372,5190,459,1463,298,960,8373,4744,335,1144,690,398,7314,1974,73,328,996,146,3521,409,18,67,827,54,1384,21531,1792,4647,2961,13741,44677
