SA3_CODE_2016,F_China_0_4,F_China_5_14,F_China_15_24,F_China_25_44,F_China_45_54,F_China_55_64,F_China_65_74,F_China_75_84,F_China_85ov,F_China_Tot,F_Croatia_0_4,F_Croatia_5_14,F_Croatia_15_24,F_Croatia_25_44,F_Croatia_45_54,F_Croatia_55_64,F_Croatia_65_74,F_Croatia_75_84,F_Croatia_85ov,F_Croatia_Tot,F_Egypt_0_4,F_Egypt_5_14,F_Egypt_15_24,F_Egypt_25_44,F_Egypt_45_54,F_Egypt_55_64,F_Egypt_65_74,F_Egypt_75_84,F_Egypt_85ov,F_Egypt_Tot,F_England_0_4,F_England_5_14,F_England_15_24,F_England_25_44,F_England_45_54,F_England_55_64,F_England_65_74,F_England_75_84,F_England_85ov,F_England_Tot,F_Fiji_0_4,F_Fiji_5_14,F_Fiji_15_24,F_Fiji_25_44,F_Fiji_45_54,F_Fiji_55_64,F_Fiji_65_74,F_Fiji_75_84,F_Fiji_85ov,F_Fiji_Tot,F_France_0_4,F_France_5_14,F_France_15_24,F_France_25_44,F_France_45_54,F_France_55_64,F_France_65_74,F_France_75_84,F_France_85ov,F_France_Tot,F_Germany_0_4,F_Germany_5_14,F_Germany_15_24,F_Germany_25_44,F_Germany_45_54,F_Germany_55_64,F_Germany_65_74,F_Germany_75_84,F_Germany_85ov,F_Germany_Tot,F_Greece_0_4,F_Greece_5_14,F_Greece_15_24,F_Greece_25_44,F_Greece_45_54,F_Greece_55_64,F_Greece_65_74,F_Greece_75_84,F_Greece_85ov,F_Greece_Tot,F_Hong_Kong_0_4,F_Hong_Kong_5_14,F_Hong_Kong_15_24,F_Hong_Kong_25_44,F_Hong_Kong_45_54,F_Hong_Kong_55_64,F_Hong_Kong_65_74,F_Hong_Kong_75_84,F_Hong_Kong_85ov,F_Hong_Kong_Tot,F_India_0_4,F_India_5_14,F_India_15_24,F_India_25_44,F_India_45_54,F_India_55_64,F_India_65_74,F_India_75_84,F_India_85ov,F_India_Tot,F_Indonesia_0_4,F_Indonesia_5_14,F_Indonesia_15_24,F_Indonesia_25_44,F_Indonesia_45_54,F_Indonesia_55_64,F_Indonesia_65_74,F_Indonesia_75_84,F_Indonesia_85ov,F_Indonesia_Tot,F_Iran_0_4,F_Iran_5_14,F_Iran_15_24,F_Iran_25_44,F_Iran_45_54,F_Iran_55_64,F_Iran_65_74,F_Iran_75_84,F_Iran_85ov,F_Iran_Tot,F_Iraq_0_4,F_Iraq_5_14,F_Iraq_15_24,F_Iraq_25_44,F_Iraq_45_54,F_Iraq_55_64,F_Iraq_65_74,F_Iraq_75_84,F_Iraq_85ov,F_Iraq_Tot,F_Ireland_0_4,F_Ireland_5_14,F_Ireland_15_24,F_Ireland_25_44,F_Ireland_45_54,F_Ireland_55_64,F_Ireland_65_74,F_Ireland_75_84,F_Ireland_85ov,F_Ireland_Tot,F_Italy_0_4,F_Italy_5_14,F_Italy_15_24,F_Italy_25_44,F_Italy_45_54,F_Italy_55_64,F_Italy_65_74,F_Italy_75_84,F_Italy_85ov,F_Italy_Tot,F_Japan_0_4,F_Japan_5_14,F_Japan_15_24,F_Japan_25_44,F_Japan_45_54,F_Japan_55_64,F_Japan_65_74,F_Japan_75_84,F_Japan_85ov,F_Japan_Tot,F_Korea_South_0_4,F_Korea_South_5_14,F_Korea_South_15_24,F_Korea_South_25_44,F_Korea_South_45_54,F_Korea_South_55_64,F_Korea_South_65_74,F_Korea_South_75_84,F_Korea_South_85ov,F_Korea_South_Tot,F_Lebanon_0_4,F_Lebanon_5_14,F_Lebanon_15_24,F_Lebanon_25_44,F_Lebanon_45_54,F_Lebanon_55_64,F_Lebanon_65_74,F_Lebanon_75_84,F_Lebanon_85ov,F_Lebanon_Tot,F_Malaysia_0_4,F_Malaysia_5_14,F_Malaysia_15_24,F_Malaysia_25_44,F_Malaysia_45_54,F_Malaysia_55_64,F_Malaysia_65_74,F_Malaysia_75_84,F_Malaysia_85ov,F_Malaysia_Tot,F_Malta_0_4,F_Malta_5_14,F_Malta_15_24,F_Malta_25_44,F_Malta_45_54,F_Malta_55_64,F_Malta_65_74,F_Malta_75_84,F_Malta_85ov,F_Malta_Tot
20101,0,20,114,161,35,25,8,0,0,376,0,0,0,3,11,15,11,10,6,58,0,7,3,7,0,0,0,0,0,12,11,48,33,141,167,218,268,156,70,1105,0,0,6,15,3,10,0,3,0,37,0,3,0,8,5,5,3,0,0,23,0,3,6,17,14,19,64,26,19,167,0,0,0,0,0,9,8,11,0,31,0,0,0,8,8,6,3,0,0,24,7,26,24,260,23,16,13,3,0,387,0,3,7,14,0,0,7,0,0,32,0,3,7,16,3,3,5,0,0,32,0,0,0,8,6,0,0,0,0,14,0,0,6,19,5,12,16,5,3,69,0,0,0,5,7,9,20,21,22,79,0,5,0,30,12,4,0,3,0,58,0,3,3,21,0,0,0,0,0,23,0,0,0,4,3,0,0,0,0,3,0,15,9,34,16,17,6,3,0,98,0,0,0,0,0,8,18,6,0,35
20102,0,0,0,5,6,0,3,0,0,21,0,0,0,0,10,3,7,6,0,30,0,0,0,0,0,3,0,0,4,7,0,12,15,61,114,153,145,80,29,595,0,0,0,0,0,0,0,0,0,4,0,0,0,8,0,3,3,0,0,13,0,0,0,12,6,11,37,14,15,98,0,0,0,0,0,0,5,3,3,7,0,0,0,3,0,0,0,0,0,3,0,4,0,6,3,3,4,3,0,30,0,0,0,0,0,0,3,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,7,10,0,0,29,0,0,0,4,3,4,6,8,0,28,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,8,0,0,0,16,0,0,0,3,10,9,11,7,0,39
20103,0,0,0,8,3,0,0,0,0,19,0,0,0,0,0,0,7,0,0,4,0,0,0,0,0,0,3,0,0,3,0,3,3,22,79,121,164,68,23,480,0,0,0,9,3,0,0,0,0,15,0,0,0,0,0,3,0,0,0,9,0,0,0,3,3,13,11,10,8,55,0,0,0,0,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,6,0,0,0,13,0,0,0,3,0,0,3,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,9,0,0,14,0,0,0,3,0,4,3,0,0,14,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,6,3,0,0,0,14,0,0,0,0,0,3,0,0,0,10
20201,0,6,30,79,29,11,8,0,0,168,0,0,0,3,3,0,7,3,0,14,0,0,3,9,6,0,0,0,0,27,3,24,13,88,132,157,159,107,59,747,0,0,3,12,9,6,0,0,0,29,0,0,0,4,0,0,0,0,0,12,0,0,3,12,12,14,33,17,14,98,0,0,0,0,0,7,4,11,4,26,0,0,4,7,4,3,3,0,0,17,10,20,31,211,17,11,7,3,3,319,0,0,7,20,15,5,3,0,0,48,3,9,3,5,0,0,0,0,0,28,0,0,0,4,0,0,0,0,0,15,0,4,0,17,8,4,13,7,3,52,0,0,0,3,4,7,12,9,10,52,0,0,0,10,4,3,0,0,0,17,0,3,3,15,0,0,0,0,0,28,0,0,0,4,4,0,0,0,0,6,0,5,6,17,16,13,7,3,0,73,0,0,0,3,0,4,8,0,0,11
20202,0,7,0,23,6,5,3,0,0,45,0,0,0,0,0,8,8,3,0,23,0,0,0,3,0,0,4,0,0,15,3,20,17,91,152,205,209,111,42,854,0,0,0,3,0,0,0,0,0,5,0,0,0,3,3,6,0,0,0,13,0,0,0,15,17,26,41,11,12,127,0,0,0,4,0,3,7,3,0,14,0,0,0,0,3,0,0,0,0,13,3,0,0,33,5,3,4,4,0,57,0,0,0,5,0,0,6,0,0,11,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,9,5,9,3,31,0,0,0,0,0,16,12,11,7,47,0,0,3,9,3,6,3,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,9,5,7,0,0,30,0,0,0,4,3,12,7,3,0,28
20203,0,0,0,3,3,0,0,0,0,3,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,8,22,35,28,19,4,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,5,0,17,0,0,0,0,0,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,3,0,0,8,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,8,0,0,0,0,0,4,5,4,0,11
20301,0,0,0,3,0,0,0,0,0,5,0,0,0,0,3,0,0,0,3,13,0,0,0,0,0,0,0,0,0,0,0,5,6,48,72,91,68,45,8,349,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,9,0,0,3,3,11,5,8,4,5,38,0,0,0,0,0,0,3,0,0,4,0,0,0,3,4,0,0,0,0,9,0,3,0,0,0,3,0,0,0,10,0,0,0,3,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,4,0,0,13,0,0,0,0,3,4,6,3,0,20,0,0,0,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,5,0,0,0,3,0,3,3,0,0,9
20302,8,33,130,356,84,67,30,13,7,736,0,4,12,63,91,117,186,155,38,663,0,3,8,14,3,3,10,4,0,40,14,111,113,361,484,607,618,428,217,2952,0,0,3,27,13,0,0,0,0,49,0,0,7,25,3,9,7,5,3,62,0,6,8,51,23,86,217,106,80,574,0,0,0,3,19,29,61,41,21,172,3,10,24,30,5,5,6,0,0,84,21,61,90,602,42,51,18,13,15,904,0,7,20,62,30,3,11,3,0,137,3,40,32,102,18,13,3,0,0,215,4,21,3,51,11,3,3,0,0,100,0,17,9,53,32,31,33,21,15,204,0,8,6,10,47,113,199,229,101,716,3,7,3,45,14,3,0,3,0,83,0,3,11,51,3,0,0,0,0,68,0,0,0,4,14,8,3,3,0,34,3,8,34,93,32,38,8,4,3,231,0,0,0,0,3,14,34,14,6,72
20303,0,0,6,29,16,12,3,0,0,71,0,0,0,4,6,9,14,13,0,50,0,0,0,0,0,10,6,0,0,21,13,86,44,234,281,317,392,202,93,1650,0,0,0,5,6,5,0,0,0,13,0,3,3,16,3,0,4,3,0,32,0,0,3,26,9,36,84,29,30,226,0,0,0,3,5,16,27,19,0,68,0,0,3,9,0,4,0,0,0,16,0,0,3,37,6,17,11,4,5,81,0,0,0,16,3,5,7,3,3,26,0,0,0,4,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,3,0,7,0,37,17,18,18,7,3,105,0,0,0,10,16,27,38,30,7,126,0,3,6,19,8,3,4,0,0,40,0,0,0,9,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,4,0,0,6,15,17,9,0,0,0,44,0,0,0,5,8,19,43,16,0,96
20401,0,5,46,27,17,5,3,0,0,99,0,0,0,0,7,3,3,0,0,12,0,0,0,0,0,0,3,0,0,4,0,15,14,73,148,181,257,127,44,864,0,0,0,4,3,0,0,0,0,5,0,0,0,0,3,0,7,0,0,16,0,0,3,13,9,16,67,34,11,162,0,0,0,0,3,8,5,0,0,17,0,0,4,4,3,3,3,0,0,15,3,5,3,53,4,0,6,0,0,78,0,0,3,3,4,4,0,3,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,3,17,3,9,10,3,0,43,0,0,0,3,10,19,19,24,5,82,0,0,4,16,3,0,0,0,0,27,0,0,7,13,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,4,0,4,3,13,10,5,0,0,0,36,0,0,0,0,3,7,18,9,0,40
