SA3_CODE_2016,C0_4F_EO_M_EO,C0_4F_EO_M_O_EVWW,C0_4F_EO_M_O_ENWNA,C0_4F_EO_M_O_PENS,C0_4F_EO_M_O_E_T,C0_4F_EO_M_LPENS,C0_4F_EO_M_T,C0_4F_O_EVWW_M_EO,C0_4F_O_EVWW_M_O_EVWW,C0_4F_O_EVWW_M_O_ENWNA,C0_4F_O_EVWW_M_O_PENS,C0_4F_O_EVWW_M_O_E_T,C0_4F_O_EVWW_M_LPENS,C0_4F_O_EVWW_M_T,C0_4F_O_ENWNA_M_EO,C0_4F_O_ENWNA_M_O_EVWW,C0_4F_O_ENWNA_M_O_ENWNA,C0_4F_O_ENWNA_M_O_PENS,C0_4F_O_ENWNA_M_O_E_T,C0_4F_O_ENWNA_M_LPENS,C0_4F_O_ENWNA_M_T,C0_4F_O_PENS_M_EO,C0_4F_O_PENS_M_O_EVWW,C0_4F_O_PENS_M_O_ENWNA,C0_4F_O_PENS_M_O_PENS,C0_4F_O_PENS_M_O_E_T,C0_4F_O_PENS_M_LPENS,C0_4F_O_PENS_M_T,C0_4F_O_E_T_M_EO,C0_4F_O_E_T_M_O_EVWW,C0_4F_O_E_T_M_O_ENWNA,C0_4F_O_E_T_M_O_PENS,C0_4F_O_E_T_M_O_E_T,C0_4F_O_E_T_M_LPENS,C0_4F_O_E_T_M_T,C0_4F_LPENS_M_EO,C0_4F_LPENS_M_O_EVWW,C0_4F_LPENS_M_O_ENWNA,C0_4F_LPENS_M_O_PENS,C0_4F_LPENS_M_O_E_T,C0_4F_LPENS_M_LPENS,C0_4F_LPENS_M_T,C0_4F_T_M_EO,C0_4F_T_M_O_EVWW,C0_4F_T_M_O_ENWNA,C0_4F_T_M_O_PENS,C0_4F_T_M_O_E_T,C0_4F_T_M_LPENS,C0_4F_T_M_T,C5_9F_EO_M_EO,C5_9F_EO_M_O_EVWW,C5_9F_EO_M_O_ENWNA,C5_9F_EO_M_O_PENS,C5_9F_EO_M_O_E_T,C5_9F_EO_M_LPENS,C5_9F_EO_M_T,C5_9F_O_EVWW_M_EO,C5_9F_O_EVWW_M_O_EVWW,C5_9F_O_EVWW_M_O_ENWNA,C5_9F_O_EVWW_M_O_PENS,C5_9F_O_EVWW_M_O_E_T,C5_9F_O_EVWW_M_LPENS,C5_9F_O_EVWW_M_T,C5_9F_O_ENWNA_M_EO,C5_9F_O_ENWNA_M_O_EVWW,C5_9F_O_ENWNA_M_O_ENWNA,C5_9F_O_ENWNA_M_O_PENS,C5_9F_O_ENWNA_M_O_E_T,C5_9F_O_ENWNA_M_LPENS,C5_9F_O_ENWNA_M_T,C5_9F_O_PENS_M_EO,C5_9F_O_PENS_M_O_EVWW,C5_9F_O_PENS_M_O_ENWNA,C5_9F_O_PENS_M_O_PENS,C5_9F_O_PENS_M_O_E_T,C5_9F_O_PENS_M_LPENS,C5_9F_O_PENS_M_T,C5_9F_O_E_T_M_EO,C5_9F_O_E_T_M_O_EVWW,C5_9F_O_E_T_M_O_ENWNA,C5_9F_O_E_T_M_O_PENS,C5_9F_O_E_T_M_O_E_T,C5_9F_O_E_T_M_LPENS,C5_9F_O_E_T_M_T,C5_9F_LPENS_M_EO,C5_9F_LPENS_M_O_EVWW,C5_9F_LPENS_M_O_ENWNA,C5_9F_LPENS_M_O_PENS,C5_9F_LPENS_M_O_E_T,C5_9F_LPENS_M_LPENS,C5_9F_LPENS_M_T,C5_9F_T_M_EO,C5_9F_T_M_O_EVWW,C5_9F_T_M_O_ENWNA,C5_9F_T_M_O_PENS,C5_9F_T_M_O_E_T,C5_9F_T_M_LPENS,C5_9F_T_M_T,C10_12F_EO_M_EO,C10_12F_EO_M_O_EVWW,C10_12F_EO_M_O_ENWNA,C10_12F_EO_M_O_PENS,C10_12F_EO_M_O_E_T,C10_12F_EO_M_LPENS,C10_12F_EO_M_T,C10_12F_O_EVWW_M_EO,C10_12F_O_EVWW_M_O_EVWW,C10_12F_O_EVWW_M_O_ENWNA,C10_12F_O_EVWW_M_O_PENS,C10_12F_O_EVWW_M_O_E_T,C10_12F_O_EVWW_M_LPENS,C10_12F_O_EVWW_M_T,C10_12F_O_ENWNA_M_EO,C10_12F_O_ENWNA_M_O_EVWW,C10_12F_O_ENWNA_M_O_ENWNA,C10_12F_O_ENWNA_M_O_PENS,C10_12F_O_ENWNA_M_O_E_T,C10_12F_O_ENWNA_M_LPENS,C10_12F_O_ENWNA_M_T,C10_12F_O_PENS_M_EO,C10_12F_O_PENS_M_O_EVWW,C10_12F_O_PENS_M_O_ENWNA,C10_12F_O_PENS_M_O_PENS,C10_12F_O_PENS_M_O_E_T,C10_12F_O_PENS_M_LPENS,C10_12F_O_PENS_M_T,C10_12F_O_E_T_M_EO,C10_12F_O_E_T_M_O_EVWW,C10_12F_O_E_T_M_O_ENWNA,C10_12F_O_E_T_M_O_PENS,C10_12F_O_E_T_M_O_E_T,C10_12F_O_E_T_M_LPENS,C10_12F_O_E_T_M_T,C10_12F_LPENS_M_EO,C10_12F_LPENS_M_O_EVWW,C10_12F_LPENS_M_O_ENWNA,C10_12F_LPENS_M_O_PENS,C10_12F_LPENS_M_O_E_T,C10_12F_LPENS_M_LPENS,C10_12F_LPENS_M_T,C10_12F_T_M_EO,C10_12F_T_M_O_EVWW,C10_12F_T_M_O_ENWNA,C10_12F_T_M_O_PENS,C10_12F_T_M_O_E_T,C10_12F_T_M_LPENS,C10_12F_T_M_T,C13_14F_EO_M_EO,C13_14F_EO_M_O_EVWW,C13_14F_EO_M_O_ENWNA,C13_14F_EO_M_O_PENS,C13_14F_EO_M_O_E_T,C13_14F_EO_M_LPENS,C13_14F_EO_M_T,C13_14F_O_EVWW_M_EO,C13_14F_O_EVWW_M_O_EVWW,C13_14F_O_EVWW_M_O_ENWNA,C13_14F_O_EVWW_M_O_PENS,C13_14F_O_EVWW_M_O_E_T,C13_14F_O_EVWW_M_LPENS,C13_14F_O_EVWW_M_T,C13_14F_O_ENWNA_M_EO,C13_14F_O_ENWNA_M_O_EVWW,C13_14F_O_ENWNA_M_O_ENWNA,C13_14F_O_ENWNA_M_O_PENS,C13_14F_O_ENWNA_M_O_E_T,C13_14F_O_ENWNA_M_LPENS,C13_14F_O_ENWNA_M_T,C13_14F_O_PENS_M_EO,C13_14F_O_PENS_M_O_EVWW,C13_14F_O_PENS_M_O_ENWNA,C13_14F_O_PENS_M_O_PENS,C13_14F_O_PENS_M_O_E_T,C13_14F_O_PENS_M_LPENS,C13_14F_O_PENS_M_T,C13_14F_O_E_T_M_EO,C13_14F_O_E_T_M_O_EVWW,C13_14F_O_E_T_M_O_ENWNA,C13_14F_O_E_T_M_O_PENS,C13_14F_O_E_T_M_O_E_T,C13_14F_O_E_T_M_LPENS,C13_14F_O_E_T_M_T,C13_14F_LPENS_M_EO,C13_14F_LPENS_M_O_EVWW,C13_14F_LPENS_M_O_ENWNA,C13_14F_LPENS_M_O_PENS,C13_14F_LPENS_M_O_E_T,C13_14F_LPENS_M_LPENS,C13_14F_LPENS_M_T,C13_14F_TM_EO,C13_14F_TM_O_EVWW,C13_14F_TM_O_ENWNA,C13_14F_TM_O_PENS,C13_14F_TM_O_E_T,C13_14F_TM_LPENS,C13_14F_TM_T,C15_17F_EO_M_EO,C15_17F_EO_M_O_EVWW,C15_17F_EO_M_O_ENWNA,C15_17F_EO_M_O_PENS
20101,4320,60,4,0,64,6,4389,111,353,12,0,369,0,480,4,27,3,0,26,0,36,0,0,0,0,0,0,0,112,374,22,0,400,0,517,5,3,0,0,3,7,15,4443,442,19,0,465,14,4924,4250,53,0,0,53,6,4311,90,246,5,0,252,0,350,3,26,9,0,32,0,36,0,0,0,0,0,0,0,96,265,16,0,284,0,384,0,0,0,0,0,5,9,4350,323,16,0,335,12,4698,2355,27,0,0,27,3,2385,56,101,9,0,112,0,170,3,13,7,0,21,0,18,0,0,0,0,0,0,0,59,116,9,0,129,0,194,0,0,0,0,0,10,12,2419,144,9,0,160,9,2590,1428,16,0,0,16,3,1442,30,71,3,0,77,0,103,0,6,0,0,5,0,5,0,0,0,0,0,0,0,30,75,5,0,87,0,112,5,0,0,0,0,4,6,1458,91,5,0,97,7,1565,1926,24,0,0
20102,971,19,0,0,21,0,992,29,27,0,0,27,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,27,0,0,27,0,53,0,0,0,0,0,3,3,997,46,0,0,48,8,1049,1207,15,0,0,15,0,1223,24,25,0,0,25,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,29,0,0,29,0,53,5,0,0,0,0,6,12,1243,45,0,0,45,6,1290,705,15,0,0,15,3,722,17,8,0,0,8,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,8,0,0,8,0,31,0,0,0,0,0,0,3,726,28,0,0,28,3,752,426,5,0,0,5,0,435,8,3,0,0,3,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,0,0,3,0,15,3,0,0,0,0,0,7,438,14,0,0,14,0,457,534,5,0,0
20103,782,11,0,0,11,3,800,14,16,0,0,18,0,28,0,8,0,0,8,0,8,0,0,0,0,0,0,0,14,19,0,0,21,0,33,3,0,0,0,0,0,3,800,26,0,0,31,8,838,966,12,0,0,12,5,982,13,17,0,0,17,0,29,0,3,0,0,3,0,3,0,0,0,0,0,0,0,13,15,0,0,15,0,30,0,0,0,0,0,4,4,980,26,0,0,26,9,1016,558,5,0,0,5,3,564,10,13,0,0,13,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,13,0,0,14,0,16,0,0,0,0,0,3,4,569,18,0,0,14,3,589,340,6,0,0,6,0,348,3,7,0,0,7,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,0,5,0,7,0,0,0,0,0,0,0,341,12,0,0,10,0,354,485,5,0,0
20201,3915,52,4,0,57,8,3979,66,279,15,6,297,0,363,0,24,66,0,95,0,99,0,0,0,0,3,0,3,70,305,83,4,391,0,461,15,0,0,0,0,6,17,3994,359,80,4,451,11,4457,3728,40,0,0,40,5,3778,68,193,5,3,205,0,269,0,9,64,0,76,0,79,0,0,0,0,0,0,0,69,205,72,3,279,0,349,6,0,0,0,0,4,17,3804,250,72,3,320,16,4136,1991,18,0,0,18,0,2017,26,85,4,0,95,0,117,0,10,47,0,57,0,57,0,0,0,0,0,0,0,26,95,53,4,152,0,178,0,0,0,0,0,3,6,2019,116,50,4,170,3,2194,1349,4,0,0,4,3,1357,25,38,3,0,39,0,72,0,8,25,0,36,0,37,0,0,0,0,0,0,0,32,42,29,0,79,0,102,0,0,0,0,0,3,6,1378,47,34,0,85,5,1464,1733,13,0,0
20202,1737,34,0,0,32,4,1781,58,56,0,0,57,0,115,0,3,0,0,5,0,7,0,0,0,0,0,0,0,65,57,0,0,60,0,120,3,0,0,0,0,3,3,1804,91,3,0,91,5,1906,1940,23,0,0,23,6,1971,49,52,0,0,52,0,104,5,3,0,0,3,0,4,3,0,0,0,0,0,4,53,57,0,0,58,0,110,11,0,0,0,0,4,10,2004,79,0,0,81,13,2099,1158,8,0,0,8,8,1176,29,28,0,0,28,0,59,0,0,0,0,3,0,3,0,0,0,0,0,0,0,31,31,0,0,29,0,64,3,0,0,0,0,0,4,1192,40,0,0,44,5,1244,719,10,0,0,10,3,728,16,15,0,0,15,0,35,0,0,0,0,0,0,0,3,0,0,0,0,0,3,18,15,0,0,17,0,39,4,0,0,0,0,3,4,739,29,0,0,27,5,772,961,9,0,0
20203,397,4,0,0,4,0,403,7,8,0,0,8,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,0,0,8,0,18,0,0,0,0,0,0,0,405,14,0,0,14,0,420,472,11,0,0,11,0,481,8,7,0,0,7,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7,0,0,7,0,18,3,0,0,0,0,0,3,487,19,0,0,18,0,507,286,4,0,0,4,0,286,4,7,0,0,7,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,5,0,10,0,0,0,0,0,0,0,284,7,0,0,7,0,297,191,0,0,0,0,0,192,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,192,0,0,0,0,0,190,255,0,0,0
20301,993,17,0,0,17,3,1011,21,14,3,0,18,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,14,3,0,18,0,40,4,0,0,0,0,0,4,1019,30,3,0,32,4,1053,1071,26,0,0,23,5,1103,17,14,0,0,14,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,13,0,0,13,0,32,8,0,0,0,0,5,5,1095,37,0,0,38,5,1141,718,16,0,0,17,0,733,12,19,0,0,21,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,19,0,0,21,0,30,0,0,0,0,0,3,9,732,32,0,0,32,7,775,414,3,0,0,3,3,421,8,14,0,0,14,0,18,0,0,4,0,4,0,4,0,0,0,0,0,0,0,4,14,4,0,13,0,22,3,0,0,0,0,0,3,422,18,4,0,18,3,442,502,10,0,0
20302,7153,221,0,0,218,7,7383,252,983,32,3,1013,7,1277,4,90,79,4,176,0,175,0,5,0,0,4,0,11,260,1074,106,8,1194,5,1462,12,0,0,0,0,17,28,7422,1294,106,10,1415,35,8871,6637,159,0,0,159,0,6806,194,714,27,0,744,0,945,4,75,96,0,171,0,177,0,4,0,3,13,0,13,205,800,121,8,928,0,1134,5,0,0,0,0,8,13,6848,963,127,8,1093,10,7951,3661,79,0,0,78,4,3737,100,349,12,0,362,0,458,0,35,69,0,107,0,107,0,0,0,0,4,0,4,100,384,76,3,471,0,566,10,0,0,0,0,7,16,3762,463,80,3,547,12,4319,2333,45,3,0,47,3,2379,84,244,5,0,249,0,342,0,36,37,0,70,0,76,0,0,0,0,0,0,0,90,282,46,3,326,0,416,0,0,0,0,3,5,8,2419,323,49,3,372,6,2795,3104,72,0,0
20303,3176,58,0,0,58,3,3240,97,117,4,0,119,0,213,0,12,0,0,12,0,12,0,4,0,0,4,0,4,97,130,4,0,127,0,223,8,0,0,0,0,3,9,3282,186,4,0,190,10,3475,3529,44,0,6,51,3,3583,88,93,4,0,95,0,190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,93,4,0,98,0,189,9,0,0,0,0,0,9,3626,141,4,4,148,3,3779,1838,32,0,0,32,0,1866,39,48,0,0,45,0,84,0,0,0,0,3,0,3,0,0,0,0,0,0,0,40,46,4,0,48,0,86,3,0,0,0,0,0,4,1884,75,4,0,83,0,1964,1157,23,0,0,23,0,1186,29,24,0,0,24,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,29,0,0,29,0,52,3,0,0,0,0,0,3,1187,51,0,0,51,0,1237,1428,27,0,3
20401,1905,14,0,0,14,9,1919,51,85,3,0,88,0,144,0,0,5,3,7,0,7,0,0,0,0,0,0,0,51,88,9,3,95,0,150,8,0,0,0,0,3,9,1960,99,9,3,111,13,2082,2041,20,0,0,20,8,2068,57,76,3,0,81,0,143,0,3,3,0,5,0,9,0,0,0,0,0,0,0,59,79,5,0,88,0,146,5,0,0,0,0,3,10,2107,104,5,0,109,17,2228,1163,11,0,0,11,0,1184,37,22,0,0,29,0,60,0,5,3,0,11,0,11,3,0,0,0,0,0,3,37,28,5,0,36,0,70,0,0,0,0,0,3,3,1207,42,5,0,49,5,1261,739,5,0,0,5,3,750,10,16,0,0,16,0,25,0,0,3,0,4,0,4,0,0,0,0,0,0,0,10,13,0,0,22,0,34,0,0,0,0,0,0,6,750,22,0,0,23,9,782,942,8,0,0
