SA3_CODE_2016,M_15_19_yr_Volunteer,M_15_19_yr_N_a_volunteer,M_15_19_yr_Voluntary_work_ns,M_15_19_yr_Tot,M_20_24_yr_Volunteer,M_20_24_yr_N_a_volunteer,M_20_24_yr_Voluntary_work_ns,M_20_24_yr_Tot,M_25_34_yr_Volunteer,M_25_34_yr_N_a_volunteer,M_25_34_yr_Voluntary_work_ns,M_25_34_yr_Tot,M_35_44_yr_Volunteer,M_35_44_yr_N_a_volunteer,M_35_44_yr_Voluntary_work_ns,M_35_44_yr_Tot,M_45_54_yr_Volunteer,M_45_54_yr_N_a_volunteer,M_45_54_yr_Voluntary_work_ns,M_45_54_yr_Tot,M_55_64_yr_Volunteer,M_55_64_yr_N_a_volunteer,M_55_64_yr_Voluntary_work_ns,M_55_64_yr_Tot,M_65_74_yr_Volunteer,M_65_74_yr_N_a_volunteer,M_65_74_yr_Voluntary_work_ns,M_65_74_yr_Tot,M_75_84_yr_Volunteer,M_75_84_yr_N_a_volunteer,M_75_84_yr_Voluntary_work_ns,M_75_84_yr_Tot,M_85ov_Volunteer,M_85ov_N_a_volunteer,M_85_ov_Voluntary_work_ns,M_85ov_Tot,M_Tot_Volunteer,M_Tot_N_a_volunteer,M_Tot_Voluntary_work_ns,M_Tot_Tot,F_15_19_yr_Volunteer,F_15_19_yr_N_a_volunteer,F_15_19_yr_Voluntary_work_ns,F_15_19_yr_Tot,F_20_24_yr_Volunteer,F_20_24_yr_N_a_volunteer,F_20_24_yr_Voluntary_work_ns,F_20_24_yr_Tot,F_25_34_yr_Volunteer,F_25_34_yr_N_a_volunteer,F_25_34_yr_Voluntary_work_ns,F_25_34_yr_Tot,F_35_44_yr_Volunteer,F_35_44_yr_N_a_volunteer,F_35_44_yr_Voluntary_work_ns,F_35_44_yr_Tot,F_45_54_yr_Volunteer,F_45_54_yr_N_a_volunteer,F_45_54_yr_Voluntary_work_ns,F_45_54_yr_Tot,F_55_64_yr_Volunteer,F_55_64_yr_N_a_volunteer,F_55_64_yr_Voluntary_work_ns,F_55_64_yr_Tot,F_65_74_yr_Volunteer,F_65_74_yr_N_a_volunteer,F_65_74_yr_Voluntary_work_ns,F_65_74_yr_Tot,F_75_84_yr_Volunteer,F_75_84_yr_N_a_volunteer,F_75_84_yr_Voluntary_work_ns,F_75_84_yr_Tot,F_85ov_Volunteer,F_85ov_N_a_volunteer,F_85_ov_Voluntary_work_ns,F_85ov_Tot,F_Tot_Volunteer,F_Tot_N_a_volunteer,F_Tot_Voluntary_work_ns,F_Tot_Tot,P_15_19_yr_Volunteer,P_15_19_yr_N_a_volunteer,P_15_19_yr_Voluntary_work_ns,P_15_19_yr_Tot,P_20_24_yr_Volunteer,P_20_24_yr_N_a_volunteer,P_20_24_yr_Voluntary_work_ns,P_20_24_yr_Tot,P_25_34_yr_Volunteer,P_25_34_yr_N_a_volunteer,P_25_34_yr_Voluntary_work_ns,P_25_34_yr_Tot,P_35_44_yr_Volunteer,P_35_44_yr_N_a_volunteer,P_35_44_yr_Voluntary_work_ns,P_35_44_yr_Tot,P_45_54_yr_Volunteer,P_45_54_yr_N_a_volunteer,P_45_54_yr_Voluntary_work_ns,P_45_54_yr_Tot,P_55_64_yr_Volunteer,P_55_64_yr_N_a_volunteer,P_55_64_yr_Voluntary_work_ns,P_55_64_yr_Tot,P_65_74_yr_Volunteer,P_65_74_yr_N_a_volunteer,P_65_74_yr_Voluntary_work_ns,P_65_74_yr_Tot,P_75_84_yr_Volunteer,P_75_84_yr_N_a_volunteer,P_75_84_yr_Voluntary_work_ns,P_75_84_yr_Tot,P_85ov_Volunteer,P_85ov_N_a_volunteer,P_85_ov_Voluntary_work_ns,P_85ov_Tot,P_Tot_Volunteer,P_Tot_N_a_volunteer,P_Tot_Voluntary_work_ns,P_Tot_Tot
20101,705,2481,288,3475,684,2858,281,3821,1044,5014,441,6508,1263,4387,400,6057,1525,4349,413,6289,1221,4193,384,5803,1110,3035,453,4598,488,1586,298,2372,70,597,139,801,8105,28503,3105,39714,860,2196,283,3343,884,2710,278,3866,1268,5079,453,6794,1822,4451,369,6643,1848,4699,443,6995,1520,4599,438,6561,1385,3385,454,5226,572,2068,470,3107,117,1262,225,1603,10269,30451,3411,44132,1567,4679,571,6819,1567,5570,558,7686,2310,10096,894,13301,3089,8835,772,12700,3378,9048,855,13287,2743,8793,827,12360,2491,6419,906,9822,1061,3655,760,5476,185,1857,358,2398,18379,58956,6514,83848
20102,161,497,120,775,108,419,62,586,185,773,90,1054,430,1056,122,1612,611,1355,203,2164,666,1464,223,2353,551,1176,205,1930,155,498,119,778,20,164,46,233,2892,7408,1187,11485,179,450,105,726,130,342,50,515,274,783,95,1148,647,992,141,1785,731,1371,204,2306,715,1483,223,2418,570,1056,207,1837,190,461,129,775,36,295,88,420,3467,7229,1240,11939,332,949,221,1505,237,755,111,1106,458,1557,189,2203,1078,2044,267,3394,1346,2732,401,4478,1386,2946,448,4777,1121,2234,413,3772,345,964,252,1557,53,458,133,648,6360,14633,2429,23428
20103,149,457,82,691,119,407,45,568,170,680,123,979,313,892,171,1374,427,1096,246,1765,525,1393,234,2156,455,1303,268,2021,155,643,153,950,32,181,51,263,2339,7052,1381,10772,164,401,74,636,105,381,33,513,232,739,64,1042,457,739,88,1281,502,1139,119,1764,544,1331,170,2042,535,1113,222,1866,172,580,145,900,32,321,90,439,2739,6741,996,10474,314,857,156,1330,217,787,73,1079,407,1421,194,2016,764,1628,256,2657,933,2240,367,3532,1067,2725,406,4195,987,2416,482,3882,327,1223,298,1854,56,501,138,700,5075,13792,2382,21245
20201,577,2128,318,3016,623,2542,234,3395,989,4574,437,6001,1217,3778,360,5358,1359,3727,425,5513,1210,3747,429,5384,1114,2664,409,4192,476,1519,352,2352,88,616,187,886,7651,25296,3150,36093,729,1979,294,3002,846,2501,228,3572,1237,4748,430,6419,1726,3782,380,5884,1625,4018,395,6039,1470,4138,409,6022,1347,2917,420,4688,514,1910,471,2891,102,1156,373,1632,9597,27159,3394,40147,1308,4100,612,6023,1468,5043,461,6970,2233,9324,864,12416,2945,7560,739,11241,2986,7747,821,11552,2680,7891,838,11405,2460,5586,835,8880,991,3433,822,5240,188,1772,558,2515,17248,52450,6543,76243
20202,307,901,185,1394,180,696,130,1010,353,1230,391,1971,713,1690,370,2774,1049,2041,397,3484,1015,2333,376,3727,882,1850,330,3068,337,826,219,1386,52,300,77,433,4892,11866,2483,19239,330,808,143,1279,202,599,63,866,434,1300,174,1898,1171,1586,239,2998,1256,2206,278,3739,1192,2286,325,3797,1073,1687,328,3088,368,856,246,1464,64,458,177,698,6077,11777,1969,19830,636,1706,328,2668,385,1295,197,1878,782,2527,562,3871,1884,3275,609,5768,2304,4247,674,7219,2202,4616,700,7525,1951,3539,661,6155,707,1677,469,2852,117,751,252,1128,10972,23645,4456,39071
20203,95,203,45,340,51,121,16,195,89,263,45,390,184,350,68,609,261,484,92,835,345,631,100,1078,233,520,115,876,73,237,76,383,27,81,33,141,1357,2895,588,4841,89,195,61,343,64,114,11,193,129,255,44,426,236,302,51,593,330,454,78,867,308,562,74,942,221,382,85,695,110,213,80,404,25,115,38,173,1509,2597,523,4624,189,393,104,686,116,242,29,384,213,516,81,818,416,657,124,1194,599,932,170,1701,653,1195,175,2013,461,904,204,1568,180,450,156,786,47,195,67,311,2867,5490,1104,9469
20301,146,453,73,667,86,357,27,474,157,675,55,883,319,903,85,1314,395,926,89,1403,334,878,101,1312,262,598,69,931,69,241,40,349,6,78,12,97,1764,5108,560,7428,140,358,74,573,80,276,32,385,205,726,44,981,453,851,77,1377,451,904,75,1430,339,823,90,1250,267,491,70,829,67,238,34,337,10,132,19,162,2016,4800,509,7330,286,808,149,1242,170,635,57,863,363,1401,99,1864,768,1754,164,2696,846,1825,160,2833,665,1703,187,2563,531,1082,143,1761,132,483,77,687,16,211,32,258,3781,9906,1074,14759
20302,1235,4351,499,6078,1114,5300,529,6948,1809,9588,1190,12591,2065,8547,968,11585,2359,8414,935,11712,2035,7750,775,10562,1791,5665,764,8215,788,3134,586,4511,137,1390,320,1845,13343,54132,6571,74047,1491,4048,440,5979,1493,4813,433,6737,2320,9711,760,12794,3102,8389,648,12140,2981,8868,756,12603,2322,8570,791,11679,2192,6329,784,9304,926,4089,829,5845,183,2564,602,3343,17001,57380,6047,80427,2724,8400,936,12055,2608,10113,966,13688,4134,19294,1953,25386,5163,16934,1618,23722,5341,17277,1693,24312,4357,16319,1564,22243,3979,11990,1552,17524,1718,7226,1416,10355,320,3951,921,5191,30347,111511,12619,154470
20303,443,1395,164,2004,291,1158,106,1554,524,2442,200,3171,1033,3093,275,4403,1222,2888,271,4376,1272,3303,339,4913,1323,2748,369,4443,569,1318,213,2098,77,532,119,723,6750,18870,2055,27678,533,1131,150,1809,307,963,85,1353,738,2709,218,3670,1493,2995,238,4718,1596,3102,255,4948,1410,3641,339,5392,1501,2908,393,4800,621,1449,289,2362,124,867,159,1154,8329,19767,2117,30213,972,2530,314,3814,601,2119,187,2906,1263,5157,422,6841,2527,6086,513,9119,2817,5986,523,9326,2688,6942,674,10308,2829,5657,758,9245,1190,2765,500,4456,196,1401,274,1869,15076,38640,4174,57894
20401,360,1122,227,1713,218,1048,124,1388,428,1845,249,2515,699,1827,270,2802,967,2312,329,3615,1072,2715,426,4214,1062,2283,418,3762,358,1062,276,1694,61,382,121,565,5222,14598,2443,22269,366,940,204,1508,203,863,105,1170,538,1796,211,2551,1013,1790,254,3059,1121,2315,329,3757,1247,2573,348,4161,1157,2000,398,3549,419,1081,325,1826,80,564,177,820,6137,13917,2350,22410,728,2067,433,3227,421,1910,224,2554,966,3641,461,5066,1714,3621,528,5864,2090,4629,660,7372,2313,5287,776,8373,2218,4285,814,7314,774,2143,603,3521,138,947,297,1384,11362,28521,4792,44677
