SA3_CODE_2016,M_15_19y_DUDW_LT_5_h,M_15_19y_DUDW_5_14_h,M_15_19y_DUDW_15_29_h,M_15_19y_DUDW_30_h_mo,M_15_19y_DNUDW,M_15_19y_UDW_NS,M_15_19y_Total,M_20_24y_DUDW_LT_5_h,M_20_24y_DUDW_5_14_h,M_20_24y_DUDW_15_29_h,M_20_24y_DUDW_30_h_mo,M_20_24y_DNUDW,M_20_24y_UDW_NS,M_20_24y_Total,M_25_34y_DUDW_LT_5_h,M_25_34y_DUDW_5_14_h,M_25_34y_DUDW_15_29_h,M_25_34y_DUDW_30_h_mo,M_25_34y_DNUDW,M_25_34y_UDW_NS,M_25_34y_Total,M_35_44y_DUDW_LT_5_h,M_35_44y_DUDW_5_14_h,M_35_44y_DUDW_15_29_h,M_35_44y_DUDW_30_h_mo,M_35_44y_DNUDW,M_35_44y_UDW_NS,M_35_44y_Total,M_45_54y_DUDW_LT_5_h,M_45_54y_DUDW_5_14_h,M_45_54y_DUDW_15_29_h,M_45_54y_DUDW_30_h_mo,M_45_54y_DNUDW,M_45_54y_UDW_NS,M_45_54y_Total,M_55_64y_DUDW_LT_5_h,M_55_64y_DUDW_5_14_h,M_55_64y_DUDW_15_29_h,M_55_64y_DUDW_30_h_mo,M_55_64y_DNUDW,M_55_64y_UDW_NS,M_55_64y_Total,M_65_74y_DUDW_LT_5_h,M_65_74y_DUDW_5_14_h,M_65_74y_DUDW_15_29_h,M_65_74y_DUDW_30_h_mo,M_65_74y_DNUDW,M_65_74y_UDW_NS,M_65_74y_Total,M_75_84y_DUDW_LT_5_h,M_75_84y_DUDW_5_14_h,M_75_84y_DUDW_15_29_h,M_75_84y_DUDW_30_h_mo,M_75_84y_DNUDW,M_75_84y_UDW_NS,M_75_84y_Total,M_85y_ov_DUDW_LT_5_h,M_85y_ov_DUDW_5_14_h,M_85y_ov_DUDW_15_29_h,M_85y_ov_DUDW_30_h_mo,M_85y_ov_DNUDW,M_85y_ov_UDW_NS,M_85y_ov_Total,M_Tot_DUDW_LT_5_h,M_Tot_DUDW_5_14_h,M_Tot_DUDW_15_29_h,M_Tot_DUDW_30_h_mo,M_Tot_DNUDW,M_Tot_UDW_NS,M_Tot_Total,F_15_19y_DUDW_LT_5_h,F_15_19y_DUDW_5_14_h,F_15_19y_DUDW_15_29_h,F_15_19y_DUDW_30_h_mo,F_15_19y_DNUDW,F_15_19y_UDW_NS,F_15_19y_Total,F_20_24y_DUDW_LT_5_h,F_20_24y_DUDW_5_14_h,F_20_24y_DUDW_15_29_h,F_20_24y_DUDW_30_h_mo,F_20_24y_DNUDW,F_20_24y_UDW_NS,F_20_24y_Total,F_25_34y_DUDW_LT_5_h,F_25_34y_DUDW_5_14_h,F_25_34y_DUDW_15_29_h,F_25_34y_DUDW_30_h_mo,F_25_34y_DNUDW,F_25_34y_UDW_NS,F_25_34y_Total,F_35_44y_DUDW_LT_5_h,F_35_44y_DUDW_5_14_h,F_35_44y_DUDW_15_29_h,F_35_44y_DUDW_30_h_mo,F_35_44y_DNUDW,F_35_44y_UDW_NS,F_35_44y_Total,F_45_54y_DUDW_LT_5_h,F_45_54y_DUDW_5_14_h,F_45_54y_DUDW_15_29_h,F_45_54y_DUDW_30_h_mo,F_45_54y_DNUDW,F_45_54y_UDW_NS,F_45_54y_Total,F_55_64y_DUDW_LT_5_h,F_55_64y_DUDW_5_14_h,F_55_64y_DUDW_15_29_h,F_55_64y_DUDW_30_h_mo,F_55_64y_DNUDW,F_55_64y_UDW_NS,F_55_64y_Total,F_65_74y_DUDW_LT_5_h,F_65_74y_DUDW_5_14_h,F_65_74y_DUDW_15_29_h,F_65_74y_DUDW_30_h_mo,F_65_74y_DNUDW,F_65_74y_UDW_NS,F_65_74y_Total,F_75_84y_DUDW_LT_5_h,F_75_84y_DUDW_5_14_h,F_75_84y_DUDW_15_29_h,F_75_84y_DUDW_30_h_mo,F_75_84y_DNUDW,F_75_84y_UDW_NS,F_75_84y_Total,F_85y_ov_DUDW_LT_5_h,F_85y_ov_DUDW_5_14_h,F_85y_ov_DUDW_15_29_h,F_85y_ov_DUDW_30_h_mo,F_85y_ov_DNUDW,F_85y_ov_UDW_NS,F_85y_ov_Total,F_Tot_DUDW_LT_5_h,F_Tot_DUDW_5_14_h,F_Tot_DUDW_15_29_h,F_Tot_DUDW_30_h_mo,F_Tot_DNUDW,F_Tot_UDW_NS,F_Tot_Total,P_15_19y_DUDW_LT_5_h,P_15_19y_DUDW_5_14_h,P_15_19y_DUDW_15_29_h,P_15_19y_DUDW_30_h_mo,P_15_19y_DNUDW,P_15_19y_UDW_NS,P_15_19y_Total,P_20_24y_DUDW_LT_5_h,P_20_24y_DUDW_5_14_h,P_20_24y_DUDW_15_29_h,P_20_24y_DUDW_30_h_mo,P_20_24y_DNUDW,P_20_24y_UDW_NS,P_20_24y_Total,P_25_34y_DUDW_LT_5_h,P_25_34y_DUDW_5_14_h,P_25_34y_DUDW_15_29_h,P_25_34y_DUDW_30_h_mo,P_25_34y_DNUDW,P_25_34y_UDW_NS,P_25_34y_Total,P_35_44y_DUDW_LT_5_h,P_35_44y_DUDW_5_14_h,P_35_44y_DUDW_15_29_h,P_35_44y_DUDW_30_h_mo,P_35_44y_DNUDW,P_35_44y_UDW_NS,P_35_44y_Total,P_45_54y_DUDW_LT_5_h,P_45_54y_DUDW_5_14_h,P_45_54y_DUDW_15_29_h,P_45_54y_DUDW_30_h_mo,P_45_54y_DNUDW,P_45_54y_UDW_NS,P_45_54y_Total,P_55_64y_DUDW_LT_5_h,P_55_64y_DUDW_5_14_h,P_55_64y_DUDW_15_29_h,P_55_64y_DUDW_30_h_mo,P_55_64y_DNUDW,P_55_64y_UDW_NS,P_55_64y_Total,P_65_74y_DUDW_LT_5_h,P_65_74y_DUDW_5_14_h,P_65_74y_DUDW_15_29_h,P_65_74y_DUDW_30_h_mo,P_65_74y_DNUDW,P_65_74y_UDW_NS,P_65_74y_Total,P_75_84y_DUDW_LT_5_h,P_75_84y_DUDW_5_14_h,P_75_84y_DUDW_15_29_h,P_75_84y_DUDW_30_h_mo,P_75_84y_DNUDW,P_75_84y_UDW_NS,P_75_84y_Total,P_85y_ov_DUDW_LT_5_h,P_85y_ov_DUDW_5_14_h,P_85y_ov_DUDW_15_29_h,P_85y_ov_DUDW_30_h_mo
20101,1499,224,19,15,1420,299,3475,1455,652,87,50,1271,304,3821,2306,1892,408,152,1272,471,6508,1823,2100,533,247,932,413,6057,1808,2100,509,253,1165,452,6289,1432,1848,527,245,1325,426,5803,763,1211,530,333,1239,516,4598,276,476,266,196,789,363,2372,79,111,63,47,366,143,801,11441,10621,2949,1542,9774,3392,39714,1545,336,43,38,1089,289,3343,1341,1068,233,180,769,276,3866,1302,2108,979,1324,648,442,6794,676,2065,1543,1453,516,387,6643,744,2491,1511,1076,729,450,6995,607,2135,1415,989,923,493,6561,314,1090,1079,1096,1101,536,5226,229,472,451,451,950,545,3107,140,228,97,95,781,257,1603,6896,11998,7353,6700,7504,3685,44132,3042,562,63,58,2507,589,6819,2799,1721,321,232,2038,576,7686,3600,4002,1380,1476,1922,917,13301,2503,4164,2077,1703,1442,800,12700,2551,4594,2017,1322,1896,905,13287,2044,3982,1941,1232,2243,922,12360,1079,2302,1611,1432,2342,1054,9822,507,951,720,653,1736,915,5476,216,337,154,139
20102,321,50,12,3,261,126,775,217,88,13,8,194,68,586,322,297,79,36,215,101,1054,428,563,199,111,176,128,1612,528,777,199,110,329,215,2164,544,725,238,158,432,258,2353,271,466,275,212,469,233,1930,85,143,90,75,239,146,778,31,28,14,18,92,49,233,2752,3153,1126,719,2410,1328,11485,311,84,15,3,207,106,726,176,127,36,21,109,50,515,159,332,188,274,91,104,1148,175,523,402,452,77,151,1785,249,817,499,362,169,212,2306,248,719,545,410,264,236,2418,86,373,383,438,318,233,1837,55,129,111,133,207,149,775,33,34,17,29,190,108,420,1497,3139,2202,2120,1637,1349,11939,634,139,25,6,468,236,1505,391,216,50,30,302,115,1106,487,630,271,309,302,202,2203,608,1095,599,560,254,277,3394,780,1592,704,470,499,430,4478,791,1444,787,566,697,488,4777,360,841,662,646,792,472,3772,141,268,199,210,440,293,1557,67,61,34,43
20103,275,60,9,3,253,93,691,198,107,26,3,189,48,568,287,268,64,40,188,132,979,337,427,120,76,227,186,1374,385,539,155,88,339,266,1765,448,556,226,132,544,252,2156,269,401,267,198,564,317,2021,84,167,102,98,318,188,950,33,32,17,22,96,67,263,2315,2552,983,659,2719,1542,10772,257,88,13,7,192,78,636,147,126,46,44,103,37,513,118,298,166,295,94,67,1042,97,354,267,363,106,93,1281,169,521,400,337,211,135,1764,178,527,433,428,287,183,2042,116,303,401,412,365,267,1866,50,110,133,151,283,174,900,29,36,29,25,220,101,439,1168,2374,1888,2052,1856,1141,10474,529,151,18,10,447,170,1330,347,237,70,54,292,84,1079,408,567,233,330,277,197,2016,430,782,392,437,332,278,2657,556,1058,555,422,552,397,3532,630,1081,661,553,829,437,4195,386,709,666,609,926,580,3882,134,273,237,243,598,364,1854,59,72,45,40
20201,1230,217,24,10,1234,299,3016,1358,624,93,26,1048,246,3395,2094,1818,353,157,1121,454,6001,1553,1880,513,202,826,385,5358,1582,1779,429,213,1055,453,5513,1350,1698,495,222,1159,464,5384,680,1078,513,354,1087,477,4192,296,476,257,215,704,402,2352,97,108,58,52,360,208,886,10239,9679,2734,1459,8607,3389,36093,1340,336,57,27,940,309,3002,1247,1012,226,167,677,244,3572,1172,2061,948,1192,615,433,6419,587,1860,1281,1322,442,394,5884,759,2103,1271,850,632,418,6039,629,1932,1319,897,792,451,6022,274,933,965,1031,971,508,4688,202,442,385,455,855,552,2891,129,183,109,93,718,400,1632,6344,10859,6562,6028,6644,3713,40147,2567,552,74,42,2173,608,6023,2603,1642,313,193,1731,483,6970,3269,3880,1303,1351,1736,882,12416,2139,3738,1794,1517,1265,782,11241,2340,3878,1703,1058,1689,873,11552,1981,3624,1815,1121,1949,916,11405,958,2013,1476,1385,2058,984,8880,497,919,638,671,1567,953,5240,224,285,169,147
20202,627,97,11,6,458,195,1394,366,174,20,13,303,135,1010,538,531,127,63,306,400,1971,705,953,302,145,283,385,2774,862,1228,348,170,434,442,3484,825,1237,424,212,621,410,3727,452,798,459,321,663,381,3068,158,279,189,163,346,254,1386,41,58,28,41,176,88,433,4568,5356,1908,1121,3604,2686,19239,631,131,14,4,344,147,1279,297,246,36,53,166,60,866,320,526,300,419,154,179,1898,284,956,691,682,128,257,2998,389,1392,852,589,212,300,3739,404,1283,791,587,375,354,3797,205,684,691,684,458,371,3088,91,248,211,284,344,293,1464,52,75,40,50,296,193,698,2676,5541,3628,3352,2478,2151,19830,1258,231,25,8,804,341,2668,669,419,58,63,476,194,1878,858,1056,430,477,465,578,3871,985,1910,993,825,411,637,5768,1247,2620,1201,761,651,737,7219,1229,2516,1218,795,1001,768,7525,649,1482,1150,1001,1121,751,6155,247,523,395,450,688,550,2852,92,133,65,88
20203,159,21,0,0,110,46,340,72,39,6,3,52,21,195,110,118,29,12,77,55,390,152,189,72,38,86,73,609,215,226,89,44,173,89,835,256,314,97,66,234,108,1078,122,181,114,89,230,127,876,52,45,39,39,121,87,383,14,23,15,5,50,33,141,1152,1154,456,297,1136,637,4841,149,32,5,4,91,64,343,62,44,15,15,36,17,193,43,105,72,114,46,48,426,47,167,112,179,25,56,593,81,283,171,162,85,85,867,69,240,234,223,92,84,942,37,123,125,171,132,107,695,33,47,52,68,120,78,404,14,16,14,14,87,35,173,530,1054,795,956,715,580,4624,304,58,4,4,197,111,686,135,85,19,18,90,31,384,151,223,96,133,118,97,818,197,354,184,215,111,132,1194,293,504,267,202,256,179,1701,329,555,325,290,327,195,2013,157,310,242,260,365,236,1568,85,92,90,113,246,163,786,21,35,24,22
20301,293,53,7,0,241,82,667,196,69,17,3,161,32,474,299,287,65,31,146,63,883,356,492,139,64,161,96,1314,398,480,141,57,227,96,1403,294,421,123,95,256,111,1312,143,266,125,106,215,77,931,41,65,38,46,111,50,349,12,13,5,3,55,17,97,2035,2138,659,396,1574,632,7428,275,57,13,7,145,79,573,148,87,19,19,81,34,385,142,322,165,256,52,45,981,104,415,340,383,62,80,1377,114,506,339,284,100,80,1430,120,360,287,269,121,95,1250,48,167,206,209,119,90,829,24,51,54,65,104,38,337,12,20,13,10,89,25,162,979,1985,1429,1502,869,561,7330,564,109,16,7,387,157,1242,347,153,34,21,240,65,863,443,605,227,284,193,106,1864,459,908,476,444,231,179,2696,515,988,484,342,328,176,2833,418,784,416,370,381,203,2563,192,434,330,315,335,165,1761,59,118,93,110,220,92,687,18,33,12,17
20302,2464,375,55,21,2647,506,6078,2663,1069,140,49,2463,561,6948,4524,3255,612,246,2727,1227,12591,3517,3790,938,366,1954,1015,11585,3358,3779,914,367,2303,985,11712,2631,3252,967,411,2477,820,10562,1394,2116,927,572,2342,870,8215,577,882,510,373,1485,680,4511,193,267,133,105,797,364,1845,21310,18792,5194,2517,19191,7036,74047,2737,648,74,27,2031,466,5979,2547,1631,374,243,1468,466,6737,2751,3989,1722,2053,1486,789,12794,1339,3733,2666,2764,944,694,12140,1396,4333,2753,1917,1391,812,12603,1296,3604,2482,1693,1755,850,11679,631,1907,1898,1920,2039,912,9304,420,897,887,846,1852,947,5845,288,375,234,180,1598,674,3343,13416,21125,13083,11647,14564,6596,80427,5200,1028,127,51,4675,971,12055,5211,2704,519,294,3933,1022,13688,7271,7247,2330,2299,4211,2024,25386,4856,7522,3607,3135,2894,1708,23722,4754,8117,3668,2285,3689,1799,24312,3925,6860,3448,2107,4232,1672,22243,2029,4025,2820,2489,4381,1781,17524,995,1785,1393,1219,3336,1628,10355,482,644,362,281
20303,927,106,13,6,800,160,2004,685,182,31,9,533,114,1554,1264,906,160,69,566,211,3171,1463,1590,415,159,475,300,4403,1377,1555,428,169,561,291,4376,1277,1706,533,218,824,355,4913,765,1347,662,331,908,420,4443,264,537,284,205,548,251,2098,79,113,54,45,306,135,723,8097,8039,2575,1206,5520,2244,27678,962,149,15,10,524,154,1809,618,294,52,36,260,92,1353,804,1144,503,702,306,222,3670,498,1451,1120,1220,196,239,4718,563,1923,1228,683,285,262,4948,618,1844,1244,785,539,354,5392,345,1100,1169,955,774,450,4800,163,423,418,412,598,353,2362,90,154,88,73,564,175,1154,4663,8476,5841,4887,4046,2309,30213,1883,252,24,13,1319,321,3814,1304,478,80,44,796,207,2906,2067,2044,657,772,868,434,6841,1964,3043,1534,1382,669,534,9119,1938,3471,1658,852,845,556,9326,1893,3557,1784,1010,1359,711,10308,1113,2450,1832,1294,1685,877,9245,425,957,704,621,1139,604,4456,172,262,141,118
20401,633,142,15,7,682,234,1713,476,215,33,17,505,138,1388,830,664,159,73,529,268,2515,773,902,252,124,450,297,2802,906,1173,341,150,661,385,3615,949,1216,389,237,957,470,4214,576,960,440,380,908,486,3762,203,284,181,168,521,333,1694,50,75,38,33,233,133,565,5394,5639,1854,1192,5450,2748,22269,591,154,27,12,499,219,1508,361,278,78,93,255,112,1170,458,696,358,544,250,236,2551,270,928,655,740,201,260,3059,384,1303,803,568,362,338,3757,402,1250,915,670,547,381,4161,212,746,710,802,616,463,3549,123,251,231,326,517,383,1826,70,73,57,52,372,192,820,2883,5680,3838,3804,3621,2587,22410,1228,302,43,17,1180,454,3227,834,492,113,108,759,254,2554,1283,1365,516,613,785,500,5066,1049,1836,907,866,645,556,5864,1287,2479,1141,722,1021,722,7372,1350,2464,1300,905,1496,859,8373,794,1710,1150,1188,1531,952,7314,328,538,413,487,1038,710,3521,123,145,99,83
