SA3_CODE_2016,P_85ov_DNPCC,P_85ov_UCC_NS,P_85ov_Total,P_Tot_CF_Own_CCO,P_Tot_CF_Oth_CCO,P_Tot_CF_Own_CC_Oth_CC,P_Tot_CF_Total,P_Tot_DNPCC,P_Tot_UCC_NS,P_Tot_Total
20101,1989,381,2398,16811,7188,845,24844,52293,6713,83848
20102,481,142,648,4088,1811,174,6074,14858,2497,23428
20103,539,150,700,3335,1533,137,5006,13788,2452,21245
20201,1919,567,2515,15019,6598,735,22350,47211,6689,76243
20202,849,263,1128,7188,2958,419,10565,23960,4544,39071
20203,249,62,311,1526,736,68,2328,5998,1138,9469
20301,221,31,258,3614,1209,143,4974,8674,1110,14759
20302,4165,966,5191,29957,12518,1248,43715,97808,12946,154470
20303,1568,280,1869,12211,5350,603,18168,35428,4297,57894
20401,1063,294,1384,7530,3297,300,11126,28638,4911,44677
20402,1189,421,1631,6527,3129,281,9942,24379,3839,38158
20403,1284,261,1576,10883,4433,517,15834,35907,5212,56959
20501,853,242,1111,7631,3426,406,11466,24281,3575,39320
20502,993,386,1395,5772,2632,242,8645,24960,4387,37995
20503,1526,391,1954,8746,4170,431,13345,32674,5157,51170
20504,1370,366,1759,10729,4884,548,16167,37584,6113,59863
20505,830,184,1029,6229,2722,312,9264,21735,4249,35249
20601,1470,175,1680,12005,3697,488,16187,53071,5069,74327
20602,920,142,1089,8340,2373,383,11096,29301,3229,43625
20603,1230,215,1480,10297,3202,269,13771,37459,4433,55664
20604,824,405,1255,9310,3863,188,13362,98335,15549,127245
20605,1204,204,1433,12255,4499,439,17185,61834,10056,89081
20606,1101,231,1352,6095,3008,146,9239,41692,5745,56683
20607,881,179,1083,9546,3857,339,13740,56072,7846,77659
20701,4223,527,4829,27935,9502,857,38297,92024,8104,138430
20702,2538,419,3004,14446,6018,346,20810,51382,4127,76324
20703,2692,525,3273,16754,5270,523,22547,58257,4797,85602
20801,3054,519,3624,17607,6172,643,24417,49085,5170,78669
20802,3822,530,4405,26099,7554,790,34441,79668,7241,121353
20803,2580,755,3393,20720,6633,772,28124,60725,6689,95538
20804,975,127,1121,6831,2276,231,9339,22916,2026,34286
20901,2637,561,3253,20941,7664,753,29360,64340,6156,99850
20902,2031,586,2649,14006,4249,406,18660,53815,7177,79654
20903,591,107,720,11911,4671,531,17108,32298,2886,52287
20904,2096,285,2440,40141,11092,1047,52278,104062,11363,167708
21001,1423,267,1713,9572,3784,222,13574,31591,3332,48500
21002,315,82,411,5524,1901,259,7686,13779,1799,23263
21003,2293,303,2626,12161,3032,299,15492,40979,4984,61453
21004,518,87,625,7083,2643,274,9999,19546,2072,31617
21005,1088,163,1280,27244,6857,671,34772,79482,9517,123772
21101,2601,469,3105,26124,9713,938,36776,83579,6725,127080
21102,577,87,668,4395,1862,150,6411,13757,1111,21275
21103,2155,464,2639,19467,7231,826,27522,56807,5092,89423
21104,1396,277,1691,11031,3797,360,15190,32143,2489,49819
21105,2096,402,2531,25614,10438,1268,37320,75297,7834,120450
21201,962,192,1177,18464,5532,785,24771,42396,5359,72532
21202,1761,260,2043,23022,7224,688,30930,67193,6264,104387
21203,1117,260,1407,33978,8030,1065,43070,74909,9079,127067
21204,3196,513,3755,28236,8523,586,37340,104758,11566,153660
21205,4128,730,4926,27390,9304,660,37359,101478,8633,147473
21301,2202,460,2699,28441,9212,625,38273,100537,12581,151396
21302,1587,295,1910,14587,4226,483,19298,44283,4877,68456
21303,1098,263,1379,12874,2998,469,16348,46847,5900,69093
21304,1013,175,1209,30234,7863,889,38992,67758,9502,116252
21305,1153,307,1490,47279,10160,1156,58597,96151,12538,167288
21401,2157,523,2713,22823,8563,1018,32405,67799,8910,109114
21402,4087,909,5059,24422,11395,1088,36895,80928,10329,128156
21501,1705,390,2119,8142,3530,396,12069,31798,5131,48998
21502,1118,280,1419,7775,3260,347,11380,27419,4847,43642
21503,970,288,1276,4989,2153,231,7372,19285,4058,30716
21601,891,254,1164,5309,2394,211,7913,19394,3229,30536
21602,717,200,935,3976,1806,158,5937,15401,2641,23981
21603,1173,291,1486,9826,3544,433,13801,31669,5520,50990
21701,876,240,1138,5003,2192,218,7418,19278,2924,29624
21703,817,210,1053,5267,2509,225,7999,19306,3109,30421
21704,1056,268,1340,7910,3221,365,11499,25280,3847,40629
29797,0,0,0,5,0,0,5,18,3,25
29999,25,13,38,649,290,14,960,3900,1969,6825
