SA3_CODE_2016,M_Hbn_in_RM_0_14,M_Hbn_in_RM_15_24,M_Hbn_in_RM_25_34,M_Hbn_in_RM_35_44,M_Hbn_in_RM_45_54,M_Hbn_in_RM_55_64,M_Hbn_in_RM_65_74,M_Hbn_in_RM_75_84,M_Hbn_in_RM_85ov,M_Hbn_in_RM_Tot,M_Ptn_in_DFM_0_14,M_Ptn_in_DFM_15_24,M_Ptn_in_DFM_25_34,M_Ptn_in_DFM_35_44,M_Ptn_in_DFM_45_54,M_Ptn_in_DFM_55_64,M_Ptn_in_DFM_65_74,M_Ptn_in_DFM_75_84,M_Ptn_in_DFM_85ov,M_Ptn_in_DFM_Tot,M_LonePnt_0_14,M_LonePnt_15_24,M_LonePnt_25_34,M_LonePnt_35_44,M_LonePnt_45_54,M_LonePnt_55_64,M_LonePnt_65_74,M_LonePnt_75_84,M_LonePnt_85ov,M_LonePnt_Tot,M_CU15_0_14,M_CU15_15_24,M_CU15_25_34,M_CU15_35_44,M_CU15_45_54,M_CU15_55_64,M_CU15_65_74,M_CU15_75_84,M_CU15_85ov,M_CU15_Tot,M_DpStu_0_14,M_DpStu_15_24,M_DpStu_25_34,M_DpStu_35_44,M_DpStu_45_54,M_DpStu_55_64,M_DpStu_65_74,M_DpStu_75_84,M_DpStu_85ov,M_DpStu_Tot,M_NDpChl_0_14,M_NDpChl_15_24,M_NDpChl_25_34,M_NDpChl_35_44,M_NDpChl_45_54,M_NDpChl_55_64,M_NDpChl_65_74,M_NDpChl_75_84,M_NDpChl_85ov,M_NDpChl_Tot,M_OthRI_0_14,M_OthRI_15_24,M_OthRI_25_34,M_OthRI_35_44,M_OthRI_45_54,M_OthRI_55_64,M_OthRI_65_74,M_OthRI_75_84,M_OthRI_85ov,M_OthRI_Tot,M_URI_in_FH_0_14,M_URI_in_FH_15_24,M_URI_in_FH_25_34,M_URI_in_FH_35_44,M_URI_in_FH_45_54,M_URI_in_FH_55_64,M_URI_in_FH_65_74,M_URI_in_FH_75_84,M_URI_in_FH_85ov,M_URI_in_FH_Tot,M_GrpH_Mem_0_14,M_GrpH_Mem_15_24,M_GrpH_Mem_25_34,M_GrpH_Mem_35_44,M_GrpH_Mem_45_54,M_GrpH_Mem_55_64,M_GrpH_Mem_65_74,M_GrpH_Mem_75_84,M_GrpH_Mem_85ov,M_GrpH_Mem_Tot,M_LonePsn_0_14,M_LonePsn_15_24,M_LonePsn_25_34,M_LonePsn_35_44,M_LonePsn_45_54,M_LonePsn_55_64,M_LonePsn_65_74,M_LonePsn_75_84,M_LonePsn_85ov,M_LonePsn_Tot,M_Vis_within_Aus_0_14,M_Vis_within_Aus_15_24,M_Vis_within_Aus_25_34,M_Vis_within_Aus_35_44,M_Vis_within_Aus_45_54,M_Vis_within_Aus_55_64,M_Vis_within_Aus_65_74,M_Vis_within_Aus_75_84,M_Vis_within_Aus_85ov,M_Vis_within_Aus_Tot,M_Tot_0_14,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Wife_in_RM_0_14,F_Wife_in_RM_15_24,F_Wife_in_RM_25_34,F_Wife_in_RM_35_44,F_Wife_in_RM_45_54,F_Wife_in_RM_55_64,F_Wife_in_RM_65_74,F_Wife_in_RM_75_84,F_Wife_in_RM_85ov,F_Wife_in_RM_Tot,F_Ptn_in_DFM_0_14,F_Ptn_in_DFM_15_24,F_Ptn_in_DFM_25_34,F_Ptn_in_DFM_35_44,F_Ptn_in_DFM_45_54,F_Ptn_in_DFM_55_64,F_Ptn_in_DFM_65_74,F_Ptn_in_DFM_75_84,F_Ptn_in_DFM_85ov,F_Ptn_in_DFM_Tot,F_LonePnt_0_14,F_LonePnt_15_24,F_LonePnt_25_34,F_LonePnt_35_44,F_LonePnt_45_54,F_LonePnt_55_64,F_LonePnt_65_74,F_LonePnt_75_84,F_LonePnt_85ov,F_LonePnt_Tot,F_CU15_0_14,F_CU15_15_24,F_CU15_25_34,F_CU15_35_44,F_CU15_45_54,F_CU15_55_64,F_CU15_65_74,F_CU15_75_84,F_CU15_85ov,F_CU15_Tot,F_DpStu_0_14,F_DpStu_15_24,F_DpStu_25_34,F_DpStu_35_44,F_DpStu_45_54,F_DpStu_55_64,F_DpStu_65_74,F_DpStu_75_84,F_DpStu_85ov,F_DpStu_Tot,F_NDpChl_0_14,F_NDpChl_15_24,F_NDpChl_25_34,F_NDpChl_35_44,F_NDpChl_45_54,F_NDpChl_55_64,F_NDpChl_65_74,F_NDpChl_75_84,F_NDpChl_85ov,F_NDpChl_Tot,F_OthRI_0_14,F_OthRI_15_24,F_OthRI_25_34,F_OthRI_35_44,F_OthRI_45_54,F_OthRI_55_64,F_OthRI_65_74,F_OthRI_75_84,F_OthRI_85ov,F_OthRI_Tot,F_URI_in_FH_0_14,F_URI_in_FH_15_24,F_URI_in_FH_25_34,F_URI_in_FH_35_44,F_URI_in_FH_45_54,F_URI_in_FH_55_64,F_URI_in_FH_65_74,F_URI_in_FH_75_84,F_URI_in_FH_85ov,F_URI_in_FH_Tot
20101,..,58,1904,3252,3405,3366,2678,1379,334,16381,..,470,1408,772,623,384,163,57,8,3881,..,12,57,169,277,147,55,37,25,779,9514,..,..,..,..,..,..,..,..,9514,..,2272,..,..,..,..,..,..,..,2272,..,1817,759,317,227,98,12,3,0,3228,..,247,146,81,67,81,55,26,18,731,..,166,136,60,55,29,6,3,0,462,..,935,661,164,159,136,96,29,13,2192,..,253,675,642,811,897,756,411,192,4635,195,288,259,142,130,95,80,35,17,1243,9707,6527,6002,5600,5756,5234,3902,1985,599,45315,..,121,2414,3510,3542,3321,2474,1016,161,16564,..,713,1385,783,628,314,131,23,5,3977,..,216,722,1070,1151,464,179,166,111,4089,8974,..,..,..,..,..,..,..,..,8974,..,2265,..,..,..,..,..,..,..,2265,..,1199,428,138,120,64,10,0,0,1958,..,199,94,32,86,145,113,65,44,787,..,176,77,15,17,9,9,0,0,308
20102,..,6,312,802,1065,1209,1072,427,67,4958,..,55,205,326,327,224,99,11,3,1246,..,0,9,55,59,59,26,15,11,231,2245,..,..,..,..,..,..,..,..,2245,..,484,..,..,..,..,..,..,..,484,..,510,228,89,82,24,4,0,0,938,..,29,20,11,20,33,16,25,6,153,..,32,25,7,18,15,9,7,0,105,..,22,32,38,47,56,48,13,0,267,..,32,69,119,270,380,344,153,70,1432,39,66,46,42,52,54,41,13,0,352,2284,1235,948,1479,1945,2045,1658,666,163,12423,..,22,423,897,1191,1210,961,268,41,5005,..,64,251,300,327,215,53,12,4,1230,..,21,91,199,211,114,52,39,42,774,2216,..,..,..,..,..,..,..,..,2216,..,558,..,..,..,..,..,..,..,558,..,321,131,44,26,25,8,0,0,560,..,17,10,4,9,39,41,37,35,182,..,22,10,15,6,9,6,0,3,73
20103,..,17,255,564,777,1078,1058,510,109,4369,..,76,203,196,206,155,89,22,3,952,..,3,12,39,66,33,18,11,11,189,1958,..,..,..,..,..,..,..,..,1958,..,465,..,..,..,..,..,..,..,465,..,421,181,115,77,37,6,0,0,841,..,33,10,21,11,34,24,16,4,152,..,41,15,13,16,15,8,0,0,98,..,39,44,41,58,66,68,21,3,344,..,35,89,154,276,417,415,233,77,1688,38,55,47,51,44,55,51,18,7,367,1995,1190,849,1198,1538,1888,1722,831,206,11423,..,31,383,656,891,1084,987,321,52,4409,..,120,239,190,208,143,63,17,0,965,..,48,131,185,221,121,71,61,37,876,1857,..,..,..,..,..,..,..,..,1857,..,449,..,..,..,..,..,..,..,449,..,259,94,43,35,35,0,0,0,463,..,28,0,8,20,27,28,30,20,165,..,31,7,8,3,5,0,0,0,56
20201,..,90,1841,2798,2868,3077,2510,1419,341,14944,..,517,1272,653,551,289,117,40,13,3442,..,17,69,144,283,162,43,38,28,782,8659,..,..,..,..,..,..,..,..,8659,..,2017,..,..,..,..,..,..,..,2017,..,1656,696,305,198,98,14,0,0,2971,..,240,137,50,70,78,50,31,24,678,..,179,141,71,48,26,19,4,3,492,..,707,519,159,152,140,84,34,4,1802,..,219,597,632,760,880,688,413,208,4403,160,249,224,148,95,102,68,43,11,1096,8822,5892,5500,4955,5034,4849,3598,2022,632,41296,..,152,2325,3014,3046,3086,2297,1068,179,15175,..,752,1289,659,516,255,98,23,5,3598,..,225,688,1056,994,504,191,159,96,3911,8130,..,..,..,..,..,..,..,..,8130,..,2040,..,..,..,..,..,..,..,2040,..,1048,399,123,101,70,19,0,0,1761,..,252,98,28,88,121,128,96,44,857,..,165,71,34,16,14,0,0,0,293
20202,..,23,481,1375,1765,1928,1706,782,186,8245,..,94,364,436,457,375,190,36,3,1955,..,9,11,58,126,96,34,17,17,365,3821,..,..,..,..,..,..,..,..,3821,..,962,..,..,..,..,..,..,..,962,..,762,338,155,117,31,11,0,0,1409,..,60,34,24,21,54,38,25,14,265,..,46,49,20,19,21,18,3,4,175,..,72,103,60,84,114,72,27,8,533,..,34,121,187,410,595,529,270,104,2241,49,73,73,55,61,63,75,15,8,474,3870,2128,1572,2372,3052,3283,2674,1178,326,20460,..,38,669,1573,2007,1887,1505,551,94,8327,..,149,417,520,451,331,145,30,0,2037,..,38,146,314,450,219,94,81,54,1382,3720,..,..,..,..,..,..,..,..,3720,..,1027,..,..,..,..,..,..,..,1027,..,467,211,63,56,35,11,0,0,844,..,60,33,10,22,77,77,63,33,370,..,46,34,17,12,7,8,4,0,121
20203,..,3,110,319,429,563,456,188,45,2118,..,18,76,77,71,83,26,11,0,365,..,0,0,18,32,27,12,7,6,95,881,..,..,..,..,..,..,..,..,881,..,209,..,..,..,..,..,..,..,209,..,168,79,43,33,18,0,0,0,340,..,16,3,7,15,8,15,8,11,76,..,11,0,6,9,3,7,0,0,38,..,12,10,5,20,30,28,7,3,118,..,18,41,61,123,193,204,97,39,775,15,18,18,10,27,37,23,9,4,159,898,476,350,543,751,961,769,325,111,5177,..,5,184,349,493,551,377,141,22,2126,..,28,77,77,90,68,26,8,0,364,..,17,39,62,67,36,22,21,19,280,867,..,..,..,..,..,..,..,..,867,..,244,..,..,..,..,..,..,..,244,..,107,32,18,14,8,0,0,0,176,..,9,3,0,9,8,10,13,13,69,..,8,0,0,3,4,3,0,0,23
20301,..,10,357,823,890,815,622,211,31,3753,..,38,173,188,143,110,35,8,0,696,..,0,3,26,48,32,11,6,3,129,2053,..,..,..,..,..,..,..,..,2053,..,500,..,..,..,..,..,..,..,500,..,401,159,67,36,15,0,0,0,672,..,30,11,4,12,14,19,4,3,103,..,21,13,9,18,10,3,4,0,79,..,14,22,12,27,23,18,3,3,113,..,17,47,64,112,156,122,55,23,591,11,39,28,20,20,11,12,8,0,161,2066,1075,814,1217,1306,1185,828,298,62,8849,..,18,480,884,965,794,517,151,12,3818,..,63,203,203,145,78,29,5,3,720,..,14,55,128,121,64,28,25,8,453,1964,..,..,..,..,..,..,..,..,1964,..,450,..,..,..,..,..,..,..,450,..,244,105,30,13,10,0,0,0,405,..,20,0,3,4,22,21,14,19,114,..,16,14,3,8,9,3,0,0,48
20302,..,128,3688,6183,6322,6213,5043,2727,775,31072,..,744,2438,1412,1020,641,269,71,11,6607,..,24,79,284,501,301,137,80,58,1473,16062,..,..,..,..,..,..,..,..,16062,..,4395,..,..,..,..,..,..,..,4395,..,3228,1758,750,480,200,31,0,0,6447,..,532,319,116,135,121,94,89,27,1423,..,339,319,114,97,51,19,8,3,942,..,1476,1269,303,284,204,160,53,11,3765,..,357,1084,1122,1649,1704,1284,765,456,8429,284,411,418,250,189,180,105,69,32,1932,16349,11640,11368,10541,10661,9607,7142,3865,1377,82546,..,266,4708,6618,6617,6089,4648,2124,379,31461,..,1050,2540,1300,1040,558,196,48,7,6731,..,296,1089,1882,2086,989,397,342,229,7308,15321,..,..,..,..,..,..,..,..,15321,..,4564,..,..,..,..,..,..,..,4564,..,2189,1136,323,220,142,23,0,0,4032,..,434,227,85,149,288,247,175,104,1717,..,306,169,44,52,28,6,3,0,620
20303,..,10,1051,2638,2635,2937,2728,1288,301,13594,..,112,684,600,461,363,171,42,9,2439,..,3,20,89,151,98,45,18,18,441,6712,..,..,..,..,..,..,..,..,6712,..,1616,..,..,..,..,..,..,..,1616,..,1041,497,166,92,42,10,0,0,1846,..,90,66,29,33,35,25,20,13,313,..,58,74,47,26,21,6,3,3,233,..,144,207,94,67,87,62,21,3,689,..,89,180,314,435,632,510,292,160,2614,97,147,120,88,92,131,91,44,11,817,6804,3318,2906,4055,3996,4335,3647,1732,520,31317,..,33,1490,2827,2836,3037,2495,963,133,13811,..,186,775,644,511,338,132,21,9,2612,..,40,220,514,639,311,98,75,78,1972,6164,..,..,..,..,..,..,..,..,6164,..,1581,..,..,..,..,..,..,..,1581,..,642,348,93,66,53,10,0,0,1213,..,66,45,17,27,74,78,67,38,410,..,69,53,11,19,7,3,3,3,168
20401,..,18,656,1363,1751,2126,1993,950,217,9084,..,166,542,454,426,324,188,30,9,2132,..,6,21,63,155,79,39,25,24,406,4248,..,..,..,..,..,..,..,..,4248,..,962,..,..,..,..,..,..,..,962,..,878,397,149,126,58,9,0,0,1616,..,90,42,21,35,53,53,28,13,334,..,51,67,26,32,27,11,7,0,229,..,175,125,44,101,98,75,29,6,649,..,61,220,282,525,761,720,326,137,3034,106,125,100,76,87,105,103,40,13,761,4356,2522,2172,2476,3237,3642,3194,1439,421,23460,..,49,897,1510,1910,2231,1829,657,87,9165,..,249,558,493,422,279,122,17,3,2148,..,67,217,451,492,219,112,85,63,1700,4003,..,..,..,..,..,..,..,..,4003,..,954,..,..,..,..,..,..,..,954,..,558,208,74,63,44,12,0,0,960,..,68,26,6,38,77,75,70,44,399,..,63,33,18,7,10,10,0,0,148
