SA3_CODE_2016,Sme_Usl_ad_5_yr_ago_as_2016_M,Sme_Usl_ad_5_yr_ago_as_2016_F,Sme_Usl_ad_5_yr_ago_as_2016_P,Dif_Usl_ad_5_yr_ago_Sme_SA2_M,Dif_Usl_ad_5_yr_ago_Sme_SA2_F,Dif_Usl_ad_5_yr_ago_Sme_SA2_P,Dif_Us_ad_5_ago_Dif_SA2_NSW_M,Dif_Us_ad_5_ago_Dif_SA2_NSW_F,Dif_Us_ad_5_ago_Dif_SA2_NSW_P,Dif_Us_ad_5_ago_Dif_SA2_Vic_M,Dif_Us_ad_5_ago_Dif_SA2_Vic_F,Dif_Us_ad_5_ago_Dif_SA2_Vic_P,Dif_Us_ad_5_ago_Dif_SA2_Qld_M,Dif_Us_ad_5_ago_Dif_SA2_Qld_F,Dif_Us_ad_5_ago_Dif_SA2_Qld_P,Dif_Us_ad_5_ago_Dif_SA2_SA_M,Dif_Us_ad_5_ago_Dif_SA2_SA_F,Dif_Us_ad_5_ago_Dif_SA2_SA_P,Dif_Us_ad_5_ago_Dif_SA2_WA_M,Dif_Us_ad_5_ago_Dif_SA2_WA_F,Dif_Us_ad_5_ago_Dif_SA2_WA_P,Dif_Us_ad_5_ago_Dif_SA2_Tas_M,Dif_Us_ad_5_ago_Dif_SA2_Tas_F,Dif_Us_ad_5_ago_Dif_SA2_Tas_P,Dif_Us_ad_5_ago_Dif_SA2_NT_M,Dif_Us_ad_5_ago_Dif_SA2_NT_F,Dif_Us_ad_5_ago_Dif_SA2_NT_P,Dif_Us_ad_5_ago_Dif_SA2_ACT_M,Dif_Us_ad_5_ago_Dif_SA2_ACT_F,Dif_Us_ad_5_ago_Dif_SA2_ACT_P,Dif_Us_ad_5_ago_Dif_SA2_OT_M,Dif_Us_ad_5_ago_Dif_SA2_OT_F,Dif_Us_ad_5_ago_Dif_SA2_OT_P,Dif_Us_ad_5_ago_Dif_SA2_Tot_M,Dif_Us_ad_5_ago_Dif_SA2_Tot_F,Dif_Us_ad_5_ago_Dif_SA2_Tot_P,Difnt_Usl_add_5_yr_ago_OS_M,Difnt_Usl_add_5_yr_ago_OS_F,Difnt_Usl_add_5_yr_ago_OS_P,Difnt_Usl_add_5_yr_ago_Ns_M,Difnt_Usl_add_5_yr_ago_Ns_F,Difnt_Usl_add_5_yr_ago_Ns_P,Difnt_Usl_add_5_yr_ago_Tot_M,Difnt_Usl_add_5_yr_ago_Tot_F,Difnt_Usl_add_5_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P
20101,24056,25831,49884,3675,4087,7763,452,458,907,12679,14129,26806,377,430,810,222,235,455,222,238,461,106,119,225,71,80,154,48,40,86,0,0,0,14167,15733,29899,1006,1066,2075,304,246,552,19153,21135,40289,3256,3644,6895,46468,50609,97076
20102,8284,8235,16523,797,889,1689,118,128,246,2467,2667,5136,81,94,174,36,48,77,47,52,100,18,23,38,20,21,38,12,8,24,0,0,0,2801,3030,5831,144,148,287,45,48,91,3788,4113,7906,1187,1313,2498,13257,13671,26928
20103,7403,7245,14643,878,978,1853,83,93,177,2176,2191,4370,98,107,208,52,52,106,45,51,89,24,23,51,23,9,34,3,6,9,0,0,0,2513,2537,5045,73,99,170,30,30,58,3489,3641,7132,1391,1003,2392,12279,11890,24168
20201,22158,23430,45588,3133,3418,6555,486,547,1027,11163,12733,23893,375,397,770,176,199,380,172,189,362,81,99,183,98,99,202,49,51,99,0,3,3,12600,14316,26913,778,918,1690,242,181,422,16752,18829,35587,3396,3640,7038,42309,45899,88210
20202,12699,12920,25620,1621,1871,3490,175,243,416,4297,4636,8933,139,157,298,64,73,140,91,85,173,26,40,69,53,57,116,17,26,45,0,0,0,4868,5326,10195,320,344,660,103,93,190,6907,7637,14541,2558,2083,4643,22164,22641,44808
20203,3671,3439,7114,320,344,669,36,38,74,761,791,1550,52,44,99,23,26,46,12,21,29,9,9,16,10,9,21,0,0,0,0,0,0,908,935,1839,41,53,93,31,18,45,1295,1340,2637,574,520,1097,5543,5302,10845
20301,5393,5150,10538,547,567,1120,46,40,88,2128,2181,4307,44,52,97,19,16,35,28,37,66,6,9,18,10,6,20,0,3,8,0,0,0,2287,2344,4628,81,83,162,42,38,86,2959,3031,5983,616,613,1227,8968,8789,17758
20302,46104,49359,95459,7132,7829,14955,643,785,1433,19483,21719,41200,645,704,1347,253,254,511,290,295,581,160,199,361,108,126,233,100,107,210,0,0,0,21687,24185,45873,3203,3070,6272,470,430,902,32487,35508,68001,6750,6329,13078,85346,91200,176544
20303,16803,17753,34550,4048,4453,8498,314,352,666,7762,8517,16280,266,274,534,92,99,191,166,159,322,65,55,122,61,72,134,37,50,83,0,0,0,8758,9575,18330,652,705,1356,169,134,300,13626,14864,28485,2137,2216,4346,32562,34830,67386
20401,14375,14215,28589,2695,2832,5533,365,356,724,4174,4487,8661,434,318,752,94,101,196,122,118,245,53,65,119,126,92,221,25,26,50,0,0,0,5395,5558,10954,450,433,877,109,89,201,8656,8916,17571,2469,2393,4864,25496,25533,51027
