SA3_CODE_2016,M_NatPhyl_Scn_15_24,M_NatPhyl_Scn_25_34,M_NatPhyl_Scn_35_44,M_NatPhyl_Scn_45_54,M_NatPhyl_Scn_55_64,M_NatPhyl_Scn_65_74,M_NatPhyl_Scn_75_84,M_NatPhyl_Scn_85ov,M_NatPhyl_Scn_Tot,M_InfoTech_15_24,M_InfoTech_25_34,M_InfoTech_35_44,M_InfoTech_45_54,M_InfoTech_55_64,M_InfoTech_65_74,M_InfoTech_75_84,M_InfoTech_85ov,M_InfoTech_Tot,M_Eng_RelTec_15_24,M_Eng_RelTec_25_34,M_Eng_RelTec_35_44,M_Eng_RelTec_45_54,M_Eng_RelTec_55_64,M_Eng_RelTec_65_74,M_Eng_RelTec_75_84,M_Eng_RelTec_85ov,M_Eng_RelTec_Tot,M_ArchtBldng_15_24,M_ArchtBldng_25_34,M_ArchtBldng_35_44,M_ArchtBldng_45_54,M_ArchtBldng_55_64,M_ArchtBldng_65_74,M_ArchtBldng_75_84,M_ArchtBldng_85ov,M_ArchtBldng_Tot,M_Ag_Envir_Rltd_Sts_15_24,M_Ag_Envir_Rltd_Sts_25_34,M_Ag_Envir_Rltd_Sts_35_44,M_Ag_Envir_Rltd_Sts_45_54,M_Ag_Envir_Rltd_Sts_55_64,M_Ag_Envir_Rltd_Sts_65_74,M_Ag_Envir_Rltd_Sts_75_84,M_Ag_Envir_Rltd_Sts_85ov,M_Ag_Envir_Rltd_Sts_Tot,M_Health_15_24,M_Health_25_34,M_Health_35_44,M_Health_45_54,M_Health_55_64,M_Health_65_74,M_Health_75_84,M_Health_85ov,M_Health_Tot,M_Educ_15_24,M_Educ_25_34,M_Educ_35_44,M_Educ_45_54,M_Educ_55_64,M_Educ_65_74,M_Educ_75_84,M_Educ_85_years_and_over,M_Educ_Tot,M_Mgnt_Com_15_24,M_Mgnt_Com_25_34,M_Mgnt_Com_35_44,M_Mgnt_Com_45_54,M_Mgnt_Com_55_64,M_Mgnt_Com_65_74,M_Mgnt_Com_75_84,M_Mgnt_Com_85ov,M_Mgnt_Com_Tot,M_Society_Cult_15_24,M_Society_Cult_25_34,M_Society_Cult_35_44,M_Society_Cult_45_54,M_Society_Cult_55_64,M_Society_Cult_65_74,M_Society_Cult_75_84,M_Society_Cult_85ov,M_Society_Cult_Tot,M_Creative_Arts_15_24,M_Creative_Arts_25_34,M_Creative_Arts_35_44,M_Creative_Arts_45_54,M_Creative_Arts_55_64,M_Creative_Arts_65_74,M_Creative_Arts_75_84,M_Creative_Arts_85ov,M_Creative_Arts_Tot,M_Fd_Hosp_Psnl_Svcs_15_24,M_Fd_Hosp_Psnl_Svcs_25_34,M_Fd_Hosp_Psnl_Svcs_35_44,M_Fd_Hosp_Psnl_Svcs_45_54,M_Fd_Hosp_Psnl_Svcs_55_64,M_Fd_Hosp_Psnl_Svcs_65_74,M_Fd_Hosp_Psnl_Svcs_75_84,M_Fd_Hosp_Psnl_Svcs_85ov,M_Fd_Hosp_Psnl_Svcs_Tot,M_MixFld_Prgm_15_24,M_MixFld_Prgm_25_34,M_MixFld_Prgm_35_44,M_MixFld_Prgm_45_54,M_MixFld_Prgm_55_64,M_MixFld_Prgm_65_74,M_MixFld_Prgm_75_84,M_MixFld_Prgm_85ov,M_MixFld_Prgm_Tot,M_FldStd_InadDes_15_24,M_FldStd_InadDes_25_34,M_FldStd_InadDes_35_44,M_FldStd_InadDes_45_54,M_FldStd_InadDes_55_64,M_FldStd_InadDes_65_74,M_FldStd_InadDes_75_84,M_FldStd_InadDes_85ov,M_FldStd_InadDes_Tot,M_FldStd_NS_15_24,M_FldStd_NS_25_34,M_FldStd_NS_35_44,M_FldStd_NS_45_54,M_FldStd_NS_55_64,M_FldStd_NS_65_74,M_FldStd_NS_75_84,M_FldStd_NS_85ov,M_FldStd_NS_Tot,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85_years_and_over,M_Tot_Tot,F_NatPhyl_Scn_15_24,F_NatPhyl_Scn_25_34,F_NatPhyl_Scn_35_44,F_NatPhyl_Scn_45_54,F_NatPhyl_Scn_55_64,F_NatPhyl_Scn_65_74,F_NatPhyl_Scn_75_84,F_NatPhyl_Scn_85ov,F_NatPhyl_Scn_Tot,F_InfoTech_15_24,F_InfoTech_25_34,F_InfoTech_35_44,F_InfoTech_45_54,F_InfoTech_55_64,F_InfoTech_65_74,F_InfoTech_75_84,F_InfoTech_85ov,F_InfoTech_Tot,F_Eng_RelTec_15_24,F_Eng_RelTec_25_34,F_Eng_RelTec_35_44,F_Eng_RelTec_45_54,F_Eng_RelTec_55_64,F_Eng_RelTec_65_74,F_Eng_RelTec_75_84,F_Eng_RelTec_85ov,F_Eng_RelTec_Tot,F_ArchtBldng_15_24,F_ArchtBldng_25_34,F_ArchtBldng_35_44,F_ArchtBldng_45_54,F_ArchtBldng_55_64,F_ArchtBldng_65_74,F_ArchtBldng_75_84,F_ArchtBldng_85ov,F_ArchtBldng_Tot,F_Ag_Envir_Rltd_Sts_15_24,F_Ag_Envir_Rltd_Sts_25_34,F_Ag_Envir_Rltd_Sts_35_44,F_Ag_Envir_Rltd_Sts_45_54,F_Ag_Envir_Rltd_Sts_55_64,F_Ag_Envir_Rltd_Sts_65_74,F_Ag_Envir_Rltd_Sts_75_84,F_Ag_Envir_Rltd_Sts_85ov,F_Ag_Envir_Rltd_Sts_Tot,F_Health_15_24,F_Health_25_34,F_Health_35_44,F_Health_45_54,F_Health_55_64,F_Health_65_74,F_Health_75_84,F_Health_85ov,F_Health_Tot,F_Educ_15_24,F_Educ_25_34,F_Educ_35_44,F_Educ_45_54,F_Educ_55_64,F_Educ_65_74,F_Educ_75_84,F_Educ_85ov,F_Educ_Tot,F_Mgnt_Com_15_24,F_Mgnt_Com_25_34
20101,39,80,114,90,93,79,17,4,500,83,354,245,139,77,33,0,0,935,355,985,921,1099,991,799,372,110,5627,369,785,538,426,382,242,131,39,2912,56,154,124,146,100,76,50,14,725,80,281,267,259,263,136,59,15,1350,52,241,250,232,330,319,103,24,1543,228,597,690,664,475,250,99,19,3016,156,301,313,281,242,183,66,14,1557,175,171,138,96,83,60,14,3,748,111,254,215,147,113,65,38,10,952,8,10,4,9,4,11,3,3,53,14,56,86,83,53,44,17,7,364,594,507,476,484,456,508,360,176,3577,2327,4774,4378,4159,3671,2790,1337,426,23863,53,118,116,82,49,16,6,0,456,9,53,56,38,31,4,0,0,197,23,75,77,66,34,23,46,19,365,18,45,30,32,14,9,0,0,148,32,73,73,57,27,4,3,0,271,290,1003,827,908,822,491,226,80,4651,172,648,679,605,668,492,210,63,3530,412,1038
20102,0,11,22,37,31,48,8,3,162,10,22,29,23,26,12,0,0,122,84,206,300,440,471,336,131,32,2000,81,154,132,136,133,99,46,7,792,20,71,108,129,104,56,20,7,523,10,20,36,63,66,38,13,3,243,0,17,55,55,103,82,29,6,350,18,50,127,152,136,90,24,3,602,11,26,79,88,115,88,22,4,441,23,27,46,57,50,49,6,0,257,16,45,60,52,46,36,4,3,268,0,0,0,3,3,4,0,0,17,3,12,20,26,24,26,7,3,116,176,103,141,239,256,241,143,58,1344,463,771,1164,1510,1568,1201,448,127,7246,5,11,53,30,28,14,0,0,137,0,11,12,13,15,0,0,0,53,5,16,15,28,12,21,9,6,111,8,5,21,11,8,11,0,0,63,20,36,49,50,27,13,3,0,199,42,128,198,249,283,178,66,13,1149,17,86,158,178,240,169,35,12,903,33,178
20103,0,10,10,13,28,13,6,0,83,10,11,15,17,18,3,0,0,73,93,173,272,350,388,335,130,42,1789,41,105,94,83,127,107,51,6,619,17,71,79,103,79,60,15,3,437,0,17,18,33,52,31,12,0,166,3,28,26,31,61,89,21,3,265,20,43,63,69,72,49,14,7,338,18,32,44,66,60,42,11,3,268,10,17,12,16,16,18,4,0,89,15,36,45,36,44,27,10,3,217,0,0,0,7,0,8,3,0,17,7,7,13,16,22,16,0,0,92,150,137,211,269,276,302,177,51,1577,379,677,902,1116,1247,1111,458,129,6013,0,19,15,12,3,4,0,0,65,0,3,7,13,9,5,0,0,47,0,17,14,20,18,12,13,4,91,3,9,7,4,3,0,0,0,25,17,36,33,27,18,13,0,0,143,41,118,116,183,231,154,53,18,917,26,77,98,91,145,134,28,9,605,36,137
20201,25,71,73,84,61,56,17,3,393,88,260,172,99,57,23,3,0,709,362,1014,863,990,977,761,363,111,5449,326,717,461,433,399,267,142,38,2780,64,146,160,171,142,76,35,13,805,95,257,230,227,215,101,38,9,1164,71,210,209,177,259,258,117,28,1327,159,516,562,441,379,216,64,16,2358,173,258,276,255,244,145,54,5,1415,74,138,93,49,62,43,21,3,483,89,249,167,143,99,60,31,6,845,10,3,9,0,3,15,4,0,45,10,41,72,64,54,33,25,8,309,561,485,431,486,507,472,391,228,3559,2096,4369,3778,3616,3458,2534,1298,479,21632,36,91,118,47,52,21,9,4,381,14,36,48,38,33,14,4,0,191,17,71,65,88,58,39,22,14,365,21,35,45,19,17,4,0,4,143,24,77,81,44,34,7,3,0,269,349,996,782,770,846,473,217,75,4514,150,596,586,518,556,403,148,66,3023,292,909
20202,4,22,74,67,78,76,21,0,351,14,43,58,69,40,26,3,0,262,134,352,445,633,661,589,273,76,3161,99,205,229,269,254,162,73,16,1306,14,64,146,149,132,66,31,10,610,11,40,79,106,143,66,28,8,470,15,41,121,114,204,196,58,14,768,46,109,199,253,230,172,48,14,1068,35,75,149,193,218,191,63,10,944,28,51,141,106,88,60,11,6,487,33,48,74,81,78,39,12,11,376,4,5,0,0,3,3,4,0,28,3,21,41,34,37,27,18,4,182,335,429,400,458,438,381,224,82,2740,779,1504,2148,2555,2595,2055,872,246,12756,4,27,90,72,52,26,9,8,294,4,9,20,28,30,9,0,0,97,10,29,62,38,30,25,13,3,212,3,19,36,42,28,13,0,3,139,27,37,90,66,46,25,4,0,290,65,230,360,498,481,300,123,41,2096,32,161,290,344,451,362,115,24,1777,70,227
20203,0,4,5,4,7,5,0,0,33,4,11,7,3,3,0,0,0,33,34,70,105,150,207,100,37,16,720,12,46,35,43,53,41,12,7,245,20,50,91,117,94,39,12,0,419,0,7,11,10,19,9,0,0,62,0,8,12,16,24,16,3,3,84,9,20,29,29,36,23,3,0,144,7,8,11,23,22,30,4,0,93,0,0,4,3,5,6,3,0,31,8,14,9,17,15,8,0,0,73,0,0,0,0,0,5,0,0,6,0,0,11,6,4,9,7,0,37,73,48,81,106,121,130,68,26,647,165,277,418,531,608,420,157,51,2624,0,4,0,6,10,3,0,0,23,0,0,3,6,0,3,0,0,18,3,4,5,10,3,5,3,0,36,0,0,3,3,0,0,0,0,10,12,31,25,20,15,5,0,0,102,12,41,78,99,101,45,22,7,408,13,29,46,74,70,51,16,6,306,13,58
20301,3,5,14,23,23,9,6,0,84,13,21,19,20,8,9,0,0,87,71,215,338,364,291,191,59,12,1545,59,152,164,128,84,40,13,3,651,11,50,76,83,73,63,20,3,374,13,16,32,36,48,16,6,0,167,0,25,37,35,48,44,7,0,202,9,51,118,98,81,48,12,0,419,22,36,42,37,49,37,11,0,229,16,22,12,17,16,5,0,0,79,12,28,32,29,9,15,0,0,129,0,0,0,0,4,0,0,0,9,0,7,17,16,17,7,5,0,68,114,67,105,121,102,75,53,15,651,345,684,1012,1003,860,559,189,40,4692,4,19,36,26,8,5,0,0,100,0,3,7,3,10,3,0,0,30,6,3,20,21,8,5,5,0,71,0,4,9,10,3,0,0,0,21,7,38,49,31,26,7,0,0,155,39,149,162,160,164,87,24,5,794,17,105,118,112,133,68,13,9,576,28,160
20302,135,214,248,190,211,140,60,9,1220,177,485,394,231,140,39,0,4,1471,753,2038,1972,2356,2218,1747,846,303,12231,676,1586,1056,830,693,492,272,97,5697,79,212,255,211,141,118,56,21,1093,144,549,448,408,363,155,60,28,2154,60,305,351,317,444,365,163,39,2056,397,1198,1182,1090,860,479,159,45,5405,397,616,531,507,408,266,96,32,2842,211,355,275,142,120,57,20,7,1186,221,511,336,266,189,107,75,20,1715,22,13,8,13,17,11,11,3,97,41,119,156,130,109,55,17,14,649,1115,1288,1130,1118,917,864,691,375,7492,4433,9483,8347,7804,6829,4899,2527,994,45313,171,327,352,195,117,47,14,6,1225,33,124,121,67,42,13,0,0,404,67,215,187,156,105,78,88,41,942,83,182,117,82,41,8,5,0,522,59,112,116,91,46,22,4,8,456,627,1876,1519,1430,1370,723,358,136,8036,250,1099,1088,991,1099,753,313,90,5674,687,2011
20303,28,67,113,105,123,130,37,10,613,31,80,116,80,62,32,0,0,399,126,473,685,778,968,905,409,140,4477,190,622,622,529,473,262,137,39,2876,29,109,161,142,124,86,59,4,717,31,156,207,188,196,119,42,22,959,25,148,193,179,331,337,117,30,1368,57,286,510,470,529,417,146,36,2456,88,161,229,241,246,226,85,15,1294,52,108,131,74,84,60,31,0,539,49,131,143,128,71,57,21,7,607,3,0,4,0,0,6,3,3,24,13,27,58,60,57,36,23,15,284,276,215,321,303,373,420,267,138,2314,990,2577,3497,3278,3639,3101,1384,457,18919,26,89,121,102,81,48,15,8,486,0,7,27,27,23,20,3,0,105,21,34,63,50,36,35,26,17,277,6,50,63,47,26,18,3,3,214,24,50,75,48,37,8,3,3,246,124,653,722,708,709,489,230,70,3703,54,420,516,528,823,619,215,51,3235,113,537
20401,12,17,27,23,53,52,11,3,203,15,35,49,38,29,14,3,0,182,171,476,559,754,864,743,265,88,3913,150,307,270,274,295,239,113,25,1689,66,137,181,172,143,110,50,6,867,15,44,56,67,82,69,28,11,377,8,71,77,90,148,114,46,4,552,59,140,173,237,227,183,43,28,1094,78,95,88,133,127,123,46,5,690,21,46,31,21,28,23,14,4,189,41,87,114,102,92,48,23,6,514,3,3,0,3,0,7,9,3,33,14,45,46,49,49,27,9,3,236,389,276,308,408,507,443,271,123,2724,1047,1774,1986,2381,2645,2203,934,310,13263,12,37,62,39,63,25,6,3,248,8,10,20,18,18,10,0,0,76,6,24,27,40,36,31,17,8,196,5,11,16,16,12,8,0,0,73,43,87,97,84,49,12,11,3,388,92,299,329,373,429,306,139,39,2009,64,217,263,258,372,301,107,27,1607,127,358
