SA3_CODE_2016,I_4000more_1AW_OthNW,I_4000more_BNW,I_4000more_LFsta_NS,I_4000more_Tot,Part_inc_stated_BE_WFT,Part_inc_stated_BE_WPT,Part_inc_stated_BE_BAW,Part_inc_stated_1EFT_OthPT,Part_inc_stated_1EFT_OthAW,Part_inc_stated_1EFT_OthNW,Part_inc_stated_1EPT_OthAW,Part_inc_stated_1EPT_OthNW,Part_inc_stated_1AW_OthNW,Part_inc_stated_BNW,Part_inc_stated_LFsta_NS,Part_inc_stated_Tot,All_inc_NS_BE_WFT,All_inc_NS_BE_WPT,All_inc_NS_BE_BAW,All_inc_NS_1EFT_OthPT,All_inc_NS_1EFT_OthAW,All_inc_NS_1EFT_OthNW,All_inc_NS_1EPT_OthAW,All_inc_NS_1EPT_OthNW,All_inc_NS_1AW_OthNW,All_inc_NS_BNW,All_inc_NS_LFsta_NS,All_inc_NS_Tot,Tot_BE_WFT,Tot_BE_WPT,Tot_BE_BAW,Tot_1EFT_OthPT,Tot_1EFT_OthAW,Tot_1EFT_OthNW,Tot_1EPT_OthAW,Tot_1EPT_OthNW,Tot_1AW_OthNW,Tot_BNW,Tot_LFsta_NS,Tot_Tot
20101,5,29,3,342,25,6,3,15,0,22,6,14,8,67,420,570,3,3,4,9,3,6,4,6,3,113,62,219,1894,440,79,1473,132,903,72,763,115,3573,533,9981
20102,3,9,0,126,7,3,0,4,0,13,0,6,4,30,169,230,9,7,3,6,0,4,0,4,3,25,20,83,548,221,41,476,61,368,34,297,56,1121,214,3431
20103,0,3,0,30,7,0,0,4,0,5,0,3,0,48,133,211,0,0,3,3,0,3,0,0,0,63,24,102,356,150,30,390,34,274,31,237,40,1418,204,3165
20201,7,37,0,277,19,6,3,18,3,16,0,13,4,87,386,562,12,6,0,7,4,8,3,7,4,110,48,214,1674,415,80,1408,131,789,90,716,113,3436,487,9344
20202,3,28,4,225,12,9,0,10,0,12,0,8,0,38,251,345,3,0,0,6,0,3,0,5,0,52,45,125,802,354,52,739,79,498,39,480,82,2041,337,5506
20203,0,4,0,26,4,0,0,3,0,7,0,5,3,14,86,115,6,0,0,0,0,0,0,0,0,13,9,37,244,64,24,222,20,114,11,96,21,507,115,1442
20301,0,7,0,78,8,0,0,5,0,5,3,7,0,12,85,121,0,0,0,4,0,0,0,0,0,19,15,38,380,119,22,322,35,203,22,193,24,560,112,1998
20302,3,71,0,689,43,9,3,27,14,40,3,16,7,177,785,1131,25,6,12,22,6,16,0,17,5,209,125,437,3489,766,123,2591,238,1652,145,1331,172,6746,1009,18264
20303,0,80,0,423,19,0,3,12,0,19,0,14,0,72,417,562,0,3,3,12,3,8,0,8,3,100,51,188,1240,461,58,1011,66,552,68,748,87,3575,519,8392
20401,0,26,0,187,7,11,3,7,3,18,0,13,5,74,334,472,14,3,8,8,0,7,0,7,6,84,41,184,1007,342,63,863,100,551,71,542,99,2331,413,6386
