SA4_CODE_2016,A_0_4_y_Indigenous_M,A_0_4_y_Indigenous_F,A_0_4_y_Indigenous_P,A_0_4_y_Non_Indigenous_M,A_0_4_y_Non_Indigenous_F,A_0_4_y_Non_Indigenous_P,A_0_4_y_Indig_stat_ns_M,A_0_4_y_Indig_stat_ns_F,A_0_4_y_Indig_stat_ns_P,A_0_4_y_Tot_M,A_0_4_y_Tot_F,A_0_4_y_Tot_P,A_5_9_y_Indigenous_M,A_5_9_y_Indigenous_F,A_5_9_y_Indigenous_P,A_5_9_y_Non_Indigenous_M,A_5_9_y_Non_Indigenous_F,A_5_9_y_Non_Indigenous_P,A_5_9_y_Indig_stat_ns_M,A_5_9_y_Indig_stat_ns_F,A_5_9_y_Indig_stat_ns_P,A_5_9_y_Tot_M,A_5_9_y_Tot_F,A_5_9_y_Tot_P,A_10_14_y_Indigenous_M,A_10_14_y_Indigenous_F,A_10_14_y_Indigenous_P,A_10_14_y_Non_Indig_M,A_10_14_y_Non_Indig_F,A_10_14_y_Non_Indig_P,A_10_14_y_Indig_stat_ns_M,A_10_14_y_Indig_stat_ns_F,A_10_14_y_Indig_stat_ns_P,A_10_14_y_Tot_M,A_10_14_y_Tot_F,A_10_14_y_Tot_P,A_15_19_y_Indigenous_M,A_15_19_y_Indigenous_F,A_15_19_y_Indigenous_P,A_15_19_y_Non_Indig_M,A_15_19_y_Non_Indig_F,A_15_19_y_Non_Indig_P,A_15_19_y_Indig_stat_ns_M,A_15_19_y_Indig_stat_ns_F,A_15_19_y_Indig_stat_ns_P,A_15_19_y_Tot_M,A_15_19_y_Tot_F,A_15_19_y_Tot_P,A_20_24_y_Indigenous_M,A_20_24_y_Indigenous_F,A_20_24_y_Indigenous_P,A_20_24_y_Non_Indig_M,A_20_24_y_Non_Indig_F,A_20_24_y_Non_Indig_P,A_20_24_y_Indig_stat_ns_M,A_20_24_y_Indig_stat_ns_F,A_20_24_y_Indig_stat_ns_P,A_20_24_y_Tot_M,A_20_24_y_Tot_F,A_20_24_y_Tot_P,A_25_29_y_Indigenous_M,A_25_29_y_Indigenous_F,A_25_29_y_Indigenous_P,A_25_29_y_Non_Indig_M,A_25_29_y_Non_Indig_F,A_25_29_y_Non_Indig_P,A_25_29_y_Indig_stat_ns_M,A_25_29_y_Indig_stat_ns_F,A_25_29_y_Indig_stat_ns_P,A_25_29_y_Tot_M,A_25_29_y_Tot_F,A_25_29_y_Tot_P,A_30_34_y_Indigenous_M,A_30_34_y_Indigenous_F,A_30_34_y_Indigenous_P,A_30_34_y_Non_Indig_M,A_30_34_y_Non_Indig_F,A_30_34_y_Non_Indig_P,A_30_34_y_Indig_stat_ns_M,A_30_34_y_Indig_stat_ns_F,A_30_34_y_Indig_stat_ns_P,A_30_34_y_Tot_M,A_30_34_y_Tot_F,A_30_34_y_Tot_P,A_35_39_y_Indigenous_M,A_35_39_y_Indigenous_F,A_35_39_y_Indigenous_P,A_35_39_y_Non_Indig_M,A_35_39_y_Non_Indig_F,A_35_39_y_Non_Indig_P,A_35_39_y_Indig_stat_ns_M,A_35_39_y_Indig_stat_ns_F,A_35_39_y_Indig_stat_ns_P,A_35_39_y_Tot_M,A_35_39_y_Tot_F,A_35_39_y_Tot_P,A_40_44_y_Indigenous_M,A_40_44_y_Indigenous_F,A_40_44_y_Indigenous_P,A_40_44_y_Non_Indig_M,A_40_44_y_Non_Indig_F,A_40_44_y_Non_Indig_P,A_40_44_y_Indig_stat_ns_M,A_40_44_y_Indig_stat_ns_F,A_40_44_y_Indig_stat_ns_P,A_40_44_y_Tot_M,A_40_44_y_Tot_F,A_40_44_y_Tot_P,A_45_49_y_Indigenous_M,A_45_49_y_Indigenous_F,A_45_49_y_Indigenous_P,A_45_49_y_Non_Indig_M,A_45_49_y_Non_Indig_F,A_45_49_y_Non_Indig_P,A_45_49_y_Indig_stat_ns_M,A_45_49_y_Indig_stat_ns_F,A_45_49_y_Indig_stat_ns_P,A_45_49_y_Tot_M,A_45_49_y_Tot_F,A_45_49_y_Tot_P,A_50_54_y_Indigenous_M,A_50_54_y_Indigenous_F,A_50_54_y_Indigenous_P,A_50_54_y_Non_Indig_M,A_50_54_y_Non_Indig_F,A_50_54_y_Non_Indig_P,A_50_54_y_Indig_stat_ns_M,A_50_54_y_Indig_stat_ns_F,A_50_54_y_Indig_stat_ns_P,A_50_54_y_Tot_M,A_50_54_y_Tot_F,A_50_54_y_Tot_P,A_55_59_y_Indigenous_M,A_55_59_y_Indigenous_F,A_55_59_y_Indigenous_P,A_55_59_y_Non_Indig_M,A_55_59_y_Non_Indig_F,A_55_59_y_Non_Indig_P,A_55_59_y_Indig_stat_ns_M,A_55_59_y_Indig_stat_ns_F,A_55_59_y_Indig_stat_ns_P,A_55_59_y_Tot_M,A_55_59_y_Tot_F,A_55_59_y_Tot_P,A_60_64_y_Indigenous_M,A_60_64_y_Indigenous_F,A_60_64_y_Indigenous_P,A_60_64_y_Non_Indig_M,A_60_64_y_Non_Indig_F,A_60_64_y_Non_Indig_P,A_60_64_y_Indig_stat_ns_M,A_60_64_y_Indig_stat_ns_F,A_60_64_y_Indig_stat_ns_P,A_60_64_y_Tot_M,A_60_64_y_Tot_F,A_60_64_y_Tot_P,A_65_y_ov_Indigenous_M,A_65_y_ov_Indigenous_F,A_65_y_ov_Indigenous_P,A_65_y_ov_Non_Indig_M,A_65_y_ov_Non_Indig_F,A_65_y_ov_Non_Indig_P,A_65_y_ov_Indig_stat_ns_M,A_65_y_ov_Indig_stat_ns_F,A_65_y_ov_Indig_stat_ns_P,A_65_y_ov_Tot_M,A_65_y_ov_Tot_F,A_65_y_ov_Tot_P,Tot_Indigenous_M,Tot_Indigenous_F,Tot_Indigenous_P,Tot_Non_Indigenous_M,Tot_Non_Indigenous_F,Tot_Non_Indigenous_P,Tot_Indig_status_ns_M,Tot_Indig_status_ns_F,Tot_Indig_status_ns_P,Tot_Tot_M,Tot_Tot_F,Tot_Tot_P
201,125,132,253,4394,4131,8532,276,260,538,4794,4527,9318,145,135,281,4710,4544,9256,274,279,547,5127,4962,10083,126,137,256,4507,4257,8758,283,268,542,4909,4655,9564,97,119,216,4571,4289,8861,280,296,574,4948,4705,9654,94,100,196,4537,4483,9017,339,315,661,4971,4900,9873,55,79,137,4035,4097,8132,285,272,557,4375,4445,8816,65,65,123,3840,4188,8025,260,287,548,4163,4541,8697,30,53,88,3973,4262,8234,260,266,525,4267,4583,8847,56,69,123,4435,4754,9186,289,297,586,4778,5121,9895,47,71,120,4630,5056,9687,306,329,636,4982,5460,10445,43,51,93,4856,5205,10058,347,345,688,5243,5606,10845,40,37,78,4821,5177,9997,347,384,732,5210,5597,10806,34,30,62,4742,5033,9772,328,360,691,5104,5424,10530,68,61,125,12734,14809,27545,1140,1300,2434,13937,16166,30107,1022,1146,2162,70775,74288,145063,5000,5264,10261,76798,80690,157485
202,155,148,306,4199,4091,8286,316,318,632,4675,4552,9228,136,124,260,4594,4225,8821,358,319,679,5089,4664,9752,117,114,226,4299,4161,8459,346,297,635,4758,4566,9326,108,117,231,4321,4198,8519,315,313,625,4748,4627,9372,109,109,218,4202,4252,8451,288,277,564,4598,4634,9235,89,87,172,3805,3988,7795,272,281,547,4167,4349,8520,53,69,124,3865,4035,7897,279,291,569,4200,4388,8590,63,41,101,3818,4187,8000,269,286,558,4140,4514,8659,58,63,120,4241,4576,8818,293,320,613,4588,4959,9550,63,69,130,4494,4779,9276,367,327,686,4919,5174,10093,50,47,96,4533,5053,9589,327,368,700,4915,5468,10382,56,44,100,4753,5133,9880,392,352,751,5200,5531,10735,34,41,72,4606,4813,9417,347,375,724,4989,5221,10216,54,61,111,12523,14288,26810,1134,1380,2514,13705,15732,29443,1134,1135,2267,68259,71766,140022,5302,5497,10792,74698,78392,153092
203,154,163,315,8318,7713,16031,472,426,900,8945,8303,17250,160,161,321,8369,8052,16428,452,446,896,8982,8658,17636,144,156,306,8132,7618,15751,454,408,866,8736,8186,16918,153,152,310,8160,7791,15951,439,418,855,8752,8363,17118,116,108,226,8352,7873,16224,506,499,1012,8977,8475,17452,79,80,157,7689,7892,15584,483,471,957,8257,8446,16701,75,89,160,7867,8458,16326,442,457,898,8391,8999,17390,78,75,155,7762,8174,15942,420,394,813,8260,8648,16910,67,82,143,8474,9043,17519,504,463,965,9040,9590,18633,84,71,151,8263,8945,17210,525,481,1011,8870,9496,18369,60,68,131,8096,8903,17003,461,502,966,8614,9479,18094,49,53,100,7992,8847,16840,487,507,994,8526,9405,17927,54,48,99,7710,8350,16060,502,523,1022,8258,8920,17180,64,72,140,21478,25935,47414,1674,2132,3807,23214,28143,51358,1333,1383,2713,126664,133601,260265,7819,8134,15947,135813,143119,278929
204,141,168,313,4376,4136,8514,317,323,644,4839,4623,9463,154,187,337,4896,4634,9527,352,328,682,5399,5148,10545,165,149,317,4787,4626,9417,315,339,651,5271,5116,10392,156,148,311,4868,4406,9274,359,346,703,5382,4909,10287,110,102,214,4108,3516,7628,357,298,653,4583,3914,8501,79,96,176,3743,3837,7578,332,280,617,4150,4219,8368,66,80,144,3795,4190,7985,301,323,625,4162,4594,8755,60,71,133,3859,4331,8193,300,323,624,4222,4729,8951,58,64,118,4553,4924,9483,383,345,727,4994,5333,10329,59,75,135,4947,5366,10315,384,384,771,5393,5820,11220,74,74,144,5428,5724,11154,430,423,851,5928,6217,12147,66,70,133,5673,6112,11784,474,426,904,6212,6607,12815,43,41,86,5682,5736,11420,490,476,964,6214,6251,12465,61,76,136,15712,17160,32875,1393,1560,2948,17167,18798,35965,1297,1401,2699,76440,78690,155126,6183,6179,12365,83920,86275,170194
205,278,264,539,7042,6597,13643,512,533,1049,7836,7396,15228,270,257,529,7726,7286,15018,623,550,1168,8620,8094,16716,206,235,438,7194,7133,14327,544,558,1103,7942,7922,15871,222,203,431,7268,6697,13967,544,487,1031,8033,7394,15423,163,159,322,6212,5950,12159,527,536,1062,6900,6639,13540,142,138,273,6143,6457,12599,487,497,975,6767,7086,13852,126,100,223,6399,6903,13307,523,518,1037,7045,7522,14565,90,111,199,6223,6541,12772,455,495,954,6771,7149,13921,95,97,195,6778,7387,14161,524,538,1069,7401,8022,15420,106,132,233,7592,8198,15787,663,609,1273,8356,8932,17293,112,109,220,8193,8830,17016,686,697,1388,8990,9638,18625,69,107,180,8877,9594,18468,721,741,1455,9664,10443,20106,76,67,142,9003,9537,18539,749,745,1495,9820,10355,20178,121,127,249,26381,28695,55079,2518,2821,5340,29017,31650,60670,2073,2107,4177,121028,125817,246845,10069,10323,20392,133172,138247,271416
206,73,58,140,12552,12225,24774,1057,1058,2111,13684,13343,27028,55,70,124,10217,10025,20237,780,729,1509,11048,10823,21874,61,77,134,8613,8547,17162,641,552,1194,9321,9174,18491,83,115,199,11741,13516,25254,993,1129,2121,12815,14754,27570,165,191,362,27143,32714,59855,2605,2979,5588,29922,35890,65808,197,154,355,36826,40504,77337,3819,3979,7797,40847,44636,85484,156,133,288,33285,33970,67259,3430,3385,6813,36864,37488,74350,91,75,166,23079,22726,45807,2326,2098,4422,25496,24898,50392,99,79,173,17840,18294,36136,1709,1605,3312,19644,19981,39620,85,78,166,16009,16685,32693,1490,1397,2892,17592,18159,35749,60,59,118,13806,14109,27916,1350,1212,2559,15215,15379,30598,49,39,89,12106,13094,25200,1238,1152,2389,13388,14292,27679,38,51,91,10016,11106,21123,978,1011,1989,11031,12170,23194,50,57,105,26233,31770,58000,2650,3081,5733,28932,34907,63837,1272,1231,2502,259465,279288,538755,25059,25368,50426,285795,305884,591679
207,34,23,58,8634,8088,16720,325,314,633,8984,8423,17415,21,24,40,10219,9664,19884,348,310,658,10589,9995,20584,37,16,55,10480,10087,20568,347,325,674,10869,10431,21296,42,36,76,11749,11622,23362,439,433,871,12230,12087,24314,46,41,89,14132,13216,27349,587,546,1136,14761,13803,28564,30,35,64,12300,12233,24530,589,610,1208,12917,12880,25796,25,18,41,10481,10972,21458,507,511,1023,11017,11501,22516,13,16,28,9704,10751,20454,409,435,845,10124,11203,21334,26,23,48,10382,12051,22432,451,445,895,10861,12513,23375,25,11,33,11323,13238,24562,504,482,989,11848,13736,25579,21,17,33,10976,12221,23198,531,452,980,11529,12684,24215,16,15,26,9944,11031,20974,434,455,891,10391,11495,21893,7,9,16,8396,9564,17964,386,390,775,8794,9962,18754,24,38,62,26382,34057,60444,1459,2050,3508,27872,36147,64013,354,317,677,165103,178792,343896,7326,7749,15076,172782,186862,359644
208,41,50,91,11303,10978,22276,482,490,977,11829,11516,23346,43,46,84,12751,12101,24855,503,489,987,13296,12631,25929,47,50,99,12007,11585,23595,459,443,900,12515,12073,24592,50,34,80,11302,10839,22144,443,429,869,11790,11304,23090,51,46,101,12079,12005,24087,611,568,1182,12743,12623,25368,44,42,85,11671,12427,24095,672,719,1394,12389,13189,25575,34,40,73,12050,13158,25208,687,687,1375,12770,13884,26653,39,25,61,12395,13293,25690,661,630,1290,13097,13947,27040,29,41,71,13569,15039,28608,694,673,1369,14291,15758,30045,45,31,77,13969,15763,29733,707,694,1399,14721,16491,31209,18,54,72,12589,13472,26062,638,618,1250,13247,14140,27385,21,19,41,11345,12284,23632,577,586,1164,11944,12898,24835,27,15,45,9739,10576,20321,558,540,1095,10326,11130,21458,32,45,72,27298,35488,62781,1821,2503,4318,29143,38033,67173,516,536,1050,184068,199011,383085,9505,10068,19571,194086,209615,403707
209,234,235,470,16550,15840,32388,878,835,1717,17659,16914,34572,192,208,404,15642,14740,30381,809,768,1575,16650,15710,32358,199,162,367,14105,13157,27258,643,643,1289,14952,13963,28910,158,169,331,14174,13334,27506,674,669,1340,15007,14170,29178,162,175,335,16050,15713,31763,904,853,1758,17111,16738,33852,131,175,309,17165,17298,34462,1046,1022,2065,18342,18498,36841,134,132,267,18249,18949,37197,1038,1070,2116,19422,20154,39582,104,118,221,16895,17478,34371,871,846,1721,17865,18447,36313,85,99,181,16467,17118,33585,888,797,1684,17435,18017,35452,119,98,211,15782,16679,32461,799,803,1606,16698,17575,34278,72,117,192,14135,15331,29466,772,787,1556,14980,16226,31207,74,80,154,13230,14255,27491,670,732,1400,13975,15070,29048,53,55,110,11260,12344,23606,616,650,1274,11937,13050,24985,65,93,162,29490,34842,64328,1889,2397,4289,31442,37335,68772,1787,1918,3706,229189,237075,466266,12498,12880,25377,243480,251875,495353
210,125,129,255,12759,11951,24713,787,703,1487,13670,12785,26454,122,119,243,12255,11348,23601,678,652,1329,13056,12114,25170,111,107,216,11129,10659,21786,604,535,1134,11841,11297,23136,115,109,228,11193,10568,21763,579,562,1135,11887,11237,23121,121,106,223,11939,10981,22920,695,589,1282,12753,11668,24425,87,92,181,12754,12537,25295,773,752,1521,13615,13381,26996,71,73,143,13142,13369,26512,807,744,1556,14015,14189,28210,70,59,131,12219,12263,24485,714,710,1431,13000,13040,26038,53,67,119,11480,12055,23534,641,570,1208,12178,12685,24868,67,83,145,11530,12119,23646,618,627,1244,12204,12831,25035,48,61,108,10778,11202,21978,578,561,1139,11405,11824,23222,42,38,81,9274,9728,19000,529,551,1079,9836,10319,20158,32,41,66,7644,8275,15915,477,487,968,8151,8801,16946,43,67,114,20950,25230,46181,1458,1823,3282,22449,27121,49573,1105,1151,2249,169036,172285,341326,9934,9861,19796,180073,183294,363371
