SA4_CODE_2016,M_Afghanistan_0_4,M_Afghanistan_5_14,M_Afghanistan_15_24,M_Afghanistan_25_44,M_Afghanistan_45_54,M_Afghanistan_55_64,M_Afghanistan_65_74,M_Afghanistan_75_84,M_Afghanistan_85ov,M_Afghanistan_Tot,M_Australia_0_4,M_Australia_5_14,M_Australia_15_24,M_Australia_25_44,M_Australia_45_54,M_Australia_55_64,M_Australia_65_74,M_Australia_75_84,M_Australia_85ov,M_Australia_Tot,M_Bangladesh_0_4,M_Bangladesh_5_14,M_Bangladesh_15_24,M_Bangladesh_25_44,M_Bangladesh_45_54,M_Bangladesh_55_64,M_Bangladesh_65_74,M_Bangladesh_75_84,M_Bangladesh_85ov,M_Bangladesh_Tot,M_Bosnia_Herzegov_0_4,M_Bosnia_Herzegov_5_14,M_Bosnia_Herzegov_15_24,M_Bosnia_Herzegov_25_44,M_Bosnia_Herzegov_45_54,M_Bosnia_Herzegov_55_64,M_Bosnia_Herzegov_65_74,M_Bosnia_Herzegov_75_84,M_Bosnia_Herzegov_85ov,M_Bosnia_Herzegov_Tot,M_Cambodia_0_4,M_Cambodia_5_14,M_Cambodia_15_24,M_Cambodia_25_44,M_Cambodia_45_54,M_Cambodia_55_64,M_Cambodia_65_74,M_Cambodia_75_84,M_Cambodia_85ov,M_Cambodia_Tot,M_Canada_0_4,M_Canada_5_14,M_Canada_15_24,M_Canada_25_44,M_Canada_45_54,M_Canada_55_64,M_Canada_65_74,M_Canada_75_84,M_Canada_85ov,M_Canada_Tot,M_Chile_0_4,M_Chile_5_14,M_Chile_15_24,M_Chile_25_44,M_Chile_45_54,M_Chile_55_64,M_Chile_65_74,M_Chile_75_84,M_Chile_85ov,M_Chile_Tot,M_China_0_4,M_China_5_14,M_China_15_24,M_China_25_44,M_China_45_54,M_China_55_64,M_China_65_74,M_China_75_84,M_China_85ov,M_China_Tot,M_Croatia_0_4,M_Croatia_5_14,M_Croatia_15_24,M_Croatia_25_44,M_Croatia_45_54,M_Croatia_55_64,M_Croatia_65_74,M_Croatia_75_84,M_Croatia_85ov,M_Croatia_Tot,M_Egypt_0_4,M_Egypt_5_14,M_Egypt_15_24,M_Egypt_25_44,M_Egypt_45_54,M_Egypt_55_64,M_Egypt_65_74,M_Egypt_75_84,M_Egypt_85ov,M_Egypt_Tot,M_England_0_4,M_England_5_14,M_England_15_24,M_England_25_44,M_England_45_54,M_England_55_64,M_England_65_74,M_England_75_84,M_England_85ov,M_England_Tot,M_Fiji_0_4,M_Fiji_5_14,M_Fiji_15_24,M_Fiji_25_44,M_Fiji_45_54,M_Fiji_55_64,M_Fiji_65_74,M_Fiji_75_84,M_Fiji_85ov,M_Fiji_Tot,M_France_0_4,M_France_5_14,M_France_15_24,M_France_25_44,M_France_45_54,M_France_55_64,M_France_65_74,M_France_75_84,M_France_85ov,M_France_Tot,M_Germany_0_4,M_Germany_5_14,M_Germany_15_24,M_Germany_25_44,M_Germany_45_54,M_Germany_55_64,M_Germany_65_74,M_Germany_75_84,M_Germany_85ov,M_Germany_Tot,M_Greece_0_4,M_Greece_5_14,M_Greece_15_24,M_Greece_25_44,M_Greece_45_54,M_Greece_55_64,M_Greece_65_74,M_Greece_75_84,M_Greece_85ov,M_Greece_Tot,M_Hong_Kong_0_4,M_Hong_Kong_5_14,M_Hong_Kong_15_24,M_Hong_Kong_25_44,M_Hong_Kong_45_54,M_Hong_Kong_55_64,M_Hong_Kong_65_74,M_Hong_Kong_75_84,M_Hong_Kong_85ov,M_Hong_Kong_Tot,M_India_0_4,M_India_5_14,M_India_15_24,M_India_25_44,M_India_45_54,M_India_55_64,M_India_65_74,M_India_75_84,M_India_85ov,M_India_Tot,M_Indonesia_0_4,M_Indonesia_5_14,M_Indonesia_15_24,M_Indonesia_25_44,M_Indonesia_45_54,M_Indonesia_55_64,M_Indonesia_65_74,M_Indonesia_75_84,M_Indonesia_85ov,M_Indonesia_Tot,M_Iran_0_4,M_Iran_5_14,M_Iran_15_24,M_Iran_25_44,M_Iran_45_54,M_Iran_55_64,M_Iran_65_74,M_Iran_75_84,M_Iran_85ov,M_Iran_Tot,M_Iraq_0_4,M_Iraq_5_14,M_Iraq_15_24,M_Iraq_25_44,M_Iraq_45_54,M_Iraq_55_64,M_Iraq_65_74,M_Iraq_75_84,M_Iraq_85ov,M_Iraq_Tot
201,0,0,12,0,0,0,0,0,0,15,4479,9165,8760,14592,8256,8144,6207,2835,920,63356,0,9,0,21,5,0,0,0,0,38,0,0,0,3,3,3,0,6,0,11,0,4,0,3,0,0,0,0,0,9,0,0,6,15,17,19,7,7,0,74,0,0,0,8,0,0,3,3,0,15,4,15,151,130,37,20,13,0,0,371,0,0,0,0,15,28,28,31,4,104,0,4,0,5,6,8,4,3,0,35,7,65,45,241,373,436,512,289,58,2026,0,4,4,13,7,7,0,0,0,37,0,0,4,13,3,4,3,6,0,29,0,3,4,19,22,49,121,36,8,270,0,0,0,4,6,14,23,14,5,68,0,5,4,3,8,3,7,0,0,33,5,34,43,349,45,26,22,7,4,541,0,0,7,10,3,4,0,0,0,27,0,3,3,20,5,7,3,0,0,36,0,3,0,16,10,0,0,0,0,24
202,3,3,4,26,6,0,0,0,0,45,4339,8867,8241,14038,7876,8181,6095,3068,1084,61794,0,3,0,17,0,0,0,0,0,20,0,0,0,0,0,0,3,0,0,6,0,0,0,3,0,0,0,0,0,12,0,4,7,25,9,12,13,3,3,70,0,0,0,0,0,3,0,0,0,4,0,13,29,79,30,17,9,3,0,165,0,0,0,0,4,4,13,9,0,35,0,4,0,17,5,6,9,3,0,45,6,45,51,215,353,405,465,214,59,1809,0,5,7,14,9,5,0,0,0,34,0,0,0,10,7,4,10,3,0,38,0,3,6,15,23,39,89,43,7,225,0,0,0,3,14,9,16,19,3,56,0,3,9,18,8,4,3,0,0,47,13,33,33,286,29,18,22,9,0,446,0,0,9,3,6,4,6,0,0,32,0,9,0,4,5,0,0,0,0,23,0,0,3,4,0,0,4,0,0,17
203,3,36,97,117,33,9,0,0,0,293,8303,15781,14902,26553,13368,12287,8822,4105,1614,105732,0,9,7,29,10,0,0,0,0,54,0,0,18,51,40,54,23,26,3,219,0,0,3,5,7,5,4,0,0,23,6,15,19,56,46,21,19,3,0,170,0,0,0,12,3,9,6,0,0,31,15,61,164,320,71,67,34,10,3,750,0,3,8,59,109,134,156,168,30,667,0,0,8,25,6,24,24,7,3,95,28,204,197,716,794,934,1018,601,212,4711,0,3,4,38,6,8,0,0,0,62,0,3,10,41,16,5,15,4,0,99,0,8,25,61,51,89,306,118,54,719,0,3,3,8,33,40,85,70,21,261,3,10,39,28,14,9,8,5,0,113,37,72,283,870,62,31,40,9,3,1409,0,7,20,29,13,5,3,8,0,83,5,33,34,104,33,15,9,4,3,247,13,19,11,51,23,3,5,0,0,126
204,0,0,3,4,0,0,0,0,0,12,4479,9752,8734,14550,9209,9811,7476,3448,1194,68657,0,4,0,5,0,0,0,0,0,14,0,0,0,0,3,0,8,3,0,18,0,3,5,6,0,0,0,0,0,12,3,6,3,36,13,13,8,3,0,86,0,0,0,3,3,3,4,0,0,15,0,14,142,42,14,5,4,6,0,238,0,0,0,3,14,17,31,34,3,103,0,0,0,3,0,8,9,4,0,24,4,40,53,207,385,439,605,296,89,2113,0,0,3,14,9,7,3,3,0,36,0,3,5,17,6,14,16,5,0,63,0,0,13,23,35,86,214,93,31,494,0,0,0,3,7,17,29,9,3,72,0,4,3,11,8,0,4,0,0,30,8,29,11,243,24,16,20,3,0,353,0,0,6,3,3,3,0,3,0,19,0,0,0,17,0,3,0,0,0,20,0,0,3,3,0,0,0,0,0,5
205,0,0,0,6,0,0,0,0,0,6,7291,15040,13208,23019,13758,14897,11764,5339,1714,106032,0,3,0,18,9,4,0,0,0,35,0,0,0,7,0,3,3,3,0,22,0,3,0,8,0,3,0,0,0,19,4,10,3,41,23,34,19,0,3,137,0,0,3,4,10,11,11,3,0,42,4,8,58,110,29,30,14,8,0,276,0,0,0,3,18,21,46,32,3,128,0,4,0,15,0,12,29,7,0,79,3,75,80,339,623,887,1354,794,238,4390,0,4,5,30,9,15,5,8,0,68,0,3,12,8,4,3,9,12,0,51,3,5,7,30,46,94,319,187,50,736,0,0,0,3,15,32,46,46,12,151,0,0,13,29,3,15,3,0,0,59,12,32,21,355,41,29,43,15,3,550,0,0,4,10,9,4,11,3,5,38,0,8,0,20,0,0,0,0,0,34,0,0,0,9,3,3,0,0,0,13
206,0,3,40,48,16,3,3,0,0,112,11591,16678,21059,62632,20057,14242,7995,2951,1180,158383,0,10,62,192,6,10,0,0,0,281,0,0,8,99,30,25,22,19,3,205,0,4,57,67,15,24,8,8,3,184,25,18,73,610,115,59,27,5,3,934,9,4,11,272,64,52,34,10,0,468,59,209,6190,4052,577,510,250,245,110,12198,0,4,6,66,83,86,76,81,14,422,10,39,18,127,62,89,109,61,30,547,77,287,726,5035,1763,1137,976,308,106,10415,0,0,12,139,32,29,17,3,3,246,9,35,162,815,89,56,56,23,8,1245,13,19,83,605,179,90,232,92,38,1353,5,19,40,210,318,547,951,1353,377,3831,28,44,459,703,119,99,54,19,9,1526,254,275,856,5817,273,197,144,61,13,7891,35,38,1119,907,58,50,39,10,4,2255,0,21,64,732,64,50,23,4,3,954,0,6,17,69,40,31,9,7,0,177
207,0,0,9,22,3,9,4,3,0,46,7964,17410,17447,22259,13661,10250,7060,4375,2043,102457,4,10,31,94,18,13,3,3,0,175,0,0,6,15,18,6,0,3,0,64,0,0,24,42,32,38,8,12,0,150,7,29,29,109,67,38,11,9,0,296,0,5,4,34,21,19,14,8,0,106,185,883,3342,5552,2131,1680,827,461,151,15206,0,0,0,19,34,42,61,86,26,263,0,24,15,100,59,119,104,62,25,512,62,357,276,920,892,765,753,438,180,4632,0,3,15,77,54,38,31,18,4,236,3,32,23,125,51,23,30,17,3,303,4,21,19,105,89,69,171,116,49,643,4,21,19,72,193,415,682,847,256,2511,43,135,374,1037,368,589,269,110,12,2934,91,257,700,2652,418,282,229,95,41,4763,4,30,171,354,85,58,61,31,10,807,16,117,141,797,233,129,90,28,4,1557,10,26,24,77,26,11,0,0,0,181
208,0,3,9,20,10,3,0,0,0,46,10680,21629,17938,29934,17575,13529,8218,4033,2254,125793,0,5,11,90,13,9,6,0,0,132,0,0,13,50,23,25,8,16,0,140,0,0,6,55,52,20,11,3,0,150,12,59,43,158,116,64,24,5,4,480,0,3,4,77,46,24,26,8,0,185,53,285,1701,2323,708,564,215,135,46,6032,0,0,3,36,47,51,69,66,12,290,8,11,9,44,50,97,110,66,35,424,113,678,538,2041,1744,1271,1178,606,288,8460,0,4,6,60,47,40,13,0,0,171,18,65,59,211,100,42,74,19,4,586,9,36,56,189,149,108,333,159,79,1107,0,33,29,110,236,423,602,778,232,2439,12,74,109,204,60,82,31,27,5,609,149,335,606,3680,444,341,202,110,40,5912,4,10,90,205,31,30,20,9,3,408,0,10,22,178,42,20,11,5,0,285,0,0,4,20,13,8,9,4,0,60
209,0,10,51,92,33,17,9,3,0,223,16017,26875,23977,42634,19642,14455,8221,3475,1418,156726,3,18,79,253,34,8,8,0,0,398,0,0,13,96,57,68,35,27,0,294,0,0,12,66,38,40,17,3,0,177,3,21,25,122,64,36,16,3,4,282,0,0,4,58,33,33,21,3,3,159,54,180,1033,2539,672,557,269,123,30,5451,0,0,5,64,135,142,140,132,21,650,3,41,32,195,81,149,176,69,29,772,37,307,297,1191,1172,962,866,430,137,5399,0,16,29,197,94,68,31,18,16,463,3,3,11,80,50,31,20,10,4,220,3,16,44,128,112,81,218,102,22,736,4,57,82,203,394,754,970,921,213,3604,4,22,61,223,49,77,40,19,3,499,153,465,1310,6438,599,384,215,70,21,9652,3,25,56,170,42,42,20,9,0,369,23,173,179,911,142,66,34,5,0,1532,26,94,142,591,348,132,47,21,4,1396
210,0,26,57,92,26,10,5,0,0,214,12167,20421,18058,28098,12896,9086,4917,2370,943,108958,3,34,28,220,46,32,4,0,0,356,0,0,6,77,44,57,27,25,3,237,0,0,3,13,12,9,3,0,0,37,3,21,17,53,31,16,9,0,0,151,0,5,5,42,48,27,32,11,0,176,9,42,172,409,187,196,81,45,12,1158,0,5,13,52,113,130,191,190,26,709,7,37,38,147,98,153,161,117,41,793,22,120,123,585,580,585,571,310,110,3007,0,29,48,215,122,94,32,11,0,566,0,4,5,31,37,19,7,3,0,109,4,9,14,93,60,67,258,81,39,622,3,32,39,99,168,263,414,370,121,1506,3,5,18,78,23,33,7,6,0,166,114,377,793,4399,486,339,198,86,35,6830,3,24,28,87,31,8,8,8,3,198,7,83,104,527,84,51,20,9,0,891,43,464,785,2381,1124,550,265,89,30,5729
