SA4_CODE_2016,C15_17F_EO_M_O_E_T,C15_17F_EO_M_LPENS,C15_17F_EO_M_T,C15_17F_O_EVWW_M_EO,C15_17F_O_EVWW_M_O_EVWW,C15_17F_O_EVWW_M_O_ENWNA,C15_17F_O_EVWW_M_O_PENS,C15_17F_O_EVWW_M_O_E_T,C15_17F_O_EVWW_M_LPENS,C15_17F_O_EVWW_M_T,C15_17F_O_ENWNA_M_EO,C15_17F_O_ENWNA_M_O_EVWW,C15_17F_O_ENWNA_M_O_ENWNA,C15_17F_O_ENWNA_M_O_PENS,C15_17F_O_ENWNA_M_O_E_T,C15_17F_O_ENWNA_M_LPENS,C15_17F_O_ENWNA_M_T,C15_17F_O_PENS_M_EO,C15_17F_O_PENS_M_O_EVWW,C15_17F_O_PENS_M_O_ENWNA,C15_17F_O_PENS_M_O_PENS,C15_17F_O_PENS_M_O_E_T,C15_17F_O_PENS_M_LPENS,C15_17F_O_PENS_M_T,C15_17F_O_E_T_M_EO,C15_17F_O_E_T_M_O_EVWW,C15_17F_O_E_T_M_O_ENWNA,C15_17F_O_E_T_M_O_PENS,C15_17F_O_E_T_M_O_E_T,C15_17F_O_E_T_M_LPENS,C15_17F_O_E_T_M_T,C15_17F_LPENS_M_EO,C15_17F_LPENS_M_O_EVWW,C15_17F_LPENS_M_O_ENWNA,C15_17F_LPENS_M_O_PENS,C15_17F_LPENS_M_O_E_T,C15_17F_LPENS_M_LPENS,C15_17F_LPENS_M_T,C15_17F_T_M_EO,C15_17F_T_M_O_EVWW,C15_17F_T_M_O_ENWNA,C15_17F_T_M_O_PENS,C15_17F_T_M_O_E_T,C15_17F_T_M_LPENS,C15_17F_T_M_T,C18_20F_EO_M_EO,C18_20F_EO_M_O_EVWW,C18_20F_EO_M_O_ENWNA,C18_20F_EO_M_O_PENS,C18_20F_EO_M_O_E_T,C18_20F_EO_M_LPENS,C18_20F_EO_M_T,C18_20F_O_EVWW_M_EO,C18_20F_O_EVWW_M_O_EVWW,C18_20F_O_EVWW_M_O_ENWNA,C18_20F_O_EVWW_M_O_PENS,C18_20F_O_EVWW_M_O_E_T,C18_20F_O_EVWW_M_LPENS,C18_20F_O_EVWW_M_T,C18_20F_O_ENWNA_M_EO,C18_20F_O_ENWNA_M_O_EVWW,C18_20F_O_ENWNA_M_O_ENWNA,C18_20F_O_ENWNA_M_O_PENS,C18_20F_O_ENWNA_M_O_E_T,C18_20F_O_ENWNA_M_LPENS,C18_20F_O_ENWNA_M_T,C18_20F_O_PENS_M_EO,C18_20F_O_PENS_M_O_EVWW,C18_20F_O_PENS_M_O_ENWNA,C18_20F_O_PENS_M_O_PENS,C18_20F_O_PENS_M_O_E_T,C18_20F_O_PENS_M_LPENS,C18_20F_O_PENS_M_T,C18_20F_O_E_T_M_EO,C18_20F_O_E_T_M_O_EVWW,C18_20F_O_E_T_M_O_ENWNA,C18_20F_O_E_T_M_O_PENS,C18_20F_O_E_T_M_O_E_T,C18_20F_O_E_T_M_LPENS,C18_20F_O_E_T_M_T,C18_20F_LPENS_M_EO,C18_20F_LPENS_M_O_EVWW,C18_20F_LPENS_M_O_ENWNA,C18_20F_LPENS_M_O_PENS,C18_20F_LPENS_M_O_E_T,C18_20F_LPENS_M_LPENS,C18_20F_LPENS_M_T,C18_20F_T_M_EO,C18_20F_T_M_O_EVWW,C18_20F_T_M_O_ENWNA,C18_20F_T_M_O_PENS,C18_20F_T_M_O_E_T,C18_20F_T_M_LPENS,C18_20F_T_M_T,C21_24F_EO_M_EO,C21_24F_EO_M_O_EVWW,C21_24F_EO_M_O_ENWNA,C21_24F_EO_M_O_PENS,C21_24F_EO_M_O_E_T,C21_24F_EO_M_LPENS,C21_24F_EO_M_T,C21_24F_O_EVWW_M_EO,C21_24F_O_EVWW_M_O_EVWW,C21_24F_O_EVWW_M_O_ENWNA,C21_24F_O_EVWW_M_O_PENS,C21_24F_O_EVWW_M_O_E_T,C21_24F_O_EVWW_M_LPENS,C21_24F_O_EVWW_M_T,C21_24F_O_ENWNA_M_EO,C21_24F_O_ENWNA_M_O_EVWW,C21_24F_O_ENWNA_M_O_ENWNA,C21_24F_O_ENWNA_M_O_PENS,C21_24F_O_ENWNA_M_O_E_T,C21_24F_O_ENWNA_M_LPENS,C21_24F_O_ENWNA_M_T,C21_24F_O_PENS_M_EO,C21_24F_O_PENS_M_O_EVWW,C21_24F_O_PENS_M_O_ENWNA,C21_24F_O_PENS_M_O_PENS,C21_24F_O_PENS_M_O_E_T,C21_24F_O_PENS_M_LPENS,C21_24F_O_PENS_M_T,C21_24F_O_E_T_M_EO,C21_24F_O_E_T_M_O_EVWW,C21_24F_O_E_T_M_O_ENWNA,C21_24F_O_E_T_M_O_PENS,C21_24F_O_E_T_M_O_E_T,C21_24F_O_E_T_M_LPENS,C21_24F_O_E_T_M_T,C21_24F_LPENS_M_EO,C21_24F_LPENS_M_O_EVWW,C21_24F_LPENS_M_O_ENWNA,C21_24F_LPENS_M_O_PENS,C21_24F_LPENS_M_O_E_T,C21_24F_LPENS_M_LPENS,C21_24F_LPENS_M_T,C21_24F_T_M_EO,C21_24F_T_M_O_EVWW,C21_24F_T_M_O_ENWNA,C21_24F_T_M_O_PENS,C21_24F_T_M_O_E_T,C21_24F_T_M_LPENS,C21_24F_T_M_T,TCF_EO_M_EO,TCF_EO_M_O_EVWW,TCF_EO_M_O_ENWNA,TCF_EO_M_O_PENS,TCF_EO_M_O_E_T,TCF_EO_M_LPENS,TCF_EO_M_T,TCF_O_EVWW_M_EO,TCF_O_EVWW_M_O_EVWW,TCF_O_EVWW_M_O_ENWNA,TCF_O_EVWW_M_O_PENS,TCF_O_EVWW_M_O_E_T,TCF_O_EVWW_M_LPENS,TCF_O_EVWW_M_T,TCF_O_ENWNA_M_EO,TCF_O_ENWNA_M_O_EVWW,TCF_O_ENWNA_M_O_ENWNA,TCF_O_ENWNA_M_O_PENS,TCF_O_ENWNA_M_O_E_T,TCF_O_ENWNA_M_LPENS,TCF_O_ENWNA_M_T,TCF_O_PENS_M_EO,TCF_O_PENS_M_O_EVWW,TCF_O_PENS_M_O_ENWNA,TCF_O_PENS_M_O_PENS,TCF_O_PENS_M_O_E_T,TCF_O_PENS_M_LPENS,TCF_O_PENS_M_T,TCF_O_E_T_M_EO,TCF_O_E_T_M_O_EVWW,TCF_O_E_T_M_O_ENWNA,TCF_O_E_T_M_O_PENS,TCF_O_E_T_M_O_E_T,TCF_O_E_T_M_LPENS,TCF_O_E_T_M_T,TCF_LPENS_M_EO,TCF_LPENS_M_O_EVWW,TCF_LPENS_M_O_ENWNA,TCF_LPENS_M_O_PENS,TCF_LPENS_M_O_E_T,TCF_LPENS_M_LPENS,TCF_LPENS_M_T,TCF_T_M_EO,TCF_T_M_O_EVWW,TCF_T_M_O_ENWNA,TCF_T_M_O_PENS,TCF_T_M_O_E_T,TCF_T_M_LPENS,TCF_T_M_T
201,39,0,2980,64,98,12,0,104,0,165,0,9,4,0,14,0,14,0,0,0,0,0,0,0,64,100,15,0,116,0,179,3,0,0,0,0,0,3,3005,144,14,0,157,0,3167,952,10,0,0,10,0,964,22,43,3,0,42,0,67,0,3,0,0,3,0,3,0,0,0,0,0,0,0,27,49,3,0,45,0,73,0,0,0,0,0,0,0,977,58,3,0,59,0,1040,333,6,0,0,6,0,337,9,16,0,0,15,0,21,0,3,0,0,3,0,3,0,0,0,0,0,0,0,9,18,0,0,22,0,28,0,0,0,0,0,0,0,344,25,0,0,21,0,366,22538,297,3,3,304,36,22880,502,1039,46,5,1089,3,1599,16,91,21,0,109,0,128,0,0,0,5,7,0,3,522,1129,65,9,1204,3,1726,32,3,0,0,3,48,80,23090,1425,72,15,1514,88,24687
202,21,5,2974,56,73,9,0,79,0,133,3,8,40,0,46,0,49,0,0,0,0,0,0,4,60,81,43,0,128,0,187,4,0,0,0,0,5,14,3014,103,48,0,153,10,3177,950,7,0,0,7,4,957,13,19,0,0,22,0,34,0,8,20,0,29,0,28,0,0,0,0,0,0,0,13,29,22,0,51,0,69,0,0,0,0,0,0,0,963,30,22,0,60,4,1024,279,4,0,0,4,0,288,0,8,0,0,8,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,8,0,12,0,0,0,0,0,0,0,284,16,0,0,15,0,299,22063,253,4,0,255,47,22368,426,876,40,7,923,0,1353,9,81,268,0,347,0,358,9,4,0,6,12,0,21,453,959,308,13,1280,0,1733,51,0,4,0,4,33,87,22565,1212,309,13,1535,79,24186
203,106,9,5150,145,357,18,0,378,0,519,8,40,77,0,115,0,119,0,0,0,5,5,0,7,156,399,89,5,495,0,649,9,0,0,0,0,3,12,5196,506,89,11,608,12,5810,2086,44,0,0,44,5,2130,63,208,13,0,223,0,285,0,17,41,0,59,0,57,0,0,0,0,3,0,3,67,228,53,0,282,0,346,4,0,0,0,0,0,4,2160,272,53,0,325,4,2485,848,16,0,0,16,0,869,29,97,8,0,100,0,132,0,12,26,0,36,0,36,0,0,0,0,0,0,0,35,107,37,0,140,0,170,0,0,0,0,0,0,0,882,120,37,0,159,0,1043,40661,876,3,8,890,42,41593,1175,3289,129,11,3427,8,4611,22,319,419,7,747,0,775,3,19,0,17,30,0,37,1203,3625,552,32,4203,12,5420,75,0,0,3,8,48,128,41935,4504,558,43,5103,108,47142
204,40,5,3359,55,88,5,0,91,0,154,4,5,6,0,15,0,18,0,0,0,0,0,0,0,58,97,9,0,105,0,171,11,0,0,0,0,7,19,3395,133,9,0,145,14,3552,752,10,0,0,10,0,765,24,21,0,0,22,0,45,0,0,5,0,9,0,9,0,0,0,0,0,0,0,19,26,10,0,32,0,58,3,0,0,0,0,0,3,778,33,10,0,44,4,829,182,0,0,0,0,0,182,4,7,0,0,7,0,14,0,0,3,0,4,0,4,0,0,0,0,0,0,0,6,4,3,0,6,0,16,0,0,0,0,0,0,0,191,11,3,0,15,0,204,23495,275,0,5,281,74,23846,514,898,22,0,920,11,1443,10,55,59,3,113,0,127,5,8,0,0,5,0,16,529,957,82,6,1043,11,1583,67,0,0,0,0,59,129,24098,1233,82,11,1324,143,25556
205,71,11,5068,79,130,7,0,141,0,219,4,4,9,0,16,0,24,0,0,0,0,0,0,0,87,132,22,0,157,0,245,10,0,0,0,0,5,11,5077,204,22,0,225,18,5326,1363,19,0,0,19,0,1382,34,45,3,0,48,0,82,4,3,4,0,7,0,7,0,0,0,0,0,0,0,33,48,10,0,55,0,90,3,0,0,0,0,5,6,1397,66,10,0,75,3,1478,370,0,0,0,0,0,369,13,19,0,0,20,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,19,3,0,18,0,29,0,0,0,0,0,0,0,378,15,3,0,17,0,398,36454,491,13,3,506,103,37061,789,1321,53,7,1382,0,2173,36,80,74,0,155,0,192,10,3,0,0,9,0,17,832,1410,129,8,1550,4,2387,98,5,0,0,5,72,175,37385,1906,137,15,2059,176,39622
206,201,3,4303,343,1282,64,5,1352,0,1695,9,92,130,0,219,0,225,0,3,0,0,7,0,10,354,1375,190,5,1578,0,1926,0,0,0,0,3,0,3,4453,1573,197,9,1776,6,6231,2541,100,0,0,100,0,2642,193,879,69,3,947,0,1145,3,87,111,0,200,0,201,0,3,0,0,5,0,12,196,966,182,8,1153,0,1358,0,0,0,0,0,0,4,2735,1073,182,8,1263,3,4001,1440,61,0,0,64,0,1508,104,436,35,3,478,0,581,0,50,76,0,130,0,131,0,4,0,0,3,0,5,110,491,113,0,606,0,714,4,0,0,0,0,0,4,1552,552,114,0,670,0,2227,40258,2330,28,31,2385,37,42684,3814,13310,579,77,13972,16,17793,52,1187,789,11,1986,0,2043,22,76,13,32,116,0,142,3891,14576,1386,118,16076,17,19982,40,25,0,0,21,61,129,44194,16923,1413,148,18487,115,62794
207,236,3,5830,391,2307,183,7,2499,0,2891,5,186,257,3,445,0,453,0,6,0,4,10,0,11,400,2502,440,17,2956,0,3357,5,3,0,0,3,11,13,5997,2736,445,15,3194,14,9201,3792,143,3,0,150,0,3946,241,1788,140,4,1934,3,2173,3,168,226,0,395,0,403,0,4,0,4,9,0,10,245,1968,366,8,2336,3,2586,0,4,0,0,4,4,6,4036,2112,368,10,2487,10,6541,2272,80,0,3,83,0,2351,140,982,85,0,1068,4,1210,0,92,122,0,215,0,212,0,4,0,7,5,0,5,139,1075,206,3,1287,4,1434,0,0,0,0,0,0,4,2416,1159,205,8,1371,3,3790,39062,1819,11,19,1849,33,40950,3526,18982,1105,64,20156,10,23694,56,1341,1476,8,2829,0,2882,19,61,7,39,108,0,131,3606,20380,2593,120,23090,9,26701,26,29,0,0,36,46,110,42696,22236,2609,133,24975,95,67765
208,260,11,7314,420,1569,72,5,1645,0,2064,5,83,95,0,176,0,188,3,3,0,3,10,0,12,428,1657,166,10,1826,0,2256,7,0,0,0,0,5,9,7478,1917,166,7,2091,12,9582,4249,131,0,0,136,0,4381,215,1077,58,0,1137,0,1357,3,68,56,0,130,0,135,9,4,0,3,5,0,14,230,1155,113,5,1278,0,1501,8,0,0,0,0,3,7,4478,1285,114,5,1407,6,5890,2374,70,0,0,65,0,2440,136,601,21,0,625,0,765,0,26,38,0,68,0,69,0,0,0,0,3,0,0,141,627,64,3,698,0,835,4,0,0,0,0,0,4,2515,694,62,3,760,0,3273,55861,2460,34,23,2512,60,58434,4018,14480,445,50,14977,7,18999,34,646,457,6,1110,0,1147,30,55,9,16,75,0,106,4087,15182,909,69,16155,7,20254,54,15,3,0,16,30,102,60003,17650,944,92,18688,94,78792
209,258,12,7026,404,2873,202,15,3087,0,3488,6,329,276,3,611,0,617,3,17,0,14,33,0,37,414,3215,480,35,3731,3,4145,10,3,0,0,3,3,17,7182,3477,479,32,3995,18,11188,3689,127,3,0,131,3,3823,225,1862,133,4,2000,0,2224,3,224,241,0,471,0,470,6,9,0,8,14,0,16,231,2094,374,11,2483,0,2717,6,0,0,0,0,7,16,3926,2221,379,15,2615,11,6553,1767,75,0,0,71,4,1844,121,969,72,3,1041,0,1159,0,117,133,0,253,0,254,7,5,0,0,3,0,14,130,1090,208,4,1298,0,1424,5,0,0,0,0,0,5,1901,1162,208,6,1374,3,3272,54671,2833,33,46,2917,80,57670,4044,27540,1531,131,29206,31,33281,42,2907,1915,13,4830,10,4887,22,156,13,98,271,3,294,4106,30608,3463,239,34306,47,38461,87,28,0,0,28,107,219,58867,33465,3495,287,37249,232,96350
210,234,3,4449,281,2922,268,22,3213,0,3499,11,488,440,0,926,0,935,0,17,8,15,36,0,40,291,3429,713,34,4175,0,4468,8,4,0,0,6,11,25,4512,3658,716,43,4414,18,8944,2147,105,0,0,105,0,2250,153,1885,154,5,2045,0,2200,7,339,310,0,642,0,655,0,7,3,7,19,0,18,157,2224,464,15,2707,0,2866,7,0,0,0,0,3,9,2313,2332,464,17,2812,7,5128,994,45,0,0,43,0,1038,77,950,97,7,1055,0,1133,0,168,225,0,392,0,397,0,8,3,3,8,0,8,77,1127,328,11,1459,0,1541,3,4,0,0,4,0,4,1078,1170,323,11,1503,0,2584,33081,2232,29,29,2297,48,35424,2668,27020,2264,151,29430,41,32134,75,3778,2869,33,6680,0,6759,19,136,32,109,285,3,303,2764,30935,5170,291,36394,43,39200,59,25,3,4,34,92,192,35903,33200,5208,325,38725,187,74817
