SA4_CODE_2016,M_Y12e_15_19,M_Y12e_20_24,M_Y12e_25_34,M_Y12e_35_44,M_Y12e_45_54,M_Y12e_55_64,M_Y12e_65_74,M_Y12e_75_84,M_Y12e_85ov,M_Y12e_Tot,M_Y11e_15_19,M_Y11e_20_24,M_Y11e_25_34,M_Y11e_35_44,M_Y11e_45_54,M_Y11e_55_64,M_Y11e_65_74,M_Y11e_75_84,M_Y11e_85ov,M_Y11e_Tot,M_Y10e_15_19,M_Y10e_20_24,M_Y10e_25_34,M_Y10e_35_44,M_Y10e_45_54,M_Y10e_55_64,M_Y10e_65_74,M_Y10e_75_84,M_Y10e_85ov,M_Y10e_Tot,M_Y9e_15_19,M_Y9e_20_24,M_Y9e_25_34,M_Y9e_35_44,M_Y9e_45_54,M_Y9e_55_64,M_Y9e_65_74,M_Y9e_75_84,M_Y9e_85ov,M_Y9e_Tot,M_Y8b_15_19,M_Y8b_20_24,M_Y8b_25_34,M_Y8b_35_44,M_Y8b_45_54,M_Y8b_55_64,M_Y8b_65_74,M_Y8b_75_84,M_Y8b_85ov,M_Y8b_Tot,M_DNGTS_15_19,M_DNGTS_20_24,M_DNGTS_25_34,M_DNGTS_35_44,M_DNGTS_45_54,M_DNGTS_55_64,M_DNGTS_65_74,M_DNGTS_75_84,M_DNGTS_85_ov,M_DNGTS_Tot,M_Hghst_yr_schl_ns_15_19,M_Hghst_yr_schl_ns_20_24,M_Hghst_yr_schl_ns_25_34,M_Hghst_yr_schl_ns_35_44,M_Hghst_yr_schl_ns_45_54,M_Hghst_yr_schl_ns_55_64,M_Hghst_yr_schl_ns_65_74,M_Hghst_yr_schl_ns_75_84,M_Hghst_yr_schl_ns_85_ovr,M_Hghst_yr_schl_ns_Tot,M_Tot_15_19,M_Tot_20_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Y12e_15_19,F_Y12e_20_24,F_Y12e_25_34,F_Y12e_35_44,F_Y12e_45_54,F_Y12e_55_64,F_Y12e_65_74,F_Y12e_75_84,F_Y12e_85ov,F_Y12e_Tot,F_Y11e_15_19,F_Y11e_20_24,F_Y11e_25_34,F_Y11e_35_44,F_Y11e_45_54,F_Y11e_55_64,F_Y11e_65_74,F_Y11e_75_84,F_Y11e_85ov,F_Y11e_Tot,F_Y10e_15_19,F_Y10e_20_24,F_Y10e_25_34,F_Y10e_35_44,F_Y10e_45_54,F_Y10e_55_64,F_Y10e_65_74,F_Y10e_75_84,F_Y10e_85ov,F_Y10e_Tot,F_Y9e_15_19,F_Y9e_20_24,F_Y9e_25_34,F_Y9e_35_44,F_Y9e_45_54,F_Y9e_55_64,F_Y9e_65_74,F_Y9e_75_84,F_Y9e_85ov,F_Y9e_Tot,F_Y8b_15_19,F_Y8b_20_24,F_Y8b_25_34,F_Y8b_35_44,F_Y8b_45_54,F_Y8b_55_64,F_Y8b_65_74,F_Y8b_75_84,F_Y8b_85ov,F_Y8b_Tot,F_DNGTS_15_19,F_DNGTS_20_24,F_DNGTS_25_34,F_DNGTS_35_44,F_DNGTS_45_54,F_DNGTS_55_64,F_DNGTS_65_74,F_DNGTS_75_84,F_DNGTS_85_ov,F_DNGTS_Tot,F_Hghst_yr_schl_ns_15_19,F_Hghst_yr_schl_ns_20_24,F_Hghst_yr_schl_ns_25_34,F_Hghst_yr_schl_ns_35_44,F_Hghst_yr_schl_ns_45_54,F_Hghst_yr_schl_ns_55_64,F_Hghst_yr_schl_ns_65_74,F_Hghst_yr_schl_ns_75_84,F_Hghst_yr_schl_ns_85_ovr,F_Hghst_yr_schl_ns_Tot,F_Tot_15_19,F_Tot_20_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Y12e_15_19,P_Y12e_20_24,P_Y12e_25_34,P_Y12e_35_44,P_Y12e_45_54,P_Y12e_55_64,P_Y12e_65_74,P_Y12e_75_84,P_Y12e_85ov,P_Y12e_Tot,P_Y11e_15_19,P_Y11e_20_24,P_Y11e_25_34,P_Y11e_35_44,P_Y11e_45_54,P_Y11e_55_64,P_Y11e_65_74,P_Y11e_75_84,P_Y11e_85ov,P_Y11e_Tot,P_Y10e_15_19,P_Y10e_20_24,P_Y10e_25_34,P_Y10e_35_44,P_Y10e_45_54,P_Y10e_55_64,P_Y10e_65_74,P_Y10e_75_84,P_Y10e_85ov,P_Y10e_Tot,P_Y9e_15_19,P_Y9e_20_24,P_Y9e_25_34,P_Y9e_35_44,P_Y9e_45_54,P_Y9e_55_64,P_Y9e_65_74,P_Y9e_75_84,P_Y9e_85ov,P_Y9e_Tot
201,979,3107,5021,4773,3404,3277,2368,846,217,23980,316,587,981,1288,2289,1962,990,344,69,8831,417,653,1282,1551,2406,2408,1926,761,175,11581,143,154,384,495,888,1119,1138,539,152,5005,65,73,166,161,288,555,1067,925,385,3675,3,18,22,37,41,29,25,21,6,204,282,370,671,738,906,962,1026,665,290,5911,2195,4961,8527,9037,10226,10315,8543,4098,1291,59191,1099,3595,6416,6484,4830,3906,2251,858,347,29782,221,393,726,1103,2566,2267,1261,460,159,9166,253,401,902,1037,1907,2307,2244,929,359,10336,104,117,208,279,646,1088,1054,639,268,4404,36,38,87,118,213,450,1068,1017,759,3783,3,8,22,23,31,27,19,20,9,171,289,335,615,653,865,973,1024,858,539,6149,1995,4892,8971,9697,11061,11019,8925,4777,2456,63787,2073,6707,11432,11254,8236,7184,4618,1708,558,53764,537,977,1712,2393,4851,4227,2248,813,233,17995,662,1054,2183,2587,4314,4715,4174,1683,541,21919,246,270,596,774,1535,2208,2193,1171,418,9410
202,835,2779,4627,4591,3280,3334,2339,848,251,22881,327,597,878,1157,2164,1974,926,319,74,8430,333,598,1362,1507,2305,2419,1785,763,174,11244,109,158,390,411,758,966,1141,604,144,4685,50,78,169,179,282,461,912,874,457,3452,6,11,53,50,62,50,48,22,6,303,321,372,877,832,974,988,979,692,346,6385,1989,4586,8355,8728,9826,10189,8128,4115,1457,57381,1097,3307,6047,6289,4776,3955,2216,797,344,28832,221,406,709,979,2206,2167,1217,461,148,8514,232,442,940,1063,1957,2224,1997,929,329,10113,81,99,202,269,597,973,1060,662,292,4236,27,49,111,113,194,434,947,949,714,3540,3,18,47,46,59,47,35,21,10,281,316,293,668,719,849,952,989,935,670,6390,1973,4624,8727,9476,10632,10749,8463,4756,2503,61909,1936,6092,10670,10874,8051,7292,4555,1646,598,51713,547,1010,1591,2132,4366,4140,2147,781,222,16941,566,1041,2308,2568,4261,4638,3785,1689,505,21358,194,257,594,680,1352,1940,2200,1270,435,8919
203,1833,6021,10651,10322,6590,6319,4516,1745,579,48589,495,973,1840,2318,4639,3530,1752,581,176,16305,506,883,1901,2227,3310,3586,2972,1235,347,16966,192,253,510,682,1052,1281,1493,870,269,6603,95,120,235,292,394,657,1370,1429,711,5297,12,36,75,83,83,78,96,84,35,574,432,649,1413,1358,1413,1323,1387,1016,551,9535,3560,8931,16626,17293,17478,16777,13579,6951,2667,103871,2157,6500,13319,13063,9052,7221,4086,1757,689,57847,326,600,1226,1834,4424,3769,2301,877,287,15649,352,611,1299,1561,2981,3644,3558,1560,637,16198,140,135,310,439,888,1472,1697,1100,509,6694,55,63,183,230,330,761,1686,1709,1422,6437,13,19,69,84,95,81,106,139,66,672,405,513,1022,1012,1198,1353,1504,1398,1047,9456,3450,8448,17433,18221,18964,18310,14929,8542,4652,112956,3992,12519,23969,23383,15645,13541,8605,3507,1270,106430,826,1578,3066,4151,9064,7300,4049,1454,468,31953,860,1492,3198,3794,6295,7233,6529,2795,976,33161,329,387,821,1121,1933,2758,3191,1968,783,13303
204,953,2463,4159,4256,3248,3727,2790,1048,328,22974,388,730,1137,1524,2635,2318,1236,379,122,10473,391,755,1639,1912,3128,3266,2517,970,228,14809,136,155,401,458,892,1202,1428,651,169,5498,54,53,169,173,315,597,1249,1069,484,4163,3,11,33,31,53,40,43,35,11,246,350,400,763,863,1048,1272,1167,820,410,7080,2263,4569,8301,9214,11324,12419,10429,4975,1748,65252,910,2617,5972,6400,4888,4467,2574,1015,412,29254,238,395,808,1190,2791,2674,1504,577,149,10330,245,427,1024,1258,2509,2969,2634,1165,450,12684,89,87,215,294,644,1081,1260,651,313,4630,39,36,90,108,163,474,1100,1134,834,3976,4,9,24,26,36,36,44,36,19,226,373,337,677,777,1011,1154,1250,993,668,7235,1907,3908,8801,10058,12035,12852,10368,5574,2838,68339,1865,5080,10132,10656,8138,8194,5366,2061,742,52230,630,1125,1941,2712,5432,4997,2739,962,272,20807,640,1179,2667,3170,5640,6233,5153,2133,674,27490,224,244,616,751,1536,2279,2691,1303,484,10130
205,1150,3365,6599,6238,4384,5480,4534,1806,520,34082,697,1196,2167,2541,4098,4067,2094,653,164,17682,704,1178,2491,2757,4922,4917,4284,1603,343,23195,269,313,731,861,1546,2006,2388,1181,285,9579,93,128,306,288,520,945,2150,1886,826,7140,8,14,54,48,66,68,85,72,18,437,543,686,1452,1424,1796,1999,2078,1442,590,12021,3450,6888,13805,14161,17343,19480,17615,8630,2756,104136,1274,4155,9579,9147,6966,6846,4087,1657,649,44354,464,803,1632,1994,4439,4423,2589,936,290,17560,466,775,1594,1966,3776,4645,4513,1889,586,20201,172,206,417,561,1257,2012,2261,1159,462,8501,61,91,183,216,431,864,2010,1930,1385,7172,10,15,44,48,71,60,76,90,47,452,494,579,1158,1222,1625,1939,2142,1827,1072,12058,2931,6622,14603,15155,18565,20785,17666,9483,4489,110296,2417,7520,16182,15383,11357,12327,8622,3462,1167,78436,1163,1997,3797,4539,8536,8497,4677,1584,453,35243,1168,1954,4083,4731,8701,9560,8797,3487,931,43399,436,519,1150,1428,2799,4012,4647,2339,747,18078
206,5379,24862,63991,35939,22074,15390,9047,3071,1061,180812,559,1053,2628,1983,3641,2434,1236,434,132,14096,265,675,2191,1931,2591,2204,1620,794,282,12557,111,227,477,419,654,751,782,492,223,4137,49,106,305,253,464,802,1580,2202,1030,6789,24,91,200,138,190,254,296,461,233,1894,1010,2812,7862,4444,3165,2568,1991,1307,621,25780,7403,29826,77648,45111,32782,24396,16552,8764,3584,246075,7118,30851,70138,37441,24188,16540,8473,2982,1223,198968,660,883,1842,1355,3074,2702,1639,642,275,13069,282,518,1326,1111,1990,2412,1916,1067,544,11164,107,209,333,316,530,793,853,603,350,4097,44,105,289,338,515,1034,2437,3247,1762,9767,18,83,207,214,282,397,569,1009,460,3228,1171,3152,7926,4073,2939,2547,2023,1615,1166,26612,9403,35810,82062,44835,33515,26436,17909,11171,5781,266914,12500,55719,134124,73381,46260,31929,17520,6057,2288,379777,1225,1933,4473,3340,6712,5135,2867,1073,406,27173,546,1191,3509,3043,4587,4610,3533,1864,831,23720,211,431,813,728,1183,1548,1639,1092,574,8233
207,3568,13121,20781,17904,17453,13890,8886,4058,1580,101251,261,430,802,896,2495,1775,1233,814,283,8978,218,299,659,786,1553,1406,1453,1252,452,8078,104,90,165,197,355,471,706,685,245,3019,44,49,111,101,199,433,944,1448,770,4100,13,39,140,124,147,172,185,254,88,1167,434,659,1259,963,1166,1027,906,989,600,8004,4645,14689,23915,20973,23363,19168,14316,9504,4009,134589,3734,12609,21893,21208,20890,14814,8249,3801,1892,109094,162,258,474,637,2335,2335,2150,1325,560,10234,142,183,376,483,1275,1778,2529,1850,1025,9648,66,54,117,170,317,571,979,902,541,3718,24,45,79,125,251,612,1657,2200,1511,6517,8,28,116,91,165,214,275,465,236,1598,413,591,1305,988,1139,1088,1269,1354,1315,9457,4551,13774,24358,23693,26375,21415,17116,11895,7085,150264,7304,25729,42677,39113,38339,28710,17134,7867,3477,210341,425,684,1273,1524,4830,4113,3384,2134,843,19217,363,478,1036,1270,2829,3185,3980,3105,1474,17726,169,146,284,367,672,1043,1688,1589,783,6736
208,3113,10821,20877,22245,19366,14451,8925,3561,1543,104907,280,556,1105,1575,3662,2775,1762,772,304,12778,277,466,1147,1492,2520,2463,1951,1271,582,12155,108,120,278,346,547,737,851,622,359,3981,60,56,112,163,254,420,989,1359,877,4289,9,24,78,76,103,107,121,180,83,787,420,676,1547,1479,1497,1310,1199,1085,731,9933,4265,12719,25144,27379,27955,22251,15797,8849,4475,148831,3169,11265,23861,25973,22700,15133,8322,3696,1922,116032,215,294,702,1092,3536,3296,2527,1335,635,13630,167,248,618,835,2134,2768,3045,1978,1256,13041,50,86,159,176,447,737,1071,917,776,4415,15,45,88,124,221,551,1592,1972,1806,6421,10,20,82,73,98,146,191,303,157,1080,411,642,1549,1414,1484,1385,1467,1526,1492,11365,4036,12598,27061,29686,30611,24007,18214,11717,8051,165977,6279,22086,44743,48215,42072,29580,17246,7256,3462,220946,497,848,1809,2666,7192,6068,4290,2104,934,26408,441,712,1761,2326,4650,5225,4998,3251,1835,25201,160,213,432,524,994,1473,1923,1540,1139,8392
209,3928,13046,28318,24880,16265,11993,6606,2144,634,107817,739,1314,2556,3216,5951,4094,1652,546,149,20204,668,1187,2925,3394,5007,4413,3074,1273,361,22302,227,309,865,985,1430,1807,1831,967,303,8723,85,119,436,508,756,1499,3032,2974,1189,10596,24,54,201,205,282,342,450,572,186,2313,685,1025,2416,2077,1959,1734,1635,1235,615,13376,6352,17046,37720,35265,31653,25876,18279,9708,3428,185332,4249,13927,31934,28816,19256,12156,5306,1825,644,118111,408,794,1659,2339,6023,4477,1992,686,220,18585,381,680,1738,1992,4182,5032,3732,1533,638,19902,145,193,459,612,1197,2095,2067,1076,539,8374,41,88,313,457,777,1991,4251,4097,2076,14078,7,51,154,217,346,512,662,915,341,3203,714,961,2379,1979,1987,1836,1919,1617,1170,14562,5951,16689,38621,36409,33766,28084,19929,11741,5629,196818,8175,26972,60247,53700,35520,24145,11914,3968,1274,225930,1152,2101,4213,5549,11973,8569,3641,1223,367,38794,1046,1868,4657,5386,9191,9450,6808,2808,996,42203,376,498,1323,1597,2625,3896,3901,2044,839,17096
210,2892,9145,19347,16216,10771,7271,3751,1483,425,71300,618,1061,2110,2451,4352,2885,1110,394,115,15095,685,1089,2482,2858,4180,3369,2235,964,258,18128,255,327,831,939,1365,1392,1368,687,207,7366,124,178,625,776,1004,1281,2379,2317,934,9616,24,75,233,257,327,393,447,381,163,2281,613,823,1959,1642,1576,1379,1294,1027,487,10798,5219,12700,27583,25139,23570,17956,12581,7251,2581,134586,3070,9271,21614,18680,12405,7046,3110,1207,443,76843,384,682,1417,1879,4536,3172,1293,454,135,13937,386,618,1556,1846,3457,3612,2772,1201,420,15882,159,199,462,647,1136,1544,1421,876,390,6828,67,125,492,794,1122,1667,3304,3095,1516,12177,26,51,219,267,475,651,720,782,314,3504,578,680,1761,1552,1495,1388,1496,1315,824,11088,4668,11627,27515,25668,24614,19086,14105,8924,4050,140260,5964,18418,40964,34894,23176,14317,6857,2691,874,148148,999,1738,3526,4331,8882,6056,2397,846,250,29033,1076,1708,4036,4708,7645,6987,5008,2163,684,34004,416,522,1295,1586,2495,2929,2787,1565,598,14197
